data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,174813,Milano
2021-01-02 17:00:00,175409,Milano
2021-01-03 17:00:00,175770,Milano
2021-01-04 17:00:00,176013,Milano
2021-01-05 17:00:00,176267,Milano
2021-01-06 17:00:00,176994,Milano
2021-01-07 17:00:00,177747,Milano
2021-01-08 17:00:00,178312,Milano
2021-01-09 17:00:00,178953,Milano
2021-01-10 17:00:00,179547,Milano
2021-01-11 17:00:00,179981,Milano
2021-01-12 17:00:00,180351,Milano
2021-01-13 17:00:00,180895,Milano
2021-01-14 17:00:00,181533,Milano
2021-01-15 17:00:00,182051,Milano
2021-01-16 17:00:00,182780,Milano
2021-01-17 17:00:00,183220,Milano
2021-01-18 17:00:00,183476,Milano
2021-01-19 17:00:00,183784,Milano
2021-01-20 17:00:00,184218,Milano
2021-01-21 17:00:00,184762,Milano
2021-01-22 17:00:00,185234,Milano
2021-01-23 17:00:00,185700,Milano
2021-01-24 17:00:00,186073,Milano
2021-01-25 17:00:00,186348,Milano
2021-01-26 17:00:00,186715,Milano
2021-01-27 17:00:00,187204,Milano
2021-01-28 17:00:00,187916,Milano
2021-01-29 17:00:00,188447,Milano
2021-01-30 17:00:00,188810,Milano
2021-01-31 17:00:00,189123,Milano
2021-02-01 17:00:00,189428,Milano
2021-02-02 17:00:00,189741,Milano
2021-02-03 17:00:00,190136,Milano
2021-02-04 17:00:00,190602,Milano
2021-02-05 17:00:00,191202,Milano
2021-02-06 17:00:00,191717,Milano
2021-02-07 17:00:00,192109,Milano
2021-02-08 17:00:00,192436,Milano
2021-02-09 17:00:00,192787,Milano
2021-02-10 17:00:00,193238,Milano
2021-02-11 17:00:00,193844,Milano
2021-02-12 17:00:00,194467,Milano
2021-02-13 17:00:00,195038,Milano
2021-02-14 17:00:00,195542,Milano
2021-02-15 17:00:00,195845,Milano
2021-02-16 17:00:00,196245,Milano
2021-02-17 17:00:00,196745,Milano
2021-02-18 17:00:00,197518,Milano
2021-02-19 17:00:00,198303,Milano
2021-02-20 17:00:00,199118,Milano
2021-02-21 17:00:00,199767,Milano
2021-02-22 17:00:00,200276,Milano
2021-02-23 17:00:00,200808,Milano
2021-02-24 17:00:00,201581,Milano
2021-02-25 17:00:00,202653,Milano
2021-02-26 17:00:00,203798,Milano
2021-02-27 17:00:00,204936,Milano
2021-02-28 17:00:00,205939,Milano
2021-03-01 17:00:00,206709,Milano
2021-03-02 17:00:00,207476,Milano
2021-03-03 17:00:00,208502,Milano
2021-03-04 17:00:00,209702,Milano
2021-03-05 17:00:00,211295,Milano
2021-03-06 17:00:00,212745,Milano
2021-03-07 17:00:00,213841,Milano
2021-03-08 17:00:00,214517,Milano
2021-03-09 17:00:00,215573,Milano
2021-03-10 17:00:00,216764,Milano
2021-03-11 17:00:00,218158,Milano
2021-03-12 17:00:00,219775,Milano
2021-03-13 17:00:00,221201,Milano
2021-03-14 17:00:00,222432,Milano
2021-03-15 17:00:00,223090,Milano
2021-03-16 17:00:00,224058,Milano
2021-03-17 17:00:00,225108,Milano
2021-03-18 17:00:00,226558,Milano
2021-03-19 17:00:00,228029,Milano
2021-03-20 17:00:00,229364,Milano
2021-03-21 17:00:00,230458,Milano
2021-03-22 17:00:00,231149,Milano
2021-03-23 17:00:00,232056,Milano
2021-03-24 17:00:00,233118,Milano
2021-03-25 17:00:00,234443,Milano
2021-03-26 17:00:00,235903,Milano
2021-03-27 17:00:00,237188,Milano
2021-03-28 17:00:00,238334,Milano
2021-03-29 17:00:00,238942,Milano
2021-03-30 17:00:00,239839,Milano
2021-03-31 17:00:00,240820,Milano
2021-04-01 17:00:00,241905,Milano
2021-04-02 17:00:00,243178,Milano
2021-04-03 17:00:00,244295,Milano
2021-04-04 17:00:00,245046,Milano
2021-04-05 17:00:00,245464,Milano
2021-04-06 17:00:00,245818,Milano
2021-04-07 17:00:00,246626,Milano
2021-04-08 17:00:00,247301,Milano
2021-04-09 17:00:00,248182,Milano
2021-04-10 17:00:00,248967,Milano
2021-04-11 17:00:00,249701,Milano
2021-04-12 17:00:00,250042,Milano
2021-04-13 17:00:00,250548,Milano
2021-04-14 17:00:00,251098,Milano
2021-04-15 17:00:00,251852,Milano
2021-04-16 17:00:00,252643,Milano
2021-04-17 17:00:00,253339,Milano
2021-04-18 17:00:00,253938,Milano
2021-04-19 17:00:00,254344,Milano
2021-04-20 17:00:00,254798,Milano
2021-04-21 17:00:00,255329,Milano
2021-04-22 17:00:00,256080,Milano
2021-04-23 17:00:00,256725,Milano
2021-04-24 17:00:00,257482,Milano
2021-04-25 17:00:00,258154,Milano
2021-04-26 17:00:00,258490,Milano
2021-04-27 17:00:00,258922,Milano
2021-04-28 17:00:00,259426,Milano
2021-04-29 17:00:00,260077,Milano
2021-04-30 17:00:00,260787,Milano
2021-05-01 17:00:00,261387,Milano
2021-05-02 17:00:00,261762,Milano
2021-05-03 17:00:00,262068,Milano
2021-05-04 17:00:00,262421,Milano
2021-05-05 17:00:00,262790,Milano
2021-05-06 17:00:00,263412,Milano
2021-05-07 17:00:00,263994,Milano
2021-05-08 17:00:00,264418,Milano
2021-05-09 17:00:00,264803,Milano
2021-05-10 17:00:00,265015,Milano
2021-05-11 17:00:00,265271,Milano
2021-05-12 17:00:00,265633,Milano
2021-05-13 17:00:00,266064,Milano
2021-05-14 17:00:00,266362,Milano
2021-05-15 17:00:00,266675,Milano
2021-05-16 17:00:00,266922,Milano
2021-05-17 17:00:00,267080,Milano
2021-05-18 17:00:00,267272,Milano
2021-05-19 17:00:00,267502,Milano
2021-05-20 17:00:00,267781,Milano
2021-05-21 17:00:00,268022,Milano
2021-05-22 17:00:00,268248,Milano
2021-05-23 17:00:00,268490,Milano
2021-05-24 17:00:00,268587,Milano
2021-05-25 17:00:00,268736,Milano
2021-05-26 17:00:00,268906,Milano
2021-05-27 17:00:00,269126,Milano
2021-05-28 17:00:00,269315,Milano
2021-05-29 17:00:00,269518,Milano
2021-05-30 17:00:00,269675,Milano
2021-05-31 17:00:00,269728,Milano
2021-06-01 17:00:00,269851,Milano
2021-06-02 17:00:00,270000,Milano
2021-06-03 17:00:00,270053,Milano
2021-06-04 17:00:00,270213,Milano
2021-06-05 17:00:00,270344,Milano
2021-06-06 17:00:00,270458,Milano
2021-06-07 17:00:00,270506,Milano
2021-06-08 17:00:00,270573,Milano
2021-06-09 17:00:00,270645,Milano
2021-06-10 17:00:00,270778,Milano
2021-06-11 17:00:00,270859,Milano
2021-06-12 17:00:00,270928,Milano
2021-06-13 17:00:00,271018,Milano
2021-06-14 17:00:00,271060,Milano
2021-06-15 17:00:00,271108,Milano
2021-06-16 17:00:00,271183,Milano
2021-06-17 17:00:00,271277,Milano
2021-06-18 17:00:00,271310,Milano
2021-06-19 17:00:00,271369,Milano
2021-06-20 17:00:00,271435,Milano
2021-06-21 17:00:00,271457,Milano
2021-06-22 17:00:00,271492,Milano
2021-06-23 17:00:00,271542,Milano
2021-06-24 17:00:00,271596,Milano
2021-06-25 17:00:00,271658,Milano
2021-06-26 17:00:00,271697,Milano
2021-06-27 17:00:00,271744,Milano
2021-06-28 17:00:00,271759,Milano
2021-06-29 17:00:00,271797,Milano
2021-06-30 17:00:00,271826,Milano
2021-07-01 17:00:00,271868,Milano
2021-07-02 17:00:00,271929,Milano
2021-07-03 17:00:00,271979,Milano
2021-07-04 17:00:00,272032,Milano
2021-07-05 17:00:00,272049,Milano
2021-07-06 17:00:00,272117,Milano
2021-07-07 17:00:00,272179,Milano
2021-07-08 17:00:00,272254,Milano
2021-07-09 17:00:00,272343,Milano
2021-07-10 17:00:00,272425,Milano
2021-07-11 17:00:00,272489,Milano
2021-07-12 17:00:00,272519,Milano
2021-07-13 17:00:00,272617,Milano
2021-07-14 17:00:00,272768,Milano
2021-07-15 17:00:00,272898,Milano
2021-07-16 17:00:00,273043,Milano
2021-07-17 17:00:00,273208,Milano
2021-07-18 17:00:00,273316,Milano
2021-07-19 17:00:00,273416,Milano
2021-07-20 17:00:00,273569,Milano
2021-07-21 17:00:00,273826,Milano
2021-07-22 17:00:00,273981,Milano
2021-07-23 17:00:00,274184,Milano
2021-07-24 17:00:00,274377,Milano
2021-07-25 17:00:00,274505,Milano
2021-07-26 17:00:00,274571,Milano
2021-07-27 17:00:00,274779,Milano
2021-07-28 17:00:00,275009,Milano
2021-07-29 17:00:00,275218,Milano
2021-07-30 17:00:00,275449,Milano
2021-07-31 17:00:00,275680,Milano
2021-08-01 17:00:00,275863,Milano
2021-08-02 17:00:00,275954,Milano
2021-08-03 17:00:00,276144,Milano
2021-08-04 17:00:00,276363,Milano
2021-08-05 17:00:00,276585,Milano
2021-08-06 17:00:00,276780,Milano
2021-08-07 17:00:00,276983,Milano
2021-08-08 17:00:00,277175,Milano
2021-08-09 17:00:00,277244,Milano
2021-08-10 17:00:00,277383,Milano
2021-08-11 17:00:00,277632,Milano
2021-08-12 17:00:00,277819,Milano
2021-08-13 17:00:00,277976,Milano
2021-08-14 17:00:00,278120,Milano
2021-08-15 17:00:00,278212,Milano
2021-08-16 17:00:00,278255,Milano
2021-08-17 17:00:00,278360,Milano
2021-08-18 17:00:00,278575,Milano
2021-08-19 17:00:00,278745,Milano
