data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,30775,Modena
2021-01-02 17:00:00,31098,Modena
2021-01-03 17:00:00,31377,Modena
2021-01-04 17:00:00,31570,Modena
2021-01-05 17:00:00,31780,Modena
2021-01-06 17:00:00,31980,Modena
2021-01-07 17:00:00,32387,Modena
2021-01-08 17:00:00,32762,Modena
2021-01-09 17:00:00,32949,Modena
2021-01-10 17:00:00,33340,Modena
2021-01-11 17:00:00,33799,Modena
2021-01-12 17:00:00,34003,Modena
2021-01-13 17:00:00,34085,Modena
2021-01-14 17:00:00,34400,Modena
2021-01-15 17:00:00,34815,Modena
2021-01-16 17:00:00,35104,Modena
2021-01-17 17:00:00,35346,Modena
2021-01-18 17:00:00,35597,Modena
2021-01-19 17:00:00,35747,Modena
2021-01-20 17:00:00,35850,Modena
2021-01-21 17:00:00,36058,Modena
2021-01-22 17:00:00,36328,Modena
2021-01-23 17:00:00,36515,Modena
2021-01-24 17:00:00,36690,Modena
2021-01-25 17:00:00,36883,Modena
2021-01-26 17:00:00,37006,Modena
2021-01-27 17:00:00,37053,Modena
2021-01-28 17:00:00,37211,Modena
2021-01-29 17:00:00,37439,Modena
2021-01-30 17:00:00,37622,Modena
2021-01-31 17:00:00,37848,Modena
2021-02-01 17:00:00,38026,Modena
2021-02-02 17:00:00,38189,Modena
2021-02-03 17:00:00,38257,Modena
2021-02-04 17:00:00,38457,Modena
2021-02-05 17:00:00,38730,Modena
2021-02-06 17:00:00,38907,Modena
2021-02-07 17:00:00,39159,Modena
2021-02-08 17:00:00,39423,Modena
2021-02-09 17:00:00,39568,Modena
2021-02-10 17:00:00,39635,Modena
2021-02-11 17:00:00,39852,Modena
2021-02-12 17:00:00,40140,Modena
2021-02-13 17:00:00,40370,Modena
2021-02-14 17:00:00,40595,Modena
2021-02-15 17:00:00,40888,Modena
2021-02-16 17:00:00,41079,Modena
2021-02-17 17:00:00,41141,Modena
2021-02-18 17:00:00,41370,Modena
2021-02-19 17:00:00,41694,Modena
2021-02-20 17:00:00,41953,Modena
2021-02-21 17:00:00,42251,Modena
2021-02-22 17:00:00,42570,Modena
2021-02-23 17:00:00,42890,Modena
2021-02-24 17:00:00,42985,Modena
2021-02-25 17:00:00,43356,Modena
2021-02-26 17:00:00,43864,Modena
2021-02-27 17:00:00,44355,Modena
2021-02-28 17:00:00,44755,Modena
2021-03-01 17:00:00,45276,Modena
2021-03-02 17:00:00,45584,Modena
2021-03-03 17:00:00,45805,Modena
2021-03-04 17:00:00,46240,Modena
2021-03-05 17:00:00,46926,Modena
2021-03-06 17:00:00,47521,Modena
2021-03-07 17:00:00,47963,Modena
2021-03-08 17:00:00,48492,Modena
2021-03-09 17:00:00,48901,Modena
2021-03-10 17:00:00,49005,Modena
2021-03-11 17:00:00,49391,Modena
2021-03-12 17:00:00,49907,Modena
2021-03-13 17:00:00,50404,Modena
2021-03-14 17:00:00,50843,Modena
2021-03-15 17:00:00,51412,Modena
2021-03-16 17:00:00,51821,Modena
2021-03-17 17:00:00,52022,Modena
2021-03-18 17:00:00,52387,Modena
2021-03-19 17:00:00,52915,Modena
2021-03-20 17:00:00,53345,Modena
2021-03-21 17:00:00,53707,Modena
2021-03-22 17:00:00,54009,Modena
2021-03-23 17:00:00,54295,Modena
2021-03-24 17:00:00,54465,Modena
2021-03-25 17:00:00,54767,Modena
2021-03-26 17:00:00,55175,Modena
2021-03-27 17:00:00,55580,Modena
2021-03-28 17:00:00,55848,Modena
2021-03-29 17:00:00,56155,Modena
2021-03-30 17:00:00,56401,Modena
2021-03-31 17:00:00,56504,Modena
2021-04-01 17:00:00,56750,Modena
2021-04-02 17:00:00,57087,Modena
2021-04-03 17:00:00,57361,Modena
2021-04-04 17:00:00,57659,Modena
2021-04-05 17:00:00,57980,Modena
2021-04-06 17:00:00,58155,Modena
2021-04-07 17:00:00,58215,Modena
2021-04-08 17:00:00,58288,Modena
2021-04-09 17:00:00,58581,Modena
2021-04-10 17:00:00,58859,Modena
2021-04-11 17:00:00,59033,Modena
2021-04-12 17:00:00,59248,Modena
2021-04-13 17:00:00,59377,Modena
2021-04-14 17:00:00,59451,Modena
2021-04-15 17:00:00,59637,Modena
2021-04-16 17:00:00,59852,Modena
2021-04-17 17:00:00,60051,Modena
2021-04-18 17:00:00,60231,Modena
2021-04-19 17:00:00,60393,Modena
2021-04-20 17:00:00,60524,Modena
2021-04-21 17:00:00,60604,Modena
2021-04-22 17:00:00,60785,Modena
2021-04-23 17:00:00,60967,Modena
2021-04-24 17:00:00,61125,Modena
2021-04-25 17:00:00,61278,Modena
2021-04-26 17:00:00,61438,Modena
2021-04-27 17:00:00,61552,Modena
2021-04-28 17:00:00,61607,Modena
2021-04-29 17:00:00,61755,Modena
2021-04-30 17:00:00,61947,Modena
2021-05-01 17:00:00,62144,Modena
2021-05-02 17:00:00,62279,Modena
2021-05-03 17:00:00,62386,Modena
2021-05-04 17:00:00,62437,Modena
2021-05-05 17:00:00,62466,Modena
2021-05-06 17:00:00,62636,Modena
2021-05-07 17:00:00,62812,Modena
2021-05-08 17:00:00,62924,Modena
2021-05-09 17:00:00,63017,Modena
2021-05-10 17:00:00,63115,Modena
2021-05-11 17:00:00,63183,Modena
2021-05-12 17:00:00,63209,Modena
2021-05-13 17:00:00,63330,Modena
2021-05-14 17:00:00,63433,Modena
2021-05-15 17:00:00,63510,Modena
2021-05-16 17:00:00,63598,Modena
2021-05-17 17:00:00,63685,Modena
2021-05-18 17:00:00,63737,Modena
2021-05-19 17:00:00,63758,Modena
2021-05-20 17:00:00,63867,Modena
2021-05-21 17:00:00,63932,Modena
2021-05-22 17:00:00,64000,Modena
2021-05-23 17:00:00,64016,Modena
2021-05-24 17:00:00,64082,Modena
2021-05-25 17:00:00,64103,Modena
2021-05-26 17:00:00,64124,Modena
2021-05-27 17:00:00,64172,Modena
2021-05-28 17:00:00,64209,Modena
2021-05-29 17:00:00,64257,Modena
2021-05-30 17:00:00,64286,Modena
2021-05-31 17:00:00,64322,Modena
2021-06-01 17:00:00,64331,Modena
2021-06-02 17:00:00,64342,Modena
2021-06-03 17:00:00,64365,Modena
2021-06-04 17:00:00,64404,Modena
2021-06-05 17:00:00,64406,Modena
2021-06-06 17:00:00,64440,Modena
2021-06-07 17:00:00,64466,Modena
2021-06-08 17:00:00,64483,Modena
2021-06-09 17:00:00,64464,Modena
2021-06-10 17:00:00,64481,Modena
2021-06-11 17:00:00,64496,Modena
2021-06-12 17:00:00,64508,Modena
2021-06-13 17:00:00,64517,Modena
2021-06-14 17:00:00,64534,Modena
2021-06-15 17:00:00,64547,Modena
2021-06-16 17:00:00,64552,Modena
2021-06-17 17:00:00,64574,Modena
2021-06-18 17:00:00,64575,Modena
2021-06-19 17:00:00,64596,Modena
2021-06-20 17:00:00,64603,Modena
2021-06-21 17:00:00,64615,Modena
2021-06-22 17:00:00,64624,Modena
2021-06-23 17:00:00,64630,Modena
2021-06-24 17:00:00,64654,Modena
2021-06-25 17:00:00,64658,Modena
2021-06-26 17:00:00,64682,Modena
2021-06-27 17:00:00,64701,Modena
2021-06-28 17:00:00,64717,Modena
2021-06-29 17:00:00,64723,Modena
2021-06-30 17:00:00,64729,Modena
2021-07-01 17:00:00,64746,Modena
2021-07-02 17:00:00,64757,Modena
2021-07-03 17:00:00,64767,Modena
2021-07-04 17:00:00,64771,Modena
2021-07-05 17:00:00,64778,Modena
2021-07-06 17:00:00,64780,Modena
2021-07-07 17:00:00,64787,Modena
2021-07-08 17:00:00,64794,Modena
2021-07-09 17:00:00,64809,Modena
2021-07-10 17:00:00,64816,Modena
2021-07-11 17:00:00,64835,Modena
2021-07-12 17:00:00,64858,Modena
2021-07-13 17:00:00,64866,Modena
2021-07-14 17:00:00,64879,Modena
2021-07-15 17:00:00,64891,Modena
2021-07-16 17:00:00,64913,Modena
2021-07-17 17:00:00,64937,Modena
2021-07-18 17:00:00,64971,Modena
2021-07-19 17:00:00,64998,Modena
2021-07-20 17:00:00,65006,Modena
2021-07-21 17:00:00,65021,Modena
2021-07-22 17:00:00,65078,Modena
2021-07-23 17:00:00,65127,Modena
2021-07-24 17:00:00,65196,Modena
2021-07-25 17:00:00,65277,Modena
2021-07-26 17:00:00,65323,Modena
2021-07-27 17:00:00,65348,Modena
2021-07-28 17:00:00,65386,Modena
2021-07-29 17:00:00,65466,Modena
2021-07-30 17:00:00,65553,Modena
2021-07-31 17:00:00,65618,Modena
2021-08-01 17:00:00,65688,Modena
2021-08-02 17:00:00,65803,Modena
2021-08-03 17:00:00,65836,Modena
2021-08-04 17:00:00,65886,Modena
2021-08-05 17:00:00,65994,Modena
2021-08-06 17:00:00,66085,Modena
2021-08-07 17:00:00,66184,Modena
2021-08-08 17:00:00,66306,Modena
2021-08-09 17:00:00,66407,Modena
2021-08-10 17:00:00,66490,Modena
2021-08-11 17:00:00,66525,Modena
2021-08-12 17:00:00,66647,Modena
2021-08-13 17:00:00,66775,Modena
2021-08-14 17:00:00,66892,Modena
2021-08-15 17:00:00,66969,Modena
2021-08-16 17:00:00,67076,Modena
2021-08-17 17:00:00,67166,Modena
2021-08-18 17:00:00,67205,Modena
2021-08-19 17:00:00,67298,Modena
2021-08-20 17:00:00,67419,Modena
2021-08-21 17:00:00,67527,Modena
2021-08-22 17:00:00,67619,Modena
2021-08-23 17:00:00,67702,Modena
2021-08-24 17:00:00,67784,Modena
2021-08-25 17:00:00,67830,Modena
2021-08-26 17:00:00,67895,Modena
2021-08-27 17:00:00,68033,Modena
2021-08-28 17:00:00,68139,Modena
2021-08-29 17:00:00,68265,Modena
2021-08-30 17:00:00,68420,Modena
2021-08-31 17:00:00,68515,Modena
2021-09-01 17:00:00,68536,Modena
2021-09-02 17:00:00,68651,Modena
2021-09-03 17:00:00,68781,Modena
2021-09-04 17:00:00,68872,Modena
2021-09-05 17:00:00,68936,Modena
2021-09-06 17:00:00,69078,Modena
2021-09-07 17:00:00,69140,Modena
2021-09-08 17:00:00,69160,Modena
2021-09-09 17:00:00,69253,Modena
2021-09-10 17:00:00,69365,Modena
2021-09-11 17:00:00,69466,Modena
2021-09-12 17:00:00,69596,Modena
2021-09-13 17:00:00,69676,Modena
2021-09-14 17:00:00,69746,Modena
2021-09-15 17:00:00,69766,Modena
2021-09-16 17:00:00,69845,Modena
2021-09-17 17:00:00,69946,Modena
2021-09-18 17:00:00,70028,Modena
2021-09-19 17:00:00,70114,Modena
2021-09-20 17:00:00,70175,Modena
2021-09-21 17:00:00,70206,Modena
2021-09-22 17:00:00,70220,Modena
2021-09-23 17:00:00,70238,Modena
2021-09-24 17:00:00,70352,Modena
2021-09-25 17:00:00,70388,Modena
2021-09-26 17:00:00,70436,Modena
2021-09-27 17:00:00,70491,Modena
