data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,48472,Monza e della Brianza
2021-01-02 17:00:00,48603,Monza e della Brianza
2021-01-03 17:00:00,48658,Monza e della Brianza
2021-01-04 17:00:00,48731,Monza e della Brianza
2021-01-05 17:00:00,48794,Monza e della Brianza
2021-01-06 17:00:00,48969,Monza e della Brianza
2021-01-07 17:00:00,49128,Monza e della Brianza
2021-01-08 17:00:00,49234,Monza e della Brianza
2021-01-09 17:00:00,49429,Monza e della Brianza
2021-01-10 17:00:00,49643,Monza e della Brianza
2021-01-11 17:00:00,49717,Monza e della Brianza
2021-01-12 17:00:00,49765,Monza e della Brianza
2021-01-13 17:00:00,49894,Monza e della Brianza
2021-01-14 17:00:00,50018,Monza e della Brianza
2021-01-15 17:00:00,50155,Monza e della Brianza
2021-01-16 17:00:00,50258,Monza e della Brianza
2021-01-17 17:00:00,50375,Monza e della Brianza
2021-01-18 17:00:00,50428,Monza e della Brianza
2021-01-19 17:00:00,50459,Monza e della Brianza
2021-01-20 17:00:00,50572,Monza e della Brianza
2021-01-21 17:00:00,50657,Monza e della Brianza
2021-01-22 17:00:00,50801,Monza e della Brianza
2021-01-23 17:00:00,50920,Monza e della Brianza
2021-01-24 17:00:00,50960,Monza e della Brianza
2021-01-25 17:00:00,51049,Monza e della Brianza
2021-01-26 17:00:00,51120,Monza e della Brianza
2021-01-27 17:00:00,51357,Monza e della Brianza
2021-01-28 17:00:00,51568,Monza e della Brianza
2021-01-29 17:00:00,51737,Monza e della Brianza
2021-01-30 17:00:00,51880,Monza e della Brianza
2021-01-31 17:00:00,51992,Monza e della Brianza
2021-02-01 17:00:00,52077,Monza e della Brianza
2021-02-02 17:00:00,52122,Monza e della Brianza
2021-02-03 17:00:00,52243,Monza e della Brianza
2021-02-04 17:00:00,52331,Monza e della Brianza
2021-02-05 17:00:00,52471,Monza e della Brianza
2021-02-06 17:00:00,52689,Monza e della Brianza
2021-02-07 17:00:00,52819,Monza e della Brianza
2021-02-08 17:00:00,52921,Monza e della Brianza
2021-02-09 17:00:00,53014,Monza e della Brianza
2021-02-10 17:00:00,53157,Monza e della Brianza
2021-02-11 17:00:00,53302,Monza e della Brianza
2021-02-12 17:00:00,53514,Monza e della Brianza
2021-02-13 17:00:00,53723,Monza e della Brianza
2021-02-14 17:00:00,53951,Monza e della Brianza
2021-02-15 17:00:00,54010,Monza e della Brianza
2021-02-16 17:00:00,54082,Monza e della Brianza
2021-02-17 17:00:00,54187,Monza e della Brianza
2021-02-18 17:00:00,54283,Monza e della Brianza
2021-02-19 17:00:00,54745,Monza e della Brianza
2021-02-20 17:00:00,54951,Monza e della Brianza
2021-02-21 17:00:00,55230,Monza e della Brianza
2021-02-22 17:00:00,55339,Monza e della Brianza
2021-02-23 17:00:00,55482,Monza e della Brianza
2021-02-24 17:00:00,55756,Monza e della Brianza
2021-02-25 17:00:00,56112,Monza e della Brianza
2021-02-26 17:00:00,56617,Monza e della Brianza
2021-02-27 17:00:00,57018,Monza e della Brianza
2021-02-28 17:00:00,57205,Monza e della Brianza
2021-03-01 17:00:00,57307,Monza e della Brianza
2021-03-02 17:00:00,57793,Monza e della Brianza
2021-03-03 17:00:00,58149,Monza e della Brianza
2021-03-04 17:00:00,58624,Monza e della Brianza
2021-03-05 17:00:00,59094,Monza e della Brianza
2021-03-06 17:00:00,59631,Monza e della Brianza
2021-03-07 17:00:00,60012,Monza e della Brianza
2021-03-08 17:00:00,60321,Monza e della Brianza
2021-03-09 17:00:00,60588,Monza e della Brianza
2021-03-10 17:00:00,60887,Monza e della Brianza
2021-03-11 17:00:00,61457,Monza e della Brianza
2021-03-12 17:00:00,61906,Monza e della Brianza
2021-03-13 17:00:00,62656,Monza e della Brianza
2021-03-14 17:00:00,63173,Monza e della Brianza
