data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,116250,Napoli
2021-01-02 17:00:00,116679,Napoli
2021-01-03 17:00:00,117028,Napoli
2021-01-04 17:00:00,117473,Napoli
2021-01-05 17:00:00,117831,Napoli
2021-01-06 17:00:00,118503,Napoli
2021-01-07 17:00:00,119057,Napoli
2021-01-08 17:00:00,119624,Napoli
2021-01-09 17:00:00,120399,Napoli
2021-01-10 17:00:00,121135,Napoli
2021-01-11 17:00:00,121930,Napoli
2021-01-12 17:00:00,122489,Napoli
2021-01-13 17:00:00,123068,Napoli
2021-01-14 17:00:00,123861,Napoli
2021-01-15 17:00:00,124521,Napoli
2021-01-16 17:00:00,125111,Napoli
2021-01-17 17:00:00,125706,Napoli
2021-01-18 17:00:00,126177,Napoli
2021-01-19 17:00:00,126504,Napoli
2021-01-20 17:00:00,127096,Napoli
2021-01-21 17:00:00,127882,Napoli
2021-01-22 17:00:00,128483,Napoli
2021-01-23 17:00:00,129118,Napoli
2021-01-24 17:00:00,129910,Napoli
2021-01-25 17:00:00,130318,Napoli
2021-01-26 17:00:00,130984,Napoli
2021-01-27 17:00:00,131736,Napoli
2021-01-28 17:00:00,132528,Napoli
2021-01-29 17:00:00,133185,Napoli
2021-01-30 17:00:00,133946,Napoli
2021-01-31 17:00:00,134819,Napoli
2021-02-01 17:00:00,135537,Napoli
2021-02-02 17:00:00,136127,Napoli
2021-02-03 17:00:00,136846,Napoli
2021-02-04 17:00:00,137620,Napoli
2021-02-05 17:00:00,138538,Napoli
2021-02-06 17:00:00,139305,Napoli
2021-02-07 17:00:00,140247,Napoli
2021-02-08 17:00:00,141022,Napoli
2021-02-09 17:00:00,141946,Napoli
2021-02-10 17:00:00,142767,Napoli
2021-02-11 17:00:00,143548,Napoli
2021-02-12 17:00:00,144575,Napoli
2021-02-13 17:00:00,145599,Napoli
2021-02-14 17:00:00,146453,Napoli
2021-02-15 17:00:00,147062,Napoli
2021-02-16 17:00:00,147771,Napoli
2021-02-17 17:00:00,148635,Napoli
2021-02-18 17:00:00,149533,Napoli
2021-02-19 17:00:00,150330,Napoli
2021-02-20 17:00:00,151444,Napoli
2021-02-21 17:00:00,152128,Napoli
2021-02-22 17:00:00,152872,Napoli
2021-02-23 17:00:00,153630,Napoli
2021-02-24 17:00:00,154559,Napoli
2021-02-25 17:00:00,155747,Napoli
2021-02-26 17:00:00,156988,Napoli
2021-02-27 17:00:00,158066,Napoli
2021-02-28 17:00:00,158976,Napoli
2021-03-01 17:00:00,160036,Napoli
2021-03-02 17:00:00,161079,Napoli
2021-03-03 17:00:00,162566,Napoli
2021-03-04 17:00:00,163760,Napoli
2021-03-05 17:00:00,165229,Napoli
2021-03-06 17:00:00,166639,Napoli
2021-03-07 17:00:00,167885,Napoli
2021-03-08 17:00:00,168858,Napoli
2021-03-09 17:00:00,170282,Napoli
2021-03-10 17:00:00,171877,Napoli
2021-03-11 17:00:00,173408,Napoli
2021-03-12 17:00:00,174820,Napoli
2021-03-13 17:00:00,176349,Napoli
2021-03-14 17:00:00,177557,Napoli
2021-03-15 17:00:00,178664,Napoli
2021-03-16 17:00:00,180174,Napoli
2021-03-17 17:00:00,181506,Napoli
2021-03-18 17:00:00,182721,Napoli
2021-03-19 17:00:00,183961,Napoli
2021-03-20 17:00:00,185183,Napoli
2021-03-21 17:00:00,186261,Napoli
2021-03-22 17:00:00,187118,Napoli
2021-03-23 17:00:00,188197,Napoli
2021-03-24 17:00:00,189444,Napoli
2021-03-25 17:00:00,190647,Napoli
2021-03-26 17:00:00,191761,Napoli
2021-03-27 17:00:00,192994,Napoli
2021-03-28 17:00:00,194213,Napoli
2021-03-29 17:00:00,194974,Napoli
2021-03-30 17:00:00,195906,Napoli
2021-03-31 17:00:00,197043,Napoli
2021-04-01 17:00:00,197043,Napoli
2021-04-02 17:00:00,199509,Napoli
2021-04-03 17:00:00,200792,Napoli
2021-04-04 17:00:00,201957,Napoli
2021-04-05 17:00:00,202491,Napoli
2021-04-06 17:00:00,202990,Napoli
2021-04-07 17:00:00,203778,Napoli
2021-04-08 17:00:00,204940,Napoli
2021-04-09 17:00:00,206064,Napoli
