data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,15522,Novara
2021-01-02 17:00:00,15598,Novara
2021-01-03 17:00:00,15684,Novara
2021-01-04 17:00:00,15740,Novara
2021-01-05 17:00:00,15860,Novara
2021-01-06 17:00:00,15900,Novara
2021-01-07 17:00:00,15990,Novara
2021-01-08 17:00:00,16040,Novara
2021-01-09 17:00:00,16130,Novara
2021-01-10 17:00:00,16270,Novara
2021-01-11 17:00:00,16288,Novara
2021-01-12 17:00:00,16335,Novara
2021-01-13 17:00:00,16402,Novara
2021-01-14 17:00:00,16522,Novara
2021-01-15 17:00:00,16584,Novara
2021-01-16 17:00:00,16627,Novara
2021-01-17 17:00:00,16675,Novara
2021-01-18 17:00:00,16742,Novara
2021-01-19 17:00:00,16765,Novara
2021-01-20 17:00:00,16784,Novara
2021-01-21 17:00:00,16850,Novara
2021-01-22 17:00:00,16934,Novara
2021-01-23 17:00:00,17065,Novara
2021-01-24 17:00:00,17104,Novara
2021-01-25 17:00:00,17145,Novara
2021-01-26 17:00:00,17207,Novara
2021-01-27 17:00:00,17296,Novara
2021-01-28 17:00:00,17368,Novara
2021-01-29 17:00:00,17424,Novara
2021-01-30 17:00:00,17496,Novara
2021-01-31 17:00:00,17553,Novara
2021-02-01 17:00:00,17578,Novara
2021-02-02 17:00:00,17656,Novara
2021-02-03 17:00:00,17717,Novara
2021-02-04 17:00:00,17787,Novara
2021-02-05 17:00:00,17846,Novara
2021-02-06 17:00:00,17897,Novara
2021-02-07 17:00:00,17941,Novara
2021-02-08 17:00:00,17967,Novara
2021-02-09 17:00:00,18027,Novara
2021-02-10 17:00:00,18073,Novara
2021-02-11 17:00:00,18158,Novara
2021-02-12 17:00:00,18221,Novara
2021-02-13 17:00:00,18287,Novara
2021-02-14 17:00:00,18309,Novara
2021-02-15 17:00:00,18325,Novara
2021-02-16 17:00:00,18394,Novara
2021-02-17 17:00:00,18439,Novara
2021-02-18 17:00:00,18448,Novara
2021-02-19 17:00:00,18547,Novara
2021-02-20 17:00:00,18610,Novara
2021-02-21 17:00:00,18643,Novara
2021-02-22 17:00:00,18676,Novara
2021-02-23 17:00:00,18769,Novara
2021-02-24 17:00:00,18842,Novara
2021-02-25 17:00:00,18955,Novara
2021-02-26 17:00:00,19035,Novara
2021-02-27 17:00:00,19151,Novara
2021-02-28 17:00:00,19200,Novara
2021-03-01 17:00:00,19294,Novara
2021-03-02 17:00:00,19409,Novara
2021-03-03 17:00:00,19507,Novara
2021-03-04 17:00:00,19643,Novara
2021-03-05 17:00:00,19787,Novara
2021-03-06 17:00:00,19886,Novara
2021-03-07 17:00:00,20005,Novara
2021-03-08 17:00:00,20117,Novara
2021-03-09 17:00:00,20273,Novara
2021-03-10 17:00:00,20472,Novara
2021-03-11 17:00:00,20648,Novara
2021-03-12 17:00:00,20756,Novara
2021-03-13 17:00:00,21079,Novara
2021-03-14 17:00:00,21187,Novara
2021-03-15 17:00:00,21315,Novara
2021-03-16 17:00:00,21506,Novara
2021-03-17 17:00:00,21700,Novara
2021-03-18 17:00:00,21900,Novara
2021-03-19 17:00:00,22121,Novara
2021-03-20 17:00:00,22285,Novara
2021-03-21 17:00:00,22441,Novara
2021-03-22 17:00:00,22519,Novara
2021-03-23 17:00:00,22708,Novara
2021-03-24 17:00:00,22900,Novara
2021-03-25 17:00:00,23122,Novara
2021-03-26 17:00:00,23297,Novara
2021-03-27 17:00:00,23481,Novara
2021-03-28 17:00:00,23626,Novara
2021-03-29 17:00:00,23731,Novara
2021-03-30 17:00:00,23897,Novara
2021-03-31 17:00:00,24064,Novara
2021-04-01 17:00:00,24238,Novara
2021-04-02 17:00:00,24387,Novara
2021-04-03 17:00:00,24531,Novara
2021-04-04 17:00:00,24657,Novara
2021-04-05 17:00:00,24690,Novara
2021-04-06 17:00:00,24773,Novara
2021-04-07 17:00:00,24858,Novara
2021-04-08 17:00:00,24972,Novara
2021-04-09 17:00:00,25080,Novara
2021-04-10 17:00:00,25205,Novara
2021-04-11 17:00:00,25275,Novara
2021-04-12 17:00:00,25339,Novara
2021-04-13 17:00:00,25444,Novara
2021-04-14 17:00:00,25565,Novara
2021-04-15 17:00:00,25643,Novara
2021-04-16 17:00:00,25736,Novara
2021-04-17 17:00:00,25796,Novara
2021-04-18 17:00:00,25821,Novara
2021-04-19 17:00:00,25881,Novara
2021-04-20 17:00:00,25934,Novara
2021-04-21 17:00:00,26020,Novara
2021-04-22 17:00:00,26091,Novara
2021-04-23 17:00:00,26164,Novara
2021-04-24 17:00:00,26236,Novara
2021-04-25 17:00:00,26293,Novara
2021-04-26 17:00:00,26338,Novara
2021-04-27 17:00:00,26406,Novara
2021-04-28 17:00:00,26487,Novara
2021-04-29 17:00:00,26567,Novara
2021-04-30 17:00:00,26636,Novara
2021-05-01 17:00:00,26718,Novara
2021-05-02 17:00:00,26746,Novara
2021-05-03 17:00:00,26770,Novara
2021-05-04 17:00:00,26826,Novara
2021-05-05 17:00:00,26895,Novara
2021-05-06 17:00:00,26942,Novara
2021-05-07 17:00:00,27003,Novara
2021-05-08 17:00:00,27069,Novara
2021-05-09 17:00:00,27108,Novara
2021-05-10 17:00:00,27128,Novara
2021-05-11 17:00:00,27169,Novara
2021-05-12 17:00:00,27223,Novara
2021-05-13 17:00:00,27259,Novara
2021-05-14 17:00:00,27296,Novara
2021-05-15 17:00:00,27345,Novara
