data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,24942,Pavia
2021-01-02 17:00:00,24991,Pavia
2021-01-03 17:00:00,25055,Pavia
2021-01-04 17:00:00,25084,Pavia
2021-01-05 17:00:00,25182,Pavia
2021-01-06 17:00:00,25473,Pavia
2021-01-07 17:00:00,25576,Pavia
2021-01-08 17:00:00,25706,Pavia
2021-01-09 17:00:00,25889,Pavia
2021-01-10 17:00:00,26095,Pavia
2021-01-11 17:00:00,26124,Pavia
2021-01-12 17:00:00,26219,Pavia
2021-01-13 17:00:00,26425,Pavia
2021-01-14 17:00:00,26657,Pavia
2021-01-15 17:00:00,26831,Pavia
2021-01-16 17:00:00,26974,Pavia
2021-01-17 17:00:00,27075,Pavia
2021-01-18 17:00:00,27105,Pavia
2021-01-19 17:00:00,27199,Pavia
2021-01-20 17:00:00,27298,Pavia
2021-01-21 17:00:00,27421,Pavia
2021-01-22 17:00:00,27561,Pavia
2021-01-23 17:00:00,27668,Pavia
2021-01-24 17:00:00,27738,Pavia
2021-01-25 17:00:00,27765,Pavia
2021-01-26 17:00:00,27844,Pavia
2021-01-27 17:00:00,27959,Pavia
2021-01-28 17:00:00,28121,Pavia
2021-01-29 17:00:00,28229,Pavia
2021-01-30 17:00:00,28348,Pavia
2021-01-31 17:00:00,28431,Pavia
2021-02-01 17:00:00,28458,Pavia
2021-02-02 17:00:00,28538,Pavia
2021-02-03 17:00:00,28663,Pavia
2021-02-04 17:00:00,28778,Pavia
2021-02-05 17:00:00,28888,Pavia
2021-02-06 17:00:00,29033,Pavia
2021-02-07 17:00:00,29111,Pavia
2021-02-08 17:00:00,29132,Pavia
2021-02-09 17:00:00,29224,Pavia
2021-02-10 17:00:00,29325,Pavia
2021-02-11 17:00:00,29458,Pavia
2021-02-12 17:00:00,29617,Pavia
2021-02-13 17:00:00,29745,Pavia
2021-02-14 17:00:00,29830,Pavia
2021-02-15 17:00:00,29846,Pavia
2021-02-16 17:00:00,29918,Pavia
2021-02-17 17:00:00,30033,Pavia
2021-02-18 17:00:00,30152,Pavia
2021-02-19 17:00:00,30318,Pavia
2021-02-20 17:00:00,30464,Pavia
2021-02-21 17:00:00,30595,Pavia
2021-02-22 17:00:00,30635,Pavia
2021-02-23 17:00:00,30739,Pavia
2021-02-24 17:00:00,30939,Pavia
2021-02-25 17:00:00,31182,Pavia
2021-02-26 17:00:00,31402,Pavia
2021-02-27 17:00:00,31571,Pavia
2021-02-28 17:00:00,31715,Pavia
2021-03-01 17:00:00,31798,Pavia
2021-03-02 17:00:00,31946,Pavia
2021-03-03 17:00:00,32225,Pavia
2021-03-04 17:00:00,32538,Pavia
2021-03-05 17:00:00,32816,Pavia
2021-03-06 17:00:00,33182,Pavia
2021-03-07 17:00:00,33415,Pavia
2021-03-08 17:00:00,33458,Pavia
2021-03-09 17:00:00,33682,Pavia
2021-03-10 17:00:00,33991,Pavia
2021-03-11 17:00:00,34430,Pavia
2021-03-12 17:00:00,34778,Pavia
2021-03-13 17:00:00,35199,Pavia
2021-03-14 17:00:00,35426,Pavia
2021-03-15 17:00:00,35514,Pavia
2021-03-16 17:00:00,35680,Pavia
2021-03-17 17:00:00,35955,Pavia
2021-03-18 17:00:00,36259,Pavia
2021-03-19 17:00:00,36582,Pavia
2021-03-20 17:00:00,36809,Pavia
2021-03-21 17:00:00,37031,Pavia
2021-03-22 17:00:00,37097,Pavia
2021-03-23 17:00:00,37300,Pavia
2021-03-24 17:00:00,37657,Pavia
2021-03-25 17:00:00,37973,Pavia
2021-03-26 17:00:00,38235,Pavia
2021-03-27 17:00:00,38429,Pavia
2021-03-28 17:00:00,38641,Pavia
2021-03-29 17:00:00,38682,Pavia
2021-03-30 17:00:00,38777,Pavia
2021-03-31 17:00:00,38980,Pavia
2021-04-01 17:00:00,39185,Pavia
2021-04-02 17:00:00,39380,Pavia
2021-04-03 17:00:00,39561,Pavia
2021-04-04 17:00:00,39672,Pavia
2021-04-05 17:00:00,39720,Pavia
2021-04-06 17:00:00,39773,Pavia
2021-04-07 17:00:00,39858,Pavia
2021-04-08 17:00:00,40010,Pavia
2021-04-09 17:00:00,40238,Pavia
2021-04-10 17:00:00,40362,Pavia
2021-04-11 17:00:00,40489,Pavia
2021-04-12 17:00:00,40510,Pavia
2021-04-13 17:00:00,40595,Pavia
