data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,9627,Pesaro e Urbino
2021-01-02 17:00:00,9715,Pesaro e Urbino
2021-01-03 17:00:00,9882,Pesaro e Urbino
2021-01-04 17:00:00,9958,Pesaro e Urbino
2021-01-05 17:00:00,10085,Pesaro e Urbino
2021-01-06 17:00:00,10305,Pesaro e Urbino
2021-01-07 17:00:00,10329,Pesaro e Urbino
2021-01-08 17:00:00,10441,Pesaro e Urbino
2021-01-09 17:00:00,10645,Pesaro e Urbino
2021-01-10 17:00:00,10825,Pesaro e Urbino
2021-01-11 17:00:00,10967,Pesaro e Urbino
2021-01-12 17:00:00,11141,Pesaro e Urbino
2021-01-13 17:00:00,11222,Pesaro e Urbino
2021-01-14 17:00:00,11373,Pesaro e Urbino
2021-01-15 17:00:00,11484,Pesaro e Urbino
2021-01-16 17:00:00,11616,Pesaro e Urbino
2021-01-17 17:00:00,11740,Pesaro e Urbino
2021-01-18 17:00:00,11753,Pesaro e Urbino
2021-01-19 17:00:00,11860,Pesaro e Urbino
2021-01-20 17:00:00,11936,Pesaro e Urbino
2021-01-21 17:00:00,12050,Pesaro e Urbino
2021-01-22 17:00:00,12141,Pesaro e Urbino
2021-01-23 17:00:00,12250,Pesaro e Urbino
2021-01-24 17:00:00,12369,Pesaro e Urbino
2021-01-25 17:00:00,12397,Pesaro e Urbino
2021-01-26 17:00:00,12482,Pesaro e Urbino
2021-01-27 17:00:00,12580,Pesaro e Urbino
2021-01-28 17:00:00,12666,Pesaro e Urbino
2021-01-29 17:00:00,12777,Pesaro e Urbino
2021-01-30 17:00:00,12835,Pesaro e Urbino
2021-01-31 17:00:00,12892,Pesaro e Urbino
2021-02-01 17:00:00,12911,Pesaro e Urbino
2021-02-02 17:00:00,12960,Pesaro e Urbino
2021-02-03 17:00:00,13037,Pesaro e Urbino
2021-02-04 17:00:00,13142,Pesaro e Urbino
2021-02-05 17:00:00,13233,Pesaro e Urbino
2021-02-06 17:00:00,13319,Pesaro e Urbino
2021-02-07 17:00:00,13418,Pesaro e Urbino
2021-02-08 17:00:00,13429,Pesaro e Urbino
2021-02-09 17:00:00,13466,Pesaro e Urbino
2021-02-10 17:00:00,13549,Pesaro e Urbino
2021-02-11 17:00:00,13667,Pesaro e Urbino
2021-02-12 17:00:00,13789,Pesaro e Urbino
2021-02-13 17:00:00,13854,Pesaro e Urbino
2021-02-14 17:00:00,13914,Pesaro e Urbino
2021-02-15 17:00:00,13919,Pesaro e Urbino
2021-02-16 17:00:00,13984,Pesaro e Urbino
2021-02-17 17:00:00,14069,Pesaro e Urbino
2021-02-18 17:00:00,14151,Pesaro e Urbino
2021-02-19 17:00:00,14254,Pesaro e Urbino
2021-02-20 17:00:00,14307,Pesaro e Urbino
2021-02-21 17:00:00,14383,Pesaro e Urbino
2021-02-22 17:00:00,14390,Pesaro e Urbino
2021-02-23 17:00:00,14459,Pesaro e Urbino
2021-02-24 17:00:00,14575,Pesaro e Urbino
2021-02-25 17:00:00,14658,Pesaro e Urbino
2021-02-26 17:00:00,14802,Pesaro e Urbino
2021-02-27 17:00:00,14880,Pesaro e Urbino
2021-02-28 17:00:00,14984,Pesaro e Urbino
2021-03-01 17:00:00,14991,Pesaro e Urbino
2021-03-02 17:00:00,15058,Pesaro e Urbino
2021-03-03 17:00:00,15214,Pesaro e Urbino
2021-03-04 17:00:00,15331,Pesaro e Urbino
2021-03-05 17:00:00,15559,Pesaro e Urbino
2021-03-06 17:00:00,15664,Pesaro e Urbino
2021-03-07 17:00:00,15850,Pesaro e Urbino
2021-03-08 17:00:00,15861,Pesaro e Urbino
2021-03-09 17:00:00,15940,Pesaro e Urbino
2021-03-10 17:00:00,16077,Pesaro e Urbino
2021-03-11 17:00:00,16271,Pesaro e Urbino
2021-03-12 17:00:00,16478,Pesaro e Urbino
2021-03-13 17:00:00,16631,Pesaro e Urbino
2021-03-14 17:00:00,16766,Pesaro e Urbino
2021-03-15 17:00:00,16792,Pesaro e Urbino
2021-03-16 17:00:00,16916,Pesaro e Urbino
2021-03-17 17:00:00,17014,Pesaro e Urbino
2021-03-18 17:00:00,17244,Pesaro e Urbino
2021-03-19 17:00:00,17446,Pesaro e Urbino
2021-03-20 17:00:00,17673,Pesaro e Urbino
