data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,7242,Pescara
2021-01-02 17:00:00,7246,Pescara
2021-01-03 17:00:00,7270,Pescara
2021-01-04 17:00:00,7276,Pescara
2021-01-05 17:00:00,7310,Pescara
2021-01-06 17:00:00,7357,Pescara
2021-01-07 17:00:00,7370,Pescara
2021-01-08 17:00:00,7451,Pescara
2021-01-09 17:00:00,7526,Pescara
2021-01-10 17:00:00,7605,Pescara
2021-01-11 17:00:00,7635,Pescara
2021-01-12 17:00:00,7692,Pescara
2021-01-13 17:00:00,7752,Pescara
2021-01-14 17:00:00,7808,Pescara
2021-01-15 17:00:00,7934,Pescara
2021-01-16 17:00:00,7974,Pescara
2021-01-17 17:00:00,8073,Pescara
2021-01-18 17:00:00,8090,Pescara
2021-01-19 17:00:00,8142,Pescara
2021-01-20 17:00:00,8231,Pescara
2021-01-21 17:00:00,8276,Pescara
2021-01-22 17:00:00,8399,Pescara
2021-01-23 17:00:00,8478,Pescara
2021-01-24 17:00:00,8597,Pescara
2021-01-25 17:00:00,8613,Pescara
2021-01-26 17:00:00,8679,Pescara
2021-01-27 17:00:00,8798,Pescara
2021-01-28 17:00:00,8859,Pescara
2021-01-29 17:00:00,9014,Pescara
2021-01-30 17:00:00,9145,Pescara
2021-01-31 17:00:00,9290,Pescara
2021-02-01 17:00:00,9355,Pescara
2021-02-02 17:00:00,9447,Pescara
2021-02-03 17:00:00,9620,Pescara
2021-02-04 17:00:00,9827,Pescara
2021-02-05 17:00:00,9864,Pescara
2021-02-06 17:00:00,10167,Pescara
2021-02-07 17:00:00,10328,Pescara
2021-02-08 17:00:00,10391,Pescara
2021-02-09 17:00:00,10515,Pescara
2021-02-10 17:00:00,10561,Pescara
2021-02-11 17:00:00,10793,Pescara
2021-02-12 17:00:00,10926,Pescara
2021-02-13 17:00:00,11194,Pescara
2021-02-14 17:00:00,11263,Pescara
2021-02-15 17:00:00,11571,Pescara
2021-02-16 17:00:00,11900,Pescara
2021-02-17 17:00:00,12061,Pescara
2021-02-18 17:00:00,12253,Pescara
2021-02-19 17:00:00,12524,Pescara
2021-02-20 17:00:00,12629,Pescara
2021-02-21 17:00:00,12856,Pescara
2021-02-22 17:00:00,12974,Pescara
2021-02-23 17:00:00,13111,Pescara
2021-02-24 17:00:00,13271,Pescara
2021-02-25 17:00:00,13550,Pescara
2021-02-26 17:00:00,13784,Pescara
2021-02-27 17:00:00,13868,Pescara
2021-02-28 17:00:00,14167,Pescara
2021-03-01 17:00:00,14212,Pescara
2021-03-02 17:00:00,14272,Pescara
2021-03-03 17:00:00,14513,Pescara
2021-03-04 17:00:00,14701,Pescara
2021-03-05 17:00:00,14888,Pescara
2021-03-06 17:00:00,15000,Pescara
2021-03-07 17:00:00,15252,Pescara
2021-03-08 17:00:00,15291,Pescara
2021-03-09 17:00:00,15366,Pescara
2021-03-10 17:00:00,15461,Pescara
2021-03-11 17:00:00,15735,Pescara
2021-03-12 17:00:00,15886,Pescara
2021-03-13 17:00:00,15955,Pescara
2021-03-14 17:00:00,15982,Pescara
2021-03-15 17:00:00,16072,Pescara
2021-03-16 17:00:00,16113,Pescara
2021-03-17 17:00:00,16195,Pescara
2021-03-18 17:00:00,16392,Pescara
2021-03-19 17:00:00,16453,Pescara
2021-03-20 17:00:00,16518,Pescara
2021-03-21 17:00:00,16617,Pescara
2021-03-22 17:00:00,16647,Pescara
2021-03-23 17:00:00,16686,Pescara
2021-03-24 17:00:00,16771,Pescara
2021-03-25 17:00:00,16813,Pescara
2021-03-26 17:00:00,16879,Pescara
2021-03-27 17:00:00,16918,Pescara
2021-03-28 17:00:00,16965,Pescara
2021-03-29 17:00:00,16999,Pescara
2021-03-30 17:00:00,17020,Pescara
2021-03-31 17:00:00,17086,Pescara
2021-04-01 17:00:00,17096,Pescara
2021-04-02 17:00:00,17153,Pescara
2021-04-03 17:00:00,17183,Pescara
2021-04-04 17:00:00,17236,Pescara
2021-04-05 17:00:00,17241,Pescara
2021-04-06 17:00:00,17277,Pescara
2021-04-07 17:00:00,17293,Pescara
2021-04-08 17:00:00,17318,Pescara
2021-04-09 17:00:00,17382,Pescara
2021-04-10 17:00:00,17392,Pescara
2021-04-11 17:00:00,17423,Pescara
2021-04-12 17:00:00,17440,Pescara
2021-04-13 17:00:00,17446,Pescara
2021-04-14 17:00:00,17512,Pescara
2021-04-15 17:00:00,17529,Pescara
2021-04-16 17:00:00,17577,Pescara
2021-04-17 17:00:00,17599,Pescara
2021-04-18 17:00:00,17607,Pescara
2021-04-19 17:00:00,17613,Pescara
2021-04-20 17:00:00,17631,Pescara
2021-04-21 17:00:00,17652,Pescara
2021-04-22 17:00:00,17682,Pescara
2021-04-23 17:00:00,17691,Pescara
2021-04-24 17:00:00,17698,Pescara
2021-04-25 17:00:00,17709,Pescara
2021-04-26 17:00:00,17715,Pescara
2021-04-27 17:00:00,17734,Pescara
2021-04-28 17:00:00,17756,Pescara
2021-04-29 17:00:00,17763,Pescara
2021-04-30 17:00:00,17790,Pescara
2021-05-01 17:00:00,17797,Pescara
2021-05-02 17:00:00,17810,Pescara
2021-05-03 17:00:00,17829,Pescara
2021-05-04 17:00:00,17833,Pescara
2021-05-05 17:00:00,17862,Pescara
2021-05-06 17:00:00,17864,Pescara
2021-05-07 17:00:00,17897,Pescara
2021-05-08 17:00:00,17906,Pescara
2021-05-09 17:00:00,17913,Pescara
2021-05-10 17:00:00,17913,Pescara
2021-05-11 17:00:00,17935,Pescara
2021-05-12 17:00:00,17944,Pescara
2021-05-13 17:00:00,17965,Pescara
2021-05-14 17:00:00,17986,Pescara
2021-05-15 17:00:00,17998,Pescara
2021-05-16 17:00:00,18010,Pescara
2021-05-17 17:00:00,18010,Pescara
2021-05-18 17:00:00,18015,Pescara
2021-05-19 17:00:00,18026,Pescara
2021-05-20 17:00:00,18030,Pescara
2021-05-21 17:00:00,18036,Pescara
2021-05-22 17:00:00,18038,Pescara
