data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,16779,Pisa
2021-01-02 17:00:00,16874,Pisa
2021-01-03 17:00:00,16902,Pisa
2021-01-04 17:00:00,16940,Pisa
2021-01-05 17:00:00,16970,Pisa
2021-01-06 17:00:00,17020,Pisa
2021-01-07 17:00:00,17091,Pisa
2021-01-08 17:00:00,17145,Pisa
2021-01-09 17:00:00,17195,Pisa
2021-01-10 17:00:00,17240,Pisa
2021-01-11 17:00:00,17298,Pisa
2021-01-12 17:00:00,17319,Pisa
2021-01-13 17:00:00,17361,Pisa
2021-01-14 17:00:00,17389,Pisa
2021-01-15 17:00:00,17447,Pisa
2021-01-16 17:00:00,17487,Pisa
2021-01-17 17:00:00,17527,Pisa
2021-01-18 17:00:00,17557,Pisa
2021-01-19 17:00:00,17587,Pisa
2021-01-20 17:00:00,17627,Pisa
2021-01-21 17:00:00,17668,Pisa
2021-01-22 17:00:00,17704,Pisa
2021-01-23 17:00:00,17742,Pisa
2021-01-24 17:00:00,17805,Pisa
2021-01-25 17:00:00,17835,Pisa
2021-01-26 17:00:00,17867,Pisa
2021-01-27 17:00:00,17901,Pisa
2021-01-28 17:00:00,17954,Pisa
2021-01-29 17:00:00,18002,Pisa
2021-01-30 17:00:00,18056,Pisa
2021-01-31 17:00:00,18095,Pisa
2021-02-01 17:00:00,18144,Pisa
2021-02-02 17:00:00,18193,Pisa
2021-02-03 17:00:00,18249,Pisa
2021-02-04 17:00:00,18303,Pisa
2021-02-05 17:00:00,18377,Pisa
2021-02-06 17:00:00,18451,Pisa
2021-02-07 17:00:00,18515,Pisa
2021-02-08 17:00:00,18585,Pisa
2021-02-09 17:00:00,18606,Pisa
2021-02-10 17:00:00,18666,Pisa
2021-02-11 17:00:00,18778,Pisa
2021-02-12 17:00:00,18829,Pisa
2021-02-13 17:00:00,18930,Pisa
2021-02-14 17:00:00,19020,Pisa
2021-02-15 17:00:00,19067,Pisa
2021-02-16 17:00:00,19125,Pisa
2021-02-17 17:00:00,19172,Pisa
2021-02-18 17:00:00,19254,Pisa
2021-02-19 17:00:00,19333,Pisa
2021-02-20 17:00:00,19427,Pisa
2021-02-21 17:00:00,19517,Pisa
2021-02-22 17:00:00,19621,Pisa
2021-02-23 17:00:00,19700,Pisa
2021-02-24 17:00:00,19766,Pisa
2021-02-25 17:00:00,19900,Pisa
2021-02-26 17:00:00,20006,Pisa
2021-02-27 17:00:00,20114,Pisa
2021-02-28 17:00:00,20199,Pisa
2021-03-01 17:00:00,20292,Pisa
2021-03-02 17:00:00,20423,Pisa
2021-03-03 17:00:00,20529,Pisa
2021-03-04 17:00:00,20639,Pisa
2021-03-05 17:00:00,20730,Pisa
2021-03-06 17:00:00,20831,Pisa
2021-03-07 17:00:00,20966,Pisa
2021-03-08 17:00:00,21115,Pisa
2021-03-09 17:00:00,21237,Pisa
2021-03-10 17:00:00,21364,Pisa
2021-03-11 17:00:00,21511,Pisa
2021-03-12 17:00:00,21615,Pisa
2021-03-13 17:00:00,21778,Pisa
2021-03-14 17:00:00,21957,Pisa
2021-03-15 17:00:00,22093,Pisa
2021-03-16 17:00:00,22292,Pisa
2021-03-17 17:00:00,22451,Pisa
2021-03-18 17:00:00,22592,Pisa
2021-03-19 17:00:00,22738,Pisa
2021-03-20 17:00:00,22901,Pisa
2021-03-21 17:00:00,23045,Pisa
2021-03-22 17:00:00,23149,Pisa
2021-03-23 17:00:00,23314,Pisa
2021-03-24 17:00:00,23420,Pisa
2021-03-25 17:00:00,23571,Pisa
2021-03-26 17:00:00,23722,Pisa
2021-03-27 17:00:00,23879,Pisa
2021-03-28 17:00:00,24030,Pisa
2021-03-29 17:00:00,24139,Pisa
2021-03-30 17:00:00,24246,Pisa
2021-03-31 17:00:00,24414,Pisa
2021-04-01 17:00:00,24578,Pisa
2021-04-02 17:00:00,24735,Pisa
2021-04-03 17:00:00,24870,Pisa
2021-04-04 17:00:00,25085,Pisa
2021-04-05 17:00:00,25197,Pisa
2021-04-06 17:00:00,25292,Pisa
2021-04-07 17:00:00,25416,Pisa
2021-04-08 17:00:00,25550,Pisa
2021-04-09 17:00:00,25667,Pisa
2021-04-10 17:00:00,25785,Pisa
2021-04-11 17:00:00,25914,Pisa
2021-04-12 17:00:00,25983,Pisa
2021-04-13 17:00:00,26094,Pisa
2021-04-14 17:00:00,26236,Pisa
2021-04-15 17:00:00,26375,Pisa
2021-04-16 17:00:00,26470,Pisa
2021-04-17 17:00:00,26574,Pisa
2021-04-18 17:00:00,26692,Pisa
2021-04-19 17:00:00,26772,Pisa
2021-04-20 17:00:00,26828,Pisa
2021-04-21 17:00:00,26926,Pisa
2021-04-22 17:00:00,27042,Pisa
2021-04-23 17:00:00,27152,Pisa
2021-04-24 17:00:00,27221,Pisa
2021-04-25 17:00:00,27305,Pisa
2021-04-26 17:00:00,27396,Pisa
2021-04-27 17:00:00,27467,Pisa
2021-04-28 17:00:00,27535,Pisa
2021-04-29 17:00:00,27662,Pisa
2021-04-30 17:00:00,27762,Pisa
2021-05-01 17:00:00,27887,Pisa
2021-05-02 17:00:00,27972,Pisa
2021-05-03 17:00:00,28026,Pisa
2021-05-04 17:00:00,28091,Pisa
2021-05-05 17:00:00,28162,Pisa
2021-05-06 17:00:00,28258,Pisa
2021-05-07 17:00:00,28308,Pisa
2021-05-08 17:00:00,28383,Pisa
2021-05-09 17:00:00,28440,Pisa
2021-05-10 17:00:00,28488,Pisa
2021-05-11 17:00:00,28524,Pisa
2021-05-12 17:00:00,28566,Pisa
2021-05-13 17:00:00,28623,Pisa
2021-05-14 17:00:00,28647,Pisa
2021-05-15 17:00:00,28682,Pisa
2021-05-16 17:00:00,28714,Pisa
2021-05-17 17:00:00,28731,Pisa
2021-05-18 17:00:00,28757,Pisa
2021-05-19 17:00:00,28778,Pisa
2021-05-20 17:00:00,28810,Pisa
2021-05-21 17:00:00,28832,Pisa
2021-05-22 17:00:00,28861,Pisa
2021-05-23 17:00:00,28885,Pisa
2021-05-24 17:00:00,28901,Pisa
2021-05-25 17:00:00,28912,Pisa
2021-05-26 17:00:00,28927,Pisa
2021-05-27 17:00:00,28937,Pisa
2021-05-28 17:00:00,28955,Pisa
2021-05-29 17:00:00,28967,Pisa
2021-05-30 17:00:00,28982,Pisa
2021-05-31 17:00:00,28992,Pisa
2021-06-01 17:00:00,29003,Pisa
2021-06-02 17:00:00,29021,Pisa
2021-06-03 17:00:00,29035,Pisa
2021-06-04 17:00:00,29045,Pisa
2021-06-05 17:00:00,29068,Pisa
2021-06-06 17:00:00,29091,Pisa
2021-06-07 17:00:00,29103,Pisa
2021-06-08 17:00:00,29112,Pisa
2021-06-09 17:00:00,29119,Pisa
2021-06-10 17:00:00,29133,Pisa
2021-06-11 17:00:00,29153,Pisa
2021-06-12 17:00:00,29162,Pisa
2021-06-13 17:00:00,29168,Pisa
2021-06-14 17:00:00,29173,Pisa
2021-06-15 17:00:00,29176,Pisa
2021-06-16 17:00:00,29184,Pisa
2021-06-17 17:00:00,29192,Pisa
2021-06-18 17:00:00,29200,Pisa
2021-06-19 17:00:00,29202,Pisa
2021-06-20 17:00:00,29212,Pisa
2021-06-21 17:00:00,29214,Pisa
2021-06-22 17:00:00,29215,Pisa
2021-06-23 17:00:00,29215,Pisa
2021-06-24 17:00:00,29223,Pisa
2021-06-25 17:00:00,29225,Pisa
2021-06-26 17:00:00,29228,Pisa
2021-06-27 17:00:00,29229,Pisa
2021-06-28 17:00:00,29230,Pisa
2021-06-29 17:00:00,29233,Pisa
2021-06-30 17:00:00,29235,Pisa
2021-07-01 17:00:00,29240,Pisa
2021-07-02 17:00:00,29243,Pisa
2021-07-03 17:00:00,29248,Pisa
2021-07-04 17:00:00,29251,Pisa
2021-07-05 17:00:00,29257,Pisa
2021-07-06 17:00:00,29261,Pisa
2021-07-07 17:00:00,29264,Pisa
2021-07-08 17:00:00,29268,Pisa
2021-07-09 17:00:00,29278,Pisa
2021-07-10 17:00:00,29290,Pisa
2021-07-11 17:00:00,29296,Pisa
2021-07-12 17:00:00,29300,Pisa
2021-07-13 17:00:00,29310,Pisa
2021-07-14 17:00:00,29324,Pisa
2021-07-15 17:00:00,29333,Pisa
2021-07-16 17:00:00,29347,Pisa
2021-07-17 17:00:00,29359,Pisa
2021-07-18 17:00:00,29373,Pisa
2021-07-19 17:00:00,29389,Pisa
2021-07-20 17:00:00,29403,Pisa
2021-07-21 17:00:00,29427,Pisa
2021-07-22 17:00:00,29460,Pisa
2021-07-23 17:00:00,29502,Pisa
2021-07-24 17:00:00,29543,Pisa
2021-07-25 17:00:00,29585,Pisa
2021-07-26 17:00:00,29616,Pisa
2021-07-27 17:00:00,29651,Pisa
2021-07-28 17:00:00,29741,Pisa
2021-07-29 17:00:00,29821,Pisa
2021-07-30 17:00:00,29898,Pisa
2021-07-31 17:00:00,29986,Pisa
2021-08-01 17:00:00,30071,Pisa
2021-08-02 17:00:00,30110,Pisa
2021-08-03 17:00:00,30148,Pisa
2021-08-04 17:00:00,30257,Pisa
2021-08-05 17:00:00,30347,Pisa
2021-08-06 17:00:00,30434,Pisa
2021-08-07 17:00:00,30499,Pisa
2021-08-08 17:00:00,30592,Pisa
2021-08-09 17:00:00,30670,Pisa
2021-08-10 17:00:00,30733,Pisa
2021-08-11 17:00:00,30821,Pisa
2021-08-12 17:00:00,30942,Pisa
2021-08-13 17:00:00,31022,Pisa
2021-08-14 17:00:00,31119,Pisa
2021-08-15 17:00:00,31225,Pisa
2021-08-16 17:00:00,31278,Pisa
2021-08-17 17:00:00,31326,Pisa
2021-08-18 17:00:00,31385,Pisa
2021-08-19 17:00:00,31481,Pisa
2021-08-20 17:00:00,31575,Pisa
2021-08-21 17:00:00,31634,Pisa
2021-08-22 17:00:00,31700,Pisa
2021-08-23 17:00:00,31753,Pisa
2021-08-24 17:00:00,31797,Pisa
2021-08-25 17:00:00,31844,Pisa
2021-08-26 17:00:00,31912,Pisa
2021-08-27 17:00:00,32010,Pisa
2021-08-28 17:00:00,32080,Pisa
2021-08-29 17:00:00,32150,Pisa
2021-08-30 17:00:00,32184,Pisa
2021-08-31 17:00:00,32252,Pisa
2021-09-01 17:00:00,32284,Pisa
2021-09-02 17:00:00,32338,Pisa
2021-09-03 17:00:00,32412,Pisa
2021-09-04 17:00:00,32458,Pisa
2021-09-05 17:00:00,32499,Pisa
2021-09-06 17:00:00,32535,Pisa
2021-09-07 17:00:00,32563,Pisa
2021-09-08 17:00:00,32616,Pisa
2021-09-09 17:00:00,32650,Pisa
2021-09-10 17:00:00,32681,Pisa
2021-09-11 17:00:00,32726,Pisa
2021-09-12 17:00:00,32761,Pisa
2021-09-13 17:00:00,32777,Pisa
2021-09-14 17:00:00,32796,Pisa
2021-09-15 17:00:00,32828,Pisa
2021-09-16 17:00:00,32856,Pisa
2021-09-17 17:00:00,32884,Pisa
2021-09-18 17:00:00,32906,Pisa
2021-09-19 17:00:00,32930,Pisa
2021-09-20 17:00:00,32941,Pisa
2021-09-21 17:00:00,32963,Pisa
2021-09-22 17:00:00,32986,Pisa
2021-09-23 17:00:00,33017,Pisa
2021-09-24 17:00:00,33045,Pisa
2021-09-25 17:00:00,33066,Pisa
2021-09-26 17:00:00,33082,Pisa
2021-09-27 17:00:00,33098,Pisa
2021-09-28 17:00:00,33115,Pisa
2021-09-29 17:00:00,33131,Pisa
2021-09-30 17:00:00,33161,Pisa
2021-10-01 17:00:00,33174,Pisa
2021-10-02 17:00:00,33189,Pisa
2021-10-03 17:00:00,33214,Pisa
2021-10-04 17:00:00,33226,Pisa
2021-10-05 17:00:00,33240,Pisa
2021-10-06 17:00:00,33259,Pisa
2021-10-07 17:00:00,33287,Pisa
2021-10-08 17:00:00,33304,Pisa
2021-10-09 17:00:00,33317,Pisa
2021-10-10 17:00:00,33336,Pisa
2021-10-11 17:00:00,33346,Pisa
2021-10-12 17:00:00,33364,Pisa
2021-10-13 17:00:00,33382,Pisa
2021-10-14 17:00:00,33401,Pisa
2021-10-15 17:00:00,33421,Pisa
2021-10-16 17:00:00,33447,Pisa
2021-10-17 17:00:00,33478,Pisa
2021-10-18 17:00:00,33497,Pisa
2021-10-19 17:00:00,33526,Pisa
2021-10-20 17:00:00,33555,Pisa
2021-10-21 17:00:00,33581,Pisa
2021-10-22 17:00:00,33625,Pisa
2021-10-23 17:00:00,33661,Pisa
2021-10-24 17:00:00,33710,Pisa
2021-10-25 17:00:00,33727,Pisa
2021-10-26 17:00:00,33759,Pisa
2021-10-27 17:00:00,33803,Pisa
2021-10-28 17:00:00,33840,Pisa
2021-10-29 17:00:00,33889,Pisa
2021-10-30 17:00:00,33919,Pisa
2021-10-31 17:00:00,33961,Pisa
2021-11-01 17:00:00,33989,Pisa
2021-11-02 17:00:00,34005,Pisa
2021-11-03 17:00:00,34038,Pisa
2021-11-04 17:00:00,34079,Pisa
2021-11-05 17:00:00,34110,Pisa
2021-11-06 17:00:00,34177,Pisa
2021-11-07 17:00:00,34227,Pisa
2021-11-08 17:00:00,34254,Pisa
2021-11-09 17:00:00,34289,Pisa
2021-11-10 17:00:00,34355,Pisa
2021-11-11 17:00:00,34426,Pisa
2021-11-12 17:00:00,34468,Pisa
2021-11-13 17:00:00,34529,Pisa
2021-11-14 17:00:00,34566,Pisa
2021-11-15 17:00:00,34592,Pisa
2021-11-16 17:00:00,34646,Pisa
2021-11-17 17:00:00,34679,Pisa
2021-11-18 17:00:00,34715,Pisa
2021-11-19 17:00:00,34787,Pisa
2021-11-20 17:00:00,34830,Pisa
2021-11-21 17:00:00,34883,Pisa
2021-11-22 17:00:00,34923,Pisa
2021-11-23 17:00:00,34952,Pisa
2021-11-24 17:00:00,34996,Pisa
2021-11-25 17:00:00,35057,Pisa
2021-11-26 17:00:00,35111,Pisa
2021-11-27 17:00:00,35161,Pisa
2021-11-28 17:00:00,35250,Pisa
2021-11-29 17:00:00,35277,Pisa
2021-11-30 17:00:00,35342,Pisa
2021-12-01 17:00:00,35373,Pisa
2021-12-02 17:00:00,35441,Pisa
2021-12-03 17:00:00,35499,Pisa
2021-12-04 17:00:00,35555,Pisa
2021-12-05 17:00:00,35606,Pisa
2021-12-06 17:00:00,35669,Pisa
2021-12-07 17:00:00,35737,Pisa
2021-12-08 17:00:00,35803,Pisa
2021-12-09 17:00:00,35866,Pisa
2021-12-10 17:00:00,35953,Pisa
2021-12-11 17:00:00,36028,Pisa
2021-12-12 17:00:00,36094,Pisa
2021-12-13 17:00:00,36158,Pisa
2021-12-14 17:00:00,36218,Pisa
2021-12-15 17:00:00,36324,Pisa
2021-12-16 17:00:00,36455,Pisa
2021-12-17 17:00:00,36570,Pisa
2021-12-18 17:00:00,36702,Pisa
2021-12-19 17:00:00,36854,Pisa
2021-12-20 17:00:00,36963,Pisa
2021-12-21 17:00:00,37098,Pisa
2021-12-22 17:00:00,37274,Pisa
2021-12-23 17:00:00,37489,Pisa
2021-12-24 17:00:00,37849,Pisa
2021-12-25 17:00:00,38117,Pisa
2021-12-26 17:00:00,38539,Pisa
2021-12-27 17:00:00,38824,Pisa
2021-12-28 17:00:00,39245,Pisa
2021-12-29 17:00:00,39940,Pisa
2021-12-30 17:00:00,41792,Pisa
2021-12-31 17:00:00,43839,Pisa
