data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,9113,Reggio di Calabria
2021-01-02 17:00:00,9191,Reggio di Calabria
2021-01-03 17:00:00,9258,Reggio di Calabria
2021-01-04 17:00:00,9373,Reggio di Calabria
2021-01-05 17:00:00,9482,Reggio di Calabria
2021-01-06 17:00:00,9634,Reggio di Calabria
2021-01-07 17:00:00,9769,Reggio di Calabria
2021-01-08 17:00:00,9872,Reggio di Calabria
2021-01-09 17:00:00,10009,Reggio di Calabria
2021-01-10 17:00:00,10116,Reggio di Calabria
2021-01-11 17:00:00,10258,Reggio di Calabria
2021-01-12 17:00:00,10426,Reggio di Calabria
2021-01-13 17:00:00,10503,Reggio di Calabria
2021-01-14 17:00:00,10584,Reggio di Calabria
2021-01-15 17:00:00,10735,Reggio di Calabria
2021-01-16 17:00:00,10895,Reggio di Calabria
2021-01-17 17:00:00,11033,Reggio di Calabria
2021-01-18 17:00:00,11137,Reggio di Calabria
2021-01-19 17:00:00,11234,Reggio di Calabria
2021-01-20 17:00:00,11366,Reggio di Calabria
2021-01-21 17:00:00,11454,Reggio di Calabria
2021-01-22 17:00:00,11556,Reggio di Calabria
2021-01-23 17:00:00,11674,Reggio di Calabria
2021-01-24 17:00:00,11800,Reggio di Calabria
2021-01-25 17:00:00,11883,Reggio di Calabria
2021-01-26 17:00:00,11955,Reggio di Calabria
2021-01-27 17:00:00,12039,Reggio di Calabria
2021-01-28 17:00:00,12138,Reggio di Calabria
2021-01-29 17:00:00,12273,Reggio di Calabria
2021-01-30 17:00:00,12344,Reggio di Calabria
2021-01-31 17:00:00,12424,Reggio di Calabria
2021-02-01 17:00:00,12530,Reggio di Calabria
2021-02-02 17:00:00,12619,Reggio di Calabria
2021-02-03 17:00:00,12759,Reggio di Calabria
2021-02-04 17:00:00,12865,Reggio di Calabria
2021-02-05 17:00:00,13006,Reggio di Calabria
2021-02-06 17:00:00,13067,Reggio di Calabria
2021-02-07 17:00:00,13133,Reggio di Calabria
2021-02-08 17:00:00,13212,Reggio di Calabria
2021-02-09 17:00:00,13330,Reggio di Calabria
2021-02-10 17:00:00,13421,Reggio di Calabria
2021-02-11 17:00:00,13501,Reggio di Calabria
2021-02-12 17:00:00,13562,Reggio di Calabria
2021-02-13 17:00:00,13671,Reggio di Calabria
2021-02-14 17:00:00,13742,Reggio di Calabria
2021-02-15 17:00:00,13835,Reggio di Calabria
2021-02-16 17:00:00,13895,Reggio di Calabria
2021-02-17 17:00:00,13947,Reggio di Calabria
2021-02-18 17:00:00,14005,Reggio di Calabria
2021-02-19 17:00:00,14068,Reggio di Calabria
2021-02-20 17:00:00,14136,Reggio di Calabria
2021-02-21 17:00:00,14203,Reggio di Calabria
2021-02-22 17:00:00,14309,Reggio di Calabria
2021-02-23 17:00:00,14391,Reggio di Calabria
2021-02-24 17:00:00,14534,Reggio di Calabria
2021-02-25 17:00:00,14606,Reggio di Calabria
2021-02-26 17:00:00,14717,Reggio di Calabria
2021-02-27 17:00:00,14777,Reggio di Calabria
2021-02-28 17:00:00,14834,Reggio di Calabria
2021-03-01 17:00:00,14946,Reggio di Calabria
2021-03-02 17:00:00,14989,Reggio di Calabria
2021-03-03 17:00:00,15069,Reggio di Calabria
2021-03-04 17:00:00,15128,Reggio di Calabria
2021-03-05 17:00:00,15179,Reggio di Calabria
2021-03-06 17:00:00,15267,Reggio di Calabria
2021-03-07 17:00:00,15337,Reggio di Calabria
2021-03-08 17:00:00,15401,Reggio di Calabria
2021-03-09 17:00:00,15456,Reggio di Calabria
2021-03-10 17:00:00,15512,Reggio di Calabria
2021-03-11 17:00:00,15586,Reggio di Calabria
2021-03-12 17:00:00,15681,Reggio di Calabria
2021-03-13 17:00:00,15743,Reggio di Calabria
2021-03-14 17:00:00,15795,Reggio di Calabria
2021-03-15 17:00:00,15859,Reggio di Calabria
2021-03-16 17:00:00,15949,Reggio di Calabria
2021-03-17 17:00:00,15990,Reggio di Calabria
2021-03-18 17:00:00,16054,Reggio di Calabria
2021-03-19 17:00:00,16119,Reggio di Calabria
2021-03-20 17:00:00,16172,Reggio di Calabria
2021-03-21 17:00:00,16229,Reggio di Calabria
2021-03-22 17:00:00,16289,Reggio di Calabria
2021-03-23 17:00:00,16355,Reggio di Calabria
2021-03-24 17:00:00,16403,Reggio di Calabria
2021-03-25 17:00:00,16460,Reggio di Calabria
2021-03-26 17:00:00,16542,Reggio di Calabria
2021-03-27 17:00:00,16620,Reggio di Calabria
2021-03-28 17:00:00,16681,Reggio di Calabria
2021-03-29 17:00:00,16786,Reggio di Calabria
2021-03-30 17:00:00,16834,Reggio di Calabria
2021-03-31 17:00:00,16912,Reggio di Calabria
2021-04-01 17:00:00,17014,Reggio di Calabria
2021-04-02 17:00:00,17107,Reggio di Calabria
2021-04-03 17:00:00,17216,Reggio di Calabria
2021-04-04 17:00:00,17374,Reggio di Calabria
2021-04-05 17:00:00,17432,Reggio di Calabria
2021-04-06 17:00:00,17475,Reggio di Calabria
2021-04-07 17:00:00,17527,Reggio di Calabria
2021-04-08 17:00:00,17614,Reggio di Calabria
2021-04-09 17:00:00,17692,Reggio di Calabria
2021-04-10 17:00:00,17811,Reggio di Calabria
2021-04-11 17:00:00,17931,Reggio di Calabria
2021-04-12 17:00:00,18024,Reggio di Calabria
2021-04-13 17:00:00,18167,Reggio di Calabria
2021-04-14 17:00:00,18300,Reggio di Calabria
2021-04-15 17:00:00,18415,Reggio di Calabria
2021-04-16 17:00:00,18561,Reggio di Calabria
2021-04-17 17:00:00,18687,Reggio di Calabria
2021-04-18 17:00:00,18845,Reggio di Calabria
2021-04-19 17:00:00,18965,Reggio di Calabria
2021-04-20 17:00:00,19104,Reggio di Calabria
2021-04-21 17:00:00,19198,Reggio di Calabria
2021-04-22 17:00:00,19306,Reggio di Calabria
2021-04-23 17:00:00,19422,Reggio di Calabria
2021-04-24 17:00:00,19578,Reggio di Calabria
2021-04-25 17:00:00,19674,Reggio di Calabria
