data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,14835,Rimini
2021-01-02 17:00:00,14895,Rimini
2021-01-03 17:00:00,15193,Rimini
2021-01-04 17:00:00,15405,Rimini
2021-01-05 17:00:00,15597,Rimini
2021-01-06 17:00:00,15717,Rimini
2021-01-07 17:00:00,15915,Rimini
2021-01-08 17:00:00,16145,Rimini
2021-01-09 17:00:00,16270,Rimini
2021-01-10 17:00:00,16514,Rimini
2021-01-11 17:00:00,16688,Rimini
2021-01-12 17:00:00,16909,Rimini
2021-01-13 17:00:00,17077,Rimini
2021-01-14 17:00:00,17201,Rimini
2021-01-15 17:00:00,17505,Rimini
2021-01-16 17:00:00,17679,Rimini
2021-01-17 17:00:00,17852,Rimini
2021-01-18 17:00:00,17940,Rimini
2021-01-19 17:00:00,18089,Rimini
2021-01-20 17:00:00,18278,Rimini
2021-01-21 17:00:00,18403,Rimini
2021-01-22 17:00:00,18495,Rimini
2021-01-23 17:00:00,18681,Rimini
2021-01-24 17:00:00,18833,Rimini
2021-01-25 17:00:00,18940,Rimini
2021-01-26 17:00:00,19086,Rimini
2021-01-27 17:00:00,19176,Rimini
2021-01-28 17:00:00,19336,Rimini
2021-01-29 17:00:00,19460,Rimini
2021-01-30 17:00:00,19626,Rimini
2021-01-31 17:00:00,19809,Rimini
2021-02-01 17:00:00,19900,Rimini
2021-02-02 17:00:00,19979,Rimini
2021-02-03 17:00:00,20120,Rimini
2021-02-04 17:00:00,20251,Rimini
2021-02-05 17:00:00,20431,Rimini
2021-02-06 17:00:00,20618,Rimini
2021-02-07 17:00:00,20794,Rimini
2021-02-08 17:00:00,20920,Rimini
2021-02-09 17:00:00,21033,Rimini
2021-02-10 17:00:00,21184,Rimini
2021-02-11 17:00:00,21340,Rimini
2021-02-12 17:00:00,21491,Rimini
2021-02-13 17:00:00,21637,Rimini
2021-02-14 17:00:00,21763,Rimini
2021-02-15 17:00:00,21862,Rimini
2021-02-16 17:00:00,21941,Rimini
2021-02-17 17:00:00,22082,Rimini
2021-02-18 17:00:00,22230,Rimini
2021-02-19 17:00:00,22381,Rimini
2021-02-20 17:00:00,22554,Rimini
2021-02-21 17:00:00,22685,Rimini
2021-02-22 17:00:00,22853,Rimini
2021-02-23 17:00:00,22949,Rimini
2021-02-24 17:00:00,23170,Rimini
2021-02-25 17:00:00,23457,Rimini
2021-02-26 17:00:00,23716,Rimini
2021-02-27 17:00:00,23952,Rimini
2021-02-28 17:00:00,24236,Rimini
2021-03-01 17:00:00,24408,Rimini
2021-03-02 17:00:00,24540,Rimini
2021-03-03 17:00:00,24774,Rimini
2021-03-04 17:00:00,24992,Rimini
2021-03-05 17:00:00,25270,Rimini
2021-03-06 17:00:00,25510,Rimini
2021-03-07 17:00:00,25780,Rimini
2021-03-08 17:00:00,26153,Rimini
2021-03-09 17:00:00,26324,Rimini
2021-03-10 17:00:00,26598,Rimini
2021-03-11 17:00:00,26815,Rimini
2021-03-12 17:00:00,27234,Rimini
2021-03-13 17:00:00,27491,Rimini
2021-03-14 17:00:00,27780,Rimini
2021-03-15 17:00:00,28111,Rimini
2021-03-16 17:00:00,28312,Rimini
2021-03-17 17:00:00,28571,Rimini
2021-03-18 17:00:00,28855,Rimini
2021-03-19 17:00:00,29159,Rimini
2021-03-20 17:00:00,29336,Rimini
2021-03-21 17:00:00,29522,Rimini
2021-03-22 17:00:00,29736,Rimini
2021-03-23 17:00:00,29826,Rimini
2021-03-24 17:00:00,29998,Rimini
2021-03-25 17:00:00,30260,Rimini
2021-03-26 17:00:00,30476,Rimini
2021-03-27 17:00:00,30669,Rimini
2021-03-28 17:00:00,30801,Rimini
2021-03-29 17:00:00,31014,Rimini
2021-03-30 17:00:00,31136,Rimini
2021-03-31 17:00:00,31266,Rimini
2021-04-01 17:00:00,31468,Rimini
2021-04-02 17:00:00,31564,Rimini
2021-04-03 17:00:00,31757,Rimini
2021-04-04 17:00:00,31861,Rimini
2021-04-05 17:00:00,32066,Rimini
2021-04-06 17:00:00,32087,Rimini
2021-04-07 17:00:00,32103,Rimini
2021-04-08 17:00:00,32222,Rimini
2021-04-09 17:00:00,32382,Rimini
2021-04-10 17:00:00,32472,Rimini
2021-04-11 17:00:00,32546,Rimini
2021-04-12 17:00:00,32675,Rimini
2021-04-13 17:00:00,32737,Rimini
2021-04-14 17:00:00,32828,Rimini
2021-04-15 17:00:00,32924,Rimini
2021-04-16 17:00:00,33034,Rimini
2021-04-17 17:00:00,33130,Rimini
2021-04-18 17:00:00,33205,Rimini
2021-04-19 17:00:00,33294,Rimini
2021-04-20 17:00:00,33363,Rimini
2021-04-21 17:00:00,33424,Rimini
2021-04-22 17:00:00,33500,Rimini
2021-04-23 17:00:00,33552,Rimini
2021-04-24 17:00:00,33663,Rimini
2021-04-25 17:00:00,33741,Rimini
2021-04-26 17:00:00,33838,Rimini
2021-04-27 17:00:00,33889,Rimini
2021-04-28 17:00:00,33949,Rimini
2021-04-29 17:00:00,34077,Rimini
2021-04-30 17:00:00,34156,Rimini
2021-05-01 17:00:00,34225,Rimini
2021-05-02 17:00:00,34302,Rimini
2021-05-03 17:00:00,34371,Rimini
2021-05-04 17:00:00,34418,Rimini
2021-05-05 17:00:00,34448,Rimini
2021-05-06 17:00:00,34520,Rimini
2021-05-07 17:00:00,34570,Rimini
2021-05-08 17:00:00,34624,Rimini
2021-05-09 17:00:00,34654,Rimini
2021-05-10 17:00:00,34703,Rimini
2021-05-11 17:00:00,34734,Rimini
2021-05-12 17:00:00,34788,Rimini
2021-05-13 17:00:00,34832,Rimini
2021-05-14 17:00:00,34878,Rimini
2021-05-15 17:00:00,34914,Rimini
2021-05-16 17:00:00,34957,Rimini
2021-05-17 17:00:00,34984,Rimini
2021-05-18 17:00:00,35013,Rimini
2021-05-19 17:00:00,35045,Rimini
2021-05-20 17:00:00,35102,Rimini
2021-05-21 17:00:00,35126,Rimini
2021-05-22 17:00:00,35146,Rimini
2021-05-23 17:00:00,35170,Rimini
2021-05-24 17:00:00,35198,Rimini
2021-05-25 17:00:00,35211,Rimini
2021-05-26 17:00:00,35228,Rimini
2021-05-27 17:00:00,35259,Rimini
2021-05-28 17:00:00,35283,Rimini
2021-05-29 17:00:00,35318,Rimini
2021-05-30 17:00:00,35335,Rimini
2021-05-31 17:00:00,35359,Rimini
2021-06-01 17:00:00,35365,Rimini
2021-06-02 17:00:00,35378,Rimini
2021-06-03 17:00:00,35394,Rimini
2021-06-04 17:00:00,35405,Rimini
2021-06-05 17:00:00,35418,Rimini
2021-06-06 17:00:00,35432,Rimini
2021-06-07 17:00:00,35437,Rimini
2021-06-08 17:00:00,35444,Rimini
2021-06-09 17:00:00,35463,Rimini
2021-06-10 17:00:00,35473,Rimini
2021-06-11 17:00:00,35484,Rimini
2021-06-12 17:00:00,35487,Rimini
2021-06-13 17:00:00,35491,Rimini
2021-06-14 17:00:00,35505,Rimini
2021-06-15 17:00:00,35513,Rimini
2021-06-16 17:00:00,35519,Rimini
2021-06-17 17:00:00,35522,Rimini
2021-06-18 17:00:00,35525,Rimini
2021-06-19 17:00:00,35526,Rimini
2021-06-20 17:00:00,35537,Rimini
2021-06-21 17:00:00,35542,Rimini
2021-06-22 17:00:00,35540,Rimini
2021-06-23 17:00:00,35543,Rimini
2021-06-24 17:00:00,35548,Rimini
2021-06-25 17:00:00,35552,Rimini
2021-06-26 17:00:00,35552,Rimini
2021-06-27 17:00:00,35554,Rimini
2021-06-28 17:00:00,35553,Rimini
2021-06-29 17:00:00,35553,Rimini
2021-06-30 17:00:00,35556,Rimini
2021-07-01 17:00:00,35562,Rimini
2021-07-02 17:00:00,35565,Rimini
2021-07-03 17:00:00,35571,Rimini
2021-07-04 17:00:00,35573,Rimini
2021-07-05 17:00:00,35579,Rimini
2021-07-06 17:00:00,35584,Rimini
2021-07-07 17:00:00,35594,Rimini
2021-07-08 17:00:00,35608,Rimini
2021-07-09 17:00:00,35614,Rimini
2021-07-10 17:00:00,35621,Rimini
2021-07-11 17:00:00,35624,Rimini
2021-07-12 17:00:00,35639,Rimini
2021-07-13 17:00:00,35653,Rimini
2021-07-14 17:00:00,35674,Rimini
2021-07-15 17:00:00,35698,Rimini
2021-07-16 17:00:00,35725,Rimini
2021-07-17 17:00:00,35765,Rimini
2021-07-18 17:00:00,35826,Rimini
2021-07-19 17:00:00,35866,Rimini
2021-07-20 17:00:00,35905,Rimini
2021-07-21 17:00:00,35965,Rimini
2021-07-22 17:00:00,36063,Rimini
2021-07-23 17:00:00,36129,Rimini
2021-07-24 17:00:00,36208,Rimini
2021-07-25 17:00:00,36297,Rimini
2021-07-26 17:00:00,36348,Rimini
2021-07-27 17:00:00,36399,Rimini
2021-07-28 17:00:00,36464,Rimini
2021-07-29 17:00:00,36523,Rimini
2021-07-30 17:00:00,36581,Rimini
2021-07-31 17:00:00,36671,Rimini
2021-08-01 17:00:00,36724,Rimini
2021-08-02 17:00:00,36788,Rimini
2021-08-03 17:00:00,36820,Rimini
2021-08-04 17:00:00,36902,Rimini
2021-08-05 17:00:00,37011,Rimini
2021-08-06 17:00:00,37118,Rimini
2021-08-07 17:00:00,37223,Rimini
2021-08-08 17:00:00,37305,Rimini
2021-08-09 17:00:00,37367,Rimini
2021-08-10 17:00:00,37453,Rimini
2021-08-11 17:00:00,37537,Rimini
2021-08-12 17:00:00,37624,Rimini
2021-08-13 17:00:00,37741,Rimini
2021-08-14 17:00:00,37808,Rimini
2021-08-15 17:00:00,37907,Rimini
2021-08-16 17:00:00,37972,Rimini
2021-08-17 17:00:00,38031,Rimini
2021-08-18 17:00:00,38111,Rimini
2021-08-19 17:00:00,38191,Rimini
