data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,7641,Rovigo
2021-01-02 17:00:00,7759,Rovigo
2021-01-03 17:00:00,7876,Rovigo
2021-01-04 17:00:00,7941,Rovigo
2021-01-05 17:00:00,8059,Rovigo
2021-01-06 17:00:00,8199,Rovigo
2021-01-07 17:00:00,8360,Rovigo
2021-01-08 17:00:00,8459,Rovigo
2021-01-09 17:00:00,8605,Rovigo
2021-01-10 17:00:00,8703,Rovigo
2021-01-11 17:00:00,8749,Rovigo
2021-01-12 17:00:00,8831,Rovigo
2021-01-13 17:00:00,8926,Rovigo
2021-01-14 17:00:00,8996,Rovigo
2021-01-15 17:00:00,9063,Rovigo
2021-01-16 17:00:00,9109,Rovigo
2021-01-17 17:00:00,9156,Rovigo
2021-01-18 17:00:00,9185,Rovigo
2021-01-19 17:00:00,9201,Rovigo
2021-01-20 17:00:00,9262,Rovigo
2021-01-21 17:00:00,9286,Rovigo
2021-01-22 17:00:00,9340,Rovigo
2021-01-23 17:00:00,9390,Rovigo
2021-01-24 17:00:00,9411,Rovigo
2021-01-25 17:00:00,9426,Rovigo
2021-01-26 17:00:00,9447,Rovigo
2021-01-27 17:00:00,9517,Rovigo
2021-01-28 17:00:00,9545,Rovigo
2021-01-29 17:00:00,9572,Rovigo
2021-01-30 17:00:00,9600,Rovigo
2021-01-31 17:00:00,9610,Rovigo
2021-02-01 17:00:00,9628,Rovigo
2021-02-02 17:00:00,9668,Rovigo
2021-02-03 17:00:00,9697,Rovigo
2021-02-04 17:00:00,9746,Rovigo
2021-02-05 17:00:00,9776,Rovigo
2021-02-06 17:00:00,9815,Rovigo
2021-02-07 17:00:00,9829,Rovigo
2021-02-08 17:00:00,9842,Rovigo
2021-02-09 17:00:00,9871,Rovigo
2021-02-10 17:00:00,9919,Rovigo
2021-02-11 17:00:00,9960,Rovigo
2021-02-12 17:00:00,10003,Rovigo
2021-02-13 17:00:00,10034,Rovigo
2021-02-14 17:00:00,10058,Rovigo
2021-02-15 17:00:00,10078,Rovigo
2021-02-16 17:00:00,10091,Rovigo
2021-02-17 17:00:00,10103,Rovigo
2021-02-18 17:00:00,10157,Rovigo
2021-02-19 17:00:00,10185,Rovigo
2021-02-20 17:00:00,10244,Rovigo
2021-02-21 17:00:00,10266,Rovigo
2021-02-22 17:00:00,10310,Rovigo
2021-02-23 17:00:00,10357,Rovigo
2021-02-24 17:00:00,10415,Rovigo
2021-02-25 17:00:00,10472,Rovigo
2021-02-26 17:00:00,10535,Rovigo
2021-02-27 17:00:00,10593,Rovigo
2021-02-28 17:00:00,10655,Rovigo
2021-03-01 17:00:00,10666,Rovigo
2021-03-02 17:00:00,10726,Rovigo
2021-03-03 17:00:00,10788,Rovigo
2021-03-04 17:00:00,10859,Rovigo
2021-03-05 17:00:00,10920,Rovigo
2021-03-06 17:00:00,10993,Rovigo
2021-03-07 17:00:00,11068,Rovigo
2021-03-08 17:00:00,11110,Rovigo
2021-03-09 17:00:00,11191,Rovigo
2021-03-10 17:00:00,11250,Rovigo
2021-03-11 17:00:00,11320,Rovigo
2021-03-12 17:00:00,11367,Rovigo
2021-03-13 17:00:00,11452,Rovigo
2021-03-14 17:00:00,11527,Rovigo
2021-03-15 17:00:00,11552,Rovigo
2021-03-16 17:00:00,11627,Rovigo
2021-03-17 17:00:00,11736,Rovigo
2021-03-18 17:00:00,11804,Rovigo
2021-03-19 17:00:00,11862,Rovigo
2021-03-20 17:00:00,11951,Rovigo
2021-03-21 17:00:00,12018,Rovigo
2021-03-22 17:00:00,12058,Rovigo
2021-03-23 17:00:00,12115,Rovigo
2021-03-24 17:00:00,12224,Rovigo
2021-03-25 17:00:00,12326,Rovigo
2021-03-26 17:00:00,12427,Rovigo
2021-03-27 17:00:00,12503,Rovigo
2021-03-28 17:00:00,12564,Rovigo
2021-03-29 17:00:00,12570,Rovigo
2021-03-30 17:00:00,12600,Rovigo
2021-03-31 17:00:00,12698,Rovigo
2021-04-01 17:00:00,12761,Rovigo
