data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,25991,Salerno
2021-01-02 17:00:00,25998,Salerno
2021-01-03 17:00:00,26173,Salerno
2021-01-04 17:00:00,26395,Salerno
2021-01-05 17:00:00,26530,Salerno
2021-01-06 17:00:00,26829,Salerno
2021-01-07 17:00:00,27130,Salerno
2021-01-08 17:00:00,27344,Salerno
2021-01-09 17:00:00,27577,Salerno
2021-01-10 17:00:00,27798,Salerno
2021-01-11 17:00:00,28010,Salerno
2021-01-12 17:00:00,28250,Salerno
2021-01-13 17:00:00,28498,Salerno
2021-01-14 17:00:00,28747,Salerno
2021-01-15 17:00:00,28992,Salerno
2021-01-16 17:00:00,29165,Salerno
2021-01-17 17:00:00,29347,Salerno
2021-01-18 17:00:00,29473,Salerno
2021-01-19 17:00:00,29631,Salerno
2021-01-20 17:00:00,29762,Salerno
2021-01-21 17:00:00,29828,Salerno
2021-01-22 17:00:00,30036,Salerno
2021-01-23 17:00:00,30199,Salerno
2021-01-24 17:00:00,30344,Salerno
2021-01-25 17:00:00,30530,Salerno
2021-01-26 17:00:00,30672,Salerno
2021-01-27 17:00:00,30802,Salerno
2021-01-28 17:00:00,31080,Salerno
2021-01-29 17:00:00,31225,Salerno
2021-01-30 17:00:00,31461,Salerno
2021-01-31 17:00:00,31654,Salerno
2021-02-01 17:00:00,31842,Salerno
2021-02-02 17:00:00,32019,Salerno
2021-02-03 17:00:00,32301,Salerno
2021-02-04 17:00:00,32769,Salerno
2021-02-05 17:00:00,33161,Salerno
2021-02-06 17:00:00,33457,Salerno
2021-02-07 17:00:00,33797,Salerno
2021-02-08 17:00:00,34033,Salerno
2021-02-09 17:00:00,34239,Salerno
2021-02-10 17:00:00,34590,Salerno
2021-02-11 17:00:00,34935,Salerno
2021-02-12 17:00:00,35162,Salerno
2021-02-13 17:00:00,35542,Salerno
2021-02-14 17:00:00,35813,Salerno
2021-02-15 17:00:00,36133,Salerno
2021-02-16 17:00:00,36382,Salerno
2021-02-17 17:00:00,36707,Salerno
2021-02-18 17:00:00,37011,Salerno
2021-02-19 17:00:00,37329,Salerno
2021-02-20 17:00:00,37602,Salerno
2021-02-21 17:00:00,37955,Salerno
2021-02-22 17:00:00,38199,Salerno
2021-02-23 17:00:00,38558,Salerno
2021-02-24 17:00:00,39048,Salerno
2021-02-25 17:00:00,39576,Salerno
2021-02-26 17:00:00,39998,Salerno
2021-02-27 17:00:00,40499,Salerno
2021-02-28 17:00:00,40853,Salerno
2021-03-01 17:00:00,41219,Salerno
2021-03-02 17:00:00,41694,Salerno
2021-03-03 17:00:00,42647,Salerno
2021-03-04 17:00:00,42505,Salerno
2021-03-05 17:00:00,43011,Salerno
2021-03-06 17:00:00,43397,Salerno
2021-03-07 17:00:00,43733,Salerno
2021-03-08 17:00:00,43952,Salerno
2021-03-09 17:00:00,44341,Salerno
2021-03-10 17:00:00,44816,Salerno
2021-03-11 17:00:00,45234,Salerno
2021-03-12 17:00:00,45621,Salerno
2021-03-13 17:00:00,46089,Salerno
2021-03-14 17:00:00,46430,Salerno
2021-03-15 17:00:00,46731,Salerno
2021-03-16 17:00:00,49236,Salerno
2021-03-17 17:00:00,49729,Salerno
2021-03-18 17:00:00,50163,Salerno
2021-03-19 17:00:00,50434,Salerno
2021-03-20 17:00:00,50865,Salerno
2021-03-21 17:00:00,51141,Salerno
2021-03-22 17:00:00,51303,Salerno
2021-03-23 17:00:00,51651,Salerno
2021-03-24 17:00:00,51962,Salerno
2021-03-25 17:00:00,52224,Salerno
2021-03-26 17:00:00,52498,Salerno
2021-03-27 17:00:00,53985,Salerno
2021-03-28 17:00:00,54362,Salerno
2021-03-29 17:00:00,54551,Salerno
2021-03-30 17:00:00,54802,Salerno
2021-03-31 17:00:00,55159,Salerno
2021-04-01 17:00:00,55159,Salerno
