data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,6151,Trapani
2021-01-02 17:00:00,6177,Trapani
2021-01-03 17:00:00,6223,Trapani
2021-01-04 17:00:00,6299,Trapani
2021-01-05 17:00:00,6585,Trapani
2021-01-06 17:00:00,6667,Trapani
2021-01-07 17:00:00,6672,Trapani
2021-01-08 17:00:00,6898,Trapani
2021-01-09 17:00:00,7152,Trapani
2021-01-10 17:00:00,7282,Trapani
2021-01-11 17:00:00,7295,Trapani
2021-01-12 17:00:00,7526,Trapani
2021-01-13 17:00:00,7650,Trapani
2021-01-14 17:00:00,7813,Trapani
2021-01-15 17:00:00,8125,Trapani
2021-01-16 17:00:00,8314,Trapani
2021-01-17 17:00:00,8358,Trapani
2021-01-18 17:00:00,8393,Trapani
2021-01-19 17:00:00,8718,Trapani
2021-01-20 17:00:00,8768,Trapani
2021-01-21 17:00:00,8880,Trapani
2021-01-22 17:00:00,9032,Trapani
2021-01-23 17:00:00,9124,Trapani
2021-01-24 17:00:00,9146,Trapani
2021-01-25 17:00:00,9157,Trapani
2021-01-26 17:00:00,9319,Trapani
2021-01-27 17:00:00,9406,Trapani
2021-01-28 17:00:00,9504,Trapani
2021-01-29 17:00:00,9645,Trapani
2021-01-30 17:00:00,9714,Trapani
2021-01-31 17:00:00,9766,Trapani
2021-02-01 17:00:00,9776,Trapani
2021-02-02 17:00:00,9921,Trapani
2021-02-03 17:00:00,9991,Trapani
2021-02-04 17:00:00,10052,Trapani
2021-02-05 17:00:00,10126,Trapani
2021-02-06 17:00:00,10186,Trapani
2021-02-07 17:00:00,10203,Trapani
2021-02-08 17:00:00,10224,Trapani
2021-02-09 17:00:00,10304,Trapani
2021-02-10 17:00:00,10337,Trapani
2021-02-11 17:00:00,10380,Trapani
2021-02-12 17:00:00,10409,Trapani
2021-02-13 17:00:00,10422,Trapani
2021-02-14 17:00:00,10441,Trapani
2021-02-15 17:00:00,10450,Trapani
2021-02-16 17:00:00,10464,Trapani
2021-02-17 17:00:00,10481,Trapani
2021-02-18 17:00:00,10488,Trapani
2021-02-19 17:00:00,10503,Trapani
2021-02-20 17:00:00,10521,Trapani
2021-02-21 17:00:00,10545,Trapani
2021-02-22 17:00:00,10552,Trapani
2021-02-23 17:00:00,10569,Trapani
2021-02-24 17:00:00,10578,Trapani
2021-02-25 17:00:00,10590,Trapani
2021-02-26 17:00:00,10607,Trapani
2021-02-27 17:00:00,10623,Trapani
2021-02-28 17:00:00,10631,Trapani
2021-03-01 17:00:00,10646,Trapani
2021-03-02 17:00:00,10662,Trapani
2021-03-03 17:00:00,10674,Trapani
2021-03-04 17:00:00,10691,Trapani
2021-03-05 17:00:00,10702,Trapani
2021-03-06 17:00:00,10734,Trapani
2021-03-07 17:00:00,10749,Trapani
2021-03-08 17:00:00,10770,Trapani
2021-03-09 17:00:00,10784,Trapani
2021-03-10 17:00:00,10798,Trapani
2021-03-11 17:00:00,10837,Trapani
2021-03-12 17:00:00,10860,Trapani
2021-03-13 17:00:00,10866,Trapani
2021-03-14 17:00:00,10871,Trapani
2021-03-15 17:00:00,10877,Trapani
2021-03-16 17:00:00,10906,Trapani
2021-03-17 17:00:00,10922,Trapani
2021-03-18 17:00:00,10980,Trapani
2021-03-19 17:00:00,11017,Trapani
2021-03-20 17:00:00,11063,Trapani
2021-03-21 17:00:00,11076,Trapani
2021-03-22 17:00:00,11083,Trapani
2021-03-23 17:00:00,11126,Trapani
2021-03-24 17:00:00,11152,Trapani
2021-03-25 17:00:00,11179,Trapani
2021-03-26 17:00:00,11226,Trapani
2021-03-27 17:00:00,11246,Trapani
