data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,22033,Trento
2021-01-02 17:00:00,22149,Trento
2021-01-03 17:00:00,22279,Trento
2021-01-04 17:00:00,22472,Trento
2021-01-05 17:00:00,22700,Trento
2021-01-06 17:00:00,22903,Trento
2021-01-07 17:00:00,23073,Trento
2021-01-08 17:00:00,23153,Trento
2021-01-09 17:00:00,23295,Trento
2021-01-10 17:00:00,23640,Trento
2021-01-11 17:00:00,23709,Trento
2021-01-12 17:00:00,23943,Trento
2021-01-13 17:00:00,24118,Trento
2021-01-14 17:00:00,24390,Trento
2021-01-15 17:00:00,24752,Trento
2021-01-16 17:00:00,24938,Trento
2021-01-17 17:00:00,25073,Trento
2021-01-18 17:00:00,25129,Trento
2021-01-19 17:00:00,25272,Trento
2021-01-20 17:00:00,25550,Trento
2021-01-21 17:00:00,25714,Trento
2021-01-22 17:00:00,25893,Trento
2021-01-23 17:00:00,26086,Trento
2021-01-24 17:00:00,26217,Trento
2021-01-25 17:00:00,26249,Trento
2021-01-26 17:00:00,26406,Trento
2021-01-27 17:00:00,26648,Trento
2021-01-28 17:00:00,26855,Trento
2021-01-29 17:00:00,27162,Trento
2021-01-30 17:00:00,27392,Trento
2021-01-31 17:00:00,27527,Trento
2021-02-01 17:00:00,27580,Trento
2021-02-02 17:00:00,27752,Trento
2021-02-03 17:00:00,28013,Trento
2021-02-04 17:00:00,28253,Trento
2021-02-05 17:00:00,28455,Trento
2021-02-06 17:00:00,28733,Trento
2021-02-07 17:00:00,28908,Trento
2021-02-08 17:00:00,28974,Trento
2021-02-09 17:00:00,29138,Trento
2021-02-10 17:00:00,29443,Trento
2021-02-11 17:00:00,29696,Trento
2021-02-12 17:00:00,29915,Trento
2021-02-13 17:00:00,30164,Trento
2021-02-14 17:00:00,30331,Trento
2021-02-15 17:00:00,30357,Trento
2021-02-16 17:00:00,30552,Trento
2021-02-17 17:00:00,30863,Trento
2021-02-18 17:00:00,31155,Trento
2021-02-19 17:00:00,31411,Trento
2021-02-20 17:00:00,31723,Trento
2021-02-21 17:00:00,31982,Trento
2021-02-22 17:00:00,32042,Trento
2021-02-23 17:00:00,32274,Trento
2021-02-24 17:00:00,32631,Trento
2021-02-25 17:00:00,33037,Trento
2021-02-26 17:00:00,33388,Trento
2021-02-27 17:00:00,33729,Trento
2021-02-28 17:00:00,34058,Trento
2021-03-01 17:00:00,34115,Trento
2021-03-02 17:00:00,34335,Trento
2021-03-03 17:00:00,34692,Trento
2021-03-04 17:00:00,34921,Trento
2021-03-05 17:00:00,35327,Trento
2021-03-06 17:00:00,35651,Trento
2021-03-07 17:00:00,35926,Trento
2021-03-08 17:00:00,36009,Trento
2021-03-09 17:00:00,36222,Trento
2021-03-10 17:00:00,36627,Trento
2021-03-11 17:00:00,36997,Trento
2021-03-12 17:00:00,37278,Trento
2021-03-13 17:00:00,37517,Trento
2021-03-14 17:00:00,37790,Trento
2021-03-15 17:00:00,37894,Trento
2021-03-16 17:00:00,38084,Trento
2021-03-17 17:00:00,38369,Trento
2021-03-18 17:00:00,38625,Trento
2021-03-19 17:00:00,38931,Trento
2021-03-20 17:00:00,39238,Trento
2021-03-21 17:00:00,39393,Trento
2021-03-22 17:00:00,39473,Trento
2021-03-23 17:00:00,39664,Trento
2021-03-24 17:00:00,39972,Trento
2021-03-25 17:00:00,40149,Trento
2021-03-26 17:00:00,40387,Trento
2021-03-27 17:00:00,40602,Trento
2021-03-28 17:00:00,40764,Trento
2021-03-29 17:00:00,40848,Trento
2021-03-30 17:00:00,41044,Trento
2021-03-31 17:00:00,41231,Trento
2021-04-01 17:00:00,41371,Trento
2021-04-02 17:00:00,41485,Trento
2021-04-03 17:00:00,41612,Trento
2021-04-04 17:00:00,41781,Trento
2021-04-05 17:00:00,41821,Trento
2021-04-06 17:00:00,41847,Trento
2021-04-07 17:00:00,41950,Trento
2021-04-08 17:00:00,42114,Trento
2021-04-09 17:00:00,42221,Trento
2021-04-10 17:00:00,42328,Trento
2021-04-11 17:00:00,42421,Trento
2021-04-12 17:00:00,42445,Trento
2021-04-13 17:00:00,42564,Trento
2021-04-14 17:00:00,42697,Trento
2021-04-15 17:00:00,42814,Trento
2021-04-16 17:00:00,42877,Trento
2021-04-17 17:00:00,42965,Trento
2021-04-18 17:00:00,43050,Trento
2021-04-19 17:00:00,43063,Trento
2021-04-20 17:00:00,43148,Trento
2021-04-21 17:00:00,43268,Trento
2021-04-22 17:00:00,43372,Trento
2021-04-23 17:00:00,43468,Trento
2021-04-24 17:00:00,43543,Trento
2021-04-25 17:00:00,43634,Trento
2021-04-26 17:00:00,43650,Trento
2021-04-27 17:00:00,43739,Trento
2021-04-28 17:00:00,43832,Trento
2021-04-29 17:00:00,43902,Trento
2021-04-30 17:00:00,43999,Trento
2021-05-01 17:00:00,44077,Trento
2021-05-02 17:00:00,44115,Trento
2021-05-03 17:00:00,44132,Trento
2021-05-04 17:00:00,44219,Trento
2021-05-05 17:00:00,44282,Trento
2021-05-06 17:00:00,44351,Trento
2021-05-07 17:00:00,44441,Trento
2021-05-08 17:00:00,44500,Trento
2021-05-09 17:00:00,44557,Trento
2021-05-10 17:00:00,44569,Trento
2021-05-11 17:00:00,44613,Trento
2021-05-12 17:00:00,44684,Trento
2021-05-13 17:00:00,44737,Trento
2021-05-14 17:00:00,44788,Trento
2021-05-15 17:00:00,44831,Trento
2021-05-16 17:00:00,44914,Trento
2021-05-17 17:00:00,44929,Trento
2021-05-18 17:00:00,44965,Trento
2021-05-19 17:00:00,45024,Trento
2021-05-20 17:00:00,45067,Trento
2021-05-21 17:00:00,45102,Trento
2021-05-22 17:00:00,45126,Trento
2021-05-23 17:00:00,45178,Trento
2021-05-24 17:00:00,45198,Trento
2021-05-25 17:00:00,45222,Trento
2021-05-26 17:00:00,45267,Trento
2021-05-27 17:00:00,45313,Trento
2021-05-28 17:00:00,45353,Trento
2021-05-29 17:00:00,45389,Trento
2021-05-30 17:00:00,45417,Trento
2021-05-31 17:00:00,45427,Trento
2021-06-01 17:00:00,45459,Trento
2021-06-02 17:00:00,45486,Trento
2021-06-03 17:00:00,45505,Trento
2021-06-04 17:00:00,45525,Trento
2021-06-05 17:00:00,45553,Trento
2021-06-06 17:00:00,45568,Trento
2021-06-07 17:00:00,45572,Trento
2021-06-08 17:00:00,45593,Trento
2021-06-09 17:00:00,45626,Trento
2021-06-10 17:00:00,45640,Trento
2021-06-11 17:00:00,45664,Trento
2021-06-12 17:00:00,45676,Trento
2021-06-13 17:00:00,45687,Trento
2021-06-14 17:00:00,45689,Trento
2021-06-15 17:00:00,45696,Trento
2021-06-16 17:00:00,45700,Trento
2021-06-17 17:00:00,45711,Trento
2021-06-18 17:00:00,45719,Trento
2021-06-19 17:00:00,45727,Trento
2021-06-20 17:00:00,45731,Trento
2021-06-21 17:00:00,45733,Trento
2021-06-22 17:00:00,45736,Trento
2021-06-23 17:00:00,45744,Trento
2021-06-24 17:00:00,45748,Trento
2021-06-25 17:00:00,45754,Trento
2021-06-26 17:00:00,45757,Trento
2021-06-27 17:00:00,45758,Trento
2021-06-28 17:00:00,45759,Trento
2021-06-29 17:00:00,45763,Trento
2021-06-30 17:00:00,45770,Trento
2021-07-01 17:00:00,45775,Trento
2021-07-02 17:00:00,45782,Trento
2021-07-03 17:00:00,45785,Trento
2021-07-04 17:00:00,45791,Trento
2021-07-05 17:00:00,45791,Trento
2021-07-06 17:00:00,45792,Trento
2021-07-07 17:00:00,45796,Trento
2021-07-08 17:00:00,45800,Trento
2021-07-09 17:00:00,45803,Trento
2021-07-10 17:00:00,45810,Trento
2021-07-11 17:00:00,45816,Trento
2021-07-12 17:00:00,45818,Trento
2021-07-13 17:00:00,45828,Trento
2021-07-14 17:00:00,45852,Trento
2021-07-15 17:00:00,45875,Trento
2021-07-16 17:00:00,45908,Trento
2021-07-17 17:00:00,45934,Trento
2021-07-18 17:00:00,45958,Trento
2021-07-19 17:00:00,45962,Trento
2021-07-20 17:00:00,45993,Trento
2021-07-21 17:00:00,46036,Trento
2021-07-22 17:00:00,46080,Trento
2021-07-23 17:00:00,46134,Trento
2021-07-24 17:00:00,46173,Trento
2021-07-25 17:00:00,46200,Trento
2021-07-26 17:00:00,46217,Trento
2021-07-27 17:00:00,46255,Trento
2021-07-28 17:00:00,46280,Trento
2021-07-29 17:00:00,46325,Trento
2021-07-30 17:00:00,46361,Trento
2021-07-31 17:00:00,46395,Trento
2021-08-01 17:00:00,46430,Trento
2021-08-02 17:00:00,46442,Trento
2021-08-03 17:00:00,46466,Trento
2021-08-04 17:00:00,46495,Trento
2021-08-05 17:00:00,46528,Trento
2021-08-06 17:00:00,46550,Trento
2021-08-07 17:00:00,46594,Trento
2021-08-08 17:00:00,46623,Trento
2021-08-09 17:00:00,46639,Trento
2021-08-10 17:00:00,46680,Trento
2021-08-11 17:00:00,46716,Trento
2021-08-12 17:00:00,46749,Trento
2021-08-13 17:00:00,46811,Trento
2021-08-14 17:00:00,46850,Trento
2021-08-15 17:00:00,46897,Trento
2021-08-16 17:00:00,46915,Trento
2021-08-17 17:00:00,46957,Trento
2021-08-18 17:00:00,47013,Trento
2021-08-19 17:00:00,47046,Trento
2021-08-20 17:00:00,47094,Trento
2021-08-21 17:00:00,47123,Trento
2021-08-22 17:00:00,47171,Trento
2021-08-23 17:00:00,47188,Trento
2021-08-24 17:00:00,47232,Trento
2021-08-25 17:00:00,47278,Trento
2021-08-26 17:00:00,47322,Trento
2021-08-27 17:00:00,47359,Trento
2021-08-28 17:00:00,47406,Trento
2021-08-29 17:00:00,47451,Trento
2021-08-30 17:00:00,47464,Trento
2021-08-31 17:00:00,47489,Trento
