data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,10768,Trieste
2021-01-02 17:00:00,10815,Trieste
2021-01-03 17:00:00,10853,Trieste
2021-01-04 17:00:00,10949,Trieste
2021-01-05 17:00:00,11141,Trieste
2021-01-06 17:00:00,11305,Trieste
2021-01-07 17:00:00,11468,Trieste
2021-01-08 17:00:00,11602,Trieste
2021-01-09 17:00:00,11742,Trieste
2021-01-10 17:00:00,11827,Trieste
2021-01-11 17:00:00,11870,Trieste
2021-01-12 17:00:00,11935,Trieste
2021-01-13 17:00:00,12042,Trieste
2021-01-14 17:00:00,12158,Trieste
2021-01-15 17:00:00,12295,Trieste
2021-01-16 17:00:00,12402,Trieste
2021-01-17 17:00:00,12457,Trieste
2021-01-18 17:00:00,12490,Trieste
2021-01-19 17:00:00,12562,Trieste
2021-01-20 17:00:00,12672,Trieste
2021-01-21 17:00:00,12778,Trieste
2021-01-22 17:00:00,12886,Trieste
2021-01-23 17:00:00,12953,Trieste
2021-01-24 17:00:00,13041,Trieste
2021-01-25 17:00:00,13085,Trieste
2021-01-26 17:00:00,13132,Trieste
2021-01-27 17:00:00,13212,Trieste
2021-01-28 17:00:00,13285,Trieste
2021-01-29 17:00:00,13383,Trieste
2021-01-30 17:00:00,13455,Trieste
2021-01-31 17:00:00,13511,Trieste
2021-02-01 17:00:00,13529,Trieste
2021-02-02 17:00:00,13577,Trieste
2021-02-03 17:00:00,13678,Trieste
2021-02-04 17:00:00,13715,Trieste
2021-02-05 17:00:00,13781,Trieste
2021-02-06 17:00:00,13823,Trieste
2021-02-07 17:00:00,13868,Trieste
2021-02-08 17:00:00,13905,Trieste
2021-02-09 17:00:00,13928,Trieste
2021-02-10 17:00:00,13970,Trieste
2021-02-11 17:00:00,14065,Trieste
2021-02-12 17:00:00,14103,Trieste
2021-02-13 17:00:00,14153,Trieste
2021-02-14 17:00:00,14192,Trieste
2021-02-15 17:00:00,14198,Trieste
2021-02-16 17:00:00,14229,Trieste
2021-02-17 17:00:00,14267,Trieste
2021-02-18 17:00:00,14310,Trieste
2021-02-19 17:00:00,14354,Trieste
2021-02-20 17:00:00,14383,Trieste
2021-02-21 17:00:00,14432,Trieste
2021-02-22 17:00:00,14455,Trieste
2021-02-23 17:00:00,14487,Trieste
2021-02-24 17:00:00,14555,Trieste
2021-02-25 17:00:00,14610,Trieste
2021-02-26 17:00:00,14682,Trieste
2021-02-27 17:00:00,14729,Trieste
2021-02-28 17:00:00,14766,Trieste
2021-03-01 17:00:00,14797,Trieste
2021-03-02 17:00:00,14815,Trieste
2021-03-03 17:00:00,14915,Trieste
2021-03-04 17:00:00,14987,Trieste
2021-03-05 17:00:00,15083,Trieste
2021-03-06 17:00:00,15177,Trieste
2021-03-07 17:00:00,15257,Trieste
2021-03-08 17:00:00,15307,Trieste
2021-03-09 17:00:00,15342,Trieste
