data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,22379,Udine
2021-01-02 17:00:00,22495,Udine
2021-01-03 17:00:00,22568,Udine
2021-01-04 17:00:00,22681,Udine
2021-01-05 17:00:00,22940,Udine
2021-01-06 17:00:00,23169,Udine
2021-01-07 17:00:00,23618,Udine
2021-01-08 17:00:00,23833,Udine
2021-01-09 17:00:00,24331,Udine
2021-01-10 17:00:00,24670,Udine
2021-01-11 17:00:00,24867,Udine
2021-01-12 17:00:00,25119,Udine
2021-01-13 17:00:00,25369,Udine
2021-01-14 17:00:00,25699,Udine
2021-01-15 17:00:00,26113,Udine
2021-01-16 17:00:00,26530,Udine
2021-01-17 17:00:00,26696,Udine
2021-01-18 17:00:00,26759,Udine
2021-01-19 17:00:00,26945,Udine
2021-01-20 17:00:00,27247,Udine
2021-01-21 17:00:00,27557,Udine
2021-01-22 17:00:00,27775,Udine
2021-01-23 17:00:00,28010,Udine
2021-01-24 17:00:00,28253,Udine
2021-01-25 17:00:00,28338,Udine
2021-01-26 17:00:00,28525,Udine
2021-01-27 17:00:00,28790,Udine
2021-01-28 17:00:00,29174,Udine
2021-01-29 17:00:00,29408,Udine
2021-01-30 17:00:00,29582,Udine
2021-01-31 17:00:00,29780,Udine
2021-02-01 17:00:00,29859,Udine
2021-02-02 17:00:00,29945,Udine
2021-02-03 17:00:00,30334,Udine
2021-02-04 17:00:00,30542,Udine
2021-02-05 17:00:00,30736,Udine
2021-02-06 17:00:00,30987,Udine
2021-02-07 17:00:00,31162,Udine
2021-02-08 17:00:00,31221,Udine
2021-02-09 17:00:00,31361,Udine
2021-02-10 17:00:00,31562,Udine
2021-02-11 17:00:00,31762,Udine
2021-02-12 17:00:00,31928,Udine
2021-02-13 17:00:00,32155,Udine
2021-02-14 17:00:00,32281,Udine
2021-02-15 17:00:00,32300,Udine
2021-02-16 17:00:00,32465,Udine
2021-02-17 17:00:00,32659,Udine
2021-02-18 17:00:00,32816,Udine
2021-02-19 17:00:00,32991,Udine
2021-02-20 17:00:00,33215,Udine
2021-02-21 17:00:00,33379,Udine
2021-02-22 17:00:00,33485,Udine
2021-02-23 17:00:00,33625,Udine
2021-02-24 17:00:00,33941,Udine
2021-02-25 17:00:00,34460,Udine
2021-02-26 17:00:00,34733,Udine
2021-02-27 17:00:00,35035,Udine
2021-02-28 17:00:00,35239,Udine
2021-03-01 17:00:00,35331,Udine
2021-03-02 17:00:00,35695,Udine
2021-03-03 17:00:00,36146,Udine
2021-03-04 17:00:00,36545,Udine
2021-03-05 17:00:00,37069,Udine
2021-03-06 17:00:00,37494,Udine
2021-03-07 17:00:00,37739,Udine
2021-03-08 17:00:00,38025,Udine
2021-03-09 17:00:00,38426,Udine
2021-03-10 17:00:00,38916,Udine
2021-03-11 17:00:00,39517,Udine
2021-03-12 17:00:00,40099,Udine
2021-03-13 17:00:00,40721,Udine
2021-03-14 17:00:00,41052,Udine
2021-03-15 17:00:00,41223,Udine
2021-03-16 17:00:00,41689,Udine
2021-03-17 17:00:00,42221,Udine
2021-03-18 17:00:00,42806,Udine
2021-03-19 17:00:00,43307,Udine
2021-03-20 17:00:00,43843,Udine
