data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,51943,Varese
2021-01-02 17:00:00,52015,Varese
2021-01-03 17:00:00,52423,Varese
2021-01-04 17:00:00,52437,Varese
2021-01-05 17:00:00,52741,Varese
2021-01-06 17:00:00,52836,Varese
2021-01-07 17:00:00,53402,Varese
2021-01-08 17:00:00,53546,Varese
2021-01-09 17:00:00,53633,Varese
2021-01-10 17:00:00,54174,Varese
2021-01-11 17:00:00,54355,Varese
2021-01-12 17:00:00,54499,Varese
2021-01-13 17:00:00,54717,Varese
2021-01-14 17:00:00,55032,Varese
2021-01-15 17:00:00,55302,Varese
2021-01-16 17:00:00,55481,Varese
2021-01-17 17:00:00,55521,Varese
2021-01-18 17:00:00,55840,Varese
2021-01-19 17:00:00,55895,Varese
2021-01-20 17:00:00,56094,Varese
2021-01-21 17:00:00,56317,Varese
2021-01-22 17:00:00,56530,Varese
2021-01-23 17:00:00,56626,Varese
2021-01-24 17:00:00,56690,Varese
2021-01-25 17:00:00,57053,Varese
2021-01-26 17:00:00,57155,Varese
2021-01-27 17:00:00,57388,Varese
2021-01-28 17:00:00,57617,Varese
2021-01-29 17:00:00,57683,Varese
2021-01-30 17:00:00,57948,Varese
2021-01-31 17:00:00,58005,Varese
2021-02-01 17:00:00,58228,Varese
2021-02-02 17:00:00,58294,Varese
2021-02-03 17:00:00,58412,Varese
2021-02-04 17:00:00,58477,Varese
2021-02-05 17:00:00,58778,Varese
2021-02-06 17:00:00,58878,Varese
2021-02-07 17:00:00,58951,Varese
2021-02-08 17:00:00,58982,Varese
2021-02-09 17:00:00,59339,Varese
2021-02-10 17:00:00,59533,Varese
2021-02-11 17:00:00,59597,Varese
2021-02-12 17:00:00,59808,Varese
2021-02-13 17:00:00,59992,Varese
2021-02-14 17:00:00,60041,Varese
2021-02-15 17:00:00,60063,Varese
2021-02-16 17:00:00,60349,Varese
2021-02-17 17:00:00,60404,Varese
2021-02-18 17:00:00,60613,Varese
2021-02-19 17:00:00,61141,Varese
2021-02-20 17:00:00,61379,Varese
2021-02-21 17:00:00,61449,Varese
2021-02-22 17:00:00,61483,Varese
2021-02-23 17:00:00,61908,Varese
2021-02-24 17:00:00,62181,Varese
2021-02-25 17:00:00,62497,Varese
2021-02-26 17:00:00,62862,Varese
2021-02-27 17:00:00,63107,Varese
2021-02-28 17:00:00,63219,Varese
2021-03-01 17:00:00,63244,Varese
2021-03-02 17:00:00,63808,Varese
2021-03-03 17:00:00,64104,Varese
2021-03-04 17:00:00,64482,Varese
2021-03-05 17:00:00,64818,Varese
2021-03-06 17:00:00,65225,Varese
2021-03-07 17:00:00,65339,Varese
2021-03-08 17:00:00,65424,Varese
2021-03-09 17:00:00,65987,Varese
2021-03-10 17:00:00,66155,Varese
2021-03-11 17:00:00,66757,Varese
2021-03-12 17:00:00,67367,Varese
2021-03-13 17:00:00,67716,Varese
2021-03-14 17:00:00,67803,Varese
2021-03-15 17:00:00,67891,Varese
2021-03-16 17:00:00,68568,Varese
2021-03-17 17:00:00,69000,Varese
2021-03-18 17:00:00,69541,Varese
2021-03-19 17:00:00,69992,Varese
2021-03-20 17:00:00,70347,Varese
2021-03-21 17:00:00,70484,Varese
2021-03-22 17:00:00,70614,Varese
2021-03-23 17:00:00,71126,Varese
2021-03-24 17:00:00,71621,Varese
2021-03-25 17:00:00,72116,Varese
2021-03-26 17:00:00,72588,Varese
2021-03-27 17:00:00,72949,Varese
2021-03-28 17:00:00,73083,Varese
2021-03-29 17:00:00,73166,Varese
2021-03-30 17:00:00,73817,Varese
2021-03-31 17:00:00,74205,Varese
2021-04-01 17:00:00,74706,Varese
2021-04-02 17:00:00,74870,Varese
2021-04-03 17:00:00,75503,Varese
2021-04-04 17:00:00,75665,Varese
2021-04-05 17:00:00,75712,Varese
2021-04-06 17:00:00,75741,Varese
2021-04-07 17:00:00,76281,Varese
2021-04-08 17:00:00,76605,Varese
2021-04-09 17:00:00,76924,Varese
2021-04-10 17:00:00,77217,Varese
2021-04-11 17:00:00,77329,Varese
2021-04-12 17:00:00,77357,Varese
2021-04-13 17:00:00,77814,Varese
2021-04-14 17:00:00,78026,Varese
2021-04-15 17:00:00,78327,Varese
2021-04-16 17:00:00,78432,Varese
2021-04-17 17:00:00,78842,Varese
2021-04-18 17:00:00,78897,Varese
2021-04-19 17:00:00,78912,Varese
2021-04-20 17:00:00,79203,Varese
2021-04-21 17:00:00,79424,Varese
2021-04-22 17:00:00,79744,Varese
2021-04-23 17:00:00,80011,Varese
2021-04-24 17:00:00,80250,Varese
2021-04-25 17:00:00,80328,Varese
2021-04-26 17:00:00,80349,Varese
2021-04-27 17:00:00,80500,Varese
2021-04-28 17:00:00,81085,Varese
2021-04-29 17:00:00,81408,Varese
2021-04-30 17:00:00,81640,Varese
2021-05-01 17:00:00,81901,Varese
2021-05-02 17:00:00,81914,Varese
2021-05-03 17:00:00,81981,Varese
2021-05-04 17:00:00,82279,Varese
