data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,7585,Vercelli
2021-01-02 17:00:00,7591,Vercelli
2021-01-03 17:00:00,7611,Vercelli
2021-01-04 17:00:00,7617,Vercelli
2021-01-05 17:00:00,7668,Vercelli
2021-01-06 17:00:00,7703,Vercelli
2021-01-07 17:00:00,7733,Vercelli
2021-01-08 17:00:00,7771,Vercelli
2021-01-09 17:00:00,7821,Vercelli
2021-01-10 17:00:00,7861,Vercelli
2021-01-11 17:00:00,7870,Vercelli
2021-01-12 17:00:00,7900,Vercelli
2021-01-13 17:00:00,7965,Vercelli
2021-01-14 17:00:00,7982,Vercelli
2021-01-15 17:00:00,8011,Vercelli
2021-01-16 17:00:00,8046,Vercelli
2021-01-17 17:00:00,8052,Vercelli
2021-01-18 17:00:00,8066,Vercelli
2021-01-19 17:00:00,8077,Vercelli
2021-01-20 17:00:00,8086,Vercelli
2021-01-21 17:00:00,8095,Vercelli
2021-01-22 17:00:00,8109,Vercelli
2021-01-23 17:00:00,8133,Vercelli
2021-01-24 17:00:00,8145,Vercelli
2021-01-25 17:00:00,8152,Vercelli
2021-01-26 17:00:00,8171,Vercelli
2021-01-27 17:00:00,8197,Vercelli
2021-01-28 17:00:00,8235,Vercelli
2021-01-29 17:00:00,8263,Vercelli
2021-01-30 17:00:00,8283,Vercelli
2021-01-31 17:00:00,8315,Vercelli
2021-02-01 17:00:00,8319,Vercelli
2021-02-02 17:00:00,8343,Vercelli
2021-02-03 17:00:00,8374,Vercelli
2021-02-04 17:00:00,8402,Vercelli
2021-02-05 17:00:00,8417,Vercelli
2021-02-06 17:00:00,8447,Vercelli
2021-02-07 17:00:00,8453,Vercelli
2021-02-08 17:00:00,8473,Vercelli
2021-02-09 17:00:00,8490,Vercelli
2021-02-10 17:00:00,8503,Vercelli
2021-02-11 17:00:00,8549,Vercelli
2021-02-12 17:00:00,8573,Vercelli
2021-02-13 17:00:00,8596,Vercelli
2021-02-14 17:00:00,8603,Vercelli
2021-02-15 17:00:00,8613,Vercelli
2021-02-16 17:00:00,8628,Vercelli
2021-02-17 17:00:00,8661,Vercelli
2021-02-18 17:00:00,8693,Vercelli
2021-02-19 17:00:00,8719,Vercelli
2021-02-20 17:00:00,8756,Vercelli
2021-02-21 17:00:00,8783,Vercelli
2021-02-22 17:00:00,8810,Vercelli
2021-02-23 17:00:00,8850,Vercelli
2021-02-24 17:00:00,8916,Vercelli
2021-02-25 17:00:00,8979,Vercelli
2021-02-26 17:00:00,9051,Vercelli
2021-02-27 17:00:00,9102,Vercelli
2021-02-28 17:00:00,9164,Vercelli
2021-03-01 17:00:00,9195,Vercelli
2021-03-02 17:00:00,9263,Vercelli
2021-03-03 17:00:00,9368,Vercelli
2021-03-04 17:00:00,9453,Vercelli
2021-03-05 17:00:00,9535,Vercelli
2021-03-06 17:00:00,9606,Vercelli
2021-03-07 17:00:00,9696,Vercelli
2021-03-08 17:00:00,9736,Vercelli
2021-03-09 17:00:00,9784,Vercelli
2021-03-10 17:00:00,9844,Vercelli
2021-03-11 17:00:00,9957,Vercelli
2021-03-12 17:00:00,10094,Vercelli
2021-03-13 17:00:00,10208,Vercelli
2021-03-14 17:00:00,10321,Vercelli
2021-03-15 17:00:00,10361,Vercelli
2021-03-16 17:00:00,10398,Vercelli
2021-03-17 17:00:00,10482,Vercelli
2021-03-18 17:00:00,10558,Vercelli
2021-03-19 17:00:00,10738,Vercelli
2021-03-20 17:00:00,10811,Vercelli
2021-03-21 17:00:00,10863,Vercelli
2021-03-22 17:00:00,10944,Vercelli
2021-03-23 17:00:00,11067,Vercelli
2021-03-24 17:00:00,11167,Vercelli
2021-03-25 17:00:00,11289,Vercelli
2021-03-26 17:00:00,11386,Vercelli
2021-03-27 17:00:00,11457,Vercelli
2021-03-28 17:00:00,11506,Vercelli
2021-03-29 17:00:00,11576,Vercelli
2021-03-30 17:00:00,11635,Vercelli
2021-03-31 17:00:00,11701,Vercelli
2021-04-01 17:00:00,11811,Vercelli
2021-04-02 17:00:00,11910,Vercelli
2021-04-03 17:00:00,11930,Vercelli
2021-04-04 17:00:00,12006,Vercelli
2021-04-05 17:00:00,12011,Vercelli
2021-04-06 17:00:00,12034,Vercelli
2021-04-07 17:00:00,12064,Vercelli
2021-04-08 17:00:00,12124,Vercelli
2021-04-09 17:00:00,12169,Vercelli
2021-04-10 17:00:00,12200,Vercelli
2021-04-11 17:00:00,12235,Vercelli
2021-04-12 17:00:00,12269,Vercelli
2021-04-13 17:00:00,12306,Vercelli
2021-04-14 17:00:00,12358,Vercelli
2021-04-15 17:00:00,12395,Vercelli
2021-04-16 17:00:00,12401,Vercelli
2021-04-17 17:00:00,12430,Vercelli
2021-04-18 17:00:00,12440,Vercelli
2021-04-19 17:00:00,12452,Vercelli
2021-04-20 17:00:00,12509,Vercelli
2021-04-21 17:00:00,12518,Vercelli
2021-04-22 17:00:00,12568,Vercelli
2021-04-23 17:00:00,12623,Vercelli
2021-04-24 17:00:00,12659,Vercelli
2021-04-25 17:00:00,12672,Vercelli
2021-04-26 17:00:00,12687,Vercelli
2021-04-27 17:00:00,12715,Vercelli
2021-04-28 17:00:00,12739,Vercelli
2021-04-29 17:00:00,12772,Vercelli
2021-04-30 17:00:00,12803,Vercelli
2021-05-01 17:00:00,12834,Vercelli
2021-05-02 17:00:00,12862,Vercelli
2021-05-03 17:00:00,12866,Vercelli
2021-05-04 17:00:00,12883,Vercelli
2021-05-05 17:00:00,12929,Vercelli
2021-05-06 17:00:00,12963,Vercelli
2021-05-07 17:00:00,13008,Vercelli
2021-05-08 17:00:00,13042,Vercelli
2021-05-09 17:00:00,13053,Vercelli
2021-05-10 17:00:00,13072,Vercelli
2021-05-11 17:00:00,13106,Vercelli
2021-05-12 17:00:00,13151,Vercelli
2021-05-13 17:00:00,13184,Vercelli
2021-05-14 17:00:00,13208,Vercelli
2021-05-15 17:00:00,13228,Vercelli
2021-05-16 17:00:00,13239,Vercelli
2021-05-17 17:00:00,13241,Vercelli
2021-05-18 17:00:00,13260,Vercelli
2021-05-19 17:00:00,13286,Vercelli
2021-05-20 17:00:00,13315,Vercelli
2021-05-21 17:00:00,13335,Vercelli
2021-05-22 17:00:00,13343,Vercelli
2021-05-23 17:00:00,13353,Vercelli
2021-05-24 17:00:00,13357,Vercelli
2021-05-25 17:00:00,13373,Vercelli
2021-05-26 17:00:00,13399,Vercelli
2021-05-27 17:00:00,13414,Vercelli
2021-05-28 17:00:00,13434,Vercelli
2021-05-29 17:00:00,13437,Vercelli
2021-05-30 17:00:00,13451,Vercelli
2021-05-31 17:00:00,13453,Vercelli
2021-06-01 17:00:00,13473,Vercelli
2021-06-02 17:00:00,13492,Vercelli
2021-06-03 17:00:00,13492,Vercelli
2021-06-04 17:00:00,13503,Vercelli
2021-06-05 17:00:00,13506,Vercelli
2021-06-06 17:00:00,13515,Vercelli
2021-06-07 17:00:00,13518,Vercelli
2021-06-08 17:00:00,13521,Vercelli
2021-06-09 17:00:00,13532,Vercelli
2021-06-10 17:00:00,13535,Vercelli
2021-06-11 17:00:00,13542,Vercelli
2021-06-12 17:00:00,13550,Vercelli
2021-06-13 17:00:00,13550,Vercelli
2021-06-14 17:00:00,13557,Vercelli
2021-06-15 17:00:00,13559,Vercelli
2021-06-16 17:00:00,13561,Vercelli
2021-06-17 17:00:00,13565,Vercelli
2021-06-18 17:00:00,13567,Vercelli
2021-06-19 17:00:00,13569,Vercelli
2021-06-20 17:00:00,13570,Vercelli
2021-06-21 17:00:00,13571,Vercelli
2021-06-22 17:00:00,13574,Vercelli
2021-06-23 17:00:00,13575,Vercelli
