data,totale_casi,denominazione_provincia
2021-01-01 17:00:00,43840,Vicenza
2021-01-02 17:00:00,44147,Vicenza
2021-01-03 17:00:00,44755,Vicenza
2021-01-04 17:00:00,44925,Vicenza
2021-01-05 17:00:00,45364,Vicenza
2021-01-06 17:00:00,45959,Vicenza
2021-01-07 17:00:00,46221,Vicenza
2021-01-08 17:00:00,46847,Vicenza
2021-01-09 17:00:00,47300,Vicenza
2021-01-10 17:00:00,47739,Vicenza
2021-01-11 17:00:00,47858,Vicenza
2021-01-12 17:00:00,48128,Vicenza
2021-01-13 17:00:00,48411,Vicenza
2021-01-14 17:00:00,48673,Vicenza
2021-01-15 17:00:00,48763,Vicenza
2021-01-16 17:00:00,49068,Vicenza
2021-01-17 17:00:00,49270,Vicenza
2021-01-18 17:00:00,49336,Vicenza
2021-01-19 17:00:00,49465,Vicenza
2021-01-20 17:00:00,49681,Vicenza
2021-01-21 17:00:00,49820,Vicenza
2021-01-22 17:00:00,49977,Vicenza
2021-01-23 17:00:00,50140,Vicenza
2021-01-24 17:00:00,50282,Vicenza
2021-01-25 17:00:00,50334,Vicenza
2021-01-26 17:00:00,50435,Vicenza
2021-01-27 17:00:00,50795,Vicenza
2021-01-28 17:00:00,50876,Vicenza
2021-01-29 17:00:00,51066,Vicenza
2021-01-30 17:00:00,51193,Vicenza
2021-01-31 17:00:00,51279,Vicenza
2021-02-01 17:00:00,51339,Vicenza
2021-02-02 17:00:00,51461,Vicenza
2021-02-03 17:00:00,51574,Vicenza
2021-02-04 17:00:00,51753,Vicenza
2021-02-05 17:00:00,51885,Vicenza
2021-02-06 17:00:00,52036,Vicenza
2021-02-07 17:00:00,52118,Vicenza
2021-02-08 17:00:00,52198,Vicenza
2021-02-09 17:00:00,52339,Vicenza
2021-02-10 17:00:00,52461,Vicenza
2021-02-11 17:00:00,52563,Vicenza
2021-02-12 17:00:00,52720,Vicenza
2021-02-13 17:00:00,52814,Vicenza
2021-02-14 17:00:00,52898,Vicenza
2021-02-15 17:00:00,52915,Vicenza
2021-02-16 17:00:00,53040,Vicenza
2021-02-17 17:00:00,53160,Vicenza
2021-02-18 17:00:00,53330,Vicenza
2021-02-19 17:00:00,53464,Vicenza
2021-02-20 17:00:00,53673,Vicenza
2021-02-21 17:00:00,53778,Vicenza
2021-02-22 17:00:00,53825,Vicenza
2021-02-23 17:00:00,53994,Vicenza
2021-02-24 17:00:00,54173,Vicenza
2021-02-25 17:00:00,54385,Vicenza
2021-02-26 17:00:00,54556,Vicenza
2021-02-27 17:00:00,54743,Vicenza
2021-02-28 17:00:00,54885,Vicenza
