data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,22148,Agrigento
2022-01-02 17:00:00,22723,Agrigento
2022-01-03 17:00:00,22985,Agrigento
2022-01-04 17:00:00,23731,Agrigento
2022-01-05 17:00:00,24412,Agrigento
2022-01-06 17:00:00,24911,Agrigento
2022-01-07 17:00:00,26490,Agrigento
2022-01-08 17:00:00,27137,Agrigento
2022-01-09 17:00:00,28405,Agrigento
2022-01-10 17:00:00,29224,Agrigento
2022-01-11 17:00:00,30616,Agrigento
2022-01-12 17:00:00,31663,Agrigento
2022-01-13 17:00:00,32400,Agrigento
2022-01-14 17:00:00,33256,Agrigento
2022-01-15 17:00:00,34218,Agrigento
2022-01-16 17:00:00,34827,Agrigento
2022-01-17 17:00:00,35016,Agrigento
2022-01-18 17:00:00,35977,Agrigento
2022-01-19 17:00:00,36609,Agrigento
2022-01-20 17:00:00,37229,Agrigento
2022-01-21 17:00:00,37687,Agrigento
2022-01-22 17:00:00,38309,Agrigento
2022-01-23 17:00:00,38673,Agrigento
2022-01-24 17:00:00,38848,Agrigento
2022-01-25 17:00:00,39550,Agrigento
2022-01-26 17:00:00,40016,Agrigento
2022-01-27 17:00:00,40386,Agrigento
2022-01-28 17:00:00,40839,Agrigento
2022-01-29 17:00:00,41369,Agrigento
2022-01-30 17:00:00,41695,Agrigento
2022-01-31 17:00:00,41859,Agrigento
2022-02-01 17:00:00,42632,Agrigento
2022-02-02 17:00:00,43240,Agrigento
2022-02-03 17:00:00,43784,Agrigento
2022-02-04 17:00:00,44234,Agrigento
2022-02-05 17:00:00,44813,Agrigento
2022-02-06 17:00:00,45247,Agrigento
2022-02-07 17:00:00,45495,Agrigento
2022-02-08 17:00:00,46165,Agrigento
2022-02-09 17:00:00,46691,Agrigento
2022-02-10 17:00:00,47149,Agrigento
2022-02-11 17:00:00,47563,Agrigento
2022-02-12 17:00:00,48059,Agrigento
2022-02-13 17:00:00,48354,Agrigento
2022-02-14 17:00:00,48536,Agrigento
2022-02-15 17:00:00,49149,Agrigento
2022-02-16 17:00:00,49625,Agrigento
2022-02-17 17:00:00,50049,Agrigento
2022-02-18 17:00:00,50473,Agrigento
2022-02-19 17:00:00,50831,Agrigento
2022-02-20 17:00:00,51084,Agrigento
2022-02-21 17:00:00,51254,Agrigento
2022-02-22 17:00:00,51853,Agrigento
2022-02-23 17:00:00,52309,Agrigento
2022-02-24 17:00:00,52770,Agrigento
2022-02-25 17:00:00,53202,Agrigento
2022-02-26 17:00:00,53566,Agrigento
2022-02-27 17:00:00,53863,Agrigento
2022-02-28 17:00:00,53989,Agrigento
2022-03-01 17:00:00,54672,Agrigento
2022-03-02 17:00:00,55128,Agrigento
2022-03-03 17:00:00,55665,Agrigento
2022-03-04 17:00:00,56038,Agrigento
2022-03-05 17:00:00,56555,Agrigento
2022-03-06 17:00:00,57151,Agrigento
2022-03-07 17:00:00,57507,Agrigento
2022-03-08 17:00:00,58585,Agrigento
2022-03-09 17:00:00,59295,Agrigento
2022-03-10 17:00:00,60100,Agrigento
2022-03-11 17:00:00,60930,Agrigento
2022-03-12 17:00:00,61756,Agrigento
2022-03-13 17:00:00,62361,Agrigento
2022-03-14 17:00:00,62675,Agrigento
2022-03-15 17:00:00,63919,Agrigento
2022-03-16 17:00:00,64982,Agrigento
2022-03-17 17:00:00,65942,Agrigento
2022-03-18 17:00:00,66951,Agrigento
