data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,41768,Alessandria
2022-01-02 17:00:00,42110,Alessandria
2022-01-03 17:00:00,42574,Alessandria
2022-01-04 17:00:00,44459,Alessandria
2022-01-05 17:00:00,45814,Alessandria
2022-01-06 17:00:00,46983,Alessandria
2022-01-07 17:00:00,47648,Alessandria
2022-01-08 17:00:00,48989,Alessandria
2022-01-09 17:00:00,49758,Alessandria
2022-01-10 17:00:00,50461,Alessandria
2022-01-11 17:00:00,51835,Alessandria
2022-01-12 17:00:00,53130,Alessandria
2022-01-13 17:00:00,54322,Alessandria
2022-01-14 17:00:00,55364,Alessandria
2022-01-15 17:00:00,56483,Alessandria
2022-01-16 17:00:00,57822,Alessandria
2022-01-17 17:00:00,58558,Alessandria
2022-01-18 17:00:00,59931,Alessandria
2022-01-19 17:00:00,61106,Alessandria
2022-01-20 17:00:00,62188,Alessandria
2022-01-21 17:00:00,63234,Alessandria
2022-01-22 17:00:00,64192,Alessandria
2022-01-23 17:00:00,64889,Alessandria
2022-01-24 17:00:00,65442,Alessandria
2022-01-25 17:00:00,66828,Alessandria
2022-01-26 17:00:00,67913,Alessandria
2022-01-27 17:00:00,68633,Alessandria
2022-01-28 17:00:00,69490,Alessandria
2022-01-29 17:00:00,70178,Alessandria
2022-01-30 17:00:00,70610,Alessandria
2022-01-31 17:00:00,71119,Alessandria
2022-02-01 17:00:00,71933,Alessandria
2022-02-02 17:00:00,72622,Alessandria
2022-02-03 17:00:00,73154,Alessandria
2022-02-04 17:00:00,73679,Alessandria
2022-02-05 17:00:00,74156,Alessandria
2022-02-06 17:00:00,74437,Alessandria
2022-02-07 17:00:00,74771,Alessandria
2022-02-08 17:00:00,75395,Alessandria
2022-02-09 17:00:00,75809,Alessandria
2022-02-10 17:00:00,76169,Alessandria
2022-02-11 17:00:00,76501,Alessandria
2022-02-12 17:00:00,76799,Alessandria
2022-02-13 17:00:00,76991,Alessandria
2022-02-14 17:00:00,77231,Alessandria
2022-02-15 17:00:00,77604,Alessandria
2022-02-16 17:00:00,77923,Alessandria
2022-02-17 17:00:00,78162,Alessandria
2022-02-18 17:00:00,78414,Alessandria
2022-02-19 17:00:00,78667,Alessandria
2022-02-20 17:00:00,78831,Alessandria
2022-02-21 17:00:00,79054,Alessandria
2022-02-22 17:00:00,79341,Alessandria
2022-02-23 17:00:00,79584,Alessandria
2022-02-24 17:00:00,79840,Alessandria
2022-02-25 17:00:00,80057,Alessandria
2022-02-26 17:00:00,80255,Alessandria
2022-02-27 17:00:00,80365,Alessandria
2022-02-28 17:00:00,80516,Alessandria
2022-03-01 17:00:00,80781,Alessandria
2022-03-02 17:00:00,81040,Alessandria
2022-03-03 17:00:00,81251,Alessandria
2022-03-04 17:00:00,81442,Alessandria
2022-03-05 17:00:00,81630,Alessandria
2022-03-06 17:00:00,81758,Alessandria
2022-03-07 17:00:00,81960,Alessandria
2022-03-08 17:00:00,82243,Alessandria
2022-03-09 17:00:00,82481,Alessandria
2022-03-10 17:00:00,82783,Alessandria
2022-03-11 17:00:00,83064,Alessandria
2022-03-12 17:00:00,83307,Alessandria
2022-03-13 17:00:00,83511,Alessandria
2022-03-14 17:00:00,83756,Alessandria
2022-03-15 17:00:00,84239,Alessandria
2022-03-16 17:00:00,84612,Alessandria
2022-03-17 17:00:00,85063,Alessandria
