data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,15287,Aosta
2022-01-02 17:00:00,15410,Aosta
2022-01-03 17:00:00,15592,Aosta
2022-01-04 17:00:00,15844,Aosta
2022-01-05 17:00:00,16089,Aosta
2022-01-06 17:00:00,16455,Aosta
2022-01-07 17:00:00,16762,Aosta
2022-01-08 17:00:00,17500,Aosta
2022-01-09 17:00:00,17918,Aosta
2022-01-10 17:00:00,18312,Aosta
2022-01-11 17:00:00,18910,Aosta
2022-01-12 17:00:00,19466,Aosta
2022-01-13 17:00:00,20018,Aosta
2022-01-14 17:00:00,20555,Aosta
2022-01-15 17:00:00,20969,Aosta
2022-01-16 17:00:00,21385,Aosta
2022-01-17 17:00:00,21490,Aosta
2022-01-18 17:00:00,22004,Aosta
2022-01-19 17:00:00,22478,Aosta
2022-01-20 17:00:00,22986,Aosta
2022-01-21 17:00:00,23486,Aosta
2022-01-22 17:00:00,23900,Aosta
2022-01-23 17:00:00,24220,Aosta
2022-01-24 17:00:00,24312,Aosta
2022-01-25 17:00:00,24782,Aosta
2022-01-26 17:00:00,25137,Aosta
2022-01-27 17:00:00,25453,Aosta
2022-01-28 17:00:00,25763,Aosta
2022-01-29 17:00:00,26039,Aosta
2022-01-30 17:00:00,26247,Aosta
2022-01-31 17:00:00,26292,Aosta
2022-02-01 17:00:00,26599,Aosta
2022-02-02 17:00:00,26779,Aosta
2022-02-03 17:00:00,26911,Aosta
2022-02-04 17:00:00,27059,Aosta
2022-02-05 17:00:00,27206,Aosta
2022-02-06 17:00:00,27321,Aosta
2022-02-07 17:00:00,27345,Aosta
2022-02-08 17:00:00,27503,Aosta
2022-02-09 17:00:00,27585,Aosta
2022-02-10 17:00:00,27697,Aosta
2022-02-11 17:00:00,27753,Aosta
2022-02-12 17:00:00,27806,Aosta
2022-02-13 17:00:00,27863,Aosta
2022-02-14 17:00:00,27872,Aosta
2022-02-15 17:00:00,27943,Aosta
2022-02-16 17:00:00,28018,Aosta
2022-02-17 17:00:00,28066,Aosta
2022-02-18 17:00:00,28099,Aosta
2022-02-19 17:00:00,28153,Aosta
2022-02-20 17:00:00,28195,Aosta
2022-02-21 17:00:00,28210,Aosta
2022-02-22 17:00:00,28280,Aosta
2022-02-23 17:00:00,28323,Aosta
2022-02-24 17:00:00,28361,Aosta
2022-02-25 17:00:00,28400,Aosta
2022-02-26 17:00:00,28424,Aosta
2022-02-27 17:00:00,28424,Aosta
2022-02-28 17:00:00,28460,Aosta
2022-03-01 17:00:00,28504,Aosta
2022-03-02 17:00:00,28538,Aosta
2022-03-03 17:00:00,28567,Aosta
2022-03-04 17:00:00,28607,Aosta
2022-03-05 17:00:00,28660,Aosta
2022-03-06 17:00:00,28692,Aosta
2022-03-07 17:00:00,28711,Aosta
2022-03-08 17:00:00,28779,Aosta
2022-03-09 17:00:00,28824,Aosta
2022-03-10 17:00:00,28859,Aosta
2022-03-11 17:00:00,28882,Aosta
2022-03-12 17:00:00,28916,Aosta
2022-03-13 17:00:00,28943,Aosta
2022-03-14 17:00:00,28948,Aosta
2022-03-15 17:00:00,29038,Aosta
2022-03-16 17:00:00,29103,Aosta
2022-03-17 17:00:00,29173,Aosta
2022-03-18 17:00:00,29233,Aosta
2022-03-19 17:00:00,29278,Aosta
2022-03-20 17:00:00,29316,Aosta
2022-03-21 17:00:00,29330,Aosta
2022-03-22 17:00:00,29415,Aosta
2022-03-23 17:00:00,29482,Aosta
2022-03-24 17:00:00,29544,Aosta
2022-03-25 17:00:00,29620,Aosta
2022-03-26 17:00:00,29685,Aosta
2022-03-27 17:00:00,29729,Aosta
2022-03-28 17:00:00,29745,Aosta
2022-03-29 17:00:00,29838,Aosta
2022-03-30 17:00:00,29887,Aosta
2022-03-31 17:00:00,29942,Aosta
2022-04-01 17:00:00,30003,Aosta
2022-04-02 17:00:00,30068,Aosta
2022-04-03 17:00:00,30130,Aosta
2022-04-04 17:00:00,30146,Aosta
2022-04-05 17:00:00,30261,Aosta
2022-04-06 17:00:00,30346,Aosta
2022-04-07 17:00:00,30423,Aosta
2022-04-08 17:00:00,30488,Aosta
2022-04-09 17:00:00,30546,Aosta
2022-04-10 17:00:00,30623,Aosta
2022-04-11 17:00:00,30641,Aosta
2022-04-12 17:00:00,30795,Aosta
2022-04-13 17:00:00,30888,Aosta
2022-04-14 17:00:00,30982,Aosta
2022-04-15 17:00:00,31051,Aosta
2022-04-16 17:00:00,31149,Aosta
2022-04-17 17:00:00,31234,Aosta
2022-04-18 17:00:00,31250,Aosta
2022-04-19 17:00:00,31278,Aosta
2022-04-20 17:00:00,31442,Aosta
2022-04-21 17:00:00,31551,Aosta
2022-04-22 17:00:00,31647,Aosta
2022-04-23 17:00:00,31754,Aosta
2022-04-24 17:00:00,31824,Aosta
2022-04-25 17:00:00,31843,Aosta
2022-04-26 17:00:00,31892,Aosta
2022-04-27 17:00:00,32023,Aosta
2022-04-28 17:00:00,32111,Aosta
2022-04-29 17:00:00,32193,Aosta
2022-04-30 17:00:00,32264,Aosta
2022-05-01 17:00:00,32319,Aosta
2022-05-02 17:00:00,32335,Aosta
2022-05-03 17:00:00,32450,Aosta
2022-05-04 17:00:00,32517,Aosta
2022-05-05 17:00:00,32594,Aosta
2022-05-06 17:00:00,32675,Aosta
2022-05-07 17:00:00,32731,Aosta
2022-05-08 17:00:00,32770,Aosta
2022-05-09 17:00:00,32796,Aosta
2022-05-10 17:00:00,32888,Aosta
2022-05-11 17:00:00,32952,Aosta
2022-05-12 17:00:00,33021,Aosta
2022-05-13 17:00:00,33085,Aosta
2022-05-14 17:00:00,33153,Aosta
2022-05-15 17:00:00,33198,Aosta
2022-05-16 17:00:00,33207,Aosta
2022-05-17 17:00:00,33284,Aosta
2022-05-18 17:00:00,33333,Aosta
2022-05-19 17:00:00,33385,Aosta
2022-05-20 17:00:00,33427,Aosta
2022-05-21 17:00:00,33482,Aosta
2022-05-22 17:00:00,33514,Aosta
2022-05-23 17:00:00,33533,Aosta
2022-05-24 17:00:00,33589,Aosta
2022-05-25 17:00:00,33625,Aosta
2022-05-26 17:00:00,33649,Aosta
2022-05-27 17:00:00,33674,Aosta
2022-05-28 17:00:00,33713,Aosta
2022-05-29 17:00:00,33724,Aosta
2022-05-30 17:00:00,33728,Aosta
