data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,29130,Avellino
2022-01-02 17:00:00,29385,Avellino
2022-01-03 17:00:00,29964,Avellino
2022-01-04 17:00:00,30560,Avellino
2022-01-05 17:00:00,31379,Avellino
2022-01-06 17:00:00,32101,Avellino
2022-01-07 17:00:00,32252,Avellino
2022-01-08 17:00:00,32833,Avellino
2022-01-09 17:00:00,33196,Avellino
2022-01-10 17:00:00,33311,Avellino
2022-01-11 17:00:00,34504,Avellino
2022-01-12 17:00:00,35622,Avellino
2022-01-13 17:00:00,36579,Avellino
2022-01-14 17:00:00,37547,Avellino
2022-01-15 17:00:00,38459,Avellino
2022-01-16 17:00:00,39149,Avellino
2022-01-17 17:00:00,39650,Avellino
2022-01-18 17:00:00,40762,Avellino
2022-01-19 17:00:00,41438,Avellino
2022-01-20 17:00:00,42154,Avellino
2022-01-21 17:00:00,42710,Avellino
2022-01-22 17:00:00,43272,Avellino
2022-01-23 17:00:00,43753,Avellino
2022-01-24 17:00:00,43986,Avellino
2022-01-25 17:00:00,44676,Avellino
2022-01-26 17:00:00,47158,Avellino
2022-01-27 17:00:00,47666,Avellino
2022-01-28 17:00:00,48155,Avellino
2022-01-29 17:00:00,48667,Avellino
2022-01-30 17:00:00,49050,Avellino
2022-01-31 17:00:00,49263,Avellino
2022-02-01 17:00:00,49888,Avellino
2022-02-02 17:00:00,50372,Avellino
2022-02-03 17:00:00,50809,Avellino
2022-02-04 17:00:00,51220,Avellino
2022-02-05 17:00:00,51635,Avellino
2022-02-06 17:00:00,52005,Avellino
2022-02-07 17:00:00,52174,Avellino
2022-02-08 17:00:00,52723,Avellino
2022-02-09 17:00:00,53134,Avellino
2022-02-10 17:00:00,53487,Avellino
2022-02-11 17:00:00,53834,Avellino
2022-02-12 17:00:00,54136,Avellino
2022-02-13 17:00:00,54423,Avellino
2022-02-14 17:00:00,54605,Avellino
2022-02-15 17:00:00,55053,Avellino
2022-02-16 17:00:00,55455,Avellino
2022-02-17 17:00:00,55850,Avellino
2022-02-18 17:00:00,56177,Avellino
2022-02-19 17:00:00,56485,Avellino
2022-02-20 17:00:00,56797,Avellino
2022-02-21 17:00:00,56954,Avellino
2022-02-22 17:00:00,57385,Avellino
2022-02-23 17:00:00,57684,Avellino
2022-02-24 17:00:00,58000,Avellino
2022-02-25 17:00:00,58260,Avellino
2022-02-26 17:00:00,58488,Avellino
2022-02-27 17:00:00,58643,Avellino
2022-02-28 17:00:00,58733,Avellino
2022-03-01 17:00:00,59084,Avellino
2022-03-02 17:00:00,59395,Avellino
2022-03-03 17:00:00,59703,Avellino
2022-03-04 17:00:00,60014,Avellino
2022-03-05 17:00:00,60375,Avellino
2022-03-06 17:00:00,60656,Avellino
2022-03-07 17:00:00,60820,Avellino
2022-03-08 17:00:00,61324,Avellino
2022-03-09 17:00:00,61673,Avellino
2022-03-10 17:00:00,62166,Avellino
2022-03-11 17:00:00,62631,Avellino
2022-03-12 17:00:00,63119,Avellino
2022-03-13 17:00:00,63618,Avellino
2022-03-14 17:00:00,63898,Avellino
2022-03-15 17:00:00,64873,Avellino
2022-03-16 17:00:00,65696,Avellino
2022-03-17 17:00:00,66568,Avellino
2022-03-18 17:00:00,67639,Avellino
2022-03-19 17:00:00,68500,Avellino
2022-03-20 17:00:00,69256,Avellino
2022-03-21 17:00:00,69652,Avellino
2022-03-22 17:00:00,70857,Avellino
2022-03-23 17:00:00,71675,Avellino
2022-03-24 17:00:00,72576,Avellino
2022-03-25 17:00:00,73501,Avellino
2022-03-26 17:00:00,74315,Avellino
2022-03-27 17:00:00,75061,Avellino
2022-03-28 17:00:00,75487,Avellino
2022-03-29 17:00:00,76836,Avellino
