data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,111042,Bari
2022-01-02 17:00:00,112194,Bari
2022-01-03 17:00:00,113652,Bari
2022-01-04 17:00:00,114709,Bari
2022-01-05 17:00:00,116559,Bari
2022-01-06 17:00:00,118892,Bari
2022-01-07 17:00:00,120573,Bari
2022-01-08 17:00:00,123913,Bari
2022-01-09 17:00:00,125223,Bari
2022-01-10 17:00:00,126794,Bari
2022-01-11 17:00:00,129082,Bari
2022-01-12 17:00:00,130380,Bari
2022-01-13 17:00:00,131604,Bari
2022-01-14 17:00:00,140235,Bari
2022-01-15 17:00:00,147794,Bari
2022-01-16 17:00:00,152913,Bari
2022-01-17 17:00:00,155549,Bari
2022-01-18 17:00:00,164654,Bari
2022-01-19 17:00:00,170704,Bari
2022-01-20 17:00:00,176672,Bari
2022-01-21 17:00:00,181333,Bari
2022-01-22 17:00:00,185827,Bari
2022-01-23 17:00:00,189168,Bari
2022-01-24 17:00:00,190285,Bari
2022-01-25 17:00:00,194132,Bari
2022-01-26 17:00:00,196849,Bari
2022-01-27 17:00:00,199371,Bari
2022-01-28 17:00:00,201741,Bari
2022-01-29 17:00:00,205034,Bari
2022-01-30 17:00:00,205723,Bari
2022-01-31 17:00:00,206547,Bari
2022-02-01 17:00:00,209051,Bari
2022-02-02 17:00:00,211206,Bari
2022-02-03 17:00:00,213335,Bari
2022-02-04 17:00:00,215248,Bari
2022-02-05 17:00:00,217036,Bari
2022-02-06 17:00:00,218483,Bari
2022-02-07 17:00:00,219189,Bari
2022-02-08 17:00:00,221792,Bari
2022-02-09 17:00:00,223166,Bari
2022-02-10 17:00:00,224766,Bari
2022-02-11 17:00:00,226098,Bari
2022-02-12 17:00:00,227447,Bari
2022-02-13 17:00:00,228411,Bari
2022-02-14 17:00:00,229028,Bari
2022-02-15 17:00:00,230708,Bari
2022-02-16 17:00:00,231972,Bari
2022-02-17 17:00:00,233145,Bari
2022-02-18 17:00:00,234265,Bari
2022-02-19 17:00:00,235410,Bari
2022-02-20 17:00:00,236396,Bari
2022-02-21 17:00:00,236834,Bari
2022-02-22 17:00:00,238379,Bari
2022-02-23 17:00:00,239469,Bari
2022-02-24 17:00:00,240401,Bari
2022-02-25 17:00:00,241256,Bari
