data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,18280,Benevento
2022-01-02 17:00:00,18290,Benevento
2022-01-03 17:00:00,18546,Benevento
2022-01-04 17:00:00,18901,Benevento
2022-01-05 17:00:00,19690,Benevento
2022-01-06 17:00:00,20326,Benevento
2022-01-07 17:00:00,20679,Benevento
2022-01-08 17:00:00,21142,Benevento
2022-01-09 17:00:00,21698,Benevento
2022-01-10 17:00:00,21526,Benevento
2022-01-11 17:00:00,22426,Benevento
2022-01-12 17:00:00,23323,Benevento
2022-01-13 17:00:00,24159,Benevento
2022-01-14 17:00:00,24676,Benevento
2022-01-15 17:00:00,25386,Benevento
2022-01-16 17:00:00,25871,Benevento
2022-01-17 17:00:00,26050,Benevento
2022-01-18 17:00:00,26699,Benevento
2022-01-19 17:00:00,27279,Benevento
2022-01-20 17:00:00,27838,Benevento
2022-01-21 17:00:00,28328,Benevento
2022-01-22 17:00:00,28782,Benevento
2022-01-23 17:00:00,29147,Benevento
2022-01-24 17:00:00,29301,Benevento
2022-01-25 17:00:00,29937,Benevento
2022-01-26 17:00:00,30384,Benevento
2022-01-27 17:00:00,30799,Benevento
2022-01-28 17:00:00,31178,Benevento
2022-01-29 17:00:00,31573,Benevento
2022-01-30 17:00:00,31922,Benevento
2022-01-31 17:00:00,31992,Benevento
2022-02-01 17:00:00,32503,Benevento
2022-02-02 17:00:00,32853,Benevento
2022-02-03 17:00:00,33202,Benevento
2022-02-04 17:00:00,33498,Benevento
2022-02-05 17:00:00,33814,Benevento
2022-02-06 17:00:00,34077,Benevento
2022-02-07 17:00:00,34195,Benevento
2022-02-08 17:00:00,34671,Benevento
2022-02-09 17:00:00,34921,Benevento
2022-02-10 17:00:00,35218,Benevento
2022-02-11 17:00:00,35469,Benevento
2022-02-12 17:00:00,35745,Benevento
2022-02-13 17:00:00,35981,Benevento
2022-02-14 17:00:00,36039,Benevento
2022-02-15 17:00:00,36350,Benevento
2022-02-16 17:00:00,36614,Benevento
2022-02-17 17:00:00,36873,Benevento
2022-02-18 17:00:00,37080,Benevento
2022-02-19 17:00:00,37292,Benevento
2022-02-20 17:00:00,37461,Benevento
2022-02-21 17:00:00,37521,Benevento
2022-02-22 17:00:00,37840,Benevento
2022-02-23 17:00:00,38096,Benevento
2022-02-24 17:00:00,38284,Benevento
2022-02-25 17:00:00,38480,Benevento
2022-02-26 17:00:00,38666,Benevento
2022-02-27 17:00:00,38790,Benevento
2022-02-28 17:00:00,38824,Benevento
2022-03-01 17:00:00,39087,Benevento
2022-03-02 17:00:00,39342,Benevento
2022-03-03 17:00:00,39542,Benevento
2022-03-04 17:00:00,39793,Benevento
2022-03-05 17:00:00,40078,Benevento
2022-03-06 17:00:00,40278,Benevento
2022-03-07 17:00:00,40366,Benevento
2022-03-08 17:00:00,40802,Benevento
2022-03-09 17:00:00,41134,Benevento
2022-03-10 17:00:00,41415,Benevento
2022-03-11 17:00:00,41742,Benevento
2022-03-12 17:00:00,42110,Benevento
2022-03-13 17:00:00,42424,Benevento
2022-03-14 17:00:00,42530,Benevento
2022-03-15 17:00:00,43177,Benevento
2022-03-16 17:00:00,43634,Benevento
2022-03-17 17:00:00,44145,Benevento
2022-03-18 17:00:00,44661,Benevento
2022-03-19 17:00:00,45231,Benevento
2022-03-20 17:00:00,45673,Benevento
2022-03-21 17:00:00,45826,Benevento
2022-03-22 17:00:00,46564,Benevento
2022-03-23 17:00:00,47088,Benevento
2022-03-24 17:00:00,47625,Benevento
2022-03-25 17:00:00,48181,Benevento
2022-03-26 17:00:00,48731,Benevento
2022-03-27 17:00:00,49173,Benevento
2022-03-28 17:00:00,49295,Benevento
2022-03-29 17:00:00,50028,Benevento
2022-03-30 17:00:00,50550,Benevento
2022-03-31 17:00:00,51023,Benevento
2022-04-01 17:00:00,51515,Benevento
2022-04-02 17:00:00,51990,Benevento
2022-04-03 17:00:00,52417,Benevento
2022-04-04 17:00:00,52533,Benevento
2022-04-05 17:00:00,53106,Benevento
2022-04-06 17:00:00,53511,Benevento
2022-04-07 17:00:00,53922,Benevento
2022-04-08 17:00:00,54345,Benevento
2022-04-09 17:00:00,54773,Benevento
2022-04-10 17:00:00,55118,Benevento
2022-04-11 17:00:00,55205,Benevento
2022-04-12 17:00:00,55821,Benevento
2022-04-13 17:00:00,56130,Benevento
2022-04-14 17:00:00,56439,Benevento
2022-04-15 17:00:00,56806,Benevento
2022-04-16 17:00:00,57196,Benevento
2022-04-17 17:00:00,57522,Benevento
2022-04-18 17:00:00,57582,Benevento
2022-04-19 17:00:00,57681,Benevento
2022-04-20 17:00:00,58462,Benevento
2022-04-21 17:00:00,58990,Benevento
2022-04-22 17:00:00,59455,Benevento
2022-04-23 17:00:00,59981,Benevento
2022-04-24 17:00:00,60326,Benevento
2022-04-25 17:00:00,60434,Benevento
2022-04-26 17:00:00,60565,Benevento
2022-04-27 17:00:00,61257,Benevento
2022-04-28 17:00:00,61586,Benevento
2022-04-29 17:00:00,61970,Benevento
2022-04-30 17:00:00,62336,Benevento
2022-05-01 17:00:00,62587,Benevento
2022-05-02 17:00:00,62646,Benevento
2022-05-03 17:00:00,63084,Benevento
2022-05-04 17:00:00,63378,Benevento
2022-05-05 17:00:00,63690,Benevento
2022-05-06 17:00:00,64004,Benevento
2022-05-07 17:00:00,64287,Benevento
2022-05-08 17:00:00,64517,Benevento
2022-05-09 17:00:00,64569,Benevento
2022-05-10 17:00:00,64947,Benevento
2022-05-11 17:00:00,65187,Benevento
2022-05-12 17:00:00,65449,Benevento
2022-05-13 17:00:00,65647,Benevento
2022-05-14 17:00:00,65883,Benevento
2022-05-15 17:00:00,66069,Benevento
2022-05-16 17:00:00,66107,Benevento
2022-05-17 17:00:00,66439,Benevento
2022-05-18 17:00:00,66601,Benevento
2022-05-19 17:00:00,66756,Benevento
2022-05-20 17:00:00,66871,Benevento
2022-05-21 17:00:00,67025,Benevento
2022-05-22 17:00:00,67133,Benevento
2022-05-23 17:00:00,67164,Benevento
2022-05-24 17:00:00,67354,Benevento
2022-05-25 17:00:00,67467,Benevento
2022-05-26 17:00:00,67579,Benevento
2022-05-27 17:00:00,67697,Benevento
2022-05-28 17:00:00,67828,Benevento
2022-05-29 17:00:00,67896,Benevento
2022-05-30 17:00:00,67914,Benevento
2022-05-31 17:00:00,68072,Benevento
2022-06-01 17:00:00,68158,Benevento
2022-06-02 17:00:00,68244,Benevento
2022-06-03 17:00:00,68267,Benevento
2022-06-04 17:00:00,68398,Benevento
2022-06-05 17:00:00,68443,Benevento
2022-06-06 17:00:00,68465,Benevento
2022-06-07 17:00:00,68570,Benevento
2022-06-08 17:00:00,68633,Benevento
2022-06-09 17:00:00,68690,Benevento
2022-06-10 17:00:00,68747,Benevento
2022-06-11 17:00:00,68817,Benevento
2022-06-12 17:00:00,68893,Benevento
2022-06-13 17:00:00,68904,Benevento
2022-06-14 17:00:00,69020,Benevento
2022-06-15 17:00:00,69078,Benevento
2022-06-16 17:00:00,69167,Benevento
2022-06-17 17:00:00,69268,Benevento
2022-06-18 17:00:00,69369,Benevento
2022-06-19 17:00:00,69466,Benevento
2022-06-20 17:00:00,69488,Benevento
2022-06-21 17:00:00,69663,Benevento
2022-06-22 17:00:00,69812,Benevento
2022-06-23 17:00:00,69977,Benevento
2022-06-24 17:00:00,70157,Benevento
2022-06-25 17:00:00,70343,Benevento
2022-06-26 17:00:00,70503,Benevento
2022-06-27 17:00:00,70543,Benevento
2022-06-28 17:00:00,70865,Benevento
2022-06-29 17:00:00,71108,Benevento
2022-06-30 17:00:00,71421,Benevento
2022-07-01 17:00:00,71704,Benevento
2022-07-02 17:00:00,72010,Benevento
2022-07-03 17:00:00,72309,Benevento
2022-07-04 17:00:00,72402,Benevento
2022-07-05 17:00:00,72936,Benevento
2022-07-06 17:00:00,73333,Benevento
2022-07-07 17:00:00,73693,Benevento
2022-07-08 17:00:00,74099,Benevento
2022-07-09 17:00:00,74510,Benevento
2022-07-10 17:00:00,74906,Benevento
2022-07-11 17:00:00,75017,Benevento
2022-07-12 17:00:00,75757,Benevento
2022-07-13 17:00:00,76216,Benevento
2022-07-14 17:00:00,76748,Benevento
2022-07-15 17:00:00,77229,Benevento
2022-07-16 17:00:00,77685,Benevento
2022-07-17 17:00:00,77994,Benevento
2022-07-18 17:00:00,78085,Benevento
2022-07-19 17:00:00,78839,Benevento
2022-07-20 17:00:00,79440,Benevento
2022-07-21 17:00:00,79874,Benevento
2022-07-22 17:00:00,80300,Benevento
2022-07-23 17:00:00,80694,Benevento
2022-07-24 17:00:00,80981,Benevento
2022-07-25 17:00:00,81090,Benevento
2022-07-26 17:00:00,81684,Benevento
2022-07-27 17:00:00,82006,Benevento
2022-07-28 17:00:00,82285,Benevento
2022-07-29 17:00:00,82552,Benevento
2022-07-30 17:00:00,82822,Benevento
2022-07-31 17:00:00,83077,Benevento
2022-08-01 17:00:00,83132,Benevento
2022-08-02 17:00:00,83512,Benevento
2022-08-03 17:00:00,83733,Benevento
2022-08-04 17:00:00,83922,Benevento
2022-08-05 17:00:00,84131,Benevento
2022-08-06 17:00:00,84339,Benevento
2022-08-07 17:00:00,84477,Benevento
2022-08-08 17:00:00,84523,Benevento
2022-08-09 17:00:00,84800,Benevento
2022-08-10 17:00:00,84960,Benevento
2022-08-11 17:00:00,85125,Benevento
2022-08-12 17:00:00,85278,Benevento
2022-08-13 17:00:00,85435,Benevento
2022-08-14 17:00:00,85551,Benevento
2022-08-15 17:00:00,85584,Benevento
2022-08-16 17:00:00,85623,Benevento
2022-08-17 17:00:00,85887,Benevento
2022-08-18 17:00:00,86039,Benevento
2022-08-19 17:00:00,86246,Benevento
2022-08-20 17:00:00,86406,Benevento
