data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,16710,Biella
2022-01-02 17:00:00,16785,Biella
2022-01-03 17:00:00,17016,Biella
2022-01-04 17:00:00,18010,Biella
2022-01-05 17:00:00,18592,Biella
2022-01-06 17:00:00,19102,Biella
2022-01-07 17:00:00,19389,Biella
2022-01-08 17:00:00,20133,Biella
2022-01-09 17:00:00,20521,Biella
2022-01-10 17:00:00,20978,Biella
2022-01-11 17:00:00,21778,Biella
2022-01-12 17:00:00,22438,Biella
2022-01-13 17:00:00,23031,Biella
2022-01-14 17:00:00,23608,Biella
2022-01-15 17:00:00,24188,Biella
2022-01-16 17:00:00,24909,Biella
2022-01-17 17:00:00,25421,Biella
2022-01-18 17:00:00,26237,Biella
2022-01-19 17:00:00,26892,Biella
2022-01-20 17:00:00,27543,Biella
2022-01-21 17:00:00,28210,Biella
2022-01-22 17:00:00,28824,Biella
2022-01-23 17:00:00,29263,Biella
2022-01-24 17:00:00,29730,Biella
2022-01-25 17:00:00,30590,Biella
2022-01-26 17:00:00,31191,Biella
2022-01-27 17:00:00,31668,Biella
2022-01-28 17:00:00,32116,Biella
2022-01-29 17:00:00,32560,Biella
2022-01-30 17:00:00,32861,Biella
2022-01-31 17:00:00,33287,Biella
2022-02-01 17:00:00,33749,Biella
2022-02-02 17:00:00,34061,Biella
2022-02-03 17:00:00,34362,Biella
2022-02-04 17:00:00,34672,Biella
2022-02-05 17:00:00,34916,Biella
2022-02-06 17:00:00,35054,Biella
2022-02-07 17:00:00,35236,Biella
2022-02-08 17:00:00,35502,Biella
2022-02-09 17:00:00,35734,Biella
2022-02-10 17:00:00,35927,Biella
2022-02-11 17:00:00,36104,Biella
2022-02-12 17:00:00,36251,Biella
2022-02-13 17:00:00,36368,Biella
2022-02-14 17:00:00,36514,Biella
2022-02-15 17:00:00,36674,Biella
2022-02-16 17:00:00,36819,Biella
2022-02-17 17:00:00,36970,Biella
2022-02-18 17:00:00,37102,Biella
2022-02-19 17:00:00,37196,Biella
2022-02-20 17:00:00,37264,Biella
2022-02-21 17:00:00,37347,Biella
2022-02-22 17:00:00,37463,Biella
2022-02-23 17:00:00,37562,Biella
2022-02-24 17:00:00,37630,Biella
2022-02-25 17:00:00,37705,Biella
2022-02-26 17:00:00,37782,Biella
2022-02-27 17:00:00,37817,Biella
2022-02-28 17:00:00,37864,Biella
2022-03-01 17:00:00,37918,Biella
2022-03-02 17:00:00,37978,Biella
2022-03-03 17:00:00,38039,Biella
2022-03-04 17:00:00,38101,Biella
2022-03-05 17:00:00,38158,Biella
2022-03-06 17:00:00,38192,Biella
2022-03-07 17:00:00,38246,Biella
2022-03-08 17:00:00,38315,Biella
2022-03-09 17:00:00,38372,Biella
2022-03-10 17:00:00,38435,Biella
2022-03-11 17:00:00,38496,Biella
2022-03-12 17:00:00,38560,Biella
2022-03-13 17:00:00,38601,Biella
2022-03-14 17:00:00,38670,Biella
2022-03-15 17:00:00,38760,Biella
2022-03-16 17:00:00,38850,Biella
2022-03-17 17:00:00,38938,Biella
2022-03-18 17:00:00,39001,Biella
2022-03-19 17:00:00,39111,Biella
2022-03-20 17:00:00,39172,Biella
2022-03-21 17:00:00,39256,Biella
2022-03-22 17:00:00,39344,Biella
2022-03-23 17:00:00,39417,Biella
2022-03-24 17:00:00,39484,Biella
2022-03-25 17:00:00,39580,Biella
2022-03-26 17:00:00,39659,Biella
2022-03-27 17:00:00,39712,Biella
2022-03-28 17:00:00,39808,Biella
2022-03-29 17:00:00,39921,Biella
2022-03-30 17:00:00,40013,Biella
2022-03-31 17:00:00,40088,Biella
2022-04-01 17:00:00,40185,Biella
2022-04-02 17:00:00,40261,Biella
2022-04-03 17:00:00,40336,Biella
2022-04-04 17:00:00,40445,Biella
2022-04-05 17:00:00,40546,Biella
2022-04-06 17:00:00,40646,Biella
2022-04-07 17:00:00,40749,Biella
2022-04-08 17:00:00,40846,Biella
2022-04-09 17:00:00,40934,Biella
2022-04-10 17:00:00,41008,Biella
2022-04-11 17:00:00,41134,Biella
2022-04-12 17:00:00,41258,Biella
2022-04-13 17:00:00,41368,Biella
2022-04-14 17:00:00,41518,Biella
2022-04-15 17:00:00,41651,Biella
2022-04-16 17:00:00,41785,Biella
2022-04-17 17:00:00,41858,Biella
2022-04-18 17:00:00,41890,Biella
2022-04-19 17:00:00,42033,Biella
2022-04-20 17:00:00,42219,Biella
2022-04-21 17:00:00,42304,Biella
2022-04-22 17:00:00,42446,Biella
2022-04-23 17:00:00,42599,Biella
2022-04-24 17:00:00,42718,Biella
2022-04-25 17:00:00,42794,Biella
2022-04-26 17:00:00,42872,Biella
2022-04-27 17:00:00,43115,Biella
2022-04-28 17:00:00,43311,Biella
2022-04-29 17:00:00,43440,Biella
2022-04-30 17:00:00,43584,Biella
2022-05-01 17:00:00,43661,Biella
2022-05-02 17:00:00,43710,Biella
2022-05-03 17:00:00,43864,Biella
2022-05-04 17:00:00,43984,Biella
2022-05-05 17:00:00,44098,Biella
2022-05-06 17:00:00,44211,Biella
2022-05-07 17:00:00,44322,Biella
2022-05-08 17:00:00,44415,Biella
2022-05-09 17:00:00,44497,Biella
2022-05-10 17:00:00,44669,Biella
2022-05-11 17:00:00,44808,Biella
2022-05-12 17:00:00,44919,Biella
2022-05-13 17:00:00,45099,Biella
2022-05-14 17:00:00,45217,Biella
2022-05-15 17:00:00,45284,Biella
2022-05-16 17:00:00,45349,Biella
2022-05-17 17:00:00,45488,Biella
2022-05-18 17:00:00,45579,Biella
2022-05-19 17:00:00,45672,Biella
2022-05-20 17:00:00,45758,Biella
2022-05-21 17:00:00,45828,Biella
2022-05-22 17:00:00,45888,Biella
2022-05-23 17:00:00,45942,Biella
2022-05-24 17:00:00,46015,Biella
2022-05-25 17:00:00,46067,Biella
2022-05-26 17:00:00,46122,Biella
2022-05-27 17:00:00,46168,Biella
2022-05-28 17:00:00,46212,Biella
2022-05-29 17:00:00,46236,Biella
2022-05-30 17:00:00,46257,Biella
2022-05-31 17:00:00,46303,Biella
2022-06-01 17:00:00,46342,Biella
2022-06-02 17:00:00,46368,Biella
2022-06-03 17:00:00,46385,Biella
2022-06-04 17:00:00,46432,Biella
2022-06-05 17:00:00,46462,Biella
2022-06-06 17:00:00,46506,Biella
2022-06-07 17:00:00,46576,Biella
2022-06-08 17:00:00,46627,Biella
2022-06-09 17:00:00,46681,Biella
2022-06-10 17:00:00,46723,Biella
2022-06-11 17:00:00,46760,Biella
2022-06-12 17:00:00,46803,Biella
2022-06-13 17:00:00,46828,Biella
2022-06-14 17:00:00,46917,Biella
2022-06-15 17:00:00,46981,Biella
2022-06-16 17:00:00,47087,Biella
2022-06-17 17:00:00,47128,Biella
2022-06-18 17:00:00,47193,Biella
2022-06-19 17:00:00,47236,Biella
2022-06-20 17:00:00,47285,Biella
2022-06-21 17:00:00,47405,Biella
2022-06-22 17:00:00,47507,Biella
2022-06-23 17:00:00,47595,Biella
2022-06-24 17:00:00,47676,Biella
2022-06-25 17:00:00,47771,Biella
2022-06-26 17:00:00,47862,Biella
2022-06-27 17:00:00,47934,Biella
2022-06-28 17:00:00,48174,Biella
2022-06-29 17:00:00,48341,Biella
2022-06-30 17:00:00,48560,Biella
2022-07-01 17:00:00,48735,Biella
2022-07-02 17:00:00,48814,Biella
2022-07-03 17:00:00,48971,Biella
2022-07-04 17:00:00,49068,Biella
2022-07-05 17:00:00,49329,Biella
2022-07-06 17:00:00,49556,Biella
2022-07-07 17:00:00,49786,Biella
2022-07-08 17:00:00,50014,Biella
2022-07-09 17:00:00,50208,Biella
2022-07-10 17:00:00,50370,Biella
2022-07-11 17:00:00,50467,Biella
2022-07-12 17:00:00,50871,Biella
2022-07-13 17:00:00,51169,Biella
2022-07-14 17:00:00,51414,Biella
2022-07-15 17:00:00,51642,Biella
2022-07-16 17:00:00,51846,Biella
2022-07-17 17:00:00,52011,Biella
2022-07-18 17:00:00,52104,Biella
2022-07-19 17:00:00,52412,Biella
2022-07-20 17:00:00,52595,Biella
2022-07-21 17:00:00,52789,Biella
2022-07-22 17:00:00,52960,Biella
2022-07-23 17:00:00,53096,Biella
2022-07-24 17:00:00,53206,Biella
2022-07-25 17:00:00,53285,Biella
2022-07-26 17:00:00,53450,Biella
2022-07-27 17:00:00,53564,Biella
2022-07-28 17:00:00,53711,Biella
2022-07-29 17:00:00,53827,Biella
2022-07-30 17:00:00,53912,Biella
2022-07-31 17:00:00,53994,Biella
2022-08-01 17:00:00,54092,Biella
2022-08-02 17:00:00,54227,Biella
2022-08-03 17:00:00,54336,Biella
2022-08-04 17:00:00,54426,Biella
2022-08-05 17:00:00,54523,Biella
2022-08-06 17:00:00,54598,Biella
2022-08-07 17:00:00,54651,Biella
2022-08-08 17:00:00,54689,Biella
2022-08-09 17:00:00,54788,Biella
2022-08-10 17:00:00,54831,Biella
2022-08-11 17:00:00,54877,Biella
2022-08-12 17:00:00,54928,Biella
2022-08-13 17:00:00,54985,Biella
2022-08-14 17:00:00,55028,Biella
2022-08-15 17:00:00,55049,Biella
2022-08-16 17:00:00,55065,Biella
2022-08-17 17:00:00,55154,Biella
2022-08-18 17:00:00,55211,Biella
2022-08-19 17:00:00,55258,Biella
2022-08-20 17:00:00,55303,Biella
2022-08-21 17:00:00,55327,Biella
2022-08-22 17:00:00,55357,Biella
2022-08-23 17:00:00,55437,Biella
2022-08-24 17:00:00,55496,Biella
2022-08-25 17:00:00,55548,Biella
2022-08-26 17:00:00,55596,Biella
2022-08-27 17:00:00,55636,Biella
2022-08-28 17:00:00,55671,Biella
2022-08-29 17:00:00,55707,Biella
2022-08-30 17:00:00,55769,Biella
2022-08-31 17:00:00,55824,Biella
2022-09-01 17:00:00,55857,Biella
2022-09-02 17:00:00,55908,Biella
2022-09-03 17:00:00,55934,Biella
2022-09-04 17:00:00,55955,Biella
2022-09-05 17:00:00,55973,Biella
2022-09-06 17:00:00,56028,Biella
2022-09-07 17:00:00,56056,Biella
2022-09-08 17:00:00,56102,Biella
2022-09-09 17:00:00,56133,Biella
2022-09-10 17:00:00,56180,Biella
2022-09-11 17:00:00,56218,Biella
2022-09-12 17:00:00,56249,Biella
2022-09-13 17:00:00,56325,Biella
2022-09-14 17:00:00,56389,Biella
2022-09-15 17:00:00,56483,Biella
2022-09-16 17:00:00,56541,Biella
2022-09-17 17:00:00,56627,Biella
2022-09-18 17:00:00,56684,Biella
2022-09-19 17:00:00,56731,Biella
2022-09-20 17:00:00,56886,Biella
2022-09-21 17:00:00,56955,Biella
2022-09-22 17:00:00,57060,Biella
2022-09-23 17:00:00,57119,Biella
2022-09-24 17:00:00,57233,Biella
2022-09-25 17:00:00,57332,Biella
2022-09-26 17:00:00,57404,Biella
2022-09-27 17:00:00,57638,Biella
2022-09-28 17:00:00,57803,Biella
2022-09-29 17:00:00,57985,Biella
2022-09-30 17:00:00,58180,Biella
2022-10-01 17:00:00,58390,Biella
2022-10-02 17:00:00,58598,Biella
2022-10-03 17:00:00,58695,Biella
2022-10-04 17:00:00,59101,Biella
2022-10-05 17:00:00,59363,Biella
2022-10-06 17:00:00,59601,Biella
2022-10-07 17:00:00,59886,Biella
2022-10-08 17:00:00,60171,Biella
2022-10-09 17:00:00,60384,Biella
2022-10-10 17:00:00,60495,Biella
2022-10-11 17:00:00,61007,Biella
2022-10-12 17:00:00,61303,Biella
2022-10-13 17:00:00,61606,Biella
2022-10-14 17:00:00,61883,Biella
2022-10-15 17:00:00,62113,Biella
2022-10-16 17:00:00,62293,Biella
2022-10-17 17:00:00,62430,Biella
2022-10-18 17:00:00,62799,Biella
2022-10-19 17:00:00,62998,Biella
2022-10-20 17:00:00,63273,Biella
2022-10-21 17:00:00,63482,Biella
2022-10-22 17:00:00,63573,Biella
2022-10-23 17:00:00,63680,Biella
2022-10-24 17:00:00,63727,Biella
2022-10-25 17:00:00,63925,Biella
2022-10-26 17:00:00,64067,Biella
2022-10-27 17:00:00,64162,Biella
2022-10-28 17:00:00,64247,Biella
2022-10-29 17:00:00,64328,Biella
2022-10-30 17:00:00,64359,Biella
2022-10-31 17:00:00,64386,Biella
2022-11-01 17:00:00,64447,Biella
2022-11-02 17:00:00,64610,Biella
2022-11-03 17:00:00,64701,Biella
2022-11-04 17:00:00,64769,Biella
2022-11-05 17:00:00,64844,Biella
2022-11-06 17:00:00,64898,Biella
2022-11-07 17:00:00,64939,Biella
2022-11-08 17:00:00,65054,Biella
2022-11-09 17:00:00,65124,Biella
