data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,128423,Bologna
2022-01-02 17:00:00,129871,Bologna
2022-01-03 17:00:00,132121,Bologna
2022-01-04 17:00:00,134605,Bologna
2022-01-05 17:00:00,137408,Bologna
2022-01-06 17:00:00,144421,Bologna
2022-01-07 17:00:00,148161,Bologna
2022-01-08 17:00:00,152384,Bologna
2022-01-09 17:00:00,156183,Bologna
2022-01-10 17:00:00,160244,Bologna
2022-01-11 17:00:00,163267,Bologna
2022-01-12 17:00:00,167780,Bologna
2022-01-13 17:00:00,171361,Bologna
2022-01-14 17:00:00,176342,Bologna
2022-01-15 17:00:00,180437,Bologna
2022-01-16 17:00:00,184078,Bologna
2022-01-17 17:00:00,187111,Bologna
2022-01-18 17:00:00,191060,Bologna
2022-01-19 17:00:00,194853,Bologna
2022-01-20 17:00:00,199542,Bologna
2022-01-21 17:00:00,203764,Bologna
2022-01-22 17:00:00,207708,Bologna
2022-01-23 17:00:00,212332,Bologna
2022-01-24 17:00:00,216211,Bologna
2022-01-25 17:00:00,219464,Bologna
2022-01-26 17:00:00,223745,Bologna
2022-01-27 17:00:00,227690,Bologna
2022-01-28 17:00:00,231586,Bologna
2022-01-29 17:00:00,235360,Bologna
2022-01-30 17:00:00,238384,Bologna
2022-01-31 17:00:00,240086,Bologna
2022-02-01 17:00:00,242082,Bologna
2022-02-02 17:00:00,244010,Bologna
2022-02-03 17:00:00,246718,Bologna
2022-02-04 17:00:00,249101,Bologna
2022-02-05 17:00:00,250933,Bologna
2022-02-06 17:00:00,252514,Bologna
2022-02-07 17:00:00,253913,Bologna
2022-02-08 17:00:00,254965,Bologna
2022-02-09 17:00:00,256609,Bologna
2022-02-10 17:00:00,258100,Bologna
2022-02-11 17:00:00,259343,Bologna
2022-02-12 17:00:00,260333,Bologna
2022-02-13 17:00:00,261533,Bologna
2022-02-14 17:00:00,262141,Bologna
2022-02-15 17:00:00,262827,Bologna
2022-02-16 17:00:00,263859,Bologna
2022-02-17 17:00:00,264687,Bologna
2022-02-18 17:00:00,265499,Bologna
2022-02-19 17:00:00,266383,Bologna
2022-02-20 17:00:00,267029,Bologna
2022-02-21 17:00:00,267499,Bologna
2022-02-22 17:00:00,267998,Bologna
2022-02-23 17:00:00,268804,Bologna
2022-02-24 17:00:00,269455,Bologna
2022-02-25 17:00:00,270181,Bologna
2022-02-26 17:00:00,270668,Bologna
2022-02-27 17:00:00,271323,Bologna
2022-02-28 17:00:00,271632,Bologna
2022-03-01 17:00:00,272068,Bologna
2022-03-02 17:00:00,272654,Bologna
2022-03-03 17:00:00,273339,Bologna
2022-03-04 17:00:00,273862,Bologna
2022-03-05 17:00:00,274341,Bologna
2022-03-06 17:00:00,274753,Bologna
2022-03-07 17:00:00,275389,Bologna
2022-03-08 17:00:00,275912,Bologna
2022-03-09 17:00:00,276483,Bologna
2022-03-10 17:00:00,277283,Bologna
2022-03-11 17:00:00,277964,Bologna
2022-03-12 17:00:00,278628,Bologna
2022-03-13 17:00:00,279336,Bologna
2022-03-14 17:00:00,279701,Bologna
2022-03-15 17:00:00,280474,Bologna
2022-03-16 17:00:00,281436,Bologna
2022-03-17 17:00:00,282417,Bologna
2022-03-18 17:00:00,283361,Bologna
2022-03-19 17:00:00,284447,Bologna
2022-03-20 17:00:00,285446,Bologna
2022-03-21 17:00:00,285922,Bologna
2022-03-22 17:00:00,286656,Bologna
2022-03-23 17:00:00,287697,Bologna
2022-03-24 17:00:00,288854,Bologna
2022-03-25 17:00:00,289902,Bologna
2022-03-26 17:00:00,290867,Bologna
2022-03-27 17:00:00,291614,Bologna
2022-03-28 17:00:00,292539,Bologna
2022-03-29 17:00:00,293407,Bologna
2022-03-30 17:00:00,294715,Bologna
2022-03-31 17:00:00,295883,Bologna
2022-04-01 17:00:00,296910,Bologna
2022-04-02 17:00:00,297931,Bologna
2022-04-03 17:00:00,298644,Bologna
2022-04-04 17:00:00,299430,Bologna
2022-04-05 17:00:00,300343,Bologna
2022-04-06 17:00:00,301564,Bologna
2022-04-07 17:00:00,302654,Bologna
2022-04-08 17:00:00,303816,Bologna
2022-04-09 17:00:00,304773,Bologna
2022-04-10 17:00:00,305789,Bologna
2022-04-11 17:00:00,306461,Bologna
2022-04-12 17:00:00,307216,Bologna
2022-04-13 17:00:00,308379,Bologna
2022-04-14 17:00:00,309603,Bologna
2022-04-15 17:00:00,310447,Bologna
2022-04-16 17:00:00,311491,Bologna
2022-04-17 17:00:00,312513,Bologna
2022-04-18 17:00:00,313090,Bologna
2022-04-19 17:00:00,313513,Bologna
2022-04-20 17:00:00,314495,Bologna
2022-04-21 17:00:00,315663,Bologna
2022-04-22 17:00:00,316810,Bologna
2022-04-23 17:00:00,317883,Bologna
2022-04-24 17:00:00,318951,Bologna
2022-04-25 17:00:00,319745,Bologna
2022-04-26 17:00:00,320164,Bologna
2022-04-27 17:00:00,321011,Bologna
2022-04-28 17:00:00,322265,Bologna
2022-04-29 17:00:00,323553,Bologna
2022-04-30 17:00:00,324494,Bologna
2022-05-01 17:00:00,325100,Bologna
2022-05-02 17:00:00,325694,Bologna
2022-05-03 17:00:00,326289,Bologna
2022-05-04 17:00:00,327211,Bologna
2022-05-05 17:00:00,328343,Bologna
2022-05-06 17:00:00,329228,Bologna
2022-05-07 17:00:00,329867,Bologna
2022-05-08 17:00:00,330545,Bologna
2022-05-09 17:00:00,330918,Bologna
2022-05-10 17:00:00,331574,Bologna
2022-05-11 17:00:00,332638,Bologna
2022-05-12 17:00:00,333602,Bologna
2022-05-13 17:00:00,334408,Bologna
2022-05-14 17:00:00,335261,Bologna
2022-05-15 17:00:00,335771,Bologna
2022-05-16 17:00:00,336254,Bologna
2022-05-17 17:00:00,337026,Bologna
2022-05-18 17:00:00,337604,Bologna
2022-05-19 17:00:00,338404,Bologna
2022-05-20 17:00:00,339015,Bologna
2022-05-21 17:00:00,339509,Bologna
2022-05-22 17:00:00,339877,Bologna
2022-05-23 17:00:00,340172,Bologna
2022-05-24 17:00:00,340494,Bologna
2022-05-25 17:00:00,341064,Bologna
2022-05-26 17:00:00,341510,Bologna
2022-05-27 17:00:00,341968,Bologna
2022-05-28 17:00:00,342402,Bologna
2022-05-29 17:00:00,342726,Bologna
2022-05-30 17:00:00,342920,Bologna
2022-05-31 17:00:00,343264,Bologna
2022-06-01 17:00:00,343590,Bologna
2022-06-02 17:00:00,343591,Bologna
2022-06-03 17:00:00,344337,Bologna
2022-06-04 17:00:00,344639,Bologna
2022-06-05 17:00:00,345088,Bologna
2022-06-06 17:00:00,345388,Bologna
2022-06-07 17:00:00,345818,Bologna
2022-06-08 17:00:00,346409,Bologna
2022-06-09 17:00:00,346958,Bologna
2022-06-10 17:00:00,347411,Bologna
2022-06-11 17:00:00,347820,Bologna
2022-06-12 17:00:00,348202,Bologna
2022-06-13 17:00:00,348514,Bologna
2022-06-14 17:00:00,349023,Bologna
2022-06-15 17:00:00,349672,Bologna
2022-06-16 17:00:00,350652,Bologna
2022-06-17 17:00:00,351219,Bologna
2022-06-18 17:00:00,352075,Bologna
2022-06-19 17:00:00,352736,Bologna
2022-06-20 17:00:00,353152,Bologna
2022-06-21 17:00:00,354121,Bologna
2022-06-22 17:00:00,355237,Bologna
2022-06-23 17:00:00,356151,Bologna
2022-06-24 17:00:00,357412,Bologna
2022-06-25 17:00:00,358425,Bologna
2022-06-26 17:00:00,359390,Bologna
2022-06-27 17:00:00,359945,Bologna
2022-06-28 17:00:00,361196,Bologna
2022-06-29 17:00:00,362523,Bologna
2022-06-30 17:00:00,363937,Bologna
2022-07-01 17:00:00,365443,Bologna
2022-07-02 17:00:00,366811,Bologna
2022-07-03 17:00:00,368245,Bologna
2022-07-04 17:00:00,369056,Bologna
2022-07-05 17:00:00,370455,Bologna
2022-07-06 17:00:00,372699,Bologna
2022-07-07 17:00:00,374780,Bologna
2022-07-08 17:00:00,376472,Bologna
2022-07-09 17:00:00,378417,Bologna
2022-07-10 17:00:00,379924,Bologna
2022-07-11 17:00:00,380721,Bologna
2022-07-12 17:00:00,382169,Bologna
2022-07-13 17:00:00,384494,Bologna
2022-07-14 17:00:00,386362,Bologna
2022-07-15 17:00:00,387911,Bologna
2022-07-16 17:00:00,389627,Bologna
2022-07-17 17:00:00,390830,Bologna
2022-07-18 17:00:00,391645,Bologna
2022-07-19 17:00:00,393194,Bologna
2022-07-20 17:00:00,394697,Bologna
2022-07-21 17:00:00,395928,Bologna
2022-07-22 17:00:00,397307,Bologna
