data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,101608,Bolzano
2022-01-02 17:00:00,101967,Bolzano
2022-01-03 17:00:00,102411,Bolzano
2022-01-04 17:00:00,103721,Bolzano
2022-01-05 17:00:00,105091,Bolzano
2022-01-06 17:00:00,106683,Bolzano
2022-01-07 17:00:00,107510,Bolzano
2022-01-08 17:00:00,109736,Bolzano
2022-01-09 17:00:00,111095,Bolzano
2022-01-10 17:00:00,112230,Bolzano
2022-01-11 17:00:00,115271,Bolzano
2022-01-12 17:00:00,117581,Bolzano
2022-01-13 17:00:00,120231,Bolzano
2022-01-14 17:00:00,122700,Bolzano
2022-01-15 17:00:00,125400,Bolzano
2022-01-16 17:00:00,127162,Bolzano
2022-01-17 17:00:00,128509,Bolzano
2022-01-18 17:00:00,132738,Bolzano
2022-01-19 17:00:00,135755,Bolzano
2022-01-20 17:00:00,138744,Bolzano
2022-01-21 17:00:00,141631,Bolzano
2022-01-22 17:00:00,144442,Bolzano
2022-01-23 17:00:00,146203,Bolzano
2022-01-24 17:00:00,147428,Bolzano
2022-01-25 17:00:00,151202,Bolzano
2022-01-26 17:00:00,153775,Bolzano
2022-01-27 17:00:00,156135,Bolzano
2022-01-28 17:00:00,158412,Bolzano
2022-01-29 17:00:00,160429,Bolzano
2022-01-30 17:00:00,161628,Bolzano
2022-01-31 17:00:00,162586,Bolzano
2022-02-01 17:00:00,165284,Bolzano
2022-02-02 17:00:00,166864,Bolzano
2022-02-03 17:00:00,168350,Bolzano
2022-02-04 17:00:00,169978,Bolzano
2022-02-05 17:00:00,171282,Bolzano
2022-02-06 17:00:00,172152,Bolzano
2022-02-07 17:00:00,172752,Bolzano
2022-02-08 17:00:00,174455,Bolzano
2022-02-09 17:00:00,175462,Bolzano
2022-02-10 17:00:00,176451,Bolzano
2022-02-11 17:00:00,177482,Bolzano
2022-02-12 17:00:00,178286,Bolzano
2022-02-13 17:00:00,178844,Bolzano
2022-02-14 17:00:00,179285,Bolzano
2022-02-15 17:00:00,180562,Bolzano
2022-02-16 17:00:00,181303,Bolzano
2022-02-17 17:00:00,182115,Bolzano
2022-02-18 17:00:00,182935,Bolzano
2022-02-19 17:00:00,183544,Bolzano
2022-02-20 17:00:00,183994,Bolzano
2022-02-21 17:00:00,184322,Bolzano
2022-02-22 17:00:00,185308,Bolzano
2022-02-23 17:00:00,185911,Bolzano
2022-02-24 17:00:00,186492,Bolzano
2022-02-25 17:00:00,186969,Bolzano
2022-02-26 17:00:00,187528,Bolzano
2022-02-27 17:00:00,187833,Bolzano
2022-02-28 17:00:00,188027,Bolzano
2022-03-01 17:00:00,188641,Bolzano
2022-03-02 17:00:00,189018,Bolzano
2022-03-03 17:00:00,189544,Bolzano
2022-03-04 17:00:00,190005,Bolzano
2022-03-05 17:00:00,190490,Bolzano
2022-03-06 17:00:00,190856,Bolzano
2022-03-07 17:00:00,191114,Bolzano
2022-03-08 17:00:00,192237,Bolzano
2022-03-09 17:00:00,192802,Bolzano
2022-03-10 17:00:00,193403,Bolzano
2022-03-11 17:00:00,194064,Bolzano
2022-03-12 17:00:00,194587,Bolzano
2022-03-13 17:00:00,194958,Bolzano
2022-03-14 17:00:00,195263,Bolzano
2022-03-15 17:00:00,196378,Bolzano
2022-03-16 17:00:00,197030,Bolzano
2022-03-17 17:00:00,197678,Bolzano
2022-03-18 17:00:00,198382,Bolzano
2022-03-19 17:00:00,198987,Bolzano
2022-03-20 17:00:00,199319,Bolzano
2022-03-21 17:00:00,199624,Bolzano
2022-03-22 17:00:00,200494,Bolzano
2022-03-23 17:00:00,201180,Bolzano
2022-03-24 17:00:00,201922,Bolzano
2022-03-25 17:00:00,202659,Bolzano
2022-03-26 17:00:00,203265,Bolzano
2022-03-27 17:00:00,203679,Bolzano
2022-03-28 17:00:00,203970,Bolzano
2022-03-29 17:00:00,205031,Bolzano
2022-03-30 17:00:00,197473,Bolzano
2022-03-31 17:00:00,198068,Bolzano
2022-04-01 17:00:00,185406,Bolzano
2022-04-02 17:00:00,185887,Bolzano
2022-04-03 17:00:00,186241,Bolzano
2022-04-04 17:00:00,186471,Bolzano
2022-04-05 17:00:00,187300,Bolzano
2022-04-06 17:00:00,187792,Bolzano
2022-04-07 17:00:00,188301,Bolzano
2022-04-08 17:00:00,188839,Bolzano
2022-04-09 17:00:00,189273,Bolzano
2022-04-10 17:00:00,189524,Bolzano
2022-04-11 17:00:00,189663,Bolzano
2022-04-12 17:00:00,190478,Bolzano
2022-04-13 17:00:00,190892,Bolzano
2022-04-14 17:00:00,191373,Bolzano
2022-04-15 17:00:00,191809,Bolzano
2022-04-16 17:00:00,192242,Bolzano
2022-04-17 17:00:00,192528,Bolzano
2022-04-18 17:00:00,192707,Bolzano
2022-04-19 17:00:00,192902,Bolzano
2022-04-20 17:00:00,193642,Bolzano
2022-04-21 17:00:00,194291,Bolzano
2022-04-22 17:00:00,194688,Bolzano
2022-04-23 17:00:00,195020,Bolzano
2022-04-24 17:00:00,195261,Bolzano
2022-04-25 17:00:00,195418,Bolzano
2022-04-26 17:00:00,195616,Bolzano
2022-04-27 17:00:00,196274,Bolzano
2022-04-28 17:00:00,196644,Bolzano
2022-04-29 17:00:00,196995,Bolzano
2022-04-30 17:00:00,197321,Bolzano
2022-05-01 17:00:00,197534,Bolzano
2022-05-02 17:00:00,197665,Bolzano
2022-05-03 17:00:00,198198,Bolzano
2022-05-04 17:00:00,198534,Bolzano
2022-05-05 17:00:00,198846,Bolzano
2022-05-06 17:00:00,199142,Bolzano
2022-05-07 17:00:00,199464,Bolzano
2022-05-08 17:00:00,199658,Bolzano
2022-05-09 17:00:00,199756,Bolzano
2022-05-10 17:00:00,200296,Bolzano
2022-05-11 17:00:00,200655,Bolzano
2022-05-12 17:00:00,200996,Bolzano
2022-05-13 17:00:00,201272,Bolzano
2022-05-14 17:00:00,201550,Bolzano
2022-05-15 17:00:00,201706,Bolzano
2022-05-16 17:00:00,201781,Bolzano
2022-05-17 17:00:00,202166,Bolzano
2022-05-18 17:00:00,202435,Bolzano
2022-05-19 17:00:00,202657,Bolzano
2022-05-20 17:00:00,202872,Bolzano
2022-05-21 17:00:00,203041,Bolzano
2022-05-22 17:00:00,203151,Bolzano
2022-05-23 17:00:00,203198,Bolzano
2022-05-24 17:00:00,203504,Bolzano
2022-05-25 17:00:00,203686,Bolzano
2022-05-26 17:00:00,203864,Bolzano
2022-05-27 17:00:00,203978,Bolzano
2022-05-28 17:00:00,204103,Bolzano
2022-05-29 17:00:00,204180,Bolzano
2022-05-30 17:00:00,204228,Bolzano
2022-05-31 17:00:00,204489,Bolzano
2022-06-01 17:00:00,204625,Bolzano
2022-06-02 17:00:00,204791,Bolzano
2022-06-03 17:00:00,204857,Bolzano
2022-06-04 17:00:00,205026,Bolzano
2022-06-05 17:00:00,205133,Bolzano
2022-06-06 17:00:00,205181,Bolzano
2022-06-07 17:00:00,205298,Bolzano
2022-06-08 17:00:00,205635,Bolzano
2022-06-09 17:00:00,205849,Bolzano
2022-06-10 17:00:00,206063,Bolzano
2022-06-11 17:00:00,206253,Bolzano
2022-06-12 17:00:00,206389,Bolzano
2022-06-13 17:00:00,206476,Bolzano
2022-06-14 17:00:00,206844,Bolzano
2022-06-15 17:00:00,207139,Bolzano
2022-06-16 17:00:00,207411,Bolzano
2022-06-17 17:00:00,207736,Bolzano
2022-06-18 17:00:00,208007,Bolzano
2022-06-19 17:00:00,208202,Bolzano
2022-06-20 17:00:00,208280,Bolzano
2022-06-21 17:00:00,208882,Bolzano
2022-06-22 17:00:00,209305,Bolzano
2022-06-23 17:00:00,209761,Bolzano
2022-06-24 17:00:00,210141,Bolzano
2022-06-25 17:00:00,210501,Bolzano
2022-06-26 17:00:00,210753,Bolzano
2022-06-27 17:00:00,210897,Bolzano
2022-06-28 17:00:00,211652,Bolzano
2022-06-29 17:00:00,212193,Bolzano
2022-06-30 17:00:00,212790,Bolzano
2022-07-01 17:00:00,213337,Bolzano
2022-07-02 17:00:00,213867,Bolzano
2022-07-03 17:00:00,214221,Bolzano
2022-07-04 17:00:00,214458,Bolzano
2022-07-05 17:00:00,215445,Bolzano
2022-07-06 17:00:00,216034,Bolzano
2022-07-07 17:00:00,216658,Bolzano
2022-07-08 17:00:00,217285,Bolzano
2022-07-09 17:00:00,217921,Bolzano
2022-07-10 17:00:00,218323,Bolzano
2022-07-11 17:00:00,218556,Bolzano
2022-07-12 17:00:00,219800,Bolzano
2022-07-13 17:00:00,220656,Bolzano
2022-07-14 17:00:00,221566,Bolzano
2022-07-15 17:00:00,222306,Bolzano
2022-07-16 17:00:00,223103,Bolzano
2022-07-17 17:00:00,223593,Bolzano
2022-07-18 17:00:00,223873,Bolzano
2022-07-19 17:00:00,225268,Bolzano
2022-07-20 17:00:00,226074,Bolzano
2022-07-21 17:00:00,226749,Bolzano
2022-07-22 17:00:00,227306,Bolzano
2022-07-23 17:00:00,227894,Bolzano
2022-07-24 17:00:00,228240,Bolzano
2022-07-25 17:00:00,228377,Bolzano
2022-07-26 17:00:00,229319,Bolzano
2022-07-27 17:00:00,229833,Bolzano
2022-07-28 17:00:00,230278,Bolzano
2022-07-29 17:00:00,230684,Bolzano
2022-07-30 17:00:00,231075,Bolzano
2022-07-31 17:00:00,231299,Bolzano
2022-08-01 17:00:00,231425,Bolzano
2022-08-02 17:00:00,232095,Bolzano
2022-08-03 17:00:00,232448,Bolzano
2022-08-04 17:00:00,232838,Bolzano
2022-08-05 17:00:00,233185,Bolzano
2022-08-06 17:00:00,233526,Bolzano
2022-08-07 17:00:00,233741,Bolzano
2022-08-08 17:00:00,233823,Bolzano
2022-08-09 17:00:00,234339,Bolzano
2022-08-10 17:00:00,234642,Bolzano
2022-08-11 17:00:00,234900,Bolzano
2022-08-12 17:00:00,235145,Bolzano
2022-08-13 17:00:00,235381,Bolzano
2022-08-14 17:00:00,235530,Bolzano
2022-08-15 17:00:00,235600,Bolzano
2022-08-16 17:00:00,235704,Bolzano
2022-08-17 17:00:00,236102,Bolzano
2022-08-18 17:00:00,236354,Bolzano
2022-08-19 17:00:00,236551,Bolzano
2022-08-20 17:00:00,236789,Bolzano
2022-08-21 17:00:00,236947,Bolzano
2022-08-22 17:00:00,237013,Bolzano
2022-08-23 17:00:00,237358,Bolzano
2022-08-24 17:00:00,237655,Bolzano
2022-08-25 17:00:00,237857,Bolzano
2022-08-26 17:00:00,238045,Bolzano
2022-08-27 17:00:00,238213,Bolzano
2022-08-28 17:00:00,238347,Bolzano
2022-08-29 17:00:00,238393,Bolzano
2022-08-30 17:00:00,238707,Bolzano
2022-08-31 17:00:00,238924,Bolzano
2022-09-01 17:00:00,239145,Bolzano
2022-09-02 17:00:00,239331,Bolzano
2022-09-03 17:00:00,239483,Bolzano
2022-09-04 17:00:00,239564,Bolzano
2022-09-05 17:00:00,239628,Bolzano
2022-09-06 17:00:00,239952,Bolzano
2022-09-07 17:00:00,240170,Bolzano
2022-09-08 17:00:00,240187,Bolzano
2022-09-09 17:00:00,240386,Bolzano
2022-09-10 17:00:00,240581,Bolzano
2022-09-11 17:00:00,240715,Bolzano
2022-09-12 17:00:00,240806,Bolzano
2022-09-13 17:00:00,241208,Bolzano
2022-09-14 17:00:00,241478,Bolzano
2022-09-15 17:00:00,241792,Bolzano
2022-09-16 17:00:00,242064,Bolzano
2022-09-17 17:00:00,242333,Bolzano
2022-09-18 17:00:00,242490,Bolzano
2022-09-19 17:00:00,242595,Bolzano
2022-09-20 17:00:00,243196,Bolzano
2022-09-21 17:00:00,243580,Bolzano
2022-09-22 17:00:00,243845,Bolzano
2022-09-23 17:00:00,244143,Bolzano
2022-09-24 17:00:00,244582,Bolzano
2022-09-25 17:00:00,244697,Bolzano
2022-09-26 17:00:00,244962,Bolzano
2022-09-27 17:00:00,245776,Bolzano
2022-09-28 17:00:00,246494,Bolzano
2022-09-29 17:00:00,247094,Bolzano
2022-09-30 17:00:00,247661,Bolzano
2022-10-01 17:00:00,248207,Bolzano
2022-10-02 17:00:00,248558,Bolzano
2022-10-03 17:00:00,248736,Bolzano
2022-10-04 17:00:00,249981,Bolzano
2022-10-05 17:00:00,250708,Bolzano
2022-10-06 17:00:00,251528,Bolzano
2022-10-07 17:00:00,252281,Bolzano
2022-10-08 17:00:00,253003,Bolzano
2022-10-09 17:00:00,253445,Bolzano
2022-10-10 17:00:00,253659,Bolzano
2022-10-11 17:00:00,255013,Bolzano
2022-10-12 17:00:00,255806,Bolzano
2022-10-13 17:00:00,256639,Bolzano
2022-10-14 17:00:00,257423,Bolzano
2022-10-15 17:00:00,258101,Bolzano
2022-10-16 17:00:00,258469,Bolzano
2022-10-17 17:00:00,258660,Bolzano
2022-10-18 17:00:00,259794,Bolzano
2022-10-19 17:00:00,260413,Bolzano
2022-10-20 17:00:00,261019,Bolzano
2022-10-21 17:00:00,261480,Bolzano
2022-10-22 17:00:00,261942,Bolzano
2022-10-23 17:00:00,262157,Bolzano
2022-10-24 17:00:00,262279,Bolzano
2022-10-25 17:00:00,262943,Bolzano
2022-10-26 17:00:00,263339,Bolzano
2022-10-27 17:00:00,263687,Bolzano
2022-10-28 17:00:00,263971,Bolzano
2022-10-29 17:00:00,264225,Bolzano
2022-10-30 17:00:00,264336,Bolzano
2022-10-31 17:00:00,264403,Bolzano
2022-11-01 17:00:00,264743,Bolzano
2022-11-02 17:00:00,264797,Bolzano
2022-11-03 17:00:00,265152,Bolzano
2022-11-04 17:00:00,265353,Bolzano
2022-11-05 17:00:00,265542,Bolzano
2022-11-06 17:00:00,265669,Bolzano
2022-11-07 17:00:00,265733,Bolzano
2022-11-08 17:00:00,266088,Bolzano
2022-11-09 17:00:00,266252,Bolzano
2022-11-10 17:00:00,266438,Bolzano
2022-11-11 17:00:00,266620,Bolzano
2022-11-12 17:00:00,266775,Bolzano
2022-11-13 17:00:00,266882,Bolzano
2022-11-14 17:00:00,266939,Bolzano
2022-11-15 17:00:00,267274,Bolzano
2022-11-16 17:00:00,267456,Bolzano
2022-11-17 17:00:00,267636,Bolzano
2022-11-18 17:00:00,267797,Bolzano
2022-11-19 17:00:00,267959,Bolzano
2022-11-20 17:00:00,268067,Bolzano
2022-11-21 17:00:00,268133,Bolzano
2022-11-22 17:00:00,268463,Bolzano
2022-11-23 17:00:00,268684,Bolzano
2022-11-24 17:00:00,268865,Bolzano
2022-11-25 17:00:00,269038,Bolzano
2022-11-26 17:00:00,269171,Bolzano
2022-11-27 17:00:00,269250,Bolzano
2022-11-28 17:00:00,269305,Bolzano
2022-11-29 17:00:00,269558,Bolzano
2022-11-30 17:00:00,269698,Bolzano
2022-12-01 17:00:00,269831,Bolzano
2022-12-02 17:00:00,269936,Bolzano
2022-12-03 17:00:00,270071,Bolzano
2022-12-04 17:00:00,270143,Bolzano
2022-12-05 17:00:00,270194,Bolzano
2022-12-06 17:00:00,270412,Bolzano
2022-12-07 17:00:00,270536,Bolzano
2022-12-08 17:00:00,270633,Bolzano
2022-12-09 17:00:00,270657,Bolzano
2022-12-10 17:00:00,270787,Bolzano
2022-12-11 17:00:00,270839,Bolzano
2022-12-12 17:00:00,270867,Bolzano
2022-12-13 17:00:00,271055,Bolzano
2022-12-14 17:00:00,271161,Bolzano
2022-12-15 17:00:00,271242,Bolzano
2022-12-16 17:00:00,271315,Bolzano
2022-12-17 17:00:00,271383,Bolzano
2022-12-18 17:00:00,271428,Bolzano
2022-12-19 17:00:00,271455,Bolzano
2022-12-20 17:00:00,271576,Bolzano
2022-12-21 17:00:00,271640,Bolzano
2022-12-22 17:00:00,271736,Bolzano
2022-12-23 17:00:00,271797,Bolzano
2022-12-24 17:00:00,271868,Bolzano
2022-12-25 17:00:00,271916,Bolzano
2022-12-26 17:00:00,271937,Bolzano
2022-12-27 17:00:00,271952,Bolzano
2022-12-28 17:00:00,272079,Bolzano
2022-12-29 17:00:00,272183,Bolzano
2022-12-30 17:00:00,272268,Bolzano
2022-12-31 17:00:00,272363,Bolzano
