data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,146484,Brescia
2022-01-02 17:00:00,147455,Brescia
2022-01-03 17:00:00,149040,Brescia
2022-01-04 17:00:00,154541,Brescia
2022-01-05 17:00:00,160681,Brescia
2022-01-06 17:00:00,167296,Brescia
2022-01-07 17:00:00,169457,Brescia
2022-01-08 17:00:00,175901,Brescia
2022-01-09 17:00:00,180950,Brescia
2022-01-10 17:00:00,182675,Brescia
2022-01-11 17:00:00,189083,Brescia
2022-01-12 17:00:00,194963,Brescia
2022-01-13 17:00:00,200326,Brescia
2022-01-14 17:00:00,204799,Brescia
2022-01-15 17:00:00,209127,Brescia
2022-01-16 17:00:00,213109,Brescia
2022-01-17 17:00:00,214686,Brescia
2022-01-18 17:00:00,220385,Brescia
2022-01-19 17:00:00,226261,Brescia
2022-01-20 17:00:00,231614,Brescia
2022-01-21 17:00:00,235801,Brescia
2022-01-22 17:00:00,240240,Brescia
2022-01-23 17:00:00,243362,Brescia
2022-01-24 17:00:00,244574,Brescia
2022-01-25 17:00:00,249288,Brescia
2022-01-26 17:00:00,253249,Brescia
2022-01-27 17:00:00,256686,Brescia
2022-01-28 17:00:00,259626,Brescia
2022-01-29 17:00:00,262415,Brescia
2022-01-30 17:00:00,264573,Brescia
2022-01-31 17:00:00,265246,Brescia
2022-02-01 17:00:00,268213,Brescia
2022-02-02 17:00:00,270586,Brescia
2022-02-03 17:00:00,272496,Brescia
2022-02-04 17:00:00,274043,Brescia
2022-02-05 17:00:00,275582,Brescia
2022-02-06 17:00:00,276835,Brescia
2022-02-07 17:00:00,277304,Brescia
2022-02-08 17:00:00,279062,Brescia
2022-02-09 17:00:00,280303,Brescia
2022-02-10 17:00:00,281335,Brescia
2022-02-11 17:00:00,282327,Brescia
2022-02-12 17:00:00,283245,Brescia
2022-02-13 17:00:00,283924,Brescia
2022-02-14 17:00:00,284237,Brescia
2022-02-15 17:00:00,285327,Brescia
2022-02-16 17:00:00,286041,Brescia
2022-02-17 17:00:00,286851,Brescia
2022-02-18 17:00:00,287629,Brescia
2022-02-19 17:00:00,288378,Brescia
2022-02-20 17:00:00,288896,Brescia
2022-02-21 17:00:00,289196,Brescia
2022-02-22 17:00:00,290089,Brescia
