data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,26568,Brindisi
2022-01-02 17:00:00,26893,Brindisi
2022-01-03 17:00:00,27370,Brindisi
2022-01-04 17:00:00,27890,Brindisi
2022-01-05 17:00:00,28454,Brindisi
2022-01-06 17:00:00,29022,Brindisi
2022-01-07 17:00:00,29536,Brindisi
2022-01-08 17:00:00,30235,Brindisi
2022-01-09 17:00:00,31184,Brindisi
2022-01-10 17:00:00,31240,Brindisi
2022-01-11 17:00:00,32086,Brindisi
2022-01-12 17:00:00,32564,Brindisi
2022-01-13 17:00:00,32876,Brindisi
2022-01-14 17:00:00,35477,Brindisi
2022-01-15 17:00:00,37777,Brindisi
2022-01-16 17:00:00,39630,Brindisi
2022-01-17 17:00:00,40196,Brindisi
2022-01-18 17:00:00,43505,Brindisi
2022-01-19 17:00:00,45337,Brindisi
2022-01-20 17:00:00,47357,Brindisi
2022-01-21 17:00:00,48846,Brindisi
2022-01-22 17:00:00,50202,Brindisi
2022-01-23 17:00:00,51305,Brindisi
2022-01-24 17:00:00,51644,Brindisi
2022-01-25 17:00:00,52755,Brindisi
2022-01-26 17:00:00,53557,Brindisi
2022-01-27 17:00:00,54398,Brindisi
2022-01-28 17:00:00,55156,Brindisi
2022-01-29 17:00:00,56143,Brindisi
2022-01-30 17:00:00,56332,Brindisi
2022-01-31 17:00:00,56643,Brindisi
2022-02-01 17:00:00,57481,Brindisi
2022-02-02 17:00:00,58109,Brindisi
2022-02-03 17:00:00,58717,Brindisi
2022-02-04 17:00:00,59300,Brindisi
2022-02-05 17:00:00,59842,Brindisi
2022-02-06 17:00:00,60360,Brindisi
2022-02-07 17:00:00,60553,Brindisi
2022-02-08 17:00:00,61316,Brindisi
2022-02-09 17:00:00,61772,Brindisi
2022-02-10 17:00:00,62351,Brindisi
2022-02-11 17:00:00,62796,Brindisi
2022-02-12 17:00:00,63217,Brindisi
2022-02-13 17:00:00,63600,Brindisi
2022-02-14 17:00:00,63773,Brindisi
