data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,12314,Campobasso
2022-01-02 17:00:00,12554,Campobasso
2022-01-03 17:00:00,12575,Campobasso
2022-01-04 17:00:00,12694,Campobasso
2022-01-05 17:00:00,12989,Campobasso
2022-01-06 17:00:00,13184,Campobasso
2022-01-07 17:00:00,13345,Campobasso
2022-01-08 17:00:00,13456,Campobasso
2022-01-09 17:00:00,14147,Campobasso
2022-01-10 17:00:00,14380,Campobasso
2022-01-11 17:00:00,14826,Campobasso
2022-01-12 17:00:00,15399,Campobasso
2022-01-13 17:00:00,15955,Campobasso
2022-01-14 17:00:00,16415,Campobasso
2022-01-15 17:00:00,16769,Campobasso
2022-01-16 17:00:00,17110,Campobasso
2022-01-17 17:00:00,17290,Campobasso
2022-01-18 17:00:00,17604,Campobasso
2022-01-19 17:00:00,17973,Campobasso
2022-01-20 17:00:00,18263,Campobasso
2022-01-21 17:00:00,18610,Campobasso
2022-01-22 17:00:00,18883,Campobasso
2022-01-23 17:00:00,19162,Campobasso
2022-01-24 17:00:00,19272,Campobasso
2022-01-25 17:00:00,19501,Campobasso
2022-01-26 17:00:00,19806,Campobasso
2022-01-27 17:00:00,20140,Campobasso
2022-01-28 17:00:00,20416,Campobasso
2022-01-29 17:00:00,20684,Campobasso
2022-01-30 17:00:00,20922,Campobasso
2022-01-31 17:00:00,21058,Campobasso
2022-02-01 17:00:00,21353,Campobasso
2022-02-02 17:00:00,21727,Campobasso
2022-02-03 17:00:00,22018,Campobasso
2022-02-04 17:00:00,22315,Campobasso
2022-02-05 17:00:00,22639,Campobasso
2022-02-06 17:00:00,22908,Campobasso
2022-02-07 17:00:00,23058,Campobasso
2022-02-08 17:00:00,23334,Campobasso
2022-02-09 17:00:00,23725,Campobasso
2022-02-10 17:00:00,24086,Campobasso
2022-02-11 17:00:00,24366,Campobasso
2022-02-12 17:00:00,24638,Campobasso
2022-02-13 17:00:00,24977,Campobasso
2022-02-14 17:00:00,25089,Campobasso
2022-02-15 17:00:00,25347,Campobasso
2022-02-16 17:00:00,25697,Campobasso
2022-02-17 17:00:00,25965,Campobasso
2022-02-18 17:00:00,26192,Campobasso
2022-02-19 17:00:00,26319,Campobasso
2022-02-20 17:00:00,26622,Campobasso
2022-02-21 17:00:00,26719,Campobasso
2022-02-22 17:00:00,26930,Campobasso
2022-02-23 17:00:00,27112,Campobasso
2022-02-24 17:00:00,27339,Campobasso
2022-02-25 17:00:00,27511,Campobasso
2022-02-26 17:00:00,27720,Campobasso
2022-02-27 17:00:00,27939,Campobasso
2022-02-28 17:00:00,28039,Campobasso
2022-03-01 17:00:00,28204,Campobasso
2022-03-02 17:00:00,28425,Campobasso
2022-03-03 17:00:00,28607,Campobasso
2022-03-04 17:00:00,28863,Campobasso
2022-03-05 17:00:00,29107,Campobasso
2022-03-06 17:00:00,29329,Campobasso
2022-03-07 17:00:00,29430,Campobasso
2022-03-08 17:00:00,29607,Campobasso
2022-03-09 17:00:00,29838,Campobasso
2022-03-10 17:00:00,30059,Campobasso
2022-03-11 17:00:00,30273,Campobasso
2022-03-12 17:00:00,30450,Campobasso
2022-03-13 17:00:00,30708,Campobasso
2022-03-14 17:00:00,30889,Campobasso
2022-03-15 17:00:00,31114,Campobasso
2022-03-16 17:00:00,31455,Campobasso
2022-03-17 17:00:00,31701,Campobasso
2022-03-18 17:00:00,32031,Campobasso
2022-03-19 17:00:00,32348,Campobasso
2022-03-20 17:00:00,32676,Campobasso
2022-03-21 17:00:00,32804,Campobasso
2022-03-22 17:00:00,33026,Campobasso
2022-03-23 17:00:00,33395,Campobasso
2022-03-24 17:00:00,33751,Campobasso
2022-03-25 17:00:00,34099,Campobasso
2022-03-26 17:00:00,34380,Campobasso
2022-03-27 17:00:00,34689,Campobasso
