data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,91011,Caserta
2022-01-02 17:00:00,91994,Caserta
2022-01-03 17:00:00,93390,Caserta
2022-01-04 17:00:00,95089,Caserta
2022-01-05 17:00:00,97417,Caserta
2022-01-06 17:00:00,100071,Caserta
2022-01-07 17:00:00,101397,Caserta
2022-01-08 17:00:00,103731,Caserta
2022-01-09 17:00:00,105579,Caserta
2022-01-10 17:00:00,105643,Caserta
2022-01-11 17:00:00,109644,Caserta
2022-01-12 17:00:00,112970,Caserta
2022-01-13 17:00:00,116121,Caserta
2022-01-14 17:00:00,118875,Caserta
2022-01-15 17:00:00,121717,Caserta
2022-01-16 17:00:00,124392,Caserta
2022-01-17 17:00:00,125968,Caserta
2022-01-18 17:00:00,128723,Caserta
2022-01-19 17:00:00,131059,Caserta
2022-01-20 17:00:00,133359,Caserta
2022-01-21 17:00:00,135319,Caserta
2022-01-22 17:00:00,137215,Caserta
2022-01-23 17:00:00,138954,Caserta
2022-01-24 17:00:00,139824,Caserta
2022-01-25 17:00:00,142051,Caserta
2022-01-26 17:00:00,143944,Caserta
2022-01-27 17:00:00,145631,Caserta
2022-01-28 17:00:00,147289,Caserta
2022-01-29 17:00:00,148872,Caserta
2022-01-30 17:00:00,150341,Caserta
2022-01-31 17:00:00,151080,Caserta
2022-02-01 17:00:00,153120,Caserta
2022-02-02 17:00:00,154719,Caserta
2022-02-03 17:00:00,156282,Caserta
2022-02-04 17:00:00,157598,Caserta
2022-02-05 17:00:00,158854,Caserta
2022-02-06 17:00:00,160115,Caserta
2022-02-07 17:00:00,160746,Caserta
2022-02-08 17:00:00,162472,Caserta
2022-02-09 17:00:00,163754,Caserta
2022-02-10 17:00:00,164947,Caserta
2022-02-11 17:00:00,166029,Caserta
2022-02-12 17:00:00,167112,Caserta
2022-02-13 17:00:00,168101,Caserta
2022-02-14 17:00:00,168592,Caserta
2022-02-15 17:00:00,169899,Caserta
2022-02-16 17:00:00,170942,Caserta
2022-02-17 17:00:00,171899,Caserta
2022-02-18 17:00:00,172884,Caserta
2022-02-19 17:00:00,173752,Caserta
2022-02-20 17:00:00,174669,Caserta
2022-02-21 17:00:00,175071,Caserta
2022-02-22 17:00:00,176093,Caserta
2022-02-23 17:00:00,176898,Caserta
2022-02-24 17:00:00,177682,Caserta
2022-02-25 17:00:00,178271,Caserta
2022-02-26 17:00:00,178923,Caserta
2022-02-27 17:00:00,179447,Caserta
2022-02-28 17:00:00,179685,Caserta
2022-03-01 17:00:00,180569,Caserta
2022-03-02 17:00:00,181261,Caserta
2022-03-03 17:00:00,181938,Caserta
2022-03-04 17:00:00,182622,Caserta
2022-03-05 17:00:00,183385,Caserta
2022-03-06 17:00:00,184200,Caserta
2022-03-07 17:00:00,184548,Caserta
2022-03-08 17:00:00,185712,Caserta
2022-03-09 17:00:00,186567,Caserta
2022-03-10 17:00:00,187585,Caserta
2022-03-11 17:00:00,188550,Caserta
2022-03-12 17:00:00,189574,Caserta
2022-03-13 17:00:00,190553,Caserta
2022-03-14 17:00:00,191090,Caserta
2022-03-15 17:00:00,192787,Caserta
2022-03-16 17:00:00,194186,Caserta
2022-03-17 17:00:00,195760,Caserta
2022-03-18 17:00:00,197278,Caserta
2022-03-19 17:00:00,198672,Caserta
2022-03-20 17:00:00,199982,Caserta
2022-03-21 17:00:00,200605,Caserta
2022-03-22 17:00:00,202494,Caserta
2022-03-23 17:00:00,203923,Caserta
2022-03-24 17:00:00,205466,Caserta
2022-03-25 17:00:00,206876,Caserta
2022-03-26 17:00:00,208245,Caserta
2022-03-27 17:00:00,209611,Caserta
2022-03-28 17:00:00,210161,Caserta
2022-03-29 17:00:00,212090,Caserta
2022-03-30 17:00:00,213403,Caserta
2022-03-31 17:00:00,214790,Caserta
2022-04-01 17:00:00,216138,Caserta
2022-04-02 17:00:00,217459,Caserta
2022-04-03 17:00:00,218621,Caserta
2022-04-04 17:00:00,219125,Caserta
2022-04-05 17:00:00,220814,Caserta
2022-04-06 17:00:00,222070,Caserta
2022-04-07 17:00:00,223312,Caserta
2022-04-08 17:00:00,224545,Caserta
2022-04-09 17:00:00,225681,Caserta
2022-04-10 17:00:00,226818,Caserta
2022-04-11 17:00:00,227268,Caserta
2022-04-12 17:00:00,228770,Caserta
2022-04-13 17:00:00,229830,Caserta
2022-04-14 17:00:00,230948,Caserta
2022-04-15 17:00:00,232160,Caserta
2022-04-16 17:00:00,233357,Caserta
2022-04-17 17:00:00,234514,Caserta
2022-04-18 17:00:00,234806,Caserta
2022-04-19 17:00:00,235362,Caserta
2022-04-20 17:00:00,237450,Caserta
2022-04-21 17:00:00,238929,Caserta
2022-04-22 17:00:00,240429,Caserta
2022-04-23 17:00:00,241791,Caserta
2022-04-24 17:00:00,243135,Caserta
2022-04-25 17:00:00,243592,Caserta
2022-04-26 17:00:00,244307,Caserta
2022-04-27 17:00:00,246193,Caserta
2022-04-28 17:00:00,247517,Caserta
2022-04-29 17:00:00,248683,Caserta
2022-04-30 17:00:00,249784,Caserta
2022-05-01 17:00:00,250653,Caserta
2022-05-02 17:00:00,250976,Caserta
2022-05-03 17:00:00,252220,Caserta
2022-05-04 17:00:00,253114,Caserta
2022-05-05 17:00:00,253955,Caserta
2022-05-06 17:00:00,254787,Caserta
2022-05-07 17:00:00,255619,Caserta
