data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,96751,Catania
2022-01-02 17:00:00,97548,Catania
2022-01-03 17:00:00,98638,Catania
2022-01-04 17:00:00,99725,Catania
2022-01-05 17:00:00,100659,Catania
2022-01-06 17:00:00,104036,Catania
2022-01-07 17:00:00,105777,Catania
2022-01-08 17:00:00,108514,Catania
2022-01-09 17:00:00,110779,Catania
2022-01-10 17:00:00,112262,Catania
2022-01-11 17:00:00,114970,Catania
2022-01-12 17:00:00,118270,Catania
2022-01-13 17:00:00,121341,Catania
2022-01-14 17:00:00,124298,Catania
2022-01-15 17:00:00,126665,Catania
2022-01-16 17:00:00,129019,Catania
2022-01-17 17:00:00,130078,Catania
2022-01-18 17:00:00,132068,Catania
2022-01-19 17:00:00,133691,Catania
2022-01-20 17:00:00,135670,Catania
2022-01-21 17:00:00,137102,Catania
2022-01-22 17:00:00,138941,Catania
2022-01-23 17:00:00,140355,Catania
2022-01-24 17:00:00,141295,Catania
2022-01-25 17:00:00,142935,Catania
2022-01-26 17:00:00,144328,Catania
2022-01-27 17:00:00,146053,Catania
2022-01-28 17:00:00,147655,Catania
2022-01-29 17:00:00,149168,Catania
2022-01-30 17:00:00,150546,Catania
2022-01-31 17:00:00,151352,Catania
2022-02-01 17:00:00,152997,Catania
2022-02-02 17:00:00,154577,Catania
2022-02-03 17:00:00,156172,Catania
2022-02-04 17:00:00,157761,Catania
2022-02-05 17:00:00,158965,Catania
2022-02-06 17:00:00,160365,Catania
2022-02-07 17:00:00,161187,Catania
2022-02-08 17:00:00,162686,Catania
2022-02-09 17:00:00,164373,Catania
2022-02-10 17:00:00,165795,Catania
2022-02-11 17:00:00,167324,Catania
2022-02-12 17:00:00,168389,Catania
2022-02-13 17:00:00,169507,Catania
2022-02-14 17:00:00,170155,Catania
2022-02-15 17:00:00,171349,Catania
2022-02-16 17:00:00,172515,Catania
2022-02-17 17:00:00,173842,Catania
2022-02-18 17:00:00,174921,Catania
2022-02-19 17:00:00,176117,Catania
2022-02-20 17:00:00,177043,Catania
2022-02-21 17:00:00,177522,Catania
2022-02-22 17:00:00,178594,Catania
2022-02-23 17:00:00,179472,Catania
2022-02-24 17:00:00,180528,Catania
2022-02-25 17:00:00,181337,Catania
2022-02-26 17:00:00,182015,Catania
2022-02-27 17:00:00,182738,Catania
2022-02-28 17:00:00,182985,Catania
2022-03-01 17:00:00,183834,Catania
2022-03-02 17:00:00,184547,Catania
2022-03-03 17:00:00,185441,Catania
2022-03-04 17:00:00,185919,Catania
2022-03-05 17:00:00,186622,Catania
2022-03-06 17:00:00,187310,Catania
2022-03-07 17:00:00,187572,Catania
2022-03-08 17:00:00,188647,Catania
2022-03-09 17:00:00,189643,Catania
2022-03-10 17:00:00,190543,Catania
2022-03-11 17:00:00,191465,Catania
2022-03-12 17:00:00,192162,Catania
2022-03-13 17:00:00,192833,Catania
2022-03-14 17:00:00,193388,Catania
2022-03-15 17:00:00,194144,Catania
2022-03-16 17:00:00,195022,Catania
2022-03-17 17:00:00,195988,Catania
2022-03-18 17:00:00,197123,Catania
2022-03-19 17:00:00,198031,Catania
2022-03-20 17:00:00,198740,Catania
2022-03-21 17:00:00,198988,Catania
2022-03-22 17:00:00,199812,Catania
2022-03-23 17:00:00,200841,Catania
2022-03-24 17:00:00,201918,Catania
2022-03-25 17:00:00,202684,Catania
2022-03-26 17:00:00,203480,Catania
2022-03-27 17:00:00,204156,Catania
2022-03-28 17:00:00,204311,Catania
2022-03-29 17:00:00,205373,Catania
2022-03-30 17:00:00,206265,Catania
2022-03-31 17:00:00,207079,Catania
2022-04-01 17:00:00,208261,Catania
2022-04-02 17:00:00,209074,Catania
2022-04-03 17:00:00,209692,Catania
2022-04-04 17:00:00,209984,Catania
2022-04-05 17:00:00,211068,Catania
2022-04-06 17:00:00,211859,Catania
2022-04-07 17:00:00,212619,Catania
2022-04-08 17:00:00,213570,Catania
2022-04-09 17:00:00,214359,Catania
2022-04-10 17:00:00,215006,Catania
2022-04-11 17:00:00,215402,Catania
2022-04-12 17:00:00,216466,Catania
2022-04-13 17:00:00,217250,Catania
2022-04-14 17:00:00,218128,Catania
2022-04-15 17:00:00,218966,Catania
2022-04-16 17:00:00,219958,Catania
2022-04-17 17:00:00,220746,Catania
2022-04-18 17:00:00,220990,Catania
2022-04-19 17:00:00,221303,Catania
2022-04-20 17:00:00,222843,Catania
