data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,15107,Catanzaro
2022-01-02 17:00:00,15219,Catanzaro
2022-01-03 17:00:00,15440,Catanzaro
2022-01-04 17:00:00,15740,Catanzaro
2022-01-05 17:00:00,16179,Catanzaro
2022-01-06 17:00:00,16444,Catanzaro
2022-01-07 17:00:00,16509,Catanzaro
2022-01-08 17:00:00,16823,Catanzaro
2022-01-09 17:00:00,17070,Catanzaro
2022-01-10 17:00:00,17221,Catanzaro
2022-01-11 17:00:00,17426,Catanzaro
2022-01-12 17:00:00,17634,Catanzaro
2022-01-13 17:00:00,17854,Catanzaro
2022-01-14 17:00:00,19047,Catanzaro
2022-01-15 17:00:00,19262,Catanzaro
2022-01-16 17:00:00,19451,Catanzaro
2022-01-17 17:00:00,19530,Catanzaro
2022-01-18 17:00:00,20005,Catanzaro
2022-01-19 17:00:00,20276,Catanzaro
2022-01-20 17:00:00,20601,Catanzaro
2022-01-21 17:00:00,20927,Catanzaro
2022-01-22 17:00:00,21221,Catanzaro
2022-01-23 17:00:00,21485,Catanzaro
2022-01-24 17:00:00,21575,Catanzaro
2022-01-25 17:00:00,21907,Catanzaro
2022-01-26 17:00:00,22174,Catanzaro
2022-01-27 17:00:00,22419,Catanzaro
2022-01-28 17:00:00,22663,Catanzaro
2022-01-29 17:00:00,22951,Catanzaro
2022-01-30 17:00:00,23224,Catanzaro
2022-01-31 17:00:00,23406,Catanzaro
2022-02-01 17:00:00,23762,Catanzaro
2022-02-02 17:00:00,24077,Catanzaro
2022-02-03 17:00:00,24370,Catanzaro
2022-02-04 17:00:00,24642,Catanzaro
2022-02-05 17:00:00,24855,Catanzaro
2022-02-06 17:00:00,25071,Catanzaro
2022-02-07 17:00:00,25196,Catanzaro
2022-02-08 17:00:00,25568,Catanzaro
2022-02-09 17:00:00,25843,Catanzaro
2022-02-10 17:00:00,26024,Catanzaro
2022-02-11 17:00:00,26216,Catanzaro
2022-02-12 17:00:00,26391,Catanzaro
2022-02-13 17:00:00,26541,Catanzaro
2022-02-14 17:00:00,26601,Catanzaro
2022-02-15 17:00:00,26818,Catanzaro
2022-02-16 17:00:00,26986,Catanzaro
2022-02-17 17:00:00,27159,Catanzaro
2022-02-18 17:00:00,27325,Catanzaro
2022-02-19 17:00:00,27445,Catanzaro
2022-02-20 17:00:00,27540,Catanzaro
2022-02-21 17:00:00,27629,Catanzaro
2022-02-22 17:00:00,27878,Catanzaro
2022-02-23 17:00:00,28024,Catanzaro
2022-02-24 17:00:00,28169,Catanzaro
2022-02-25 17:00:00,28290,Catanzaro
2022-02-26 17:00:00,28405,Catanzaro
2022-02-27 17:00:00,28516,Catanzaro
2022-02-28 17:00:00,28558,Catanzaro
2022-03-01 17:00:00,28761,Catanzaro
2022-03-02 17:00:00,28814,Catanzaro
2022-03-03 17:00:00,28955,Catanzaro
2022-03-04 17:00:00,29110,Catanzaro
2022-03-05 17:00:00,29319,Catanzaro
2022-03-06 17:00:00,29503,Catanzaro
2022-03-07 17:00:00,29642,Catanzaro
2022-03-08 17:00:00,29934,Catanzaro
2022-03-09 17:00:00,30203,Catanzaro
2022-03-10 17:00:00,30504,Catanzaro
2022-03-11 17:00:00,30778,Catanzaro
