data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,28441,Chieti
2022-01-02 17:00:00,28667,Chieti
2022-01-03 17:00:00,29459,Chieti
2022-01-04 17:00:00,31318,Chieti
2022-01-05 17:00:00,32967,Chieti
2022-01-06 17:00:00,34487,Chieti
2022-01-07 17:00:00,34903,Chieti
2022-01-08 17:00:00,36520,Chieti
2022-01-09 17:00:00,36520,Chieti
2022-01-10 17:00:00,38739,Chieti
2022-01-11 17:00:00,40137,Chieti
2022-01-12 17:00:00,41271,Chieti
2022-01-13 17:00:00,42425,Chieti
2022-01-14 17:00:00,43522,Chieti
2022-01-15 17:00:00,44519,Chieti
2022-01-16 17:00:00,45464,Chieti
2022-01-17 17:00:00,45966,Chieti
2022-01-18 17:00:00,47381,Chieti
2022-01-19 17:00:00,48354,Chieti
2022-01-20 17:00:00,49397,Chieti
2022-01-21 17:00:00,50517,Chieti
2022-01-22 17:00:00,51451,Chieti
2022-01-23 17:00:00,52451,Chieti
2022-01-24 17:00:00,52887,Chieti
2022-01-25 17:00:00,54116,Chieti
2022-01-26 17:00:00,55136,Chieti
2022-01-27 17:00:00,56084,Chieti
2022-01-28 17:00:00,56958,Chieti
2022-01-29 17:00:00,57776,Chieti
2022-01-30 17:00:00,58529,Chieti
2022-01-31 17:00:00,58877,Chieti
2022-02-01 17:00:00,60019,Chieti
2022-02-02 17:00:00,60758,Chieti
2022-02-03 17:00:00,61563,Chieti
2022-02-04 17:00:00,62243,Chieti
2022-02-05 17:00:00,62889,Chieti
2022-02-06 17:00:00,63579,Chieti
2022-02-07 17:00:00,63914,Chieti
2022-02-08 17:00:00,64782,Chieti
2022-02-09 17:00:00,65360,Chieti
2022-02-10 17:00:00,65969,Chieti
2022-02-11 17:00:00,66511,Chieti
2022-02-12 17:00:00,66973,Chieti
2022-02-13 17:00:00,67453,Chieti
2022-02-14 17:00:00,67669,Chieti
2022-02-15 17:00:00,68311,Chieti
2022-02-16 17:00:00,68717,Chieti
2022-02-17 17:00:00,69140,Chieti
2022-02-18 17:00:00,69575,Chieti
2022-02-19 17:00:00,70063,Chieti
2022-02-20 17:00:00,70379,Chieti
2022-02-21 17:00:00,70537,Chieti
