data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,81750,Como
2022-01-02 17:00:00,82195,Como
2022-01-03 17:00:00,83060,Como
2022-01-04 17:00:00,85844,Como
2022-01-05 17:00:00,88532,Como
2022-01-06 17:00:00,91269,Como
2022-01-07 17:00:00,92347,Como
2022-01-08 17:00:00,95110,Como
2022-01-09 17:00:00,97567,Como
2022-01-10 17:00:00,98080,Como
2022-01-11 17:00:00,101359,Como
2022-01-12 17:00:00,103996,Como
2022-01-13 17:00:00,106257,Como
2022-01-14 17:00:00,108255,Como
2022-01-15 17:00:00,110198,Como
2022-01-16 17:00:00,111689,Como
2022-01-17 17:00:00,112205,Como
2022-01-18 17:00:00,114230,Como
2022-01-19 17:00:00,116125,Como
2022-01-20 17:00:00,117912,Como
2022-01-21 17:00:00,119624,Como
2022-01-22 17:00:00,121462,Como
2022-01-23 17:00:00,122852,Como
2022-01-24 17:00:00,123360,Como
2022-01-25 17:00:00,124821,Como
2022-01-26 17:00:00,126342,Como
2022-01-27 17:00:00,127992,Como
2022-01-28 17:00:00,129269,Como
2022-01-29 17:00:00,130305,Como
2022-01-30 17:00:00,131182,Como
2022-01-31 17:00:00,131584,Como
2022-02-01 17:00:00,132614,Como
2022-02-02 17:00:00,133696,Como
2022-02-03 17:00:00,134562,Como
2022-02-04 17:00:00,135278,Como
2022-02-05 17:00:00,135963,Como
2022-02-06 17:00:00,136366,Como
2022-02-07 17:00:00,136616,Como
2022-02-08 17:00:00,137384,Como
2022-02-09 17:00:00,137967,Como
2022-02-10 17:00:00,138546,Como
2022-02-11 17:00:00,139018,Como
2022-02-12 17:00:00,139480,Como
2022-02-13 17:00:00,139810,Como
2022-02-14 17:00:00,139941,Como
2022-02-15 17:00:00,140380,Como
2022-02-16 17:00:00,140688,Como
2022-02-17 17:00:00,141166,Como
2022-02-18 17:00:00,141522,Como
2022-02-19 17:00:00,141873,Como
2022-02-20 17:00:00,142155,Como
2022-02-21 17:00:00,142268,Como
2022-02-22 17:00:00,142660,Como
2022-02-23 17:00:00,142937,Como
2022-02-24 17:00:00,143205,Como
2022-02-25 17:00:00,143477,Como
2022-02-26 17:00:00,143743,Como
2022-02-27 17:00:00,143947,Como
2022-02-28 17:00:00,144024,Como
2022-03-01 17:00:00,144413,Como
2022-03-02 17:00:00,144663,Como
2022-03-03 17:00:00,144912,Como
2022-03-04 17:00:00,145169,Como
2022-03-05 17:00:00,145483,Como
2022-03-06 17:00:00,145721,Como
2022-03-07 17:00:00,145818,Como
2022-03-08 17:00:00,146208,Como
2022-03-09 17:00:00,146586,Como
2022-03-10 17:00:00,147000,Como
2022-03-11 17:00:00,147406,Como
2022-03-12 17:00:00,147779,Como
2022-03-13 17:00:00,148149,Como
2022-03-14 17:00:00,148321,Como
2022-03-15 17:00:00,148977,Como
2022-03-16 17:00:00,149442,Como
2022-03-17 17:00:00,150082,Como
2022-03-18 17:00:00,150601,Como
2022-03-19 17:00:00,151190,Como
2022-03-20 17:00:00,151618,Como
2022-03-21 17:00:00,151774,Como
2022-03-22 17:00:00,152495,Como
2022-03-23 17:00:00,153095,Como
2022-03-24 17:00:00,153655,Como
2022-03-25 17:00:00,154190,Como
2022-03-26 17:00:00,154596,Como
2022-03-27 17:00:00,154997,Como
2022-03-28 17:00:00,155143,Como
2022-03-29 17:00:00,155872,Como
2022-03-30 17:00:00,156354,Como
2022-03-31 17:00:00,156810,Como
2022-04-01 17:00:00,157342,Como
2022-04-02 17:00:00,157828,Como
2022-04-03 17:00:00,158215,Como
2022-04-04 17:00:00,158327,Como
2022-04-05 17:00:00,158999,Como
2022-04-06 17:00:00,159541,Como
2022-04-07 17:00:00,160019,Como
2022-04-08 17:00:00,160506,Como
2022-04-09 17:00:00,161015,Como
2022-04-10 17:00:00,161364,Como
2022-04-11 17:00:00,161496,Como
2022-04-12 17:00:00,162209,Como
2022-04-13 17:00:00,162741,Como
2022-04-14 17:00:00,163192,Como
2022-04-15 17:00:00,163757,Como
2022-04-16 17:00:00,164285,Como
2022-04-17 17:00:00,164692,Como
2022-04-18 17:00:00,164798,Como
2022-04-19 17:00:00,164865,Como
2022-04-20 17:00:00,165870,Como
2022-04-21 17:00:00,166541,Como
2022-04-22 17:00:00,167092,Como
2022-04-23 17:00:00,167620,Como
2022-04-24 17:00:00,168073,Como
2022-04-25 17:00:00,168204,Como
2022-04-26 17:00:00,168370,Como
2022-04-27 17:00:00,169198,Como
2022-04-28 17:00:00,169756,Como
2022-04-29 17:00:00,170206,Como
2022-04-30 17:00:00,170651,Como
2022-05-01 17:00:00,170961,Como
2022-05-02 17:00:00,171036,Como
2022-05-03 17:00:00,171647,Como
2022-05-04 17:00:00,172079,Como
2022-05-05 17:00:00,172474,Como
2022-05-06 17:00:00,172814,Como
2022-05-07 17:00:00,173139,Como
2022-05-08 17:00:00,173272,Como
2022-05-09 17:00:00,173359,Como
2022-05-10 17:00:00,173953,Como
2022-05-11 17:00:00,174356,Como
2022-05-12 17:00:00,174703,Como
2022-05-13 17:00:00,175079,Como
2022-05-14 17:00:00,175384,Como
2022-05-15 17:00:00,175606,Como
2022-05-16 17:00:00,175686,Como
2022-05-17 17:00:00,176089,Como
2022-05-18 17:00:00,176364,Como
2022-05-19 17:00:00,176606,Como
2022-05-20 17:00:00,176789,Como
2022-05-21 17:00:00,176977,Como
2022-05-22 17:00:00,177104,Como
2022-05-23 17:00:00,177146,Como
2022-05-24 17:00:00,177397,Como
2022-05-25 17:00:00,177573,Como
2022-05-26 17:00:00,177713,Como
2022-05-27 17:00:00,177864,Como
2022-05-28 17:00:00,177997,Como
2022-05-29 17:00:00,178087,Como
2022-05-30 17:00:00,178119,Como
2022-05-31 17:00:00,178299,Como
2022-06-01 17:00:00,178443,Como
2022-06-02 17:00:00,178565,Como
2022-06-03 17:00:00,178590,Como
2022-06-04 17:00:00,178764,Como
2022-06-05 17:00:00,178872,Como
2022-06-06 17:00:00,178912,Como
2022-06-07 17:00:00,179144,Como
2022-06-08 17:00:00,179327,Como
2022-06-09 17:00:00,179504,Como
2022-06-10 17:00:00,179700,Como
2022-06-11 17:00:00,179864,Como
2022-06-12 17:00:00,179998,Como
2022-06-13 17:00:00,180056,Como
2022-06-14 17:00:00,180422,Como
2022-06-15 17:00:00,180741,Como
2022-06-16 17:00:00,181016,Como
2022-06-17 17:00:00,181209,Como
2022-06-18 17:00:00,181547,Como
2022-06-19 17:00:00,181792,Como
2022-06-20 17:00:00,181886,Como
2022-06-21 17:00:00,182542,Como
2022-06-22 17:00:00,183010,Como
2022-06-23 17:00:00,183484,Como
2022-06-24 17:00:00,183921,Como
2022-06-25 17:00:00,184357,Como
2022-06-26 17:00:00,184738,Como
2022-06-27 17:00:00,184862,Como
2022-06-28 17:00:00,184965,Como
2022-06-29 17:00:00,186292,Como
2022-06-30 17:00:00,186918,Como
2022-07-01 17:00:00,187578,Como
2022-07-02 17:00:00,188212,Como
2022-07-03 17:00:00,188714,Como
2022-07-04 17:00:00,188869,Como
2022-07-05 17:00:00,189830,Como
2022-07-06 17:00:00,190572,Como
2022-07-07 17:00:00,191245,Como
2022-07-08 17:00:00,191878,Como
2022-07-09 17:00:00,192518,Como
2022-07-10 17:00:00,193030,Como
2022-07-11 17:00:00,193207,Como
2022-07-12 17:00:00,194294,Como
2022-07-13 17:00:00,195133,Como
2022-07-14 17:00:00,195886,Como
2022-07-15 17:00:00,196622,Como
2022-07-16 17:00:00,197287,Como
2022-07-17 17:00:00,197815,Como
2022-07-18 17:00:00,197969,Como
2022-07-19 17:00:00,198982,Como
2022-07-20 17:00:00,199607,Como
2022-07-21 17:00:00,200194,Como
2022-07-22 17:00:00,200684,Como
2022-07-23 17:00:00,201085,Como
2022-07-24 17:00:00,201442,Como
2022-07-25 17:00:00,201530,Como
2022-07-26 17:00:00,202167,Como
2022-07-27 17:00:00,202568,Como
2022-07-28 17:00:00,202929,Como
2022-07-29 17:00:00,203286,Como
2022-07-30 17:00:00,203608,Como
2022-07-31 17:00:00,203836,Como
2022-08-01 17:00:00,203899,Como
2022-08-02 17:00:00,204363,Como
2022-08-03 17:00:00,204616,Como
2022-08-04 17:00:00,204902,Como
2022-08-05 17:00:00,205183,Como
2022-08-06 17:00:00,205411,Como
2022-08-07 17:00:00,205590,Como
2022-08-08 17:00:00,205658,Como
2022-08-09 17:00:00,205964,Como
2022-08-10 17:00:00,206145,Como
2022-08-11 17:00:00,206346,Como
2022-08-12 17:00:00,206483,Como
2022-08-13 17:00:00,206645,Como
2022-08-14 17:00:00,206776,Como
2022-08-15 17:00:00,206817,Como
2022-08-16 17:00:00,206849,Como
2022-08-17 17:00:00,207140,Como
2022-08-18 17:00:00,207304,Como
2022-08-19 17:00:00,207456,Como
2022-08-20 17:00:00,207623,Como
2022-08-21 17:00:00,207750,Como
2022-08-22 17:00:00,207791,Como
2022-08-23 17:00:00,208090,Como
2022-08-24 17:00:00,208288,Como
2022-08-25 17:00:00,208496,Como
2022-08-26 17:00:00,208650,Como
2022-08-27 17:00:00,208831,Como
2022-08-28 17:00:00,208978,Como
2022-08-29 17:00:00,209049,Como
2022-08-30 17:00:00,209362,Como
2022-08-31 17:00:00,209530,Como
2022-09-01 17:00:00,209653,Como
2022-09-02 17:00:00,209821,Como
2022-09-03 17:00:00,209960,Como
2022-09-04 17:00:00,210070,Como
2022-09-05 17:00:00,210103,Como
2022-09-06 17:00:00,210271,Como
2022-09-07 17:00:00,210476,Como
2022-09-08 17:00:00,210628,Como
2022-09-09 17:00:00,210785,Como
2022-09-10 17:00:00,210923,Como
2022-09-11 17:00:00,211028,Como
2022-09-12 17:00:00,211074,Como
2022-09-13 17:00:00,211315,Como
2022-09-14 17:00:00,211515,Como
2022-09-15 17:00:00,211689,Como
2022-09-16 17:00:00,211892,Como
2022-09-17 17:00:00,212113,Como
2022-09-18 17:00:00,212132,Como
2022-09-19 17:00:00,212282,Como
2022-09-20 17:00:00,212662,Como
2022-09-21 17:00:00,212878,Como
2022-09-22 17:00:00,213123,Como
2022-09-23 17:00:00,213356,Como
2022-09-24 17:00:00,213667,Como
2022-09-25 17:00:00,213918,Como
2022-09-26 17:00:00,214001,Como
2022-09-27 17:00:00,214689,Como
2022-09-28 17:00:00,215242,Como
2022-09-29 17:00:00,215805,Como
2022-09-30 17:00:00,216333,Como
2022-10-01 17:00:00,216788,Como
2022-10-02 17:00:00,217214,Como
2022-10-03 17:00:00,217355,Como
2022-10-04 17:00:00,218415,Como
2022-10-05 17:00:00,219205,Como
2022-10-06 17:00:00,219992,Como
2022-10-07 17:00:00,220742,Como
2022-10-08 17:00:00,221421,Como
2022-10-09 17:00:00,221918,Como
2022-10-10 17:00:00,222107,Como
2022-10-11 17:00:00,223238,Como
2022-10-12 17:00:00,223988,Como
2022-10-13 17:00:00,224086,Como
2022-10-14 17:00:00,225343,Como
2022-10-15 17:00:00,225935,Como
2022-10-16 17:00:00,226375,Como
2022-10-17 17:00:00,226488,Como
2022-10-18 17:00:00,227454,Como
2022-10-19 17:00:00,228039,Como
2022-10-20 17:00:00,228682,Como
2022-10-21 17:00:00,229163,Como
2022-10-22 17:00:00,229615,Como
2022-10-23 17:00:00,229993,Como
2022-10-24 17:00:00,230100,Como
2022-10-25 17:00:00,230742,Como
2022-10-26 17:00:00,231195,Como
2022-10-27 17:00:00,231605,Como
2022-10-28 17:00:00,231998,Como
2022-10-29 17:00:00,232328,Como
2022-10-30 17:00:00,232565,Como
2022-10-31 17:00:00,232640,Como
2022-11-01 17:00:00,233103,Como
