data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,33966,Cosenza
2022-01-02 17:00:00,34070,Cosenza
2022-01-03 17:00:00,34188,Cosenza
2022-01-04 17:00:00,34338,Cosenza
2022-01-05 17:00:00,34592,Cosenza
2022-01-06 17:00:00,34955,Cosenza
2022-01-07 17:00:00,35312,Cosenza
2022-01-08 17:00:00,35739,Cosenza
2022-01-09 17:00:00,36063,Cosenza
2022-01-10 17:00:00,36517,Cosenza
2022-01-11 17:00:00,36945,Cosenza
2022-01-12 17:00:00,37397,Cosenza
2022-01-13 17:00:00,37968,Cosenza
2022-01-14 17:00:00,38591,Cosenza
2022-01-15 17:00:00,38992,Cosenza
2022-01-16 17:00:00,39367,Cosenza
2022-01-17 17:00:00,39677,Cosenza
2022-01-18 17:00:00,40253,Cosenza
2022-01-19 17:00:00,40572,Cosenza
2022-01-20 17:00:00,40853,Cosenza
2022-01-21 17:00:00,41027,Cosenza
2022-01-22 17:00:00,41184,Cosenza
2022-01-23 17:00:00,41330,Cosenza
2022-01-24 17:00:00,41369,Cosenza
2022-01-25 17:00:00,41497,Cosenza
2022-01-26 17:00:00,41671,Cosenza
2022-01-27 17:00:00,41866,Cosenza
2022-01-28 17:00:00,41950,Cosenza
2022-01-29 17:00:00,42170,Cosenza
2022-01-30 17:00:00,42273,Cosenza
2022-01-31 17:00:00,42286,Cosenza
2022-02-01 17:00:00,42393,Cosenza
2022-02-02 17:00:00,42540,Cosenza
2022-02-03 17:00:00,42864,Cosenza
2022-02-04 17:00:00,42982,Cosenza
2022-02-05 17:00:00,43111,Cosenza
2022-02-06 17:00:00,43203,Cosenza
2022-02-07 17:00:00,43227,Cosenza
2022-02-08 17:00:00,43321,Cosenza
2022-02-09 17:00:00,43533,Cosenza
2022-02-10 17:00:00,43647,Cosenza
2022-02-11 17:00:00,43767,Cosenza
2022-02-12 17:00:00,43924,Cosenza
2022-02-13 17:00:00,44131,Cosenza
2022-02-14 17:00:00,44149,Cosenza
2022-02-15 17:00:00,44229,Cosenza
2022-02-16 17:00:00,44350,Cosenza
2022-02-17 17:00:00,44546,Cosenza
2022-02-18 17:00:00,44653,Cosenza
2022-02-19 17:00:00,44819,Cosenza
2022-02-20 17:00:00,44900,Cosenza
2022-02-21 17:00:00,44922,Cosenza
2022-02-22 17:00:00,45000,Cosenza
