data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,39385,Cremona
2022-01-02 17:00:00,39637,Cremona
2022-01-03 17:00:00,39939,Cremona
2022-01-04 17:00:00,41556,Cremona
2022-01-05 17:00:00,43089,Cremona
2022-01-06 17:00:00,44770,Cremona
2022-01-07 17:00:00,45217,Cremona
2022-01-08 17:00:00,46937,Cremona
2022-01-09 17:00:00,48125,Cremona
2022-01-10 17:00:00,48449,Cremona
2022-01-11 17:00:00,50060,Cremona
2022-01-12 17:00:00,51455,Cremona
2022-01-13 17:00:00,52633,Cremona
2022-01-14 17:00:00,53720,Cremona
2022-01-15 17:00:00,54823,Cremona
2022-01-16 17:00:00,55762,Cremona
2022-01-17 17:00:00,56015,Cremona
2022-01-18 17:00:00,57237,Cremona
2022-01-19 17:00:00,58600,Cremona
2022-01-20 17:00:00,59799,Cremona
2022-01-21 17:00:00,61051,Cremona
2022-01-22 17:00:00,62214,Cremona
2022-01-23 17:00:00,63017,Cremona
2022-01-24 17:00:00,63198,Cremona
2022-01-25 17:00:00,64301,Cremona
2022-01-26 17:00:00,65318,Cremona
2022-01-27 17:00:00,66312,Cremona
2022-01-28 17:00:00,67177,Cremona
2022-01-29 17:00:00,67906,Cremona
2022-01-30 17:00:00,68482,Cremona
2022-01-31 17:00:00,68626,Cremona
2022-02-01 17:00:00,69436,Cremona
2022-02-02 17:00:00,70073,Cremona
2022-02-03 17:00:00,70750,Cremona
2022-02-04 17:00:00,71147,Cremona
2022-02-05 17:00:00,71583,Cremona
2022-02-06 17:00:00,71917,Cremona
2022-02-07 17:00:00,71997,Cremona
2022-02-08 17:00:00,72448,Cremona
2022-02-09 17:00:00,72808,Cremona
2022-02-10 17:00:00,73120,Cremona
2022-02-11 17:00:00,73358,Cremona
2022-02-12 17:00:00,73584,Cremona
2022-02-13 17:00:00,73785,Cremona
2022-02-14 17:00:00,73843,Cremona
2022-02-15 17:00:00,74145,Cremona
2022-02-16 17:00:00,74364,Cremona
2022-02-17 17:00:00,74597,Cremona
2022-02-18 17:00:00,74791,Cremona
2022-02-19 17:00:00,74992,Cremona
2022-02-20 17:00:00,75159,Cremona
2022-02-21 17:00:00,75215,Cremona
2022-02-22 17:00:00,75523,Cremona
2022-02-23 17:00:00,75762,Cremona
2022-02-24 17:00:00,76023,Cremona
2022-02-25 17:00:00,76216,Cremona
2022-02-26 17:00:00,76424,Cremona
2022-02-27 17:00:00,76552,Cremona
2022-02-28 17:00:00,76583,Cremona
2022-03-01 17:00:00,76815,Cremona
2022-03-02 17:00:00,77001,Cremona
2022-03-03 17:00:00,77180,Cremona
2022-03-04 17:00:00,77356,Cremona
