data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,10465,Crotone
2022-01-02 17:00:00,10468,Crotone
2022-01-03 17:00:00,10624,Crotone
2022-01-04 17:00:00,10828,Crotone
2022-01-05 17:00:00,10968,Crotone
2022-01-06 17:00:00,11039,Crotone
2022-01-07 17:00:00,11173,Crotone
2022-01-08 17:00:00,11451,Crotone
2022-01-09 17:00:00,11498,Crotone
2022-01-10 17:00:00,11682,Crotone
2022-01-11 17:00:00,11834,Crotone
2022-01-12 17:00:00,11925,Crotone
2022-01-13 17:00:00,13026,Crotone
2022-01-14 17:00:00,13147,Crotone
2022-01-15 17:00:00,13377,Crotone
2022-01-16 17:00:00,13447,Crotone
2022-01-17 17:00:00,13608,Crotone
2022-01-18 17:00:00,13927,Crotone
2022-01-19 17:00:00,14047,Crotone
2022-01-20 17:00:00,14235,Crotone
2022-01-21 17:00:00,14319,Crotone
2022-01-22 17:00:00,14449,Crotone
2022-01-23 17:00:00,14580,Crotone
2022-01-24 17:00:00,14729,Crotone
2022-01-25 17:00:00,14876,Crotone
2022-01-26 17:00:00,15094,Crotone
2022-01-27 17:00:00,15322,Crotone
2022-01-28 17:00:00,15559,Crotone
2022-01-29 17:00:00,15773,Crotone
2022-01-30 17:00:00,16021,Crotone
2022-01-31 17:00:00,16276,Crotone
2022-02-01 17:00:00,16381,Crotone
2022-02-02 17:00:00,16751,Crotone
2022-02-03 17:00:00,17143,Crotone
2022-02-04 17:00:00,17300,Crotone
2022-02-05 17:00:00,17563,Crotone
2022-02-06 17:00:00,17638,Crotone
2022-02-07 17:00:00,17795,Crotone
2022-02-08 17:00:00,18113,Crotone
2022-02-09 17:00:00,18389,Crotone
2022-02-10 17:00:00,18621,Crotone
2022-02-11 17:00:00,18825,Crotone
2022-02-12 17:00:00,19045,Crotone
2022-02-13 17:00:00,19116,Crotone
2022-02-14 17:00:00,19267,Crotone
2022-02-15 17:00:00,19631,Crotone
2022-02-16 17:00:00,19870,Crotone
2022-02-17 17:00:00,20079,Crotone
2022-02-18 17:00:00,20187,Crotone
2022-02-19 17:00:00,20430,Crotone
2022-02-20 17:00:00,20529,Crotone
2022-02-21 17:00:00,20776,Crotone
2022-02-22 17:00:00,21089,Crotone
2022-02-23 17:00:00,21249,Crotone
2022-02-24 17:00:00,21421,Crotone
2022-02-25 17:00:00,21594,Crotone
2022-02-26 17:00:00,21616,Crotone
2022-02-27 17:00:00,21626,Crotone
2022-02-28 17:00:00,21908,Crotone
2022-03-01 17:00:00,22171,Crotone
2022-03-02 17:00:00,22330,Crotone
2022-03-03 17:00:00,22491,Crotone
2022-03-04 17:00:00,22684,Crotone
2022-03-05 17:00:00,22882,Crotone
2022-03-06 17:00:00,22902,Crotone
2022-03-07 17:00:00,23136,Crotone
2022-03-08 17:00:00,23299,Crotone
2022-03-09 17:00:00,23727,Crotone
2022-03-10 17:00:00,23981,Crotone
2022-03-11 17:00:00,24260,Crotone
2022-03-12 17:00:00,24578,Crotone
2022-03-13 17:00:00,24615,Crotone
2022-03-14 17:00:00,24883,Crotone
2022-03-15 17:00:00,25474,Crotone
2022-03-16 17:00:00,25760,Crotone
2022-03-17 17:00:00,26235,Crotone
2022-03-18 17:00:00,26569,Crotone
2022-03-19 17:00:00,26913,Crotone
2022-03-20 17:00:00,26950,Crotone
2022-03-21 17:00:00,27290,Crotone
2022-03-22 17:00:00,27826,Crotone
2022-03-23 17:00:00,28222,Crotone
2022-03-24 17:00:00,28596,Crotone
2022-03-25 17:00:00,28921,Crotone
2022-03-26 17:00:00,29243,Crotone
2022-03-27 17:00:00,29346,Crotone
2022-03-28 17:00:00,29586,Crotone
2022-03-29 17:00:00,30103,Crotone
2022-03-30 17:00:00,30401,Crotone
2022-03-31 17:00:00,30622,Crotone
2022-04-01 17:00:00,30960,Crotone
2022-04-02 17:00:00,30997,Crotone
2022-04-03 17:00:00,31015,Crotone
2022-04-04 17:00:00,31566,Crotone
2022-04-05 17:00:00,31857,Crotone
2022-04-06 17:00:00,32095,Crotone
2022-04-07 17:00:00,32301,Crotone
2022-04-08 17:00:00,32514,Crotone
2022-04-09 17:00:00,32691,Crotone
2022-04-10 17:00:00,32704,Crotone
2022-04-11 17:00:00,32926,Crotone
2022-04-12 17:00:00,33185,Crotone
2022-04-13 17:00:00,33362,Crotone
2022-04-14 17:00:00,33551,Crotone
2022-04-15 17:00:00,33703,Crotone
2022-04-16 17:00:00,33915,Crotone
2022-04-17 17:00:00,33918,Crotone
2022-04-18 17:00:00,34115,Crotone
2022-04-19 17:00:00,34175,Crotone
2022-04-20 17:00:00,34570,Crotone
2022-04-21 17:00:00,34851,Crotone
2022-04-22 17:00:00,35078,Crotone
2022-04-23 17:00:00,35166,Crotone
2022-04-24 17:00:00,35379,Crotone
2022-04-25 17:00:00,35521,Crotone
2022-04-26 17:00:00,35726,Crotone
2022-04-27 17:00:00,36099,Crotone
2022-04-28 17:00:00,36354,Crotone
2022-04-29 17:00:00,36532,Crotone
2022-04-30 17:00:00,36665,Crotone
2022-05-01 17:00:00,36709,Crotone
2022-05-02 17:00:00,36874,Crotone
2022-05-03 17:00:00,37172,Crotone
2022-05-04 17:00:00,37357,Crotone
2022-05-05 17:00:00,37548,Crotone
2022-05-06 17:00:00,37716,Crotone
2022-05-07 17:00:00,37866,Crotone
2022-05-08 17:00:00,37867,Crotone
2022-05-09 17:00:00,38054,Crotone
2022-05-10 17:00:00,38277,Crotone
2022-05-11 17:00:00,38466,Crotone
2022-05-12 17:00:00,38501,Crotone
2022-05-13 17:00:00,38756,Crotone
2022-05-14 17:00:00,38892,Crotone
2022-05-15 17:00:00,38902,Crotone
2022-05-16 17:00:00,38925,Crotone
2022-05-17 17:00:00,39267,Crotone
2022-05-18 17:00:00,39444,Crotone
2022-05-19 17:00:00,39607,Crotone
2022-05-20 17:00:00,39749,Crotone
2022-05-21 17:00:00,39880,Crotone
2022-05-22 17:00:00,39881,Crotone
2022-05-23 17:00:00,40031,Crotone
2022-05-24 17:00:00,40215,Crotone
2022-05-25 17:00:00,40332,Crotone
2022-05-26 17:00:00,40345,Crotone
2022-05-27 17:00:00,40420,Crotone
2022-05-28 17:00:00,40509,Crotone
2022-05-29 17:00:00,40589,Crotone
2022-05-30 17:00:00,40687,Crotone
2022-05-31 17:00:00,40819,Crotone
2022-06-01 17:00:00,40902,Crotone
2022-06-02 17:00:00,40921,Crotone
2022-06-03 17:00:00,40994,Crotone
2022-06-04 17:00:00,41081,Crotone
2022-06-05 17:00:00,41082,Crotone
2022-06-06 17:00:00,41163,Crotone
2022-06-07 17:00:00,41228,Crotone
2022-06-08 17:00:00,41283,Crotone
2022-06-09 17:00:00,41336,Crotone
2022-06-10 17:00:00,41389,Crotone
2022-06-11 17:00:00,41445,Crotone
2022-06-12 17:00:00,41448,Crotone
2022-06-13 17:00:00,41490,Crotone
2022-06-14 17:00:00,41566,Crotone
2022-06-15 17:00:00,41634,Crotone
2022-06-16 17:00:00,41686,Crotone
2022-06-17 17:00:00,41749,Crotone
2022-06-18 17:00:00,41815,Crotone
2022-06-19 17:00:00,41818,Crotone
2022-06-20 17:00:00,41888,Crotone
2022-06-21 17:00:00,41923,Crotone
2022-06-22 17:00:00,42072,Crotone
2022-06-23 17:00:00,42161,Crotone
2022-06-24 17:00:00,42257,Crotone
2022-06-25 17:00:00,42349,Crotone
2022-06-26 17:00:00,42363,Crotone
2022-06-27 17:00:00,42452,Crotone
2022-06-28 17:00:00,42635,Crotone
2022-06-29 17:00:00,42766,Crotone
2022-06-30 17:00:00,42904,Crotone
2022-07-01 17:00:00,43043,Crotone
2022-07-02 17:00:00,43213,Crotone
2022-07-03 17:00:00,43217,Crotone
2022-07-04 17:00:00,43390,Crotone
