data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,16469,Fermo
2022-01-02 17:00:00,16479,Fermo
2022-01-03 17:00:00,16484,Fermo
2022-01-04 17:00:00,16733,Fermo
2022-01-05 17:00:00,17202,Fermo
2022-01-06 17:00:00,17684,Fermo
2022-01-07 17:00:00,17713,Fermo
2022-01-08 17:00:00,17957,Fermo
2022-01-09 17:00:00,18214,Fermo
2022-01-10 17:00:00,18273,Fermo
2022-01-11 17:00:00,18503,Fermo
2022-01-12 17:00:00,18709,Fermo
2022-01-13 17:00:00,18992,Fermo
2022-01-14 17:00:00,19396,Fermo
2022-01-15 17:00:00,20035,Fermo
2022-01-16 17:00:00,20543,Fermo
2022-01-17 17:00:00,20722,Fermo
2022-01-18 17:00:00,21581,Fermo
2022-01-19 17:00:00,22279,Fermo
2022-01-20 17:00:00,23062,Fermo
2022-01-21 17:00:00,23694,Fermo
2022-01-22 17:00:00,24398,Fermo
2022-01-23 17:00:00,25021,Fermo
2022-01-24 17:00:00,25232,Fermo
2022-01-25 17:00:00,26141,Fermo
2022-01-26 17:00:00,26838,Fermo
2022-01-27 17:00:00,27439,Fermo
2022-01-28 17:00:00,28020,Fermo
2022-01-29 17:00:00,28609,Fermo
2022-01-30 17:00:00,29125,Fermo
2022-01-31 17:00:00,29300,Fermo
2022-02-01 17:00:00,30018,Fermo
2022-02-02 17:00:00,30557,Fermo
2022-02-03 17:00:00,31053,Fermo
2022-02-04 17:00:00,31499,Fermo
2022-02-05 17:00:00,31828,Fermo
2022-02-06 17:00:00,32129,Fermo
2022-02-07 17:00:00,32209,Fermo
2022-02-08 17:00:00,32634,Fermo
2022-02-09 17:00:00,32987,Fermo
2022-02-10 17:00:00,33342,Fermo
2022-02-11 17:00:00,33667,Fermo
2022-02-12 17:00:00,33963,Fermo
2022-02-13 17:00:00,34234,Fermo
2022-02-14 17:00:00,34337,Fermo
2022-02-15 17:00:00,34710,Fermo
2022-02-16 17:00:00,34964,Fermo
2022-02-17 17:00:00,35279,Fermo
2022-02-18 17:00:00,35515,Fermo
2022-02-19 17:00:00,35815,Fermo
2022-02-20 17:00:00,36058,Fermo
2022-02-21 17:00:00,36126,Fermo
2022-02-22 17:00:00,36466,Fermo
2022-02-23 17:00:00,36686,Fermo
2022-02-24 17:00:00,36919,Fermo
2022-02-25 17:00:00,37136,Fermo
2022-02-26 17:00:00,37316,Fermo
2022-02-27 17:00:00,37509,Fermo
2022-02-28 17:00:00,37591,Fermo
2022-03-01 17:00:00,37846,Fermo
2022-03-02 17:00:00,38006,Fermo
2022-03-03 17:00:00,38152,Fermo
2022-03-04 17:00:00,38390,Fermo
2022-03-05 17:00:00,38561,Fermo
2022-03-06 17:00:00,38773,Fermo
2022-03-07 17:00:00,38876,Fermo
2022-03-08 17:00:00,39156,Fermo
2022-03-09 17:00:00,39356,Fermo
2022-03-10 17:00:00,39581,Fermo
2022-03-11 17:00:00,39780,Fermo
2022-03-12 17:00:00,39993,Fermo
2022-03-13 17:00:00,40294,Fermo
2022-03-14 17:00:00,40405,Fermo
2022-03-15 17:00:00,40925,Fermo
2022-03-16 17:00:00,41268,Fermo
2022-03-17 17:00:00,41655,Fermo
2022-03-18 17:00:00,42072,Fermo
2022-03-19 17:00:00,42439,Fermo
2022-03-20 17:00:00,42807,Fermo
2022-03-21 17:00:00,42931,Fermo
2022-03-22 17:00:00,43456,Fermo
2022-03-23 17:00:00,43789,Fermo
2022-03-24 17:00:00,44154,Fermo
2022-03-25 17:00:00,44500,Fermo
2022-03-26 17:00:00,44810,Fermo
2022-03-27 17:00:00,45075,Fermo
2022-03-28 17:00:00,45136,Fermo
2022-03-29 17:00:00,45561,Fermo
2022-03-30 17:00:00,45864,Fermo
2022-03-31 17:00:00,46184,Fermo
2022-04-01 17:00:00,46476,Fermo
2022-04-02 17:00:00,46765,Fermo
2022-04-03 17:00:00,46979,Fermo
2022-04-04 17:00:00,47066,Fermo
2022-04-05 17:00:00,47416,Fermo
2022-04-06 17:00:00,47668,Fermo
