data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,34337,Ferrara
2022-01-02 17:00:00,34854,Ferrara
2022-01-03 17:00:00,35394,Ferrara
2022-01-04 17:00:00,36298,Ferrara
2022-01-05 17:00:00,37193,Ferrara
2022-01-06 17:00:00,39755,Ferrara
2022-01-07 17:00:00,40624,Ferrara
2022-01-08 17:00:00,40819,Ferrara
2022-01-09 17:00:00,42483,Ferrara
2022-01-10 17:00:00,43760,Ferrara
2022-01-11 17:00:00,44375,Ferrara
2022-01-12 17:00:00,45734,Ferrara
2022-01-13 17:00:00,46938,Ferrara
2022-01-14 17:00:00,48299,Ferrara
2022-01-15 17:00:00,49499,Ferrara
2022-01-16 17:00:00,50776,Ferrara
2022-01-17 17:00:00,51719,Ferrara
2022-01-18 17:00:00,52398,Ferrara
2022-01-19 17:00:00,54033,Ferrara
2022-01-20 17:00:00,55356,Ferrara
2022-01-21 17:00:00,56368,Ferrara
2022-01-22 17:00:00,56469,Ferrara
2022-01-23 17:00:00,58747,Ferrara
2022-01-24 17:00:00,60066,Ferrara
2022-01-25 17:00:00,60865,Ferrara
2022-01-26 17:00:00,62292,Ferrara
2022-01-27 17:00:00,63492,Ferrara
2022-01-28 17:00:00,64632,Ferrara
2022-01-29 17:00:00,65645,Ferrara
2022-01-30 17:00:00,66589,Ferrara
2022-01-31 17:00:00,67420,Ferrara
2022-02-01 17:00:00,67887,Ferrara
2022-02-02 17:00:00,68857,Ferrara
2022-02-03 17:00:00,70645,Ferrara
2022-02-04 17:00:00,72552,Ferrara
2022-02-05 17:00:00,73206,Ferrara
2022-02-06 17:00:00,73866,Ferrara
2022-02-07 17:00:00,74381,Ferrara
2022-02-08 17:00:00,74649,Ferrara
2022-02-09 17:00:00,75308,Ferrara
2022-02-10 17:00:00,75741,Ferrara
2022-02-11 17:00:00,76220,Ferrara
2022-02-12 17:00:00,76628,Ferrara
2022-02-13 17:00:00,76937,Ferrara
2022-02-14 17:00:00,77206,Ferrara
2022-02-15 17:00:00,77373,Ferrara
2022-02-16 17:00:00,77693,Ferrara
2022-02-17 17:00:00,77938,Ferrara
2022-02-18 17:00:00,78220,Ferrara
2022-02-19 17:00:00,78525,Ferrara
2022-02-20 17:00:00,78789,Ferrara
2022-02-21 17:00:00,78990,Ferrara
2022-02-22 17:00:00,79126,Ferrara
2022-02-23 17:00:00,79418,Ferrara
2022-02-24 17:00:00,79645,Ferrara
2022-02-25 17:00:00,79892,Ferrara
2022-02-26 17:00:00,80101,Ferrara
2022-02-27 17:00:00,80288,Ferrara
2022-02-28 17:00:00,80433,Ferrara
2022-03-01 17:00:00,80533,Ferrara
2022-03-02 17:00:00,80741,Ferrara
2022-03-03 17:00:00,80894,Ferrara
2022-03-04 17:00:00,81066,Ferrara
2022-03-05 17:00:00,81247,Ferrara
2022-03-06 17:00:00,81418,Ferrara
2022-03-07 17:00:00,81589,Ferrara
2022-03-08 17:00:00,81666,Ferrara
2022-03-09 17:00:00,81929,Ferrara
2022-03-10 17:00:00,82112,Ferrara
2022-03-11 17:00:00,82334,Ferrara
2022-03-12 17:00:00,82545,Ferrara
2022-03-13 17:00:00,82758,Ferrara
2022-03-14 17:00:00,82957,Ferrara
2022-03-15 17:00:00,83068,Ferrara
2022-03-16 17:00:00,83377,Ferrara
2022-03-17 17:00:00,83650,Ferrara
2022-03-18 17:00:00,83961,Ferrara
2022-03-19 17:00:00,84243,Ferrara
2022-03-20 17:00:00,84558,Ferrara
2022-03-21 17:00:00,84770,Ferrara
2022-03-22 17:00:00,84906,Ferrara
2022-03-23 17:00:00,85289,Ferrara
2022-03-24 17:00:00,85601,Ferrara
2022-03-25 17:00:00,85920,Ferrara
2022-03-26 17:00:00,86231,Ferrara
2022-03-27 17:00:00,86583,Ferrara
2022-03-28 17:00:00,86852,Ferrara
