data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,113519,Firenze
2022-01-02 17:00:00,115932,Firenze
2022-01-03 17:00:00,119131,Firenze
2022-01-04 17:00:00,125317,Firenze
2022-01-05 17:00:00,130673,Firenze
2022-01-06 17:00:00,136486,Firenze
2022-01-07 17:00:00,139681,Firenze
2022-01-08 17:00:00,144306,Firenze
2022-01-09 17:00:00,148357,Firenze
2022-01-10 17:00:00,150273,Firenze
2022-01-11 17:00:00,155490,Firenze
2022-01-12 17:00:00,159600,Firenze
2022-01-13 17:00:00,163858,Firenze
2022-01-14 17:00:00,167584,Firenze
2022-01-15 17:00:00,171425,Firenze
2022-01-16 17:00:00,174487,Firenze
2022-01-17 17:00:00,176585,Firenze
2022-01-18 17:00:00,180919,Firenze
2022-01-19 17:00:00,184504,Firenze
2022-01-20 17:00:00,188981,Firenze
2022-01-21 17:00:00,193038,Firenze
2022-01-22 17:00:00,196968,Firenze
2022-01-23 17:00:00,200222,Firenze
2022-01-24 17:00:00,201754,Firenze
2022-01-25 17:00:00,205679,Firenze
2022-01-26 17:00:00,208958,Firenze
2022-01-27 17:00:00,212573,Firenze
2022-01-28 17:00:00,215779,Firenze
2022-01-29 17:00:00,218593,Firenze
2022-01-30 17:00:00,220920,Firenze
2022-01-31 17:00:00,222074,Firenze
2022-02-01 17:00:00,224654,Firenze
2022-02-02 17:00:00,226844,Firenze
2022-02-03 17:00:00,229130,Firenze
2022-02-04 17:00:00,230946,Firenze
2022-02-05 17:00:00,232662,Firenze
2022-02-06 17:00:00,234088,Firenze
2022-02-07 17:00:00,234750,Firenze
2022-02-08 17:00:00,236389,Firenze
2022-02-09 17:00:00,237681,Firenze
2022-02-10 17:00:00,239029,Firenze
2022-02-11 17:00:00,240122,Firenze
2022-02-12 17:00:00,241062,Firenze
2022-02-13 17:00:00,241812,Firenze
2022-02-14 17:00:00,242213,Firenze
2022-02-15 17:00:00,243315,Firenze
2022-02-16 17:00:00,244114,Firenze
2022-02-17 17:00:00,245011,Firenze
2022-02-18 17:00:00,245740,Firenze
2022-02-19 17:00:00,246374,Firenze
2022-02-20 17:00:00,246957,Firenze
2022-02-21 17:00:00,247294,Firenze
2022-02-22 17:00:00,248013,Firenze
2022-02-23 17:00:00,248586,Firenze
2022-02-24 17:00:00,249223,Firenze
2022-02-25 17:00:00,249765,Firenze
2022-02-26 17:00:00,250230,Firenze
2022-02-27 17:00:00,250671,Firenze
2022-02-28 17:00:00,250889,Firenze
2022-03-01 17:00:00,251429,Firenze
2022-03-02 17:00:00,251885,Firenze
2022-03-03 17:00:00,252461,Firenze
2022-03-04 17:00:00,253038,Firenze
2022-03-05 17:00:00,253559,Firenze
2022-03-06 17:00:00,254060,Firenze
2022-03-07 17:00:00,254310,Firenze
2022-03-08 17:00:00,255032,Firenze
2022-03-09 17:00:00,255720,Firenze
2022-03-10 17:00:00,256534,Firenze
2022-03-11 17:00:00,257348,Firenze
2022-03-12 17:00:00,258213,Firenze
2022-03-13 17:00:00,258935,Firenze
2022-03-14 17:00:00,259276,Firenze
2022-03-15 17:00:00,260527,Firenze
2022-03-16 17:00:00,261605,Firenze
2022-03-17 17:00:00,262725,Firenze
2022-03-18 17:00:00,263819,Firenze
2022-03-19 17:00:00,264945,Firenze
2022-03-20 17:00:00,265934,Firenze
2022-03-21 17:00:00,266385,Firenze
2022-03-22 17:00:00,267734,Firenze
2022-03-23 17:00:00,268837,Firenze
2022-03-24 17:00:00,270056,Firenze
2022-03-25 17:00:00,271342,Firenze
2022-03-26 17:00:00,272418,Firenze
2022-03-27 17:00:00,273353,Firenze
2022-03-28 17:00:00,273709,Firenze
2022-03-29 17:00:00,275191,Firenze
