data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,54840,Foggia
2022-01-02 17:00:00,55299,Foggia
2022-01-03 17:00:00,55591,Foggia
2022-01-04 17:00:00,56015,Foggia
2022-01-05 17:00:00,56569,Foggia
2022-01-06 17:00:00,57211,Foggia
2022-01-07 17:00:00,57949,Foggia
2022-01-08 17:00:00,59084,Foggia
2022-01-09 17:00:00,59585,Foggia
2022-01-10 17:00:00,59898,Foggia
2022-01-11 17:00:00,60957,Foggia
2022-01-12 17:00:00,61363,Foggia
2022-01-13 17:00:00,61849,Foggia
2022-01-14 17:00:00,64960,Foggia
2022-01-15 17:00:00,67746,Foggia
2022-01-16 17:00:00,69737,Foggia
2022-01-17 17:00:00,70611,Foggia
2022-01-18 17:00:00,74285,Foggia
2022-01-19 17:00:00,76682,Foggia
2022-01-20 17:00:00,79024,Foggia
2022-01-21 17:00:00,81181,Foggia
2022-01-22 17:00:00,83372,Foggia
2022-01-23 17:00:00,85047,Foggia
2022-01-24 17:00:00,85592,Foggia
2022-01-25 17:00:00,87788,Foggia
2022-01-26 17:00:00,89234,Foggia
2022-01-27 17:00:00,90469,Foggia
2022-01-28 17:00:00,91737,Foggia
2022-01-29 17:00:00,93468,Foggia
2022-01-30 17:00:00,93768,Foggia
2022-01-31 17:00:00,94150,Foggia
2022-02-01 17:00:00,95434,Foggia
2022-02-02 17:00:00,96501,Foggia
2022-02-03 17:00:00,97557,Foggia
2022-02-04 17:00:00,98557,Foggia
2022-02-05 17:00:00,99481,Foggia
2022-02-06 17:00:00,100221,Foggia
2022-02-07 17:00:00,100596,Foggia
2022-02-08 17:00:00,102061,Foggia
2022-02-09 17:00:00,102913,Foggia
2022-02-10 17:00:00,103849,Foggia
2022-02-11 17:00:00,104676,Foggia
2022-02-12 17:00:00,105470,Foggia
2022-02-13 17:00:00,106041,Foggia
2022-02-14 17:00:00,106484,Foggia
2022-02-15 17:00:00,107565,Foggia
2022-02-16 17:00:00,108291,Foggia
2022-02-17 17:00:00,109095,Foggia
2022-02-18 17:00:00,109725,Foggia
2022-02-19 17:00:00,110490,Foggia
2022-02-20 17:00:00,111065,Foggia
2022-02-21 17:00:00,111383,Foggia
2022-02-22 17:00:00,112321,Foggia
2022-02-23 17:00:00,112955,Foggia
2022-02-24 17:00:00,113544,Foggia
2022-02-25 17:00:00,114065,Foggia
2022-02-26 17:00:00,114611,Foggia
2022-02-27 17:00:00,114957,Foggia
2022-02-28 17:00:00,115199,Foggia
2022-03-01 17:00:00,115840,Foggia
2022-03-02 17:00:00,116357,Foggia
2022-03-03 17:00:00,116897,Foggia
2022-03-04 17:00:00,117421,Foggia
2022-03-05 17:00:00,117967,Foggia
2022-03-06 17:00:00,118347,Foggia
2022-03-07 17:00:00,118541,Foggia
2022-03-08 17:00:00,119353,Foggia
2022-03-09 17:00:00,119948,Foggia
2022-03-10 17:00:00,120554,Foggia
2022-03-11 17:00:00,121160,Foggia
2022-03-12 17:00:00,121885,Foggia
2022-03-13 17:00:00,122373,Foggia
2022-03-14 17:00:00,122802,Foggia
2022-03-15 17:00:00,123804,Foggia
2022-03-16 17:00:00,124604,Foggia
2022-03-17 17:00:00,125618,Foggia
2022-03-18 17:00:00,126649,Foggia
2022-03-19 17:00:00,127633,Foggia
2022-03-20 17:00:00,128364,Foggia
2022-03-21 17:00:00,128674,Foggia
2022-03-22 17:00:00,130208,Foggia
2022-03-23 17:00:00,131122,Foggia
2022-03-24 17:00:00,132165,Foggia
2022-03-25 17:00:00,133119,Foggia
2022-03-26 17:00:00,134153,Foggia
2022-03-27 17:00:00,134912,Foggia
2022-03-28 17:00:00,135266,Foggia
2022-03-29 17:00:00,136624,Foggia
2022-03-30 17:00:00,137560,Foggia
2022-03-31 17:00:00,138404,Foggia
2022-04-01 17:00:00,139318,Foggia
2022-04-02 17:00:00,140127,Foggia
2022-04-03 17:00:00,140679,Foggia
2022-04-04 17:00:00,141012,Foggia
2022-04-05 17:00:00,142101,Foggia
2022-04-06 17:00:00,142788,Foggia
2022-04-07 17:00:00,143502,Foggia
2022-04-08 17:00:00,144162,Foggia
