data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,55610,Forlì-Cesena
2022-01-02 17:00:00,56779,Forlì-Cesena
2022-01-03 17:00:00,57325,Forlì-Cesena
2022-01-04 17:00:00,58232,Forlì-Cesena
2022-01-05 17:00:00,60021,Forlì-Cesena
2022-01-06 17:00:00,62440,Forlì-Cesena
2022-01-07 17:00:00,64379,Forlì-Cesena
2022-01-08 17:00:00,66130,Forlì-Cesena
2022-01-09 17:00:00,68449,Forlì-Cesena
2022-01-10 17:00:00,70468,Forlì-Cesena
2022-01-11 17:00:00,71919,Forlì-Cesena
2022-01-12 17:00:00,74027,Forlì-Cesena
2022-01-13 17:00:00,75956,Forlì-Cesena
2022-01-14 17:00:00,78178,Forlì-Cesena
2022-01-15 17:00:00,80164,Forlì-Cesena
2022-01-16 17:00:00,82141,Forlì-Cesena
2022-01-17 17:00:00,83712,Forlì-Cesena
2022-01-18 17:00:00,84950,Forlì-Cesena
2022-01-19 17:00:00,87403,Forlì-Cesena
2022-01-20 17:00:00,89484,Forlì-Cesena
2022-01-21 17:00:00,91733,Forlì-Cesena
2022-01-22 17:00:00,93734,Forlì-Cesena
2022-01-23 17:00:00,95703,Forlì-Cesena
2022-01-24 17:00:00,97052,Forlì-Cesena
2022-01-25 17:00:00,98552,Forlì-Cesena
2022-01-26 17:00:00,100652,Forlì-Cesena
2022-01-27 17:00:00,102091,Forlì-Cesena
2022-01-28 17:00:00,103772,Forlì-Cesena
2022-01-29 17:00:00,105528,Forlì-Cesena
2022-01-30 17:00:00,106890,Forlì-Cesena
2022-01-31 17:00:00,107938,Forlì-Cesena
2022-02-01 17:00:00,108531,Forlì-Cesena
2022-02-02 17:00:00,109991,Forlì-Cesena
2022-02-03 17:00:00,111221,Forlì-Cesena
2022-02-04 17:00:00,112141,Forlì-Cesena
2022-02-05 17:00:00,112887,Forlì-Cesena
2022-02-06 17:00:00,113533,Forlì-Cesena
2022-02-07 17:00:00,114160,Forlì-Cesena
2022-02-08 17:00:00,114619,Forlì-Cesena
2022-02-09 17:00:00,115276,Forlì-Cesena
2022-02-10 17:00:00,115786,Forlì-Cesena
2022-02-11 17:00:00,116273,Forlì-Cesena
2022-02-12 17:00:00,116661,Forlì-Cesena
2022-02-13 17:00:00,117063,Forlì-Cesena
2022-02-14 17:00:00,117309,Forlì-Cesena
2022-02-15 17:00:00,117631,Forlì-Cesena
2022-02-16 17:00:00,117984,Forlì-Cesena
2022-02-17 17:00:00,118276,Forlì-Cesena
2022-02-18 17:00:00,118635,Forlì-Cesena
2022-02-19 17:00:00,118886,Forlì-Cesena
2022-02-20 17:00:00,119201,Forlì-Cesena
2022-02-21 17:00:00,119359,Forlì-Cesena
2022-02-22 17:00:00,119599,Forlì-Cesena
2022-02-23 17:00:00,119876,Forlì-Cesena
2022-02-24 17:00:00,120129,Forlì-Cesena
2022-02-25 17:00:00,120370,Forlì-Cesena
2022-02-26 17:00:00,120548,Forlì-Cesena
2022-02-27 17:00:00,120710,Forlì-Cesena
2022-02-28 17:00:00,120836,Forlì-Cesena
2022-03-01 17:00:00,120974,Forlì-Cesena
2022-03-02 17:00:00,121229,Forlì-Cesena
2022-03-03 17:00:00,121435,Forlì-Cesena
2022-03-04 17:00:00,121670,Forlì-Cesena
2022-03-05 17:00:00,121885,Forlì-Cesena
2022-03-06 17:00:00,122115,Forlì-Cesena
2022-03-07 17:00:00,122266,Forlì-Cesena
2022-03-08 17:00:00,122440,Forlì-Cesena
2022-03-09 17:00:00,122679,Forlì-Cesena
2022-03-10 17:00:00,122927,Forlì-Cesena
2022-03-11 17:00:00,123230,Forlì-Cesena
2022-03-12 17:00:00,123490,Forlì-Cesena
2022-03-13 17:00:00,123801,Forlì-Cesena
2022-03-14 17:00:00,124024,Forlì-Cesena
2022-03-15 17:00:00,124278,Forlì-Cesena
2022-03-16 17:00:00,124615,Forlì-Cesena
2022-03-17 17:00:00,124957,Forlì-Cesena
2022-03-18 17:00:00,125325,Forlì-Cesena
2022-03-19 17:00:00,125678,Forlì-Cesena
2022-03-20 17:00:00,126111,Forlì-Cesena
2022-03-21 17:00:00,126303,Forlì-Cesena
2022-03-22 17:00:00,126632,Forlì-Cesena
2022-03-23 17:00:00,127058,Forlì-Cesena
2022-03-24 17:00:00,127399,Forlì-Cesena
2022-03-25 17:00:00,127899,Forlì-Cesena
2022-03-26 17:00:00,128298,Forlì-Cesena
2022-03-27 17:00:00,128692,Forlì-Cesena
2022-03-28 17:00:00,128974,Forlì-Cesena
2022-03-29 17:00:00,129177,Forlì-Cesena
2022-03-30 17:00:00,129658,Forlì-Cesena
2022-03-31 17:00:00,130078,Forlì-Cesena
2022-04-01 17:00:00,130531,Forlì-Cesena
2022-04-02 17:00:00,130897,Forlì-Cesena
2022-04-03 17:00:00,131320,Forlì-Cesena
2022-04-04 17:00:00,131557,Forlì-Cesena
2022-04-05 17:00:00,131791,Forlì-Cesena
2022-04-06 17:00:00,132216,Forlì-Cesena
2022-04-07 17:00:00,132614,Forlì-Cesena
2022-04-08 17:00:00,133063,Forlì-Cesena
2022-04-09 17:00:00,133441,Forlì-Cesena
2022-04-10 17:00:00,133892,Forlì-Cesena
2022-04-11 17:00:00,134114,Forlì-Cesena
2022-04-12 17:00:00,134398,Forlì-Cesena
2022-04-13 17:00:00,134851,Forlì-Cesena
2022-04-14 17:00:00,135307,Forlì-Cesena
2022-04-15 17:00:00,135710,Forlì-Cesena
2022-04-16 17:00:00,136114,Forlì-Cesena
2022-04-17 17:00:00,136577,Forlì-Cesena
2022-04-18 17:00:00,136791,Forlì-Cesena
2022-04-19 17:00:00,136983,Forlì-Cesena
2022-04-20 17:00:00,137317,Forlì-Cesena
2022-04-21 17:00:00,137742,Forlì-Cesena
2022-04-22 17:00:00,138267,Forlì-Cesena
2022-04-23 17:00:00,138654,Forlì-Cesena
2022-04-24 17:00:00,139104,Forlì-Cesena
2022-04-25 17:00:00,139362,Forlì-Cesena
2022-04-26 17:00:00,139539,Forlì-Cesena
2022-04-27 17:00:00,139867,Forlì-Cesena
2022-04-28 17:00:00,140323,Forlì-Cesena
2022-04-29 17:00:00,140701,Forlì-Cesena
2022-04-30 17:00:00,141142,Forlì-Cesena
2022-05-01 17:00:00,141472,Forlì-Cesena
2022-05-02 17:00:00,141656,Forlì-Cesena
2022-05-03 17:00:00,141855,Forlì-Cesena
2022-05-04 17:00:00,142138,Forlì-Cesena
2022-05-05 17:00:00,142475,Forlì-Cesena
2022-05-06 17:00:00,142800,Forlì-Cesena
2022-05-07 17:00:00,143087,Forlì-Cesena
2022-05-08 17:00:00,143400,Forlì-Cesena
2022-05-09 17:00:00,143577,Forlì-Cesena
2022-05-10 17:00:00,143793,Forlì-Cesena
2022-05-11 17:00:00,144071,Forlì-Cesena
2022-05-12 17:00:00,144401,Forlì-Cesena
2022-05-13 17:00:00,144671,Forlì-Cesena
2022-05-14 17:00:00,144906,Forlì-Cesena
2022-05-15 17:00:00,145147,Forlì-Cesena
2022-05-16 17:00:00,145292,Forlì-Cesena
2022-05-17 17:00:00,145439,Forlì-Cesena
2022-05-18 17:00:00,145666,Forlì-Cesena
2022-05-19 17:00:00,145902,Forlì-Cesena
2022-05-20 17:00:00,146073,Forlì-Cesena
2022-05-21 17:00:00,146229,Forlì-Cesena
2022-05-22 17:00:00,146411,Forlì-Cesena
2022-05-23 17:00:00,146510,Forlì-Cesena
2022-05-24 17:00:00,146607,Forlì-Cesena
2022-05-25 17:00:00,146768,Forlì-Cesena
2022-05-26 17:00:00,146899,Forlì-Cesena
2022-05-27 17:00:00,147036,Forlì-Cesena
2022-05-28 17:00:00,147151,Forlì-Cesena
2022-05-29 17:00:00,147288,Forlì-Cesena
2022-05-30 17:00:00,147380,Forlì-Cesena
2022-05-31 17:00:00,147462,Forlì-Cesena
2022-06-01 17:00:00,147610,Forlì-Cesena
2022-06-02 17:00:00,147607,Forlì-Cesena
2022-06-03 17:00:00,147806,Forlì-Cesena
2022-06-04 17:00:00,147880,Forlì-Cesena
2022-06-05 17:00:00,148012,Forlì-Cesena
2022-06-06 17:00:00,148113,Forlì-Cesena
2022-06-07 17:00:00,148215,Forlì-Cesena
2022-06-08 17:00:00,148379,Forlì-Cesena
2022-06-09 17:00:00,148554,Forlì-Cesena
2022-06-10 17:00:00,148740,Forlì-Cesena
2022-06-11 17:00:00,148916,Forlì-Cesena
2022-06-12 17:00:00,149114,Forlì-Cesena
2022-06-13 17:00:00,149225,Forlì-Cesena
2022-06-14 17:00:00,149419,Forlì-Cesena
2022-06-15 17:00:00,149750,Forlì-Cesena
2022-06-16 17:00:00,150071,Forlì-Cesena
2022-06-17 17:00:00,150454,Forlì-Cesena
2022-06-18 17:00:00,150812,Forlì-Cesena
2022-06-19 17:00:00,151151,Forlì-Cesena
2022-06-20 17:00:00,151344,Forlì-Cesena
2022-06-21 17:00:00,151659,Forlì-Cesena
2022-06-22 17:00:00,152165,Forlì-Cesena
2022-06-23 17:00:00,152692,Forlì-Cesena
2022-06-24 17:00:00,153209,Forlì-Cesena
2022-06-25 17:00:00,153731,Forlì-Cesena
2022-06-26 17:00:00,154199,Forlì-Cesena
2022-06-27 17:00:00,154552,Forlì-Cesena
2022-06-28 17:00:00,155059,Forlì-Cesena
2022-06-29 17:00:00,155780,Forlì-Cesena
2022-06-30 17:00:00,156540,Forlì-Cesena
2022-07-01 17:00:00,157243,Forlì-Cesena
2022-07-02 17:00:00,157936,Forlì-Cesena
2022-07-03 17:00:00,158610,Forlì-Cesena
2022-07-04 17:00:00,159032,Forlì-Cesena
2022-07-05 17:00:00,159612,Forlì-Cesena
2022-07-06 17:00:00,160520,Forlì-Cesena
2022-07-07 17:00:00,161395,Forlì-Cesena
2022-07-08 17:00:00,162222,Forlì-Cesena
2022-07-09 17:00:00,163035,Forlì-Cesena
2022-07-10 17:00:00,163725,Forlì-Cesena
2022-07-11 17:00:00,164188,Forlì-Cesena
2022-07-12 17:00:00,164872,Forlì-Cesena
2022-07-13 17:00:00,165781,Forlì-Cesena
2022-07-14 17:00:00,166714,Forlì-Cesena
2022-07-15 17:00:00,167488,Forlì-Cesena
2022-07-16 17:00:00,168198,Forlì-Cesena
2022-07-17 17:00:00,168865,Forlì-Cesena
2022-07-18 17:00:00,169303,Forlì-Cesena
2022-07-19 17:00:00,169873,Forlì-Cesena
2022-07-20 17:00:00,170624,Forlì-Cesena
2022-07-21 17:00:00,171259,Forlì-Cesena
2022-07-22 17:00:00,171807,Forlì-Cesena
2022-07-23 17:00:00,172367,Forlì-Cesena
2022-07-24 17:00:00,172893,Forlì-Cesena
2022-07-25 17:00:00,173194,Forlì-Cesena
2022-07-26 17:00:00,173606,Forlì-Cesena
2022-07-27 17:00:00,174137,Forlì-Cesena
2022-07-28 17:00:00,174614,Forlì-Cesena
2022-07-29 17:00:00,175073,Forlì-Cesena
2022-07-30 17:00:00,175486,Forlì-Cesena
2022-07-31 17:00:00,175864,Forlì-Cesena
2022-08-01 17:00:00,176082,Forlì-Cesena
2022-08-02 17:00:00,176418,Forlì-Cesena
2022-08-03 17:00:00,176795,Forlì-Cesena
2022-08-04 17:00:00,177199,Forlì-Cesena
2022-08-05 17:00:00,177540,Forlì-Cesena
2022-08-06 17:00:00,177826,Forlì-Cesena
2022-08-07 17:00:00,178100,Forlì-Cesena
2022-08-08 17:00:00,178246,Forlì-Cesena
2022-08-09 17:00:00,178254,Forlì-Cesena
2022-08-10 17:00:00,178707,Forlì-Cesena
2022-08-11 17:00:00,178977,Forlì-Cesena
2022-08-12 17:00:00,179169,Forlì-Cesena
2022-08-13 17:00:00,179395,Forlì-Cesena
2022-08-14 17:00:00,179538,Forlì-Cesena
2022-08-15 17:00:00,179636,Forlì-Cesena
2022-08-16 17:00:00,179733,Forlì-Cesena
2022-08-17 17:00:00,179873,Forlì-Cesena
2022-08-18 17:00:00,180066,Forlì-Cesena
2022-08-19 17:00:00,180255,Forlì-Cesena
2022-08-20 17:00:00,180421,Forlì-Cesena
2022-08-21 17:00:00,180567,Forlì-Cesena
2022-08-22 17:00:00,180677,Forlì-Cesena
2022-08-23 17:00:00,180842,Forlì-Cesena
2022-08-24 17:00:00,181002,Forlì-Cesena
2022-08-25 17:00:00,181152,Forlì-Cesena
2022-08-26 17:00:00,181293,Forlì-Cesena
2022-08-27 17:00:00,181471,Forlì-Cesena
2022-08-28 17:00:00,181611,Forlì-Cesena
2022-08-29 17:00:00,181708,Forlì-Cesena
2022-08-30 17:00:00,181846,Forlì-Cesena
2022-08-31 17:00:00,182023,Forlì-Cesena
2022-09-01 17:00:00,182197,Forlì-Cesena
2022-09-02 17:00:00,182370,Forlì-Cesena
2022-09-03 17:00:00,182517,Forlì-Cesena
2022-09-04 17:00:00,182669,Forlì-Cesena
2022-09-05 17:00:00,182780,Forlì-Cesena
2022-09-06 17:00:00,182924,Forlì-Cesena
2022-09-07 17:00:00,183088,Forlì-Cesena
2022-09-08 17:00:00,183273,Forlì-Cesena
2022-09-09 17:00:00,183444,Forlì-Cesena
2022-09-10 17:00:00,183564,Forlì-Cesena
2022-09-11 17:00:00,183665,Forlì-Cesena
2022-09-12 17:00:00,183744,Forlì-Cesena
2022-09-13 17:00:00,183744,Forlì-Cesena
2022-09-14 17:00:00,183988,Forlì-Cesena
2022-09-15 17:00:00,184123,Forlì-Cesena
2022-09-16 17:00:00,184263,Forlì-Cesena
2022-09-17 17:00:00,184390,Forlì-Cesena
2022-09-18 17:00:00,184499,Forlì-Cesena
2022-09-19 17:00:00,184574,Forlì-Cesena
2022-09-20 17:00:00,184694,Forlì-Cesena
2022-09-21 17:00:00,184868,Forlì-Cesena
2022-09-22 17:00:00,185056,Forlì-Cesena
2022-09-23 17:00:00,185220,Forlì-Cesena
2022-09-24 17:00:00,185412,Forlì-Cesena
2022-09-25 17:00:00,185590,Forlì-Cesena
2022-09-26 17:00:00,185734,Forlì-Cesena
2022-09-27 17:00:00,185985,Forlì-Cesena
2022-09-28 17:00:00,186332,Forlì-Cesena
2022-09-29 17:00:00,186754,Forlì-Cesena
2022-09-30 17:00:00,187075,Forlì-Cesena
2022-10-01 17:00:00,187391,Forlì-Cesena
2022-10-02 17:00:00,187702,Forlì-Cesena
2022-10-03 17:00:00,187918,Forlì-Cesena
2022-10-04 17:00:00,188228,Forlì-Cesena
2022-10-05 17:00:00,188733,Forlì-Cesena
2022-10-06 17:00:00,189206,Forlì-Cesena
2022-10-07 17:00:00,189607,Forlì-Cesena
2022-10-08 17:00:00,190027,Forlì-Cesena
2022-10-09 17:00:00,190432,Forlì-Cesena
2022-10-10 17:00:00,190694,Forlì-Cesena
2022-10-11 17:00:00,191012,Forlì-Cesena
2022-10-12 17:00:00,191453,Forlì-Cesena
2022-10-13 17:00:00,191885,Forlì-Cesena
2022-10-14 17:00:00,192213,Forlì-Cesena
2022-10-15 17:00:00,192500,Forlì-Cesena
2022-10-16 17:00:00,192820,Forlì-Cesena
2022-10-17 17:00:00,193003,Forlì-Cesena
2022-10-18 17:00:00,193257,Forlì-Cesena
2022-10-19 17:00:00,193536,Forlì-Cesena
2022-10-20 17:00:00,193844,Forlì-Cesena
2022-10-21 17:00:00,194164,Forlì-Cesena
2022-10-22 17:00:00,194443,Forlì-Cesena
2022-10-23 17:00:00,194662,Forlì-Cesena
2022-10-24 17:00:00,194803,Forlì-Cesena
2022-10-25 17:00:00,195015,Forlì-Cesena
2022-10-26 17:00:00,195291,Forlì-Cesena
2022-10-27 17:00:00,195559,Forlì-Cesena
2022-10-28 17:00:00,195778,Forlì-Cesena
2022-10-29 17:00:00,195989,Forlì-Cesena
2022-10-30 17:00:00,196189,Forlì-Cesena
2022-10-31 17:00:00,196318,Forlì-Cesena
2022-11-01 17:00:00,196491,Forlì-Cesena
2022-11-02 17:00:00,196648,Forlì-Cesena
2022-11-03 17:00:00,196784,Forlì-Cesena
2022-11-04 17:00:00,197015,Forlì-Cesena
2022-11-05 17:00:00,197242,Forlì-Cesena
2022-11-06 17:00:00,197458,Forlì-Cesena
2022-11-07 17:00:00,197617,Forlì-Cesena
2022-11-08 17:00:00,197755,Forlì-Cesena
2022-11-09 17:00:00,197987,Forlì-Cesena
2022-11-10 17:00:00,198210,Forlì-Cesena
2022-11-11 17:00:00,198459,Forlì-Cesena
2022-11-12 17:00:00,198604,Forlì-Cesena
2022-11-13 17:00:00,198809,Forlì-Cesena
2022-11-14 17:00:00,198941,Forlì-Cesena
2022-11-15 17:00:00,199132,Forlì-Cesena
2022-11-16 17:00:00,199410,Forlì-Cesena
2022-11-17 17:00:00,199755,Forlì-Cesena
2022-11-18 17:00:00,200038,Forlì-Cesena
2022-11-19 17:00:00,200296,Forlì-Cesena
2022-11-20 17:00:00,200524,Forlì-Cesena
2022-11-21 17:00:00,200706,Forlì-Cesena
2022-11-22 17:00:00,200979,Forlì-Cesena
2022-11-23 17:00:00,201369,Forlì-Cesena
2022-11-24 17:00:00,201725,Forlì-Cesena
2022-11-25 17:00:00,202052,Forlì-Cesena
2022-11-26 17:00:00,202395,Forlì-Cesena
2022-11-27 17:00:00,202738,Forlì-Cesena
2022-11-28 17:00:00,202967,Forlì-Cesena
2022-11-29 17:00:00,203260,Forlì-Cesena
2022-11-30 17:00:00,203644,Forlì-Cesena
2022-12-01 17:00:00,204117,Forlì-Cesena
2022-12-02 17:00:00,204484,Forlì-Cesena
2022-12-03 17:00:00,204878,Forlì-Cesena
2022-12-04 17:00:00,205169,Forlì-Cesena
2022-12-05 17:00:00,205408,Forlì-Cesena
2022-12-06 17:00:00,205697,Forlì-Cesena
2022-12-07 17:00:00,206059,Forlì-Cesena
2022-12-08 17:00:00,206495,Forlì-Cesena
2022-12-09 17:00:00,206704,Forlì-Cesena
2022-12-10 17:00:00,206922,Forlì-Cesena
2022-12-11 17:00:00,207191,Forlì-Cesena
2022-12-12 17:00:00,207364,Forlì-Cesena
2022-12-13 17:00:00,207588,Forlì-Cesena
2022-12-14 17:00:00,207841,Forlì-Cesena
2022-12-15 17:00:00,208043,Forlì-Cesena
2022-12-16 17:00:00,208235,Forlì-Cesena
2022-12-17 17:00:00,208427,Forlì-Cesena
2022-12-18 17:00:00,208597,Forlì-Cesena
2022-12-19 17:00:00,208704,Forlì-Cesena
2022-12-20 17:00:00,208841,Forlì-Cesena
2022-12-21 17:00:00,208999,Forlì-Cesena
2022-12-22 17:00:00,209159,Forlì-Cesena
2022-12-23 17:00:00,209307,Forlì-Cesena
2022-12-24 17:00:00,209465,Forlì-Cesena
2022-12-25 17:00:00,209592,Forlì-Cesena
2022-12-26 17:00:00,209666,Forlì-Cesena
2022-12-27 17:00:00,209731,Forlì-Cesena
2022-12-28 17:00:00,209901,Forlì-Cesena
2022-12-29 17:00:00,210084,Forlì-Cesena
2022-12-30 17:00:00,210241,Forlì-Cesena
2022-12-31 17:00:00,210478,Forlì-Cesena
