data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,43300,Frosinone
2022-01-02 17:00:00,43453,Frosinone
2022-01-03 17:00:00,43680,Frosinone
2022-01-04 17:00:00,44807,Frosinone
2022-01-05 17:00:00,45766,Frosinone
2022-01-06 17:00:00,46768,Frosinone
2022-01-07 17:00:00,47023,Frosinone
2022-01-08 17:00:00,48089,Frosinone
2022-01-09 17:00:00,49069,Frosinone
2022-01-10 17:00:00,49395,Frosinone
2022-01-11 17:00:00,50498,Frosinone
2022-01-12 17:00:00,51348,Frosinone
2022-01-13 17:00:00,52118,Frosinone
2022-01-14 17:00:00,52951,Frosinone
2022-01-15 17:00:00,53670,Frosinone
2022-01-16 17:00:00,54496,Frosinone
2022-01-17 17:00:00,54813,Frosinone
2022-01-18 17:00:00,55912,Frosinone
2022-01-19 17:00:00,56852,Frosinone
2022-01-20 17:00:00,57708,Frosinone
2022-01-21 17:00:00,58434,Frosinone
2022-01-22 17:00:00,59483,Frosinone
2022-01-23 17:00:00,60350,Frosinone
2022-01-24 17:00:00,60617,Frosinone
2022-01-25 17:00:00,61830,Frosinone
2022-01-26 17:00:00,62854,Frosinone
2022-01-27 17:00:00,63838,Frosinone
2022-01-28 17:00:00,64644,Frosinone
2022-01-29 17:00:00,65586,Frosinone
2022-01-30 17:00:00,66534,Frosinone
2022-01-31 17:00:00,66801,Frosinone
2022-02-01 17:00:00,68008,Frosinone
2022-02-02 17:00:00,68893,Frosinone
2022-02-03 17:00:00,69691,Frosinone
2022-02-04 17:00:00,70439,Frosinone
2022-02-05 17:00:00,71294,Frosinone
2022-02-06 17:00:00,72007,Frosinone
2022-02-07 17:00:00,72187,Frosinone
2022-02-08 17:00:00,73166,Frosinone
2022-02-09 17:00:00,73830,Frosinone
2022-02-10 17:00:00,74503,Frosinone
2022-02-11 17:00:00,75128,Frosinone
2022-02-12 17:00:00,75668,Frosinone
2022-02-13 17:00:00,76226,Frosinone
2022-02-14 17:00:00,76355,Frosinone
2022-02-15 17:00:00,76941,Frosinone
2022-02-16 17:00:00,77508,Frosinone
2022-02-17 17:00:00,78109,Frosinone
2022-02-18 17:00:00,78563,Frosinone
2022-02-19 17:00:00,78977,Frosinone
2022-02-20 17:00:00,79421,Frosinone
2022-02-21 17:00:00,79549,Frosinone
2022-02-22 17:00:00,80064,Frosinone
2022-02-23 17:00:00,80522,Frosinone
2022-02-24 17:00:00,80977,Frosinone
2022-02-25 17:00:00,81412,Frosinone
2022-02-26 17:00:00,81761,Frosinone
2022-02-27 17:00:00,82144,Frosinone
2022-02-28 17:00:00,82463,Frosinone
2022-03-01 17:00:00,82700,Frosinone
2022-03-02 17:00:00,83004,Frosinone
2022-03-03 17:00:00,83348,Frosinone
2022-03-04 17:00:00,83734,Frosinone
2022-03-05 17:00:00,84089,Frosinone
2022-03-06 17:00:00,84527,Frosinone
2022-03-07 17:00:00,84645,Frosinone
2022-03-08 17:00:00,85369,Frosinone
2022-03-09 17:00:00,85892,Frosinone
2022-03-10 17:00:00,86470,Frosinone
2022-03-11 17:00:00,86996,Frosinone
2022-03-12 17:00:00,87626,Frosinone
2022-03-13 17:00:00,88287,Frosinone
2022-03-14 17:00:00,88495,Frosinone
2022-03-15 17:00:00,89687,Frosinone
2022-03-16 17:00:00,90503,Frosinone
2022-03-17 17:00:00,91432,Frosinone
2022-03-18 17:00:00,92227,Frosinone
2022-03-19 17:00:00,93093,Frosinone
2022-03-20 17:00:00,93807,Frosinone
2022-03-21 17:00:00,94105,Frosinone
2022-03-22 17:00:00,95282,Frosinone
2022-03-23 17:00:00,95998,Frosinone
2022-03-24 17:00:00,96862,Frosinone
2022-03-25 17:00:00,97729,Frosinone
2022-03-26 17:00:00,98484,Frosinone
2022-03-27 17:00:00,99220,Frosinone
2022-03-28 17:00:00,99456,Frosinone
2022-03-29 17:00:00,100550,Frosinone
2022-03-30 17:00:00,101454,Frosinone
2022-03-31 17:00:00,102216,Frosinone
2022-04-01 17:00:00,102962,Frosinone
2022-04-02 17:00:00,103975,Frosinone
2022-04-03 17:00:00,104559,Frosinone
2022-04-04 17:00:00,104737,Frosinone
2022-04-05 17:00:00,105595,Frosinone
2022-04-06 17:00:00,106302,Frosinone
2022-04-07 17:00:00,107014,Frosinone
2022-04-08 17:00:00,107639,Frosinone
2022-04-09 17:00:00,108246,Frosinone
2022-04-10 17:00:00,108975,Frosinone
2022-04-11 17:00:00,109167,Frosinone
2022-04-12 17:00:00,109930,Frosinone
2022-04-13 17:00:00,110487,Frosinone
2022-04-14 17:00:00,111205,Frosinone
2022-04-15 17:00:00,111702,Frosinone
2022-04-16 17:00:00,112159,Frosinone
2022-04-17 17:00:00,112626,Frosinone
2022-04-18 17:00:00,112705,Frosinone
2022-04-19 17:00:00,112802,Frosinone
2022-04-20 17:00:00,113676,Frosinone
2022-04-21 17:00:00,114232,Frosinone
2022-04-22 17:00:00,114793,Frosinone
2022-04-23 17:00:00,115370,Frosinone
2022-04-24 17:00:00,115976,Frosinone
2022-04-25 17:00:00,116145,Frosinone
2022-04-26 17:00:00,116332,Frosinone
2022-04-27 17:00:00,117083,Frosinone
2022-04-28 17:00:00,117752,Frosinone
2022-04-29 17:00:00,118511,Frosinone
2022-04-30 17:00:00,119075,Frosinone
2022-05-01 17:00:00,119377,Frosinone
2022-05-02 17:00:00,119481,Frosinone
2022-05-03 17:00:00,119869,Frosinone
2022-05-04 17:00:00,120448,Frosinone
2022-05-05 17:00:00,120800,Frosinone
2022-05-06 17:00:00,121179,Frosinone
2022-05-07 17:00:00,121493,Frosinone
2022-05-08 17:00:00,121782,Frosinone
2022-05-09 17:00:00,121870,Frosinone
2022-05-10 17:00:00,122415,Frosinone
2022-05-11 17:00:00,122787,Frosinone
2022-05-12 17:00:00,123209,Frosinone
2022-05-13 17:00:00,123535,Frosinone
2022-05-14 17:00:00,123857,Frosinone
2022-05-15 17:00:00,124056,Frosinone
2022-05-16 17:00:00,124171,Frosinone
2022-05-17 17:00:00,124564,Frosinone
2022-05-18 17:00:00,124791,Frosinone
2022-05-19 17:00:00,125041,Frosinone
2022-05-20 17:00:00,125292,Frosinone
2022-05-21 17:00:00,125456,Frosinone
2022-05-22 17:00:00,125581,Frosinone
2022-05-23 17:00:00,125614,Frosinone
2022-05-24 17:00:00,125872,Frosinone
2022-05-25 17:00:00,125955,Frosinone
2022-05-26 17:00:00,126115,Frosinone
2022-05-27 17:00:00,126231,Frosinone
2022-05-28 17:00:00,126366,Frosinone
2022-05-29 17:00:00,126491,Frosinone
2022-05-30 17:00:00,126516,Frosinone
2022-05-31 17:00:00,126727,Frosinone
2022-06-01 17:00:00,126842,Frosinone
2022-06-02 17:00:00,126967,Frosinone
2022-06-03 17:00:00,126977,Frosinone
2022-06-04 17:00:00,127157,Frosinone
2022-06-05 17:00:00,127273,Frosinone
2022-06-06 17:00:00,127302,Frosinone
2022-06-07 17:00:00,127493,Frosinone
2022-06-08 17:00:00,127637,Frosinone
2022-06-09 17:00:00,127830,Frosinone
2022-06-10 17:00:00,128005,Frosinone
2022-06-11 17:00:00,128161,Frosinone
2022-06-12 17:00:00,128294,Frosinone
2022-06-13 17:00:00,128321,Frosinone
2022-06-14 17:00:00,128576,Frosinone
2022-06-15 17:00:00,128807,Frosinone
2022-06-16 17:00:00,129123,Frosinone
2022-06-17 17:00:00,129450,Frosinone
2022-06-18 17:00:00,129761,Frosinone
2022-06-19 17:00:00,130013,Frosinone
2022-06-20 17:00:00,130077,Frosinone
2022-06-21 17:00:00,130633,Frosinone
2022-06-22 17:00:00,131046,Frosinone
2022-06-23 17:00:00,131483,Frosinone
2022-06-24 17:00:00,131993,Frosinone
2022-06-25 17:00:00,132406,Frosinone
2022-06-26 17:00:00,132794,Frosinone
2022-06-27 17:00:00,132860,Frosinone
2022-06-28 17:00:00,133728,Frosinone
2022-06-29 17:00:00,134386,Frosinone
2022-06-30 17:00:00,134950,Frosinone
2022-07-01 17:00:00,135617,Frosinone
2022-07-02 17:00:00,136402,Frosinone
2022-07-03 17:00:00,137212,Frosinone
2022-07-04 17:00:00,137352,Frosinone
2022-07-05 17:00:00,138620,Frosinone
2022-07-06 17:00:00,139564,Frosinone
2022-07-07 17:00:00,140534,Frosinone
2022-07-08 17:00:00,141383,Frosinone
2022-07-09 17:00:00,142235,Frosinone
2022-07-10 17:00:00,142946,Frosinone
2022-07-11 17:00:00,143099,Frosinone
2022-07-12 17:00:00,144455,Frosinone
2022-07-13 17:00:00,145446,Frosinone
2022-07-14 17:00:00,146351,Frosinone
2022-07-15 17:00:00,147157,Frosinone
2022-07-16 17:00:00,147909,Frosinone
2022-07-17 17:00:00,148678,Frosinone
2022-07-18 17:00:00,148826,Frosinone
2022-07-19 17:00:00,150007,Frosinone
2022-07-20 17:00:00,150841,Frosinone
2022-07-21 17:00:00,151516,Frosinone
2022-07-22 17:00:00,152159,Frosinone
2022-07-23 17:00:00,152771,Frosinone
2022-07-24 17:00:00,153314,Frosinone
2022-07-25 17:00:00,153408,Frosinone
2022-07-26 17:00:00,154233,Frosinone
2022-07-27 17:00:00,154717,Frosinone
2022-07-28 17:00:00,155171,Frosinone
2022-07-29 17:00:00,155584,Frosinone
2022-07-30 17:00:00,155973,Frosinone
2022-07-31 17:00:00,156343,Frosinone
2022-08-01 17:00:00,156444,Frosinone
2022-08-02 17:00:00,157020,Frosinone
2022-08-03 17:00:00,157432,Frosinone
2022-08-04 17:00:00,157754,Frosinone
2022-08-05 17:00:00,158094,Frosinone
2022-08-06 17:00:00,158355,Frosinone
2022-08-07 17:00:00,158662,Frosinone
2022-08-08 17:00:00,158704,Frosinone
2022-08-09 17:00:00,159126,Frosinone
2022-08-10 17:00:00,159393,Frosinone
2022-08-11 17:00:00,159647,Frosinone
2022-08-12 17:00:00,159909,Frosinone
2022-08-13 17:00:00,160074,Frosinone
2022-08-14 17:00:00,160351,Frosinone
2022-08-15 17:00:00,160418,Frosinone
2022-08-16 17:00:00,160460,Frosinone
2022-08-17 17:00:00,160831,Frosinone
2022-08-18 17:00:00,161121,Frosinone
2022-08-19 17:00:00,161370,Frosinone
2022-08-20 17:00:00,161614,Frosinone
2022-08-21 17:00:00,161832,Frosinone
2022-08-22 17:00:00,161888,Frosinone
2022-08-23 17:00:00,162259,Frosinone
2022-08-24 17:00:00,162494,Frosinone
2022-08-25 17:00:00,162715,Frosinone
2022-08-26 17:00:00,162924,Frosinone
2022-08-27 17:00:00,163125,Frosinone
2022-08-28 17:00:00,163345,Frosinone
2022-08-29 17:00:00,163382,Frosinone
2022-08-30 17:00:00,163702,Frosinone
2022-08-31 17:00:00,163910,Frosinone
2022-09-01 17:00:00,164132,Frosinone
2022-09-02 17:00:00,164324,Frosinone
2022-09-03 17:00:00,164533,Frosinone
2022-09-04 17:00:00,164725,Frosinone
2022-09-05 17:00:00,164744,Frosinone
2022-09-06 17:00:00,165052,Frosinone
2022-09-07 17:00:00,165232,Frosinone
2022-09-08 17:00:00,165402,Frosinone
2022-09-09 17:00:00,165592,Frosinone
2022-09-10 17:00:00,165785,Frosinone
2022-09-11 17:00:00,165930,Frosinone
2022-09-12 17:00:00,165987,Frosinone
2022-09-13 17:00:00,166275,Frosinone
2022-09-14 17:00:00,166459,Frosinone
2022-09-15 17:00:00,166630,Frosinone
2022-09-16 17:00:00,166825,Frosinone
2022-09-17 17:00:00,167020,Frosinone
2022-09-18 17:00:00,167219,Frosinone
2022-09-19 17:00:00,167282,Frosinone
2022-09-20 17:00:00,167587,Frosinone
2022-09-21 17:00:00,167792,Frosinone
2022-09-22 17:00:00,168014,Frosinone
2022-09-23 17:00:00,168226,Frosinone
2022-09-24 17:00:00,168452,Frosinone
2022-09-25 17:00:00,168693,Frosinone
2022-09-26 17:00:00,168730,Frosinone
2022-09-27 17:00:00,169204,Frosinone
2022-09-28 17:00:00,169509,Frosinone
2022-09-29 17:00:00,169833,Frosinone
2022-09-30 17:00:00,170173,Frosinone
2022-10-01 17:00:00,170483,Frosinone
2022-10-02 17:00:00,170774,Frosinone
2022-10-03 17:00:00,170847,Frosinone
2022-10-04 17:00:00,171438,Frosinone
2022-10-05 17:00:00,171788,Frosinone
2022-10-06 17:00:00,172269,Frosinone
2022-10-07 17:00:00,172621,Frosinone
2022-10-08 17:00:00,173021,Frosinone
2022-10-09 17:00:00,173355,Frosinone
2022-10-10 17:00:00,173446,Frosinone
2022-10-11 17:00:00,174051,Frosinone
2022-10-12 17:00:00,174437,Frosinone
2022-10-13 17:00:00,174829,Frosinone
2022-10-14 17:00:00,175124,Frosinone
2022-10-15 17:00:00,175405,Frosinone
2022-10-16 17:00:00,175677,Frosinone
2022-10-17 17:00:00,175717,Frosinone
2022-10-18 17:00:00,176136,Frosinone
2022-10-19 17:00:00,176437,Frosinone
2022-10-20 17:00:00,176733,Frosinone
2022-10-21 17:00:00,177019,Frosinone
2022-10-22 17:00:00,177268,Frosinone
2022-10-23 17:00:00,177466,Frosinone
2022-10-24 17:00:00,177527,Frosinone
2022-10-25 17:00:00,177888,Frosinone
2022-10-26 17:00:00,178160,Frosinone
2022-10-27 17:00:00,178424,Frosinone
2022-10-28 17:00:00,178674,Frosinone
2022-10-29 17:00:00,178901,Frosinone
2022-10-30 17:00:00,179093,Frosinone
2022-10-31 17:00:00,179148,Frosinone
2022-11-01 17:00:00,179465,Frosinone
2022-11-02 17:00:00,179518,Frosinone
2022-11-03 17:00:00,179823,Frosinone
2022-11-04 17:00:00,180003,Frosinone
2022-11-05 17:00:00,180189,Frosinone
2022-11-06 17:00:00,180367,Frosinone
2022-11-07 17:00:00,180431,Frosinone
2022-11-08 17:00:00,180802,Frosinone
2022-11-09 17:00:00,181011,Frosinone
2022-11-10 17:00:00,181246,Frosinone
2022-11-11 17:00:00,181422,Frosinone
2022-11-12 17:00:00,181626,Frosinone
2022-11-13 17:00:00,181800,Frosinone
2022-11-14 17:00:00,181862,Frosinone
2022-11-15 17:00:00,182262,Frosinone
2022-11-16 17:00:00,182500,Frosinone
2022-11-17 17:00:00,182757,Frosinone
2022-11-18 17:00:00,183020,Frosinone
2022-11-19 17:00:00,183258,Frosinone
2022-11-20 17:00:00,183466,Frosinone
2022-11-21 17:00:00,183524,Frosinone
2022-11-22 17:00:00,183939,Frosinone
2022-11-23 17:00:00,184157,Frosinone
2022-11-24 17:00:00,184432,Frosinone
2022-11-25 17:00:00,184656,Frosinone
2022-11-26 17:00:00,184874,Frosinone
2022-11-27 17:00:00,185062,Frosinone
2022-11-28 17:00:00,185113,Frosinone
2022-11-29 17:00:00,185433,Frosinone
2022-11-30 17:00:00,185619,Frosinone
2022-12-01 17:00:00,185820,Frosinone
2022-12-02 17:00:00,186029,Frosinone
2022-12-03 17:00:00,186202,Frosinone
2022-12-04 17:00:00,186392,Frosinone
2022-12-05 17:00:00,186439,Frosinone
2022-12-06 17:00:00,186766,Frosinone
2022-12-07 17:00:00,186987,Frosinone
2022-12-08 17:00:00,187203,Frosinone
2022-12-09 17:00:00,187275,Frosinone
2022-12-10 17:00:00,187558,Frosinone
2022-12-11 17:00:00,187758,Frosinone
2022-12-12 17:00:00,187805,Frosinone
2022-12-13 17:00:00,188100,Frosinone
2022-12-14 17:00:00,188258,Frosinone
2022-12-15 17:00:00,188394,Frosinone
2022-12-16 17:00:00,188529,Frosinone
2022-12-17 17:00:00,188659,Frosinone
2022-12-18 17:00:00,188819,Frosinone
2022-12-19 17:00:00,188844,Frosinone
2022-12-20 17:00:00,189059,Frosinone
2022-12-21 17:00:00,189168,Frosinone
2022-12-22 17:00:00,189265,Frosinone
2022-12-23 17:00:00,189400,Frosinone
2022-12-24 17:00:00,189547,Frosinone
2022-12-25 17:00:00,189919,Frosinone
2022-12-26 17:00:00,189933,Frosinone
2022-12-27 17:00:00,189976,Frosinone
2022-12-28 17:00:00,190216,Frosinone
2022-12-29 17:00:00,190429,Frosinone
2022-12-30 17:00:00,190626,Frosinone
2022-12-31 17:00:00,190819,Frosinone
