data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,74362,Genova
2022-01-02 17:00:00,74856,Genova
2022-01-03 17:00:00,75035,Genova
2022-01-04 17:00:00,76172,Genova
2022-01-05 17:00:00,77156,Genova
2022-01-06 17:00:00,78628,Genova
2022-01-07 17:00:00,79353,Genova
2022-01-08 17:00:00,80577,Genova
2022-01-09 17:00:00,81060,Genova
2022-01-10 17:00:00,91403,Genova
2022-01-11 17:00:00,95812,Genova
2022-01-12 17:00:00,99002,Genova
2022-01-13 17:00:00,102066,Genova
2022-01-14 17:00:00,105114,Genova
2022-01-15 17:00:00,108604,Genova
2022-01-16 17:00:00,110897,Genova
2022-01-17 17:00:00,112121,Genova
2022-01-18 17:00:00,116725,Genova
2022-01-19 17:00:00,120449,Genova
2022-01-20 17:00:00,124307,Genova
2022-01-21 17:00:00,127764,Genova
2022-01-22 17:00:00,131020,Genova
2022-01-23 17:00:00,133467,Genova
2022-01-24 17:00:00,134764,Genova
2022-01-25 17:00:00,138805,Genova
2022-01-26 17:00:00,141863,Genova
2022-01-27 17:00:00,144795,Genova
2022-01-28 17:00:00,147266,Genova
2022-01-29 17:00:00,149813,Genova
2022-01-30 17:00:00,151318,Genova
2022-01-31 17:00:00,152268,Genova
2022-02-01 17:00:00,154568,Genova
2022-02-02 17:00:00,156491,Genova
2022-02-03 17:00:00,157991,Genova
2022-02-04 17:00:00,159842,Genova
2022-02-05 17:00:00,161112,Genova
2022-02-06 17:00:00,162054,Genova
2022-02-07 17:00:00,162606,Genova
2022-02-08 17:00:00,164243,Genova
2022-02-09 17:00:00,165251,Genova
2022-02-10 17:00:00,166412,Genova
2022-02-11 17:00:00,167314,Genova
2022-02-12 17:00:00,168169,Genova
2022-02-13 17:00:00,168836,Genova
2022-02-14 17:00:00,169147,Genova
2022-02-15 17:00:00,170155,Genova
2022-02-16 17:00:00,170810,Genova
2022-02-17 17:00:00,171496,Genova
2022-02-18 17:00:00,172192,Genova
2022-02-19 17:00:00,172911,Genova
2022-02-20 17:00:00,173386,Genova
2022-02-21 17:00:00,173699,Genova
2022-02-22 17:00:00,174697,Genova
2022-02-23 17:00:00,175337,Genova
2022-02-24 17:00:00,176059,Genova
2022-02-25 17:00:00,176616,Genova
2022-02-26 17:00:00,177207,Genova
2022-02-27 17:00:00,177660,Genova
2022-02-28 17:00:00,177873,Genova
2022-03-01 17:00:00,178637,Genova
2022-03-02 17:00:00,179202,Genova
2022-03-03 17:00:00,179850,Genova
2022-03-04 17:00:00,180387,Genova
2022-03-05 17:00:00,181030,Genova
2022-03-06 17:00:00,181496,Genova
2022-03-07 17:00:00,181818,Genova
2022-03-08 17:00:00,182693,Genova
2022-03-09 17:00:00,183417,Genova
2022-03-10 17:00:00,184146,Genova
2022-03-11 17:00:00,184850,Genova
2022-03-12 17:00:00,185618,Genova
2022-03-13 17:00:00,186154,Genova
2022-03-14 17:00:00,186440,Genova
2022-03-15 17:00:00,187550,Genova
2022-03-16 17:00:00,188387,Genova
2022-03-17 17:00:00,189320,Genova
2022-03-18 17:00:00,190153,Genova
2022-03-19 17:00:00,191041,Genova
2022-03-20 17:00:00,191646,Genova
2022-03-21 17:00:00,191954,Genova
2022-03-22 17:00:00,193146,Genova
2022-03-23 17:00:00,193957,Genova
2022-03-24 17:00:00,194737,Genova
2022-03-25 17:00:00,195540,Genova
2022-03-26 17:00:00,196333,Genova
2022-03-27 17:00:00,196902,Genova
2022-03-28 17:00:00,197272,Genova
