data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,19128,Gorizia
2022-01-02 17:00:00,19238,Gorizia
2022-01-03 17:00:00,19250,Gorizia
2022-01-04 17:00:00,19439,Gorizia
2022-01-05 17:00:00,19779,Gorizia
2022-01-06 17:00:00,20166,Gorizia
2022-01-07 17:00:00,20212,Gorizia
2022-01-08 17:00:00,20776,Gorizia
2022-01-09 17:00:00,21025,Gorizia
2022-01-10 17:00:00,21094,Gorizia
2022-01-11 17:00:00,21500,Gorizia
2022-01-12 17:00:00,21889,Gorizia
2022-01-13 17:00:00,22346,Gorizia
2022-01-14 17:00:00,22731,Gorizia
2022-01-15 17:00:00,23122,Gorizia
2022-01-16 17:00:00,23384,Gorizia
2022-01-17 17:00:00,23574,Gorizia
2022-01-18 17:00:00,24073,Gorizia
2022-01-19 17:00:00,24594,Gorizia
2022-01-20 17:00:00,25141,Gorizia
2022-01-21 17:00:00,25556,Gorizia
2022-01-22 17:00:00,26285,Gorizia
2022-01-23 17:00:00,26570,Gorizia
2022-01-24 17:00:00,26749,Gorizia
2022-01-25 17:00:00,27246,Gorizia
2022-01-26 17:00:00,27690,Gorizia
2022-01-27 17:00:00,28256,Gorizia
2022-01-28 17:00:00,28951,Gorizia
2022-01-29 17:00:00,29480,Gorizia
2022-01-30 17:00:00,29782,Gorizia
2022-01-31 17:00:00,29907,Gorizia
2022-02-01 17:00:00,30300,Gorizia
2022-02-02 17:00:00,30694,Gorizia
2022-02-03 17:00:00,31248,Gorizia
2022-02-04 17:00:00,31489,Gorizia
2022-02-05 17:00:00,31843,Gorizia
2022-02-06 17:00:00,31985,Gorizia
2022-02-07 17:00:00,32046,Gorizia
2022-02-08 17:00:00,32391,Gorizia
2022-02-09 17:00:00,32621,Gorizia
2022-02-10 17:00:00,32889,Gorizia
2022-02-11 17:00:00,33035,Gorizia
2022-02-12 17:00:00,33188,Gorizia
2022-02-13 17:00:00,33344,Gorizia
2022-02-14 17:00:00,33376,Gorizia
2022-02-15 17:00:00,33564,Gorizia
2022-02-16 17:00:00,33725,Gorizia
2022-02-17 17:00:00,33913,Gorizia
2022-02-18 17:00:00,34012,Gorizia
2022-02-19 17:00:00,34117,Gorizia
2022-02-20 17:00:00,34187,Gorizia
2022-02-21 17:00:00,34214,Gorizia
2022-02-22 17:00:00,34330,Gorizia
2022-02-23 17:00:00,34429,Gorizia
2022-02-24 17:00:00,34529,Gorizia
2022-02-25 17:00:00,34574,Gorizia
2022-02-26 17:00:00,34632,Gorizia
2022-02-27 17:00:00,34693,Gorizia
2022-02-28 17:00:00,34701,Gorizia
2022-03-01 17:00:00,34783,Gorizia
2022-03-02 17:00:00,34847,Gorizia
2022-03-03 17:00:00,34935,Gorizia
2022-03-04 17:00:00,35004,Gorizia
2022-03-05 17:00:00,35080,Gorizia
2022-03-06 17:00:00,35101,Gorizia
2022-03-07 17:00:00,35114,Gorizia
2022-03-08 17:00:00,35193,Gorizia
2022-03-09 17:00:00,35266,Gorizia
2022-03-10 17:00:00,35377,Gorizia
2022-03-11 17:00:00,35419,Gorizia
2022-03-12 17:00:00,35488,Gorizia
2022-03-13 17:00:00,35555,Gorizia
2022-03-14 17:00:00,35571,Gorizia
2022-03-15 17:00:00,35683,Gorizia
2022-03-16 17:00:00,35804,Gorizia
2022-03-17 17:00:00,35909,Gorizia
2022-03-18 17:00:00,36009,Gorizia
2022-03-19 17:00:00,36112,Gorizia
2022-03-20 17:00:00,36179,Gorizia
2022-03-21 17:00:00,36198,Gorizia
2022-03-22 17:00:00,36318,Gorizia
2022-03-23 17:00:00,36471,Gorizia
2022-03-24 17:00:00,36595,Gorizia
2022-03-25 17:00:00,36728,Gorizia
2022-03-26 17:00:00,36826,Gorizia
2022-03-27 17:00:00,36912,Gorizia
2022-03-28 17:00:00,36941,Gorizia
2022-03-29 17:00:00,37122,Gorizia
2022-03-30 17:00:00,37231,Gorizia
2022-03-31 17:00:00,37361,Gorizia
