data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,16183,Grosseto
2022-01-02 17:00:00,16400,Grosseto
2022-01-03 17:00:00,16753,Grosseto
2022-01-04 17:00:00,17357,Grosseto
2022-01-05 17:00:00,18019,Grosseto
2022-01-06 17:00:00,18623,Grosseto
2022-01-07 17:00:00,19051,Grosseto
2022-01-08 17:00:00,19705,Grosseto
2022-01-09 17:00:00,20230,Grosseto
2022-01-10 17:00:00,20412,Grosseto
2022-01-11 17:00:00,21110,Grosseto
2022-01-12 17:00:00,21686,Grosseto
2022-01-13 17:00:00,22289,Grosseto
2022-01-14 17:00:00,22836,Grosseto
2022-01-15 17:00:00,23356,Grosseto
2022-01-16 17:00:00,23928,Grosseto
2022-01-17 17:00:00,24216,Grosseto
2022-01-18 17:00:00,24952,Grosseto
2022-01-19 17:00:00,25606,Grosseto
2022-01-20 17:00:00,26282,Grosseto
2022-01-21 17:00:00,26989,Grosseto
2022-01-22 17:00:00,27563,Grosseto
2022-01-23 17:00:00,28236,Grosseto
2022-01-24 17:00:00,28638,Grosseto
2022-01-25 17:00:00,29396,Grosseto
2022-01-26 17:00:00,29919,Grosseto
2022-01-27 17:00:00,30678,Grosseto
2022-01-28 17:00:00,31300,Grosseto
2022-01-29 17:00:00,31824,Grosseto
2022-01-30 17:00:00,32233,Grosseto
2022-01-31 17:00:00,32495,Grosseto
2022-02-01 17:00:00,33126,Grosseto
2022-02-02 17:00:00,33658,Grosseto
2022-02-03 17:00:00,34145,Grosseto
2022-02-04 17:00:00,34613,Grosseto
2022-02-05 17:00:00,35037,Grosseto
2022-02-06 17:00:00,35499,Grosseto
2022-02-07 17:00:00,35676,Grosseto
2022-02-08 17:00:00,36151,Grosseto
2022-02-09 17:00:00,36420,Grosseto
2022-02-10 17:00:00,36767,Grosseto
2022-02-11 17:00:00,37070,Grosseto
2022-02-12 17:00:00,37344,Grosseto
2022-02-13 17:00:00,37569,Grosseto
2022-02-14 17:00:00,37684,Grosseto
2022-02-15 17:00:00,37999,Grosseto
2022-02-16 17:00:00,38316,Grosseto
2022-02-17 17:00:00,38572,Grosseto
2022-02-18 17:00:00,38818,Grosseto
2022-02-19 17:00:00,39045,Grosseto
2022-02-20 17:00:00,39222,Grosseto
2022-02-21 17:00:00,39339,Grosseto
2022-02-22 17:00:00,39590,Grosseto
2022-02-23 17:00:00,39822,Grosseto
2022-02-24 17:00:00,40048,Grosseto
2022-02-25 17:00:00,40258,Grosseto
2022-02-26 17:00:00,40404,Grosseto
2022-02-27 17:00:00,40562,Grosseto
2022-02-28 17:00:00,40639,Grosseto
2022-03-01 17:00:00,40860,Grosseto
2022-03-02 17:00:00,41043,Grosseto
2022-03-03 17:00:00,41279,Grosseto
2022-03-04 17:00:00,41481,Grosseto
2022-03-05 17:00:00,41738,Grosseto
2022-03-06 17:00:00,41980,Grosseto
2022-03-07 17:00:00,42114,Grosseto
2022-03-08 17:00:00,42480,Grosseto
2022-03-09 17:00:00,42788,Grosseto
2022-03-10 17:00:00,43152,Grosseto
2022-03-11 17:00:00,43490,Grosseto
2022-03-12 17:00:00,43881,Grosseto
2022-03-13 17:00:00,44216,Grosseto
2022-03-14 17:00:00,44358,Grosseto
2022-03-15 17:00:00,44870,Grosseto
2022-03-16 17:00:00,45316,Grosseto
2022-03-17 17:00:00,45795,Grosseto
2022-03-18 17:00:00,46275,Grosseto
2022-03-19 17:00:00,46743,Grosseto
2022-03-20 17:00:00,47089,Grosseto
2022-03-21 17:00:00,47288,Grosseto
2022-03-22 17:00:00,47810,Grosseto
2022-03-23 17:00:00,48216,Grosseto
2022-03-24 17:00:00,48597,Grosseto
2022-03-25 17:00:00,48990,Grosseto
2022-03-26 17:00:00,49349,Grosseto
2022-03-27 17:00:00,49623,Grosseto
2022-03-28 17:00:00,49776,Grosseto
2022-03-29 17:00:00,50256,Grosseto
2022-03-30 17:00:00,50631,Grosseto
2022-03-31 17:00:00,50989,Grosseto
2022-04-01 17:00:00,51324,Grosseto
2022-04-02 17:00:00,51640,Grosseto
2022-04-03 17:00:00,51867,Grosseto
2022-04-04 17:00:00,52019,Grosseto
2022-04-05 17:00:00,52387,Grosseto
2022-04-06 17:00:00,52683,Grosseto
2022-04-07 17:00:00,52988,Grosseto
2022-04-08 17:00:00,53265,Grosseto
2022-04-09 17:00:00,53532,Grosseto
2022-04-10 17:00:00,53736,Grosseto
2022-04-11 17:00:00,53871,Grosseto
2022-04-12 17:00:00,54246,Grosseto
2022-04-13 17:00:00,54487,Grosseto
2022-04-14 17:00:00,54756,Grosseto
2022-04-15 17:00:00,55008,Grosseto
2022-04-16 17:00:00,55247,Grosseto
2022-04-17 17:00:00,55456,Grosseto
2022-04-18 17:00:00,55514,Grosseto
2022-04-19 17:00:00,55606,Grosseto
2022-04-20 17:00:00,55987,Grosseto
2022-04-21 17:00:00,56243,Grosseto
2022-04-22 17:00:00,56531,Grosseto
2022-04-23 17:00:00,56789,Grosseto
2022-04-24 17:00:00,56983,Grosseto
2022-04-25 17:00:00,57095,Grosseto
2022-04-26 17:00:00,57174,Grosseto
2022-04-27 17:00:00,57562,Grosseto
2022-04-28 17:00:00,57803,Grosseto
2022-04-29 17:00:00,58000,Grosseto
2022-04-30 17:00:00,58185,Grosseto
2022-05-01 17:00:00,58330,Grosseto
2022-05-02 17:00:00,58370,Grosseto
2022-05-03 17:00:00,58596,Grosseto
2022-05-04 17:00:00,58742,Grosseto
2022-05-05 17:00:00,58917,Grosseto
2022-05-06 17:00:00,59039,Grosseto
2022-05-07 17:00:00,59169,Grosseto
2022-05-08 17:00:00,59270,Grosseto
2022-05-09 17:00:00,59331,Grosseto
2022-05-10 17:00:00,59524,Grosseto
2022-05-11 17:00:00,59664,Grosseto
2022-05-12 17:00:00,59796,Grosseto
2022-05-13 17:00:00,59894,Grosseto
2022-05-14 17:00:00,60007,Grosseto
2022-05-15 17:00:00,60112,Grosseto
2022-05-16 17:00:00,60158,Grosseto
2022-05-17 17:00:00,60333,Grosseto
2022-05-18 17:00:00,60445,Grosseto
2022-05-19 17:00:00,60581,Grosseto
2022-05-20 17:00:00,60697,Grosseto
2022-05-21 17:00:00,60808,Grosseto
2022-05-22 17:00:00,60898,Grosseto
2022-05-23 17:00:00,60927,Grosseto
2022-05-24 17:00:00,61076,Grosseto
2022-05-25 17:00:00,61167,Grosseto
2022-05-26 17:00:00,61248,Grosseto
2022-05-27 17:00:00,61322,Grosseto
2022-05-28 17:00:00,61411,Grosseto
2022-05-29 17:00:00,61462,Grosseto
2022-05-30 17:00:00,61488,Grosseto
2022-05-31 17:00:00,61606,Grosseto
2022-06-01 17:00:00,61688,Grosseto
2022-06-02 17:00:00,61764,Grosseto
2022-06-03 17:00:00,61793,Grosseto
2022-06-04 17:00:00,61882,Grosseto
2022-06-05 17:00:00,61927,Grosseto
2022-06-06 17:00:00,61950,Grosseto
2022-06-07 17:00:00,62061,Grosseto
2022-06-08 17:00:00,62127,Grosseto
2022-06-09 17:00:00,62201,Grosseto
2022-06-10 17:00:00,62253,Grosseto
2022-06-11 17:00:00,62310,Grosseto
2022-06-12 17:00:00,62370,Grosseto
2022-06-13 17:00:00,62395,Grosseto
2022-06-14 17:00:00,62500,Grosseto
2022-06-15 17:00:00,62570,Grosseto
2022-06-16 17:00:00,62658,Grosseto
2022-06-17 17:00:00,62766,Grosseto
2022-06-18 17:00:00,62843,Grosseto
2022-06-19 17:00:00,62922,Grosseto
2022-06-20 17:00:00,62960,Grosseto
2022-06-21 17:00:00,63146,Grosseto
2022-06-22 17:00:00,63293,Grosseto
2022-06-23 17:00:00,63455,Grosseto
