data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,24477,Imperia
2022-01-02 17:00:00,24623,Imperia
2022-01-03 17:00:00,24839,Imperia
2022-01-04 17:00:00,25205,Imperia
2022-01-05 17:00:00,25644,Imperia
2022-01-06 17:00:00,25953,Imperia
2022-01-07 17:00:00,26115,Imperia
2022-01-08 17:00:00,26564,Imperia
2022-01-09 17:00:00,26884,Imperia
2022-01-10 17:00:00,27872,Imperia
2022-01-11 17:00:00,29825,Imperia
2022-01-12 17:00:00,30518,Imperia
2022-01-13 17:00:00,31255,Imperia
2022-01-14 17:00:00,31999,Imperia
2022-01-15 17:00:00,32760,Imperia
2022-01-16 17:00:00,33073,Imperia
2022-01-17 17:00:00,33559,Imperia
2022-01-18 17:00:00,34563,Imperia
2022-01-19 17:00:00,35384,Imperia
2022-01-20 17:00:00,36317,Imperia
2022-01-21 17:00:00,37264,Imperia
2022-01-22 17:00:00,37920,Imperia
2022-01-23 17:00:00,38693,Imperia
2022-01-24 17:00:00,38813,Imperia
2022-01-25 17:00:00,39709,Imperia
2022-01-26 17:00:00,40577,Imperia
2022-01-27 17:00:00,41362,Imperia
2022-01-28 17:00:00,42027,Imperia
2022-01-29 17:00:00,42670,Imperia
2022-01-30 17:00:00,43182,Imperia
2022-01-31 17:00:00,43379,Imperia
2022-02-01 17:00:00,43782,Imperia
2022-02-02 17:00:00,44452,Imperia
2022-02-03 17:00:00,44954,Imperia
2022-02-04 17:00:00,45278,Imperia
2022-02-05 17:00:00,45617,Imperia
2022-02-06 17:00:00,45886,Imperia
2022-02-07 17:00:00,45934,Imperia
2022-02-08 17:00:00,46354,Imperia
2022-02-09 17:00:00,46631,Imperia
2022-02-10 17:00:00,46864,Imperia
2022-02-11 17:00:00,47121,Imperia
2022-02-12 17:00:00,47331,Imperia
2022-02-13 17:00:00,47490,Imperia
2022-02-14 17:00:00,47523,Imperia
2022-02-15 17:00:00,47801,Imperia
2022-02-16 17:00:00,48025,Imperia
2022-02-17 17:00:00,48145,Imperia
2022-02-18 17:00:00,48378,Imperia
2022-02-19 17:00:00,48536,Imperia
2022-02-20 17:00:00,48687,Imperia
2022-02-21 17:00:00,48724,Imperia
2022-02-22 17:00:00,48950,Imperia
2022-02-23 17:00:00,49089,Imperia
2022-02-24 17:00:00,49208,Imperia
2022-02-25 17:00:00,49318,Imperia
2022-02-26 17:00:00,49414,Imperia
2022-02-27 17:00:00,49476,Imperia
2022-02-28 17:00:00,49499,Imperia
2022-03-01 17:00:00,49640,Imperia
2022-03-02 17:00:00,49740,Imperia
2022-03-03 17:00:00,49825,Imperia
2022-03-04 17:00:00,49910,Imperia
2022-03-05 17:00:00,49992,Imperia
2022-03-06 17:00:00,50047,Imperia
2022-03-07 17:00:00,50067,Imperia
2022-03-08 17:00:00,50199,Imperia
2022-03-09 17:00:00,50324,Imperia
2022-03-10 17:00:00,50458,Imperia
2022-03-11 17:00:00,50553,Imperia
2022-03-12 17:00:00,50667,Imperia
2022-03-13 17:00:00,50745,Imperia
2022-03-14 17:00:00,50769,Imperia
2022-03-15 17:00:00,50958,Imperia
2022-03-16 17:00:00,51114,Imperia
2022-03-17 17:00:00,51307,Imperia
2022-03-18 17:00:00,51462,Imperia
2022-03-19 17:00:00,51616,Imperia
2022-03-20 17:00:00,51739,Imperia
2022-03-21 17:00:00,51779,Imperia
2022-03-22 17:00:00,51993,Imperia
2022-03-23 17:00:00,52174,Imperia
2022-03-24 17:00:00,52380,Imperia
2022-03-25 17:00:00,52518,Imperia
2022-03-26 17:00:00,52659,Imperia
2022-03-27 17:00:00,52804,Imperia
2022-03-28 17:00:00,52834,Imperia
2022-03-29 17:00:00,53073,Imperia
2022-03-30 17:00:00,53252,Imperia
2022-03-31 17:00:00,53430,Imperia
2022-04-01 17:00:00,53609,Imperia
2022-04-02 17:00:00,53768,Imperia
2022-04-03 17:00:00,53874,Imperia
2022-04-04 17:00:00,53904,Imperia
2022-04-05 17:00:00,54071,Imperia
2022-04-06 17:00:00,54255,Imperia
2022-04-07 17:00:00,54404,Imperia
2022-04-08 17:00:00,54573,Imperia
