data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,4715,Isernia
2022-01-02 17:00:00,4855,Isernia
2022-01-03 17:00:00,4857,Isernia
2022-01-04 17:00:00,4966,Isernia
2022-01-05 17:00:00,5167,Isernia
2022-01-06 17:00:00,5279,Isernia
2022-01-07 17:00:00,5325,Isernia
2022-01-08 17:00:00,5359,Isernia
2022-01-09 17:00:00,5571,Isernia
2022-01-10 17:00:00,5731,Isernia
2022-01-11 17:00:00,5836,Isernia
2022-01-12 17:00:00,6061,Isernia
2022-01-13 17:00:00,6232,Isernia
2022-01-14 17:00:00,6334,Isernia
2022-01-15 17:00:00,6480,Isernia
2022-01-16 17:00:00,6652,Isernia
2022-01-17 17:00:00,6911,Isernia
2022-01-18 17:00:00,7039,Isernia
2022-01-19 17:00:00,7247,Isernia
2022-01-20 17:00:00,7372,Isernia
2022-01-21 17:00:00,7507,Isernia
2022-01-22 17:00:00,7649,Isernia
2022-01-23 17:00:00,7794,Isernia
2022-01-24 17:00:00,7893,Isernia
2022-01-25 17:00:00,8033,Isernia
2022-01-26 17:00:00,8185,Isernia
2022-01-27 17:00:00,8357,Isernia
2022-01-28 17:00:00,8473,Isernia
2022-01-29 17:00:00,8569,Isernia
2022-01-30 17:00:00,8713,Isernia
2022-01-31 17:00:00,8788,Isernia
2022-02-01 17:00:00,8870,Isernia
2022-02-02 17:00:00,9021,Isernia
2022-02-03 17:00:00,9131,Isernia
2022-02-04 17:00:00,9206,Isernia
2022-02-05 17:00:00,9288,Isernia
2022-02-06 17:00:00,9385,Isernia
2022-02-07 17:00:00,9449,Isernia
2022-02-08 17:00:00,9513,Isernia
2022-02-09 17:00:00,9650,Isernia
2022-02-10 17:00:00,9719,Isernia
2022-02-11 17:00:00,9792,Isernia
2022-02-12 17:00:00,9838,Isernia
2022-02-13 17:00:00,9944,Isernia
2022-02-14 17:00:00,9985,Isernia
2022-02-15 17:00:00,10063,Isernia
2022-02-16 17:00:00,10136,Isernia
2022-02-17 17:00:00,10238,Isernia
2022-02-18 17:00:00,10311,Isernia
2022-02-19 17:00:00,10326,Isernia
2022-02-20 17:00:00,10401,Isernia
2022-02-21 17:00:00,10418,Isernia
2022-02-22 17:00:00,10475,Isernia
2022-02-23 17:00:00,10553,Isernia
2022-02-24 17:00:00,10622,Isernia
2022-02-25 17:00:00,10683,Isernia
2022-02-26 17:00:00,10754,Isernia
2022-02-27 17:00:00,10813,Isernia
2022-02-28 17:00:00,10853,Isernia
2022-03-01 17:00:00,10918,Isernia
2022-03-02 17:00:00,11017,Isernia
2022-03-03 17:00:00,11059,Isernia
2022-03-04 17:00:00,11128,Isernia
2022-03-05 17:00:00,11211,Isernia
2022-03-06 17:00:00,11279,Isernia
2022-03-07 17:00:00,11341,Isernia
2022-03-08 17:00:00,11383,Isernia
2022-03-09 17:00:00,11439,Isernia
2022-03-10 17:00:00,11500,Isernia
2022-03-11 17:00:00,11550,Isernia
2022-03-12 17:00:00,11619,Isernia
2022-03-13 17:00:00,11712,Isernia
2022-03-14 17:00:00,11750,Isernia
2022-03-15 17:00:00,11801,Isernia
2022-03-16 17:00:00,11894,Isernia
2022-03-17 17:00:00,11940,Isernia
2022-03-18 17:00:00,12060,Isernia
2022-03-19 17:00:00,12176,Isernia
2022-03-20 17:00:00,12230,Isernia
2022-03-21 17:00:00,12252,Isernia
2022-03-22 17:00:00,12318,Isernia
2022-03-23 17:00:00,12473,Isernia
2022-03-24 17:00:00,12531,Isernia
2022-03-25 17:00:00,12598,Isernia
2022-03-26 17:00:00,12696,Isernia
2022-03-27 17:00:00,12796,Isernia
2022-03-28 17:00:00,12823,Isernia
2022-03-29 17:00:00,12867,Isernia
2022-03-30 17:00:00,13016,Isernia
2022-03-31 17:00:00,13115,Isernia
2022-04-01 17:00:00,13179,Isernia
2022-04-02 17:00:00,13308,Isernia
2022-04-03 17:00:00,13428,Isernia
2022-04-04 17:00:00,13476,Isernia
2022-04-05 17:00:00,13540,Isernia
2022-04-06 17:00:00,13663,Isernia
2022-04-07 17:00:00,13784,Isernia
2022-04-08 17:00:00,13862,Isernia
2022-04-09 17:00:00,13901,Isernia
2022-04-10 17:00:00,14007,Isernia
2022-04-11 17:00:00,14044,Isernia
2022-04-12 17:00:00,14126,Isernia
2022-04-13 17:00:00,14278,Isernia
2022-04-14 17:00:00,14395,Isernia
2022-04-15 17:00:00,14498,Isernia
2022-04-16 17:00:00,14617,Isernia
2022-04-17 17:00:00,14767,Isernia
2022-04-18 17:00:00,14797,Isernia
2022-04-19 17:00:00,14852,Isernia
2022-04-20 17:00:00,14926,Isernia
2022-04-21 17:00:00,15123,Isernia
2022-04-22 17:00:00,15256,Isernia
2022-04-23 17:00:00,15379,Isernia
2022-04-24 17:00:00,15518,Isernia
2022-04-25 17:00:00,15580,Isernia
