data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,26252,L'Aquila
2022-01-02 17:00:00,26350,L'Aquila
2022-01-03 17:00:00,26544,L'Aquila
2022-01-04 17:00:00,27270,L'Aquila
2022-01-05 17:00:00,28161,L'Aquila
2022-01-06 17:00:00,28942,L'Aquila
2022-01-07 17:00:00,29238,L'Aquila
2022-01-08 17:00:00,30214,L'Aquila
2022-01-09 17:00:00,30214,L'Aquila
2022-01-10 17:00:00,31583,L'Aquila
2022-01-11 17:00:00,32400,L'Aquila
2022-01-12 17:00:00,33125,L'Aquila
2022-01-13 17:00:00,33781,L'Aquila
2022-01-14 17:00:00,34438,L'Aquila
2022-01-15 17:00:00,35152,L'Aquila
2022-01-16 17:00:00,35763,L'Aquila
2022-01-17 17:00:00,36039,L'Aquila
2022-01-18 17:00:00,36991,L'Aquila
2022-01-19 17:00:00,37707,L'Aquila
2022-01-20 17:00:00,38482,L'Aquila
2022-01-21 17:00:00,39206,L'Aquila
2022-01-22 17:00:00,39879,L'Aquila
2022-01-23 17:00:00,40569,L'Aquila
2022-01-24 17:00:00,40829,L'Aquila
2022-01-25 17:00:00,41877,L'Aquila
2022-01-26 17:00:00,42612,L'Aquila
2022-01-27 17:00:00,43319,L'Aquila
2022-01-28 17:00:00,43988,L'Aquila
2022-01-29 17:00:00,44734,L'Aquila
2022-01-30 17:00:00,45326,L'Aquila
2022-01-31 17:00:00,45579,L'Aquila
2022-02-01 17:00:00,46433,L'Aquila
2022-02-02 17:00:00,47054,L'Aquila
2022-02-03 17:00:00,47685,L'Aquila
2022-02-04 17:00:00,48167,L'Aquila
2022-02-05 17:00:00,48687,L'Aquila
2022-02-06 17:00:00,49177,L'Aquila
2022-02-07 17:00:00,49434,L'Aquila
2022-02-08 17:00:00,50151,L'Aquila
2022-02-09 17:00:00,50619,L'Aquila
2022-02-10 17:00:00,50993,L'Aquila
2022-02-11 17:00:00,51445,L'Aquila
2022-02-12 17:00:00,51807,L'Aquila
2022-02-13 17:00:00,52135,L'Aquila
2022-02-14 17:00:00,52284,L'Aquila
2022-02-15 17:00:00,52761,L'Aquila
2022-02-16 17:00:00,53147,L'Aquila
2022-02-17 17:00:00,53560,L'Aquila
2022-02-18 17:00:00,53926,L'Aquila
2022-02-19 17:00:00,54269,L'Aquila
2022-02-20 17:00:00,54548,L'Aquila
2022-02-21 17:00:00,54665,L'Aquila
2022-02-22 17:00:00,55133,L'Aquila
2022-02-23 17:00:00,55494,L'Aquila
2022-02-24 17:00:00,55784,L'Aquila
2022-02-25 17:00:00,56052,L'Aquila
2022-02-26 17:00:00,56314,L'Aquila
2022-02-27 17:00:00,56478,L'Aquila
2022-02-28 17:00:00,56574,L'Aquila
2022-03-01 17:00:00,56901,L'Aquila
2022-03-02 17:00:00,57152,L'Aquila
2022-03-03 17:00:00,57446,L'Aquila
2022-03-04 17:00:00,57663,L'Aquila
2022-03-05 17:00:00,57913,L'Aquila
2022-03-06 17:00:00,58078,L'Aquila
2022-03-07 17:00:00,58184,L'Aquila
2022-03-08 17:00:00,58539,L'Aquila
2022-03-09 17:00:00,58884,L'Aquila
2022-03-10 17:00:00,59186,L'Aquila
2022-03-11 17:00:00,59526,L'Aquila
2022-03-12 17:00:00,59811,L'Aquila
2022-03-13 17:00:00,60171,L'Aquila
2022-03-14 17:00:00,60282,L'Aquila
2022-03-15 17:00:00,60838,L'Aquila
2022-03-16 17:00:00,61267,L'Aquila
2022-03-17 17:00:00,61773,L'Aquila
2022-03-18 17:00:00,62343,L'Aquila
2022-03-19 17:00:00,62788,L'Aquila
2022-03-20 17:00:00,63170,L'Aquila
