data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,20941,La Spezia
2022-01-02 17:00:00,21454,La Spezia
2022-01-03 17:00:00,21669,La Spezia
2022-01-04 17:00:00,21936,La Spezia
2022-01-05 17:00:00,22281,La Spezia
2022-01-06 17:00:00,22681,La Spezia
2022-01-07 17:00:00,23089,La Spezia
2022-01-08 17:00:00,23458,La Spezia
2022-01-09 17:00:00,23805,La Spezia
2022-01-10 17:00:00,26291,La Spezia
2022-01-11 17:00:00,27438,La Spezia
2022-01-12 17:00:00,28348,La Spezia
2022-01-13 17:00:00,29004,La Spezia
2022-01-14 17:00:00,29601,La Spezia
2022-01-15 17:00:00,30243,La Spezia
2022-01-16 17:00:00,30828,La Spezia
2022-01-17 17:00:00,31075,La Spezia
2022-01-18 17:00:00,32141,La Spezia
2022-01-19 17:00:00,32858,La Spezia
2022-01-20 17:00:00,33655,La Spezia
2022-01-21 17:00:00,34368,La Spezia
2022-01-22 17:00:00,35077,La Spezia
2022-01-23 17:00:00,35717,La Spezia
2022-01-24 17:00:00,35969,La Spezia
2022-01-25 17:00:00,36866,La Spezia
2022-01-26 17:00:00,37519,La Spezia
2022-01-27 17:00:00,38099,La Spezia
2022-01-28 17:00:00,38672,La Spezia
2022-01-29 17:00:00,39160,La Spezia
2022-01-30 17:00:00,39576,La Spezia
2022-01-31 17:00:00,39733,La Spezia
2022-02-01 17:00:00,40229,La Spezia
2022-02-02 17:00:00,40785,La Spezia
2022-02-03 17:00:00,41238,La Spezia
2022-02-04 17:00:00,41533,La Spezia
2022-02-05 17:00:00,41789,La Spezia
2022-02-06 17:00:00,42096,La Spezia
2022-02-07 17:00:00,42183,La Spezia
2022-02-08 17:00:00,42587,La Spezia
2022-02-09 17:00:00,42845,La Spezia
2022-02-10 17:00:00,43060,La Spezia
2022-02-11 17:00:00,43256,La Spezia
2022-02-12 17:00:00,43478,La Spezia
2022-02-13 17:00:00,43645,La Spezia
2022-02-14 17:00:00,43689,La Spezia
2022-02-15 17:00:00,43930,La Spezia
2022-02-16 17:00:00,44121,La Spezia
2022-02-17 17:00:00,44277,La Spezia
2022-02-18 17:00:00,44456,La Spezia
2022-02-19 17:00:00,44611,La Spezia
2022-02-20 17:00:00,44770,La Spezia
2022-02-21 17:00:00,44866,La Spezia
2022-02-22 17:00:00,45047,La Spezia
2022-02-23 17:00:00,45227,La Spezia
2022-02-24 17:00:00,45389,La Spezia
2022-02-25 17:00:00,45628,La Spezia
2022-02-26 17:00:00,45741,La Spezia
2022-02-27 17:00:00,45855,La Spezia
2022-02-28 17:00:00,45879,La Spezia
2022-03-01 17:00:00,46048,La Spezia
2022-03-02 17:00:00,46186,La Spezia
2022-03-03 17:00:00,46299,La Spezia
2022-03-04 17:00:00,46418,La Spezia
2022-03-05 17:00:00,46559,La Spezia
2022-03-06 17:00:00,46668,La Spezia
2022-03-07 17:00:00,46724,La Spezia
2022-03-08 17:00:00,46929,La Spezia
2022-03-09 17:00:00,47077,La Spezia
2022-03-10 17:00:00,47253,La Spezia
2022-03-11 17:00:00,47417,La Spezia
2022-03-12 17:00:00,47611,La Spezia
2022-03-13 17:00:00,47817,La Spezia
2022-03-14 17:00:00,47899,La Spezia
2022-03-15 17:00:00,48225,La Spezia
2022-03-16 17:00:00,48497,La Spezia
2022-03-17 17:00:00,48797,La Spezia
2022-03-18 17:00:00,49034,La Spezia
2022-03-19 17:00:00,49255,La Spezia
2022-03-20 17:00:00,49457,La Spezia
2022-03-21 17:00:00,49545,La Spezia
2022-03-22 17:00:00,49957,La Spezia
2022-03-23 17:00:00,50250,La Spezia
2022-03-24 17:00:00,50546,La Spezia
2022-03-25 17:00:00,50830,La Spezia
2022-03-26 17:00:00,51102,La Spezia
2022-03-27 17:00:00,51337,La Spezia
2022-03-28 17:00:00,51442,La Spezia
2022-03-29 17:00:00,51878,La Spezia
2022-03-30 17:00:00,52178,La Spezia
2022-03-31 17:00:00,52449,La Spezia
2022-04-01 17:00:00,52730,La Spezia
2022-04-02 17:00:00,53008,La Spezia
2022-04-03 17:00:00,53227,La Spezia
2022-04-04 17:00:00,53320,La Spezia
2022-04-05 17:00:00,53646,La Spezia
2022-04-06 17:00:00,53898,La Spezia
2022-04-07 17:00:00,54129,La Spezia
2022-04-08 17:00:00,54368,La Spezia
2022-04-09 17:00:00,54612,La Spezia
2022-04-10 17:00:00,54875,La Spezia
2022-04-11 17:00:00,54980,La Spezia
2022-04-12 17:00:00,55327,La Spezia
2022-04-13 17:00:00,55598,La Spezia
2022-04-14 17:00:00,55869,La Spezia
2022-04-15 17:00:00,56092,La Spezia
2022-04-16 17:00:00,56326,La Spezia
2022-04-17 17:00:00,56548,La Spezia
2022-04-18 17:00:00,56630,La Spezia
2022-04-19 17:00:00,56740,La Spezia
2022-04-20 17:00:00,57166,La Spezia
2022-04-21 17:00:00,57491,La Spezia
2022-04-22 17:00:00,57801,La Spezia
2022-04-23 17:00:00,58079,La Spezia
2022-04-24 17:00:00,58303,La Spezia
2022-04-25 17:00:00,58408,La Spezia
2022-04-26 17:00:00,58532,La Spezia
2022-04-27 17:00:00,58889,La Spezia
2022-04-28 17:00:00,59133,La Spezia
2022-04-29 17:00:00,59364,La Spezia
2022-04-30 17:00:00,59562,La Spezia
2022-05-01 17:00:00,59728,La Spezia
2022-05-02 17:00:00,59784,La Spezia
2022-05-03 17:00:00,60039,La Spezia
2022-05-04 17:00:00,60226,La Spezia
2022-05-05 17:00:00,60477,La Spezia
2022-05-06 17:00:00,60677,La Spezia
2022-05-07 17:00:00,60855,La Spezia
2022-05-08 17:00:00,60995,La Spezia
2022-05-09 17:00:00,61075,La Spezia
2022-05-10 17:00:00,61326,La Spezia
2022-05-11 17:00:00,61474,La Spezia
2022-05-12 17:00:00,61643,La Spezia
2022-05-13 17:00:00,61797,La Spezia
2022-05-14 17:00:00,61936,La Spezia
2022-05-15 17:00:00,62045,La Spezia
2022-05-16 17:00:00,62107,La Spezia
2022-05-17 17:00:00,62280,La Spezia
2022-05-18 17:00:00,62393,La Spezia
2022-05-19 17:00:00,62523,La Spezia
2022-05-20 17:00:00,62625,La Spezia
2022-05-21 17:00:00,62729,La Spezia
2022-05-22 17:00:00,62827,La Spezia
2022-05-23 17:00:00,62868,La Spezia
2022-05-24 17:00:00,62994,La Spezia
2022-05-25 17:00:00,63087,La Spezia
2022-05-26 17:00:00,63178,La Spezia
2022-05-27 17:00:00,63238,La Spezia
2022-05-28 17:00:00,63316,La Spezia
2022-05-29 17:00:00,63378,La Spezia
2022-05-30 17:00:00,63406,La Spezia
2022-05-31 17:00:00,63481,La Spezia
2022-06-01 17:00:00,63558,La Spezia
2022-06-02 17:00:00,63603,La Spezia
2022-06-03 17:00:00,63619,La Spezia
2022-06-04 17:00:00,63683,La Spezia
2022-06-05 17:00:00,63754,La Spezia
2022-06-06 17:00:00,63789,La Spezia
2022-06-07 17:00:00,63914,La Spezia
2022-06-08 17:00:00,64027,La Spezia
2022-06-09 17:00:00,64133,La Spezia
2022-06-10 17:00:00,64238,La Spezia
2022-06-11 17:00:00,64315,La Spezia
2022-06-12 17:00:00,64399,La Spezia
2022-06-13 17:00:00,64429,La Spezia
2022-06-14 17:00:00,64581,La Spezia
2022-06-15 17:00:00,64714,La Spezia
2022-06-16 17:00:00,64852,La Spezia
2022-06-17 17:00:00,65001,La Spezia
2022-06-18 17:00:00,65147,La Spezia
2022-06-19 17:00:00,65280,La Spezia
2022-06-20 17:00:00,65329,La Spezia
2022-06-21 17:00:00,65604,La Spezia
2022-06-22 17:00:00,65799,La Spezia
2022-06-23 17:00:00,65974,La Spezia
2022-06-24 17:00:00,66158,La Spezia
2022-06-25 17:00:00,66346,La Spezia
2022-06-26 17:00:00,66572,La Spezia
2022-06-27 17:00:00,66638,La Spezia
2022-06-28 17:00:00,67022,La Spezia
2022-06-29 17:00:00,67314,La Spezia
2022-06-30 17:00:00,67618,La Spezia
2022-07-01 17:00:00,67893,La Spezia
2022-07-02 17:00:00,68181,La Spezia
2022-07-03 17:00:00,68444,La Spezia
2022-07-04 17:00:00,68563,La Spezia
2022-07-05 17:00:00,69051,La Spezia
2022-07-06 17:00:00,69389,La Spezia
2022-07-07 17:00:00,69723,La Spezia
2022-07-08 17:00:00,70071,La Spezia
