data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,51088,Latina
2022-01-02 17:00:00,51718,Latina
2022-01-03 17:00:00,51926,Latina
2022-01-04 17:00:00,52953,Latina
2022-01-05 17:00:00,53987,Latina
2022-01-06 17:00:00,55251,Latina
2022-01-07 17:00:00,55974,Latina
2022-01-08 17:00:00,57017,Latina
2022-01-09 17:00:00,59624,Latina
2022-01-10 17:00:00,60459,Latina
2022-01-11 17:00:00,62058,Latina
2022-01-12 17:00:00,63370,Latina
2022-01-13 17:00:00,64054,Latina
2022-01-14 17:00:00,65998,Latina
2022-01-15 17:00:00,67236,Latina
2022-01-16 17:00:00,68472,Latina
2022-01-17 17:00:00,68988,Latina
2022-01-18 17:00:00,70486,Latina
2022-01-19 17:00:00,71826,Latina
2022-01-20 17:00:00,73329,Latina
2022-01-21 17:00:00,74701,Latina
2022-01-22 17:00:00,76262,Latina
2022-01-23 17:00:00,77329,Latina
2022-01-24 17:00:00,77761,Latina
2022-01-25 17:00:00,79638,Latina
2022-01-26 17:00:00,80988,Latina
2022-01-27 17:00:00,82292,Latina
2022-01-28 17:00:00,83440,Latina
2022-01-29 17:00:00,84683,Latina
2022-01-30 17:00:00,85741,Latina
2022-01-31 17:00:00,86270,Latina
2022-02-01 17:00:00,87762,Latina
2022-02-02 17:00:00,88700,Latina
2022-02-03 17:00:00,89931,Latina
2022-02-04 17:00:00,91983,Latina
2022-02-05 17:00:00,92856,Latina
2022-02-06 17:00:00,93729,Latina
2022-02-07 17:00:00,94134,Latina
2022-02-08 17:00:00,95195,Latina
2022-02-09 17:00:00,96025,Latina
2022-02-10 17:00:00,96801,Latina
2022-02-11 17:00:00,97464,Latina
2022-02-12 17:00:00,98376,Latina
2022-02-13 17:00:00,99200,Latina
2022-02-14 17:00:00,99558,Latina
2022-02-15 17:00:00,100591,Latina
2022-02-16 17:00:00,101371,Latina
2022-02-17 17:00:00,101965,Latina
2022-02-18 17:00:00,102636,Latina
2022-02-19 17:00:00,103295,Latina
2022-02-20 17:00:00,103753,Latina
2022-02-21 17:00:00,103937,Latina
2022-02-22 17:00:00,104632,Latina
2022-02-23 17:00:00,105155,Latina
2022-02-24 17:00:00,105708,Latina
2022-02-25 17:00:00,106292,Latina
2022-02-26 17:00:00,106769,Latina
2022-02-27 17:00:00,107147,Latina
2022-02-28 17:00:00,107223,Latina
2022-03-01 17:00:00,107950,Latina
2022-03-02 17:00:00,108128,Latina
2022-03-03 17:00:00,108705,Latina
2022-03-04 17:00:00,109118,Latina
2022-03-05 17:00:00,109588,Latina
2022-03-06 17:00:00,110001,Latina
2022-03-07 17:00:00,110287,Latina
2022-03-08 17:00:00,111074,Latina
2022-03-09 17:00:00,111722,Latina
2022-03-10 17:00:00,112451,Latina
2022-03-11 17:00:00,113118,Latina
2022-03-12 17:00:00,113854,Latina
2022-03-13 17:00:00,114421,Latina
2022-03-14 17:00:00,114750,Latina
2022-03-15 17:00:00,115975,Latina
2022-03-16 17:00:00,116833,Latina
2022-03-17 17:00:00,117907,Latina
2022-03-18 17:00:00,118976,Latina
2022-03-19 17:00:00,120022,Latina
2022-03-20 17:00:00,120718,Latina
2022-03-21 17:00:00,121164,Latina
2022-03-22 17:00:00,122603,Latina
2022-03-23 17:00:00,123405,Latina
2022-03-24 17:00:00,124385,Latina
2022-03-25 17:00:00,125313,Latina
2022-03-26 17:00:00,126345,Latina
2022-03-27 17:00:00,127115,Latina
2022-03-28 17:00:00,127475,Latina
2022-03-29 17:00:00,128979,Latina
