data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,34832,Lecco
2022-01-02 17:00:00,35087,Lecco
2022-01-03 17:00:00,35401,Lecco
2022-01-04 17:00:00,37186,Lecco
2022-01-05 17:00:00,38874,Lecco
2022-01-06 17:00:00,40562,Lecco
2022-01-07 17:00:00,40902,Lecco
2022-01-08 17:00:00,42487,Lecco
2022-01-09 17:00:00,43659,Lecco
2022-01-10 17:00:00,43954,Lecco
2022-01-11 17:00:00,45397,Lecco
2022-01-12 17:00:00,46689,Lecco
2022-01-13 17:00:00,47891,Lecco
2022-01-14 17:00:00,48788,Lecco
2022-01-15 17:00:00,49667,Lecco
2022-01-16 17:00:00,50461,Lecco
2022-01-17 17:00:00,50626,Lecco
2022-01-18 17:00:00,51804,Lecco
2022-01-19 17:00:00,53067,Lecco
2022-01-20 17:00:00,54092,Lecco
2022-01-21 17:00:00,54883,Lecco
2022-01-22 17:00:00,55771,Lecco
2022-01-23 17:00:00,56437,Lecco
2022-01-24 17:00:00,56645,Lecco
2022-01-25 17:00:00,57525,Lecco
2022-01-26 17:00:00,58257,Lecco
2022-01-27 17:00:00,58926,Lecco
2022-01-28 17:00:00,59435,Lecco
2022-01-29 17:00:00,59923,Lecco
2022-01-30 17:00:00,60380,Lecco
2022-01-31 17:00:00,60475,Lecco
2022-02-01 17:00:00,61032,Lecco
2022-02-02 17:00:00,61462,Lecco
2022-02-03 17:00:00,61786,Lecco
2022-02-04 17:00:00,62064,Lecco
2022-02-05 17:00:00,62346,Lecco
2022-02-06 17:00:00,62586,Lecco
2022-02-07 17:00:00,62646,Lecco
2022-02-08 17:00:00,62986,Lecco
2022-02-09 17:00:00,63220,Lecco
2022-02-10 17:00:00,63430,Lecco
2022-02-11 17:00:00,63611,Lecco
2022-02-12 17:00:00,63813,Lecco
2022-02-13 17:00:00,63972,Lecco
2022-02-14 17:00:00,64004,Lecco
2022-02-15 17:00:00,64239,Lecco
2022-02-16 17:00:00,64415,Lecco
2022-02-17 17:00:00,64604,Lecco
2022-02-18 17:00:00,64729,Lecco
2022-02-19 17:00:00,64859,Lecco
2022-02-20 17:00:00,65005,Lecco
2022-02-21 17:00:00,65036,Lecco
2022-02-22 17:00:00,65249,Lecco
2022-02-23 17:00:00,65422,Lecco
2022-02-24 17:00:00,65580,Lecco
2022-02-25 17:00:00,65698,Lecco
2022-02-26 17:00:00,65817,Lecco
2022-02-27 17:00:00,65908,Lecco
2022-02-28 17:00:00,65929,Lecco
2022-03-01 17:00:00,66099,Lecco
