data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,29266,Livorno
2022-01-02 17:00:00,29510,Livorno
2022-01-03 17:00:00,29884,Livorno
2022-01-04 17:00:00,31120,Livorno
2022-01-05 17:00:00,32236,Livorno
2022-01-06 17:00:00,33527,Livorno
2022-01-07 17:00:00,34106,Livorno
2022-01-08 17:00:00,35278,Livorno
2022-01-09 17:00:00,36230,Livorno
2022-01-10 17:00:00,36825,Livorno
2022-01-11 17:00:00,38156,Livorno
2022-01-12 17:00:00,39229,Livorno
2022-01-13 17:00:00,40424,Livorno
2022-01-14 17:00:00,41441,Livorno
2022-01-15 17:00:00,42546,Livorno
2022-01-16 17:00:00,43523,Livorno
2022-01-17 17:00:00,44086,Livorno
2022-01-18 17:00:00,45590,Livorno
2022-01-19 17:00:00,46930,Livorno
2022-01-20 17:00:00,48319,Livorno
2022-01-21 17:00:00,49699,Livorno
2022-01-22 17:00:00,50970,Livorno
2022-01-23 17:00:00,52057,Livorno
2022-01-24 17:00:00,52702,Livorno
2022-01-25 17:00:00,54211,Livorno
2022-01-26 17:00:00,55330,Livorno
2022-01-27 17:00:00,56510,Livorno
2022-01-28 17:00:00,57560,Livorno
2022-01-29 17:00:00,58568,Livorno
2022-01-30 17:00:00,59510,Livorno
2022-01-31 17:00:00,59949,Livorno
2022-02-01 17:00:00,60972,Livorno
2022-02-02 17:00:00,61764,Livorno
2022-02-03 17:00:00,62655,Livorno
2022-02-04 17:00:00,63340,Livorno
2022-02-05 17:00:00,64132,Livorno
2022-02-06 17:00:00,64726,Livorno
2022-02-07 17:00:00,65134,Livorno
2022-02-08 17:00:00,65776,Livorno
2022-02-09 17:00:00,66264,Livorno
2022-02-10 17:00:00,66807,Livorno
2022-02-11 17:00:00,67312,Livorno
2022-02-12 17:00:00,67662,Livorno
2022-02-13 17:00:00,68009,Livorno
2022-02-14 17:00:00,68229,Livorno
2022-02-15 17:00:00,68652,Livorno
2022-02-16 17:00:00,68948,Livorno
2022-02-17 17:00:00,69380,Livorno
2022-02-18 17:00:00,69728,Livorno
2022-02-19 17:00:00,70110,Livorno
2022-02-20 17:00:00,70363,Livorno
2022-02-21 17:00:00,70485,Livorno
