data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,48680,Mantova
2022-01-02 17:00:00,48961,Mantova
2022-01-03 17:00:00,49265,Mantova
2022-01-04 17:00:00,50919,Mantova
2022-01-05 17:00:00,52523,Mantova
2022-01-06 17:00:00,54227,Mantova
2022-01-07 17:00:00,54572,Mantova
2022-01-08 17:00:00,56500,Mantova
2022-01-09 17:00:00,57743,Mantova
2022-01-10 17:00:00,58092,Mantova
2022-01-11 17:00:00,59968,Mantova
2022-01-12 17:00:00,61518,Mantova
2022-01-13 17:00:00,63012,Mantova
2022-01-14 17:00:00,64445,Mantova
2022-01-15 17:00:00,65853,Mantova
2022-01-16 17:00:00,66964,Mantova
2022-01-17 17:00:00,67332,Mantova
2022-01-18 17:00:00,69331,Mantova
2022-01-19 17:00:00,71098,Mantova
2022-01-20 17:00:00,72675,Mantova
2022-01-21 17:00:00,74217,Mantova
2022-01-22 17:00:00,75759,Mantova
2022-01-23 17:00:00,76968,Mantova
2022-01-24 17:00:00,77212,Mantova
2022-01-25 17:00:00,78847,Mantova
2022-01-26 17:00:00,80282,Mantova
2022-01-27 17:00:00,81672,Mantova
2022-01-28 17:00:00,82744,Mantova
2022-01-29 17:00:00,83745,Mantova
2022-01-30 17:00:00,84569,Mantova
2022-01-31 17:00:00,84746,Mantova
2022-02-01 17:00:00,85912,Mantova
2022-02-02 17:00:00,86729,Mantova
2022-02-03 17:00:00,87637,Mantova
2022-02-04 17:00:00,88218,Mantova
2022-02-05 17:00:00,88858,Mantova
2022-02-06 17:00:00,89313,Mantova
2022-02-07 17:00:00,89396,Mantova
2022-02-08 17:00:00,90136,Mantova
2022-02-09 17:00:00,90659,Mantova
2022-02-10 17:00:00,91112,Mantova
2022-02-11 17:00:00,91486,Mantova
2022-02-12 17:00:00,91824,Mantova
2022-02-13 17:00:00,92131,Mantova
2022-02-14 17:00:00,92198,Mantova
2022-02-15 17:00:00,92680,Mantova
2022-02-16 17:00:00,92996,Mantova
2022-02-17 17:00:00,93329,Mantova
2022-02-18 17:00:00,93634,Mantova
2022-02-19 17:00:00,93922,Mantova
2022-02-20 17:00:00,94178,Mantova
2022-02-21 17:00:00,94235,Mantova
2022-02-22 17:00:00,94691,Mantova
2022-02-23 17:00:00,94964,Mantova
2022-02-24 17:00:00,95236,Mantova
2022-02-25 17:00:00,95495,Mantova
2022-02-26 17:00:00,95711,Mantova
2022-02-27 17:00:00,95897,Mantova
2022-02-28 17:00:00,95948,Mantova
2022-03-01 17:00:00,96255,Mantova
2022-03-02 17:00:00,96502,Mantova
2022-03-03 17:00:00,96746,Mantova
2022-03-04 17:00:00,96933,Mantova
2022-03-05 17:00:00,97157,Mantova
2022-03-06 17:00:00,97340,Mantova
2022-03-07 17:00:00,97396,Mantova
2022-03-08 17:00:00,97717,Mantova
2022-03-09 17:00:00,97955,Mantova
2022-03-10 17:00:00,98194,Mantova
2022-03-11 17:00:00,98443,Mantova
2022-03-12 17:00:00,98657,Mantova
2022-03-13 17:00:00,98844,Mantova
2022-03-14 17:00:00,98913,Mantova
2022-03-15 17:00:00,99328,Mantova
2022-03-16 17:00:00,99648,Mantova
2022-03-17 17:00:00,100022,Mantova
2022-03-18 17:00:00,100366,Mantova
2022-03-19 17:00:00,100657,Mantova
2022-03-20 17:00:00,100927,Mantova
2022-03-21 17:00:00,100995,Mantova
2022-03-22 17:00:00,101506,Mantova
2022-03-23 17:00:00,101866,Mantova
2022-03-24 17:00:00,102277,Mantova
2022-03-25 17:00:00,102686,Mantova
2022-03-26 17:00:00,103116,Mantova
2022-03-27 17:00:00,103425,Mantova
2022-03-28 17:00:00,103527,Mantova
2022-03-29 17:00:00,104227,Mantova
2022-03-30 17:00:00,104677,Mantova
2022-03-31 17:00:00,105111,Mantova
2022-04-01 17:00:00,105612,Mantova
2022-04-02 17:00:00,106087,Mantova
2022-04-03 17:00:00,106436,Mantova
2022-04-04 17:00:00,106545,Mantova
2022-04-05 17:00:00,107234,Mantova
2022-04-06 17:00:00,107681,Mantova
2022-04-07 17:00:00,108156,Mantova
2022-04-08 17:00:00,108653,Mantova
2022-04-09 17:00:00,109085,Mantova
2022-04-10 17:00:00,109428,Mantova
2022-04-11 17:00:00,109510,Mantova
2022-04-12 17:00:00,110157,Mantova
2022-04-13 17:00:00,110567,Mantova
2022-04-14 17:00:00,111080,Mantova
2022-04-15 17:00:00,111449,Mantova
2022-04-16 17:00:00,111850,Mantova
2022-04-17 17:00:00,112132,Mantova
2022-04-18 17:00:00,112192,Mantova
2022-04-19 17:00:00,112293,Mantova
2022-04-20 17:00:00,113139,Mantova
2022-04-21 17:00:00,113577,Mantova
2022-04-22 17:00:00,114048,Mantova
2022-04-23 17:00:00,114468,Mantova
2022-04-24 17:00:00,114831,Mantova
2022-04-25 17:00:00,114915,Mantova
2022-04-26 17:00:00,114998,Mantova
2022-04-27 17:00:00,115827,Mantova
2022-04-28 17:00:00,116230,Mantova
2022-04-29 17:00:00,116635,Mantova
2022-04-30 17:00:00,116965,Mantova
2022-05-01 17:00:00,117198,Mantova
2022-05-02 17:00:00,117251,Mantova
2022-05-03 17:00:00,117739,Mantova
2022-05-04 17:00:00,118037,Mantova
2022-05-05 17:00:00,118305,Mantova
2022-05-06 17:00:00,118584,Mantova
2022-05-07 17:00:00,118785,Mantova
2022-05-08 17:00:00,118864,Mantova
2022-05-09 17:00:00,118932,Mantova
2022-05-10 17:00:00,119354,Mantova
2022-05-11 17:00:00,119573,Mantova
2022-05-12 17:00:00,119773,Mantova
2022-05-13 17:00:00,119954,Mantova
2022-05-14 17:00:00,120151,Mantova
2022-05-15 17:00:00,120286,Mantova
2022-05-16 17:00:00,120338,Mantova
2022-05-17 17:00:00,120755,Mantova
2022-05-18 17:00:00,120942,Mantova
2022-05-19 17:00:00,121087,Mantova
2022-05-20 17:00:00,121233,Mantova
2022-05-21 17:00:00,121372,Mantova
2022-05-22 17:00:00,121467,Mantova
2022-05-23 17:00:00,121493,Mantova
2022-05-24 17:00:00,121648,Mantova
2022-05-25 17:00:00,121748,Mantova
2022-05-26 17:00:00,121834,Mantova
2022-05-27 17:00:00,121910,Mantova
2022-05-28 17:00:00,122009,Mantova
2022-05-29 17:00:00,122065,Mantova
2022-05-30 17:00:00,122079,Mantova
2022-05-31 17:00:00,122198,Mantova
2022-06-01 17:00:00,122260,Mantova
2022-06-02 17:00:00,122352,Mantova
2022-06-03 17:00:00,122372,Mantova
2022-06-04 17:00:00,122474,Mantova
2022-06-05 17:00:00,122521,Mantova
2022-06-06 17:00:00,122548,Mantova
2022-06-07 17:00:00,122707,Mantova
2022-06-08 17:00:00,122802,Mantova
2022-06-09 17:00:00,122900,Mantova
2022-06-10 17:00:00,123010,Mantova
2022-06-11 17:00:00,123124,Mantova
2022-06-12 17:00:00,123213,Mantova
2022-06-13 17:00:00,123237,Mantova
2022-06-14 17:00:00,123453,Mantova
2022-06-15 17:00:00,123604,Mantova
2022-06-16 17:00:00,123818,Mantova
2022-06-17 17:00:00,124007,Mantova
2022-06-18 17:00:00,124224,Mantova
2022-06-19 17:00:00,124400,Mantova
2022-06-20 17:00:00,124463,Mantova
2022-06-21 17:00:00,124851,Mantova
2022-06-22 17:00:00,125165,Mantova
2022-06-23 17:00:00,125518,Mantova
2022-06-24 17:00:00,125845,Mantova
2022-06-25 17:00:00,126185,Mantova
2022-06-26 17:00:00,126430,Mantova
2022-06-27 17:00:00,126473,Mantova
2022-06-28 17:00:00,126546,Mantova
2022-06-29 17:00:00,127544,Mantova
2022-06-30 17:00:00,128025,Mantova
2022-07-01 17:00:00,128467,Mantova
2022-07-02 17:00:00,128945,Mantova
2022-07-03 17:00:00,129278,Mantova
2022-07-04 17:00:00,129342,Mantova
2022-07-05 17:00:00,130179,Mantova
2022-07-06 17:00:00,130759,Mantova
2022-07-07 17:00:00,131369,Mantova
2022-07-08 17:00:00,131878,Mantova
2022-07-09 17:00:00,132437,Mantova
2022-07-10 17:00:00,132858,Mantova
2022-07-11 17:00:00,133009,Mantova
2022-07-12 17:00:00,134036,Mantova
2022-07-13 17:00:00,134694,Mantova
2022-07-14 17:00:00,135397,Mantova
2022-07-15 17:00:00,136054,Mantova
2022-07-16 17:00:00,136604,Mantova
2022-07-17 17:00:00,137059,Mantova
2022-07-18 17:00:00,137181,Mantova
2022-07-19 17:00:00,138236,Mantova
2022-07-20 17:00:00,138826,Mantova
2022-07-21 17:00:00,139381,Mantova
2022-07-22 17:00:00,139866,Mantova
2022-07-23 17:00:00,140369,Mantova
2022-07-24 17:00:00,140697,Mantova
2022-07-25 17:00:00,140775,Mantova
2022-07-26 17:00:00,141616,Mantova
2022-07-27 17:00:00,142103,Mantova
2022-07-28 17:00:00,142519,Mantova
2022-07-29 17:00:00,142945,Mantova
2022-07-30 17:00:00,143267,Mantova
2022-07-31 17:00:00,143574,Mantova
2022-08-01 17:00:00,143655,Mantova
2022-08-02 17:00:00,144259,Mantova
2022-08-03 17:00:00,144617,Mantova
2022-08-04 17:00:00,144958,Mantova
2022-08-05 17:00:00,145201,Mantova
2022-08-06 17:00:00,145462,Mantova
2022-08-07 17:00:00,145642,Mantova
2022-08-08 17:00:00,145704,Mantova
2022-08-09 17:00:00,146064,Mantova
2022-08-10 17:00:00,146270,Mantova
2022-08-11 17:00:00,146470,Mantova
2022-08-12 17:00:00,146676,Mantova
2022-08-13 17:00:00,146844,Mantova
2022-08-14 17:00:00,146969,Mantova
2022-08-15 17:00:00,146995,Mantova
2022-08-16 17:00:00,147039,Mantova
2022-08-17 17:00:00,147382,Mantova
2022-08-18 17:00:00,147587,Mantova
2022-08-19 17:00:00,147808,Mantova
2022-08-20 17:00:00,147966,Mantova
2022-08-21 17:00:00,148087,Mantova
2022-08-22 17:00:00,148140,Mantova
2022-08-23 17:00:00,148461,Mantova
2022-08-24 17:00:00,148690,Mantova
2022-08-25 17:00:00,148857,Mantova
2022-08-26 17:00:00,149001,Mantova
2022-08-27 17:00:00,149142,Mantova
2022-08-28 17:00:00,149244,Mantova
2022-08-29 17:00:00,149283,Mantova
2022-08-30 17:00:00,149549,Mantova
2022-08-31 17:00:00,149666,Mantova
2022-09-01 17:00:00,149823,Mantova
2022-09-02 17:00:00,149956,Mantova
2022-09-03 17:00:00,150095,Mantova
2022-09-04 17:00:00,150191,Mantova
2022-09-05 17:00:00,150217,Mantova
2022-09-06 17:00:00,150411,Mantova
2022-09-07 17:00:00,150535,Mantova
2022-09-08 17:00:00,150684,Mantova
2022-09-09 17:00:00,150794,Mantova
2022-09-10 17:00:00,150910,Mantova
2022-09-11 17:00:00,150998,Mantova
2022-09-12 17:00:00,151026,Mantova
2022-09-13 17:00:00,151223,Mantova
2022-09-14 17:00:00,151354,Mantova
2022-09-15 17:00:00,151492,Mantova
2022-09-16 17:00:00,151626,Mantova
2022-09-17 17:00:00,151769,Mantova
2022-09-18 17:00:00,151776,Mantova
2022-09-19 17:00:00,151878,Mantova
2022-09-20 17:00:00,152152,Mantova
2022-09-21 17:00:00,152317,Mantova
2022-09-22 17:00:00,152480,Mantova
2022-09-23 17:00:00,152663,Mantova
2022-09-24 17:00:00,152892,Mantova
2022-09-25 17:00:00,153041,Mantova
2022-09-26 17:00:00,153097,Mantova
2022-09-27 17:00:00,153515,Mantova
2022-09-28 17:00:00,153805,Mantova
2022-09-29 17:00:00,154092,Mantova
2022-09-30 17:00:00,154383,Mantova
2022-10-01 17:00:00,154594,Mantova
2022-10-02 17:00:00,154793,Mantova
2022-10-03 17:00:00,154850,Mantova
2022-10-04 17:00:00,155297,Mantova
2022-10-05 17:00:00,155585,Mantova
2022-10-06 17:00:00,155913,Mantova
2022-10-07 17:00:00,156310,Mantova
2022-10-08 17:00:00,156635,Mantova
2022-10-09 17:00:00,156902,Mantova
2022-10-10 17:00:00,156984,Mantova
2022-10-11 17:00:00,157581,Mantova
2022-10-12 17:00:00,157943,Mantova
2022-10-13 17:00:00,157972,Mantova
2022-10-14 17:00:00,158645,Mantova
2022-10-15 17:00:00,158926,Mantova
2022-10-16 17:00:00,159162,Mantova
2022-10-17 17:00:00,159216,Mantova
2022-10-18 17:00:00,159809,Mantova
2022-10-19 17:00:00,160156,Mantova
2022-10-20 17:00:00,160498,Mantova
2022-10-21 17:00:00,160762,Mantova
2022-10-22 17:00:00,161067,Mantova
2022-10-23 17:00:00,161274,Mantova
2022-10-24 17:00:00,161340,Mantova
2022-10-25 17:00:00,161824,Mantova
2022-10-26 17:00:00,162108,Mantova
2022-10-27 17:00:00,162395,Mantova
2022-10-28 17:00:00,162641,Mantova
2022-10-29 17:00:00,162860,Mantova
2022-10-30 17:00:00,163004,Mantova
2022-10-31 17:00:00,163037,Mantova
2022-11-01 17:00:00,163363,Mantova
2022-11-02 17:00:00,163388,Mantova
2022-11-03 17:00:00,163791,Mantova
2022-11-04 17:00:00,164047,Mantova
2022-11-05 17:00:00,164263,Mantova
2022-11-06 17:00:00,164446,Mantova
2022-11-07 17:00:00,164501,Mantova
2022-11-08 17:00:00,164912,Mantova
2022-11-09 17:00:00,165187,Mantova
2022-11-10 17:00:00,165457,Mantova
2022-11-11 17:00:00,165726,Mantova
2022-11-12 17:00:00,165993,Mantova
2022-11-13 17:00:00,166196,Mantova
2022-11-14 17:00:00,166238,Mantova
2022-11-15 17:00:00,166837,Mantova
2022-11-16 17:00:00,167224,Mantova
2022-11-17 17:00:00,167611,Mantova
2022-11-18 17:00:00,167995,Mantova
2022-11-19 17:00:00,168373,Mantova
2022-11-20 17:00:00,168615,Mantova
2022-11-21 17:00:00,168707,Mantova
2022-11-22 17:00:00,169347,Mantova
2022-11-23 17:00:00,169671,Mantova
2022-11-24 17:00:00,170095,Mantova
2022-11-25 17:00:00,170447,Mantova
2022-11-26 17:00:00,170793,Mantova
2022-11-27 17:00:00,171031,Mantova
2022-11-28 17:00:00,171097,Mantova
2022-11-29 17:00:00,171715,Mantova
2022-11-30 17:00:00,172061,Mantova
2022-12-01 17:00:00,172431,Mantova
2022-12-02 17:00:00,172792,Mantova
2022-12-03 17:00:00,173147,Mantova
2022-12-04 17:00:00,173357,Mantova
2022-12-05 17:00:00,173421,Mantova
2022-12-06 17:00:00,173988,Mantova
2022-12-07 17:00:00,174330,Mantova
2022-12-08 17:00:00,174619,Mantova
2022-12-09 17:00:00,174663,Mantova
2022-12-10 17:00:00,175015,Mantova
2022-12-11 17:00:00,175193,Mantova
2022-12-12 17:00:00,175261,Mantova
2022-12-13 17:00:00,175689,Mantova
2022-12-14 17:00:00,175946,Mantova
2022-12-15 17:00:00,176178,Mantova
2022-12-16 17:00:00,176395,Mantova
2022-12-17 17:00:00,176596,Mantova
2022-12-18 17:00:00,176727,Mantova
2022-12-19 17:00:00,176779,Mantova
2022-12-20 17:00:00,177084,Mantova
2022-12-21 17:00:00,177259,Mantova
2022-12-22 17:00:00,177426,Mantova
2022-12-23 17:00:00,177604,Mantova
2022-12-24 17:00:00,177807,Mantova
2022-12-25 17:00:00,177935,Mantova
2022-12-26 17:00:00,177953,Mantova
2022-12-27 17:00:00,178012,Mantova
2022-12-28 17:00:00,178308,Mantova
2022-12-29 17:00:00,178501,Mantova
2022-12-30 17:00:00,178688,Mantova
2022-12-31 17:00:00,178863,Mantova
