data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,12295,Matera
2022-01-02 17:00:00,12332,Matera
2022-01-03 17:00:00,12476,Matera
2022-01-04 17:00:00,12625,Matera
2022-01-05 17:00:00,12867,Matera
2022-01-06 17:00:00,13110,Matera
2022-01-07 17:00:00,13359,Matera
2022-01-08 17:00:00,13592,Matera
2022-01-09 17:00:00,13919,Matera
2022-01-10 17:00:00,14070,Matera
2022-01-11 17:00:00,14282,Matera
2022-01-12 17:00:00,14569,Matera
2022-01-13 17:00:00,14865,Matera
2022-01-14 17:00:00,15129,Matera
2022-01-15 17:00:00,15292,Matera
2022-01-16 17:00:00,15599,Matera
2022-01-17 17:00:00,15709,Matera
2022-01-18 17:00:00,16289,Matera
2022-01-19 17:00:00,16796,Matera
2022-01-20 17:00:00,17306,Matera
2022-01-21 17:00:00,17874,Matera
2022-01-22 17:00:00,18228,Matera
2022-01-23 17:00:00,18632,Matera
2022-01-24 17:00:00,18894,Matera
2022-01-25 17:00:00,19424,Matera
2022-01-26 17:00:00,19786,Matera
2022-01-27 17:00:00,20183,Matera
2022-01-28 17:00:00,20705,Matera
2022-01-29 17:00:00,21201,Matera
2022-01-30 17:00:00,21536,Matera
2022-01-31 17:00:00,21712,Matera
2022-02-01 17:00:00,22354,Matera
2022-02-02 17:00:00,22767,Matera
2022-02-03 17:00:00,23140,Matera
2022-02-04 17:00:00,23541,Matera
2022-02-05 17:00:00,23892,Matera
2022-02-06 17:00:00,24186,Matera
2022-02-07 17:00:00,24335,Matera
2022-02-08 17:00:00,24819,Matera
2022-02-09 17:00:00,25112,Matera
2022-02-10 17:00:00,25347,Matera
2022-02-11 17:00:00,25593,Matera
2022-02-12 17:00:00,25870,Matera
2022-02-13 17:00:00,26068,Matera
2022-02-14 17:00:00,26167,Matera
2022-02-15 17:00:00,26504,Matera
2022-02-16 17:00:00,26858,Matera
2022-02-17 17:00:00,27129,Matera
2022-02-18 17:00:00,27371,Matera
2022-02-19 17:00:00,27625,Matera
2022-02-20 17:00:00,27775,Matera
2022-02-21 17:00:00,27933,Matera
2022-02-22 17:00:00,28243,Matera
2022-02-23 17:00:00,28429,Matera
2022-02-24 17:00:00,28599,Matera
2022-02-25 17:00:00,28783,Matera
2022-02-26 17:00:00,28948,Matera
2022-02-27 17:00:00,29100,Matera
2022-02-28 17:00:00,29179,Matera
2022-03-01 17:00:00,29402,Matera
2022-03-02 17:00:00,29557,Matera
2022-03-03 17:00:00,29719,Matera
2022-03-04 17:00:00,29955,Matera
2022-03-05 17:00:00,30190,Matera
2022-03-06 17:00:00,30365,Matera
2022-03-07 17:00:00,30536,Matera
2022-03-08 17:00:00,30834,Matera
2022-03-09 17:00:00,31087,Matera
2022-03-10 17:00:00,31329,Matera
2022-03-11 17:00:00,31615,Matera
2022-03-12 17:00:00,31857,Matera
2022-03-13 17:00:00,32037,Matera
2022-03-14 17:00:00,32217,Matera
2022-03-15 17:00:00,32715,Matera
2022-03-16 17:00:00,33036,Matera
2022-03-17 17:00:00,33407,Matera
2022-03-18 17:00:00,33777,Matera
2022-03-19 17:00:00,34124,Matera
