data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,46779,Messina
2022-01-02 17:00:00,47383,Messina
2022-01-03 17:00:00,47884,Messina
2022-01-04 17:00:00,49106,Messina
2022-01-05 17:00:00,50597,Messina
2022-01-06 17:00:00,52099,Messina
2022-01-07 17:00:00,53674,Messina
2022-01-08 17:00:00,55477,Messina
2022-01-09 17:00:00,57322,Messina
2022-01-10 17:00:00,58760,Messina
2022-01-11 17:00:00,60322,Messina
2022-01-12 17:00:00,61433,Messina
2022-01-13 17:00:00,62431,Messina
2022-01-14 17:00:00,63105,Messina
2022-01-15 17:00:00,63830,Messina
2022-01-16 17:00:00,64411,Messina
2022-01-17 17:00:00,64608,Messina
2022-01-18 17:00:00,65191,Messina
2022-01-19 17:00:00,65777,Messina
2022-01-20 17:00:00,66363,Messina
2022-01-21 17:00:00,66874,Messina
2022-01-22 17:00:00,67819,Messina
2022-01-23 17:00:00,68366,Messina
2022-01-24 17:00:00,68940,Messina
2022-01-25 17:00:00,69797,Messina
2022-01-26 17:00:00,70823,Messina
2022-01-27 17:00:00,71834,Messina
2022-01-28 17:00:00,72767,Messina
2022-01-29 17:00:00,73814,Messina
2022-01-30 17:00:00,74824,Messina
2022-01-31 17:00:00,75615,Messina
2022-02-01 17:00:00,76474,Messina
2022-02-02 17:00:00,77820,Messina
2022-02-03 17:00:00,78621,Messina
2022-02-04 17:00:00,79718,Messina
2022-02-05 17:00:00,81138,Messina
2022-02-06 17:00:00,82175,Messina
2022-02-07 17:00:00,82835,Messina
2022-02-08 17:00:00,83725,Messina
2022-02-09 17:00:00,84444,Messina
2022-02-10 17:00:00,86272,Messina
2022-02-11 17:00:00,87172,Messina
2022-02-12 17:00:00,88232,Messina
2022-02-13 17:00:00,89226,Messina
2022-02-14 17:00:00,89567,Messina
2022-02-15 17:00:00,90570,Messina
2022-02-16 17:00:00,91926,Messina
2022-02-17 17:00:00,92485,Messina
2022-02-18 17:00:00,93346,Messina
2022-02-19 17:00:00,94521,Messina
2022-02-20 17:00:00,95226,Messina
2022-02-21 17:00:00,95581,Messina
2022-02-22 17:00:00,96602,Messina
2022-02-23 17:00:00,97521,Messina
2022-02-24 17:00:00,98485,Messina
2022-02-25 17:00:00,99260,Messina
2022-02-26 17:00:00,100065,Messina
2022-02-27 17:00:00,100889,Messina
2022-02-28 17:00:00,101490,Messina
2022-03-01 17:00:00,102103,Messina
2022-03-02 17:00:00,102889,Messina
2022-03-03 17:00:00,103885,Messina
2022-03-04 17:00:00,104247,Messina
2022-03-05 17:00:00,105217,Messina
2022-03-06 17:00:00,105966,Messina
2022-03-07 17:00:00,106615,Messina
2022-03-08 17:00:00,107662,Messina
2022-03-09 17:00:00,108441,Messina
2022-03-10 17:00:00,109377,Messina
2022-03-11 17:00:00,110232,Messina
2022-03-12 17:00:00,110924,Messina
2022-03-13 17:00:00,112245,Messina
2022-03-14 17:00:00,112472,Messina
2022-03-15 17:00:00,113857,Messina
