data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,14225,Nuoro
2022-01-02 17:00:00,14239,Nuoro
2022-01-03 17:00:00,14267,Nuoro
2022-01-04 17:00:00,14804,Nuoro
2022-01-05 17:00:00,15185,Nuoro
2022-01-06 17:00:00,15217,Nuoro
2022-01-07 17:00:00,15606,Nuoro
2022-01-08 17:00:00,15643,Nuoro
2022-01-09 17:00:00,15695,Nuoro
2022-01-10 17:00:00,16610,Nuoro
2022-01-11 17:00:00,17022,Nuoro
2022-01-12 17:00:00,17159,Nuoro
2022-01-13 17:00:00,17359,Nuoro
2022-01-14 17:00:00,17540,Nuoro
2022-01-15 17:00:00,17902,Nuoro
2022-01-16 17:00:00,18193,Nuoro
2022-01-17 17:00:00,18443,Nuoro
2022-01-18 17:00:00,18443,Nuoro
2022-01-19 17:00:00,19275,Nuoro
2022-01-20 17:00:00,19589,Nuoro
2022-01-21 17:00:00,19835,Nuoro
2022-01-22 17:00:00,20170,Nuoro
2022-01-23 17:00:00,20404,Nuoro
2022-01-24 17:00:00,20727,Nuoro
2022-01-25 17:00:00,21252,Nuoro
2022-01-26 17:00:00,21636,Nuoro
2022-01-27 17:00:00,22007,Nuoro
2022-01-28 17:00:00,22399,Nuoro
2022-01-29 17:00:00,22726,Nuoro
2022-01-30 17:00:00,23114,Nuoro
2022-01-31 17:00:00,23144,Nuoro
2022-02-01 17:00:00,23442,Nuoro
2022-02-02 17:00:00,23767,Nuoro
2022-02-03 17:00:00,24009,Nuoro
2022-02-04 17:00:00,24267,Nuoro
2022-02-05 17:00:00,24511,Nuoro
2022-02-06 17:00:00,24808,Nuoro
2022-02-07 17:00:00,24876,Nuoro
2022-02-08 17:00:00,25209,Nuoro
2022-02-09 17:00:00,25458,Nuoro
2022-02-10 17:00:00,25717,Nuoro
2022-02-11 17:00:00,25887,Nuoro
2022-02-12 17:00:00,26059,Nuoro
2022-02-13 17:00:00,26398,Nuoro
2022-02-14 17:00:00,26435,Nuoro
2022-02-15 17:00:00,26592,Nuoro
2022-02-16 17:00:00,26868,Nuoro
2022-02-17 17:00:00,26985,Nuoro
2022-02-18 17:00:00,27151,Nuoro
2022-02-19 17:00:00,27297,Nuoro
2022-02-20 17:00:00,27396,Nuoro
2022-02-21 17:00:00,27459,Nuoro
2022-02-22 17:00:00,27637,Nuoro
2022-02-23 17:00:00,27791,Nuoro
2022-02-24 17:00:00,27865,Nuoro
2022-02-25 17:00:00,27985,Nuoro
2022-02-26 17:00:00,28050,Nuoro
2022-02-27 17:00:00,28071,Nuoro
2022-02-28 17:00:00,28103,Nuoro
2022-03-01 17:00:00,28208,Nuoro
2022-03-02 17:00:00,28300,Nuoro
2022-03-03 17:00:00,28368,Nuoro
2022-03-04 17:00:00,28453,Nuoro
2022-03-05 17:00:00,28522,Nuoro
2022-03-06 17:00:00,28587,Nuoro
2022-03-07 17:00:00,28602,Nuoro
2022-03-08 17:00:00,28711,Nuoro
2022-03-09 17:00:00,28841,Nuoro
2022-03-10 17:00:00,28905,Nuoro
2022-03-11 17:00:00,29007,Nuoro
2022-03-12 17:00:00,29097,Nuoro
2022-03-13 17:00:00,29158,Nuoro
2022-03-14 17:00:00,29192,Nuoro
2022-03-15 17:00:00,29325,Nuoro
2022-03-16 17:00:00,29558,Nuoro
2022-03-17 17:00:00,29719,Nuoro
2022-03-18 17:00:00,29916,Nuoro
2022-03-19 17:00:00,30084,Nuoro
2022-03-20 17:00:00,30193,Nuoro
2022-03-21 17:00:00,30239,Nuoro
2022-03-22 17:00:00,30684,Nuoro
2022-03-23 17:00:00,31012,Nuoro
2022-03-24 17:00:00,31324,Nuoro
2022-03-25 17:00:00,31657,Nuoro
2022-03-26 17:00:00,31997,Nuoro
2022-03-27 17:00:00,32174,Nuoro
2022-03-28 17:00:00,32245,Nuoro
2022-03-29 17:00:00,32708,Nuoro
2022-03-30 17:00:00,33050,Nuoro
2022-03-31 17:00:00,33269,Nuoro
2022-04-01 17:00:00,33584,Nuoro
2022-04-02 17:00:00,33823,Nuoro
2022-04-03 17:00:00,33930,Nuoro
2022-04-04 17:00:00,33990,Nuoro
2022-04-05 17:00:00,34364,Nuoro
2022-04-06 17:00:00,34693,Nuoro
2022-04-07 17:00:00,34930,Nuoro
2022-04-08 17:00:00,35220,Nuoro
2022-04-09 17:00:00,35468,Nuoro
2022-04-10 17:00:00,35609,Nuoro
2022-04-11 17:00:00,35666,Nuoro
2022-04-12 17:00:00,35998,Nuoro
2022-04-13 17:00:00,36305,Nuoro
2022-04-14 17:00:00,36502,Nuoro
2022-04-15 17:00:00,36819,Nuoro
2022-04-16 17:00:00,37039,Nuoro
2022-04-17 17:00:00,37039,Nuoro
2022-04-18 17:00:00,37039,Nuoro
2022-04-19 17:00:00,37277,Nuoro
2022-04-20 17:00:00,37495,Nuoro
2022-04-21 17:00:00,38018,Nuoro
2022-04-22 17:00:00,38313,Nuoro
2022-04-23 17:00:00,38553,Nuoro
2022-04-24 17:00:00,38745,Nuoro
2022-04-25 17:00:00,38748,Nuoro
2022-04-26 17:00:00,38857,Nuoro
2022-04-27 17:00:00,39241,Nuoro
2022-04-28 17:00:00,39450,Nuoro
2022-04-29 17:00:00,39686,Nuoro
2022-04-30 17:00:00,39880,Nuoro
2022-05-01 17:00:00,39881,Nuoro
2022-05-02 17:00:00,40034,Nuoro
2022-05-03 17:00:00,40337,Nuoro
2022-05-04 17:00:00,40572,Nuoro
2022-05-05 17:00:00,40760,Nuoro
2022-05-06 17:00:00,40922,Nuoro
2022-05-07 17:00:00,41098,Nuoro
2022-05-08 17:00:00,41201,Nuoro
2022-05-09 17:00:00,41202,Nuoro
2022-05-10 17:00:00,41309,Nuoro
2022-05-11 17:00:00,41750,Nuoro
2022-05-12 17:00:00,41919,Nuoro
2022-05-13 17:00:00,42093,Nuoro
2022-05-14 17:00:00,42194,Nuoro
2022-05-15 17:00:00,42293,Nuoro
2022-05-16 17:00:00,42376,Nuoro
2022-05-17 17:00:00,42599,Nuoro
2022-05-18 17:00:00,42754,Nuoro
2022-05-19 17:00:00,42870,Nuoro
2022-05-20 17:00:00,42993,Nuoro
2022-05-21 17:00:00,43117,Nuoro
2022-05-22 17:00:00,43166,Nuoro
2022-05-23 17:00:00,43182,Nuoro
2022-05-24 17:00:00,43330,Nuoro
2022-05-25 17:00:00,43446,Nuoro
2022-05-26 17:00:00,43547,Nuoro
2022-05-27 17:00:00,43657,Nuoro
2022-05-28 17:00:00,43749,Nuoro
2022-05-29 17:00:00,43803,Nuoro
2022-05-30 17:00:00,43820,Nuoro
2022-05-31 17:00:00,43931,Nuoro
2022-06-01 17:00:00,44028,Nuoro
2022-06-02 17:00:00,44051,Nuoro
2022-06-03 17:00:00,44130,Nuoro
2022-06-04 17:00:00,44185,Nuoro
2022-06-05 17:00:00,44251,Nuoro
2022-06-06 17:00:00,44328,Nuoro
2022-06-07 17:00:00,44423,Nuoro
2022-06-08 17:00:00,44512,Nuoro
2022-06-09 17:00:00,44566,Nuoro
2022-06-10 17:00:00,44636,Nuoro
2022-06-11 17:00:00,44695,Nuoro
2022-06-12 17:00:00,44740,Nuoro
2022-06-13 17:00:00,44756,Nuoro
2022-06-14 17:00:00,44892,Nuoro
2022-06-15 17:00:00,44999,Nuoro
2022-06-16 17:00:00,45121,Nuoro
2022-06-17 17:00:00,45220,Nuoro
