data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,7642,Oristano
2022-01-02 17:00:00,7652,Oristano
2022-01-03 17:00:00,7670,Oristano
2022-01-04 17:00:00,7747,Oristano
2022-01-05 17:00:00,7947,Oristano
2022-01-06 17:00:00,8097,Oristano
2022-01-07 17:00:00,8368,Oristano
2022-01-08 17:00:00,8484,Oristano
2022-01-09 17:00:00,8615,Oristano
2022-01-10 17:00:00,8787,Oristano
2022-01-11 17:00:00,8877,Oristano
2022-01-12 17:00:00,9138,Oristano
2022-01-13 17:00:00,9338,Oristano
2022-01-14 17:00:00,9544,Oristano
2022-01-15 17:00:00,9772,Oristano
2022-01-16 17:00:00,9998,Oristano
2022-01-17 17:00:00,10064,Oristano
2022-01-18 17:00:00,10158,Oristano
2022-01-19 17:00:00,10388,Oristano
2022-01-20 17:00:00,10717,Oristano
2022-01-21 17:00:00,11217,Oristano
2022-01-22 17:00:00,11418,Oristano
2022-01-23 17:00:00,11473,Oristano
2022-01-24 17:00:00,11731,Oristano
2022-01-25 17:00:00,12096,Oristano
2022-01-26 17:00:00,12426,Oristano
2022-01-27 17:00:00,12578,Oristano
2022-01-28 17:00:00,12649,Oristano
2022-01-29 17:00:00,12730,Oristano
2022-01-30 17:00:00,12804,Oristano
2022-01-31 17:00:00,12887,Oristano
2022-02-01 17:00:00,12993,Oristano
2022-02-02 17:00:00,13150,Oristano
2022-02-03 17:00:00,13320,Oristano
2022-02-04 17:00:00,13388,Oristano
2022-02-05 17:00:00,13528,Oristano
2022-02-06 17:00:00,13598,Oristano
2022-02-07 17:00:00,13843,Oristano
2022-02-08 17:00:00,14047,Oristano
2022-02-09 17:00:00,14342,Oristano
2022-02-10 17:00:00,14556,Oristano
2022-02-11 17:00:00,15043,Oristano
2022-02-12 17:00:00,15092,Oristano
2022-02-13 17:00:00,15159,Oristano
2022-02-14 17:00:00,15431,Oristano
2022-02-15 17:00:00,16231,Oristano
2022-02-16 17:00:00,17390,Oristano
2022-02-17 17:00:00,17925,Oristano
2022-02-18 17:00:00,18283,Oristano
2022-02-19 17:00:00,18321,Oristano
2022-02-20 17:00:00,18359,Oristano
2022-02-21 17:00:00,18859,Oristano
2022-02-22 17:00:00,19276,Oristano
2022-02-23 17:00:00,19531,Oristano
2022-02-24 17:00:00,19836,Oristano
2022-02-25 17:00:00,20010,Oristano
2022-02-26 17:00:00,20112,Oristano
2022-02-27 17:00:00,20198,Oristano
2022-02-28 17:00:00,20328,Oristano
