data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,129134,Padova
2022-01-02 17:00:00,129465,Padova
2022-01-03 17:00:00,130648,Padova
2022-01-04 17:00:00,133485,Padova
2022-01-05 17:00:00,136591,Padova
2022-01-06 17:00:00,139720,Padova
2022-01-07 17:00:00,141264,Padova
2022-01-08 17:00:00,144679,Padova
2022-01-09 17:00:00,147172,Padova
2022-01-10 17:00:00,148527,Padova
2022-01-11 17:00:00,152088,Padova
2022-01-12 17:00:00,155668,Padova
2022-01-13 17:00:00,158814,Padova
2022-01-14 17:00:00,161807,Padova
2022-01-15 17:00:00,165162,Padova
2022-01-16 17:00:00,167503,Padova
2022-01-17 17:00:00,168483,Padova
2022-01-18 17:00:00,173150,Padova
2022-01-19 17:00:00,176995,Padova
2022-01-20 17:00:00,180804,Padova
2022-01-21 17:00:00,184231,Padova
2022-01-22 17:00:00,187286,Padova
2022-01-23 17:00:00,190048,Padova
2022-01-24 17:00:00,190953,Padova
2022-01-25 17:00:00,200442,Padova
2022-01-26 17:00:00,204056,Padova
2022-01-27 17:00:00,207383,Padova
2022-01-28 17:00:00,210479,Padova
2022-01-29 17:00:00,213397,Padova
2022-01-30 17:00:00,215378,Padova
2022-01-31 17:00:00,216046,Padova
2022-02-01 17:00:00,219409,Padova
2022-02-02 17:00:00,221850,Padova
2022-02-03 17:00:00,224008,Padova
2022-02-04 17:00:00,225854,Padova
2022-02-05 17:00:00,227892,Padova
2022-02-06 17:00:00,229272,Padova
2022-02-07 17:00:00,229758,Padova
2022-02-08 17:00:00,231971,Padova
2022-02-09 17:00:00,233353,Padova
2022-02-10 17:00:00,234740,Padova
2022-02-11 17:00:00,235877,Padova
2022-02-12 17:00:00,237031,Padova
2022-02-13 17:00:00,237848,Padova
2022-02-14 17:00:00,238234,Padova
2022-02-15 17:00:00,239704,Padova
2022-02-16 17:00:00,240743,Padova
2022-02-17 17:00:00,241854,Padova
2022-02-18 17:00:00,242847,Padova
2022-02-19 17:00:00,243875,Padova
2022-02-20 17:00:00,244644,Padova
2022-02-21 17:00:00,244975,Padova
2022-02-22 17:00:00,246259,Padova
2022-02-23 17:00:00,247187,Padova
2022-02-24 17:00:00,248086,Padova
2022-02-25 17:00:00,248856,Padova
2022-02-26 17:00:00,249629,Padova
