data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,98493,Palermo
2022-01-02 17:00:00,99194,Palermo
2022-01-03 17:00:00,100082,Palermo
2022-01-04 17:00:00,101182,Palermo
2022-01-05 17:00:00,102402,Palermo
2022-01-06 17:00:00,105612,Palermo
2022-01-07 17:00:00,106841,Palermo
2022-01-08 17:00:00,109280,Palermo
2022-01-09 17:00:00,111790,Palermo
2022-01-10 17:00:00,112886,Palermo
2022-01-11 17:00:00,116269,Palermo
2022-01-12 17:00:00,119673,Palermo
2022-01-13 17:00:00,122600,Palermo
2022-01-14 17:00:00,125092,Palermo
2022-01-15 17:00:00,127192,Palermo
2022-01-16 17:00:00,129586,Palermo
2022-01-17 17:00:00,130569,Palermo
2022-01-18 17:00:00,132257,Palermo
2022-01-19 17:00:00,134500,Palermo
2022-01-20 17:00:00,136456,Palermo
2022-01-21 17:00:00,138427,Palermo
2022-01-22 17:00:00,139945,Palermo
2022-01-23 17:00:00,140965,Palermo
2022-01-24 17:00:00,141543,Palermo
2022-01-25 17:00:00,143004,Palermo
2022-01-26 17:00:00,145331,Palermo
2022-01-27 17:00:00,147059,Palermo
2022-01-28 17:00:00,148646,Palermo
2022-01-29 17:00:00,150248,Palermo
2022-01-30 17:00:00,151623,Palermo
2022-01-31 17:00:00,152335,Palermo
2022-02-01 17:00:00,153640,Palermo
2022-02-02 17:00:00,155619,Palermo
2022-02-03 17:00:00,157033,Palermo
2022-02-04 17:00:00,158415,Palermo
2022-02-05 17:00:00,160062,Palermo
2022-02-06 17:00:00,161129,Palermo
2022-02-07 17:00:00,161978,Palermo
2022-02-08 17:00:00,163410,Palermo
2022-02-09 17:00:00,165046,Palermo
2022-02-10 17:00:00,166365,Palermo
2022-02-11 17:00:00,167579,Palermo
2022-02-12 17:00:00,168766,Palermo
2022-02-13 17:00:00,169944,Palermo
2022-02-14 17:00:00,170604,Palermo
2022-02-15 17:00:00,171590,Palermo
2022-02-16 17:00:00,173127,Palermo
2022-02-17 17:00:00,174385,Palermo
2022-02-18 17:00:00,175677,Palermo
2022-02-19 17:00:00,176821,Palermo
2022-02-20 17:00:00,177891,Palermo
2022-02-21 17:00:00,178632,Palermo
2022-02-22 17:00:00,179511,Palermo
2022-02-23 17:00:00,181141,Palermo
2022-02-24 17:00:00,182515,Palermo
2022-02-25 17:00:00,183681,Palermo
2022-02-26 17:00:00,184835,Palermo
2022-02-27 17:00:00,186230,Palermo
2022-02-28 17:00:00,186586,Palermo
2022-03-01 17:00:00,187818,Palermo
2022-03-02 17:00:00,189113,Palermo
2022-03-03 17:00:00,190363,Palermo
2022-03-04 17:00:00,190976,Palermo
2022-03-05 17:00:00,191811,Palermo
2022-03-06 17:00:00,193170,Palermo
2022-03-07 17:00:00,193847,Palermo
2022-03-08 17:00:00,195557,Palermo
2022-03-09 17:00:00,197233,Palermo
2022-03-10 17:00:00,198824,Palermo
2022-03-11 17:00:00,200521,Palermo
2022-03-12 17:00:00,202283,Palermo
2022-03-13 17:00:00,203864,Palermo
2022-03-14 17:00:00,204837,Palermo
2022-03-15 17:00:00,206206,Palermo
2022-03-16 17:00:00,208218,Palermo
2022-03-17 17:00:00,209730,Palermo
2022-03-18 17:00:00,211752,Palermo
2022-03-19 17:00:00,213529,Palermo
2022-03-20 17:00:00,215192,Palermo
2022-03-21 17:00:00,216152,Palermo
2022-03-22 17:00:00,217604,Palermo
2022-03-23 17:00:00,220544,Palermo
2022-03-24 17:00:00,222627,Palermo
2022-03-25 17:00:00,224403,Palermo
2022-03-26 17:00:00,226164,Palermo
2022-03-27 17:00:00,227589,Palermo
2022-03-28 17:00:00,227934,Palermo
2022-03-29 17:00:00,229736,Palermo
2022-03-30 17:00:00,231769,Palermo
2022-03-31 17:00:00,232934,Palermo
2022-04-01 17:00:00,234885,Palermo
2022-04-02 17:00:00,236387,Palermo
2022-04-03 17:00:00,237432,Palermo
2022-04-04 17:00:00,238192,Palermo
2022-04-05 17:00:00,239782,Palermo
2022-04-06 17:00:00,241117,Palermo
2022-04-07 17:00:00,242390,Palermo
2022-04-08 17:00:00,243690,Palermo
2022-04-09 17:00:00,244776,Palermo
2022-04-10 17:00:00,245787,Palermo
2022-04-11 17:00:00,246362,Palermo
2022-04-12 17:00:00,247819,Palermo
2022-04-13 17:00:00,248754,Palermo
2022-04-14 17:00:00,250181,Palermo
