data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,39317,Parma
2022-01-02 17:00:00,40299,Parma
2022-01-03 17:00:00,41052,Parma
2022-01-04 17:00:00,41831,Parma
2022-01-05 17:00:00,43497,Parma
2022-01-06 17:00:00,45297,Parma
2022-01-07 17:00:00,47079,Parma
2022-01-08 17:00:00,48046,Parma
2022-01-09 17:00:00,50416,Parma
2022-01-10 17:00:00,50679,Parma
2022-01-11 17:00:00,52757,Parma
2022-01-12 17:00:00,54968,Parma
2022-01-13 17:00:00,56886,Parma
2022-01-14 17:00:00,58729,Parma
2022-01-15 17:00:00,60022,Parma
2022-01-16 17:00:00,61727,Parma
2022-01-17 17:00:00,62145,Parma
2022-01-18 17:00:00,63832,Parma
2022-01-19 17:00:00,65974,Parma
2022-01-20 17:00:00,67668,Parma
2022-01-21 17:00:00,69579,Parma
2022-01-22 17:00:00,71144,Parma
2022-01-23 17:00:00,72642,Parma
2022-01-24 17:00:00,73133,Parma
2022-01-25 17:00:00,74567,Parma
2022-01-26 17:00:00,76569,Parma
2022-01-27 17:00:00,77858,Parma
2022-01-28 17:00:00,79188,Parma
2022-01-29 17:00:00,80322,Parma
2022-01-30 17:00:00,81548,Parma
2022-01-31 17:00:00,81838,Parma
2022-02-01 17:00:00,82883,Parma
2022-02-02 17:00:00,84233,Parma
2022-02-03 17:00:00,84978,Parma
2022-02-04 17:00:00,85823,Parma
2022-02-05 17:00:00,86624,Parma
2022-02-06 17:00:00,87268,Parma
2022-02-07 17:00:00,87563,Parma
2022-02-08 17:00:00,88173,Parma
2022-02-09 17:00:00,88936,Parma
2022-02-10 17:00:00,89415,Parma
2022-02-11 17:00:00,89942,Parma
2022-02-12 17:00:00,90329,Parma
2022-02-13 17:00:00,90687,Parma
2022-02-14 17:00:00,90757,Parma
2022-02-15 17:00:00,91121,Parma
2022-02-16 17:00:00,91541,Parma
2022-02-17 17:00:00,91841,Parma
2022-02-18 17:00:00,92159,Parma
2022-02-19 17:00:00,92409,Parma
2022-02-20 17:00:00,92652,Parma
2022-02-21 17:00:00,92854,Parma
2022-02-22 17:00:00,92966,Parma
2022-02-23 17:00:00,93274,Parma
2022-02-24 17:00:00,93482,Parma
2022-02-25 17:00:00,93726,Parma
2022-02-26 17:00:00,93911,Parma
2022-02-27 17:00:00,94066,Parma
2022-02-28 17:00:00,94270,Parma
2022-03-01 17:00:00,94365,Parma
2022-03-02 17:00:00,94566,Parma
2022-03-03 17:00:00,94714,Parma
2022-03-04 17:00:00,94901,Parma
2022-03-05 17:00:00,95068,Parma
2022-03-06 17:00:00,95241,Parma
2022-03-07 17:00:00,95428,Parma
2022-03-08 17:00:00,95517,Parma
2022-03-09 17:00:00,95725,Parma
2022-03-10 17:00:00,95904,Parma
2022-03-11 17:00:00,96132,Parma
2022-03-12 17:00:00,96298,Parma
2022-03-13 17:00:00,96484,Parma
2022-03-14 17:00:00,96646,Parma
2022-03-15 17:00:00,96741,Parma
2022-03-16 17:00:00,97027,Parma
2022-03-17 17:00:00,97254,Parma
2022-03-18 17:00:00,97626,Parma
2022-03-19 17:00:00,97900,Parma
2022-03-20 17:00:00,98140,Parma
2022-03-21 17:00:00,98323,Parma
2022-03-22 17:00:00,98495,Parma
2022-03-23 17:00:00,98905,Parma
2022-03-24 17:00:00,99225,Parma
2022-03-25 17:00:00,99554,Parma
2022-03-26 17:00:00,99884,Parma
2022-03-27 17:00:00,100230,Parma
2022-03-28 17:00:00,100439,Parma
2022-03-29 17:00:00,100623,Parma
2022-03-30 17:00:00,101125,Parma
2022-03-31 17:00:00,101522,Parma
2022-04-01 17:00:00,101944,Parma
2022-04-02 17:00:00,102349,Parma
2022-04-03 17:00:00,102775,Parma
2022-04-04 17:00:00,103068,Parma
2022-04-05 17:00:00,103293,Parma
2022-04-06 17:00:00,103866,Parma
2022-04-07 17:00:00,104283,Parma
2022-04-08 17:00:00,104748,Parma
2022-04-09 17:00:00,105155,Parma
2022-04-10 17:00:00,105562,Parma
2022-04-11 17:00:00,105878,Parma
2022-04-12 17:00:00,106101,Parma
2022-04-13 17:00:00,106779,Parma
2022-04-14 17:00:00,107201,Parma
2022-04-15 17:00:00,107668,Parma
2022-04-16 17:00:00,108066,Parma
2022-04-17 17:00:00,108509,Parma
2022-04-18 17:00:00,108800,Parma
2022-04-19 17:00:00,108964,Parma
2022-04-20 17:00:00,109130,Parma
2022-04-21 17:00:00,109891,Parma
2022-04-22 17:00:00,110403,Parma
